Open,High,Low,Close,Volume
60.31,60.31,60.16,60.25,31074.0
60.29,60.357,60.29,60.357,800.0
60.2462,60.28,60.13,60.28,1300.0
60.2799,60.2799,60.11,60.11,350.0
60.2,60.2,60.127,60.13,466.0
60.25,60.26,60.15,60.15,2470.0
60.3,60.3,60.22,60.27,5283.0
60.27,60.27,60.25,60.26,1200.0
60.28,60.3,60.24,60.3,6365.0
60.26,60.3,60.24,60.26,2139.0
60.206,60.26,60.206,60.26,1970.0
60.17,60.2,60.13,60.19,4290.0
60.16,60.19,60.14,60.16,3935.0
60.13,60.15,60.1,60.14,1940.0
60.1899,60.19,60.16,60.18,1300.0
60.19,60.21,60.16,60.2,1881.0
60.2,60.21,60.19,60.19,2460.0
60.19,60.19,60.16,60.18,2200.0
60.18,60.2,60.18,60.2,1313.0
60.17,60.18,60.1553,60.18,2037.0
60.1665,60.21,60.1665,60.17,3952.0
60.18,60.2,60.16,60.16,1458.0
60.18,60.18,60.14,60.14,1000.0
60.19,60.19,60.14,60.18,3819.0
60.1926,60.1926,60.16,60.18,2155.0
60.19,60.215,60.18,60.18,2475.0
60.17,60.17,60.13,60.17,8676.0
60.1543,60.171,60.1543,60.17,1208.0
60.16,60.17,60.13,60.15,4180.0
60.14,60.17,60.13,60.15,3028.0
60.2,60.2,60.14,60.14,2709.0
60.19,60.21,60.18,60.19,3093.0
60.16,60.19,60.1501,60.19,2150.0
60.16,60.19,60.16,60.16,4729.0
60.19,60.19,60.16,60.16,3173.0
60.18,60.2,60.18,60.19,2411.0
60.19,60.2,60.185,60.185,2711.0
60.16,60.19,60.16,60.19,4615.0
60.13,60.17,60.13,60.16,2401.0
60.1266,60.1266,60.1075,60.125,3155.0
60.105,60.125,60.105,60.125,1203.0
60.12,60.13,60.1133,60.12,2706.0
60.105,60.11,60.09,60.1,2831.0
60.13,60.13,60.12,60.12,740.0
60.11,60.14,60.1,60.12,3597.0
60.11,60.11,60.09,60.11,1500.0
60.115,60.12,60.105,60.105,1400.0
60.0993,60.135,60.0993,60.13,2703.0
60.085,60.09,60.081,60.081,500.0
60.08,60.09,60.08,60.085,2095.0
60.08,60.09,60.075,60.08,2740.0
60.09,60.09,60.065,60.07,2238.0
60.11,60.1361,60.1,60.1,2005.0
60.11,60.13,60.105,60.11,2691.0
60.1,60.1057,60.1,60.105,1075.0
60.1176,60.12,60.1038,60.1038,4299.0
60.11,60.11,60.11,60.11,600.0
60.081,60.1,60.07,60.1,3395.0
60.025,60.08,60.0,60.08,26870.0
60.025,60.03,60.025,60.025,3225.0
60.0,60.02,59.995,60.02,6405.0
60.0001,60.02,60.0,60.013,2682.0
60.05,60.07,60.01,60.01,2980.0
60.1,60.1,60.05,60.06,2144.0
60.12,60.12,60.1,60.109,2006.0
60.166,60.166,60.13,60.13,1240.0
60.15,60.16,60.134,60.16,2170.0
60.13,60.15,60.13,60.14,425.0
60.08,60.135,60.08,60.13,3089.0
60.09,60.09,60.085,60.085,1635.0
60.08,60.1,60.08,60.095,800.0
60.11,60.11,60.08,60.08,1540.0
60.12,60.12,60.11,60.11,1289.0
60.12,60.13,60.12,60.13,1000.0
60.14,60.14,60.12,60.12,2044.0
60.16,60.16,60.14,60.15,2212.0
60.14,60.16,60.14,60.16,1700.0
60.13,60.15,60.13,60.15,1994.0
60.1262,60.13,60.12,60.13,1140.0
60.12,60.13,60.11,60.13,3014.0
60.12,60.13,60.11,60.11,900.0
60.14,60.15,60.13,60.13,2300.0
60.13,60.1447,60.13,60.1447,1100.0
60.14,60.15,60.14,60.14,2394.0
60.152,60.152,60.14,60.14,1290.0
60.18,60.18,60.16,60.16,1500.0
60.17,60.18,60.16,60.17,4875.0
60.2053,60.2053,60.17,60.17,2900.0
60.2,60.21,60.2,60.2,705.0
60.19,60.21,60.19,60.21,1991.0
60.19,60.19,60.1853,60.1853,723.0
60.16,60.18,60.16,60.18,2400.0
60.16,60.17,60.16,60.16,1465.0
60.17,60.17,60.15,60.16,4435.0
60.159,60.18,60.159,60.17,1827.0
60.18,60.18,60.16,60.16,4100.0
60.2022,60.21,60.19,60.19,1000.0
