Open,High,Low,Close,Volume
111.6,111.68,111.48,111.54,10631.0
111.65,111.65,111.55,111.55,3806.0
111.645,111.68,111.645,111.65,3100.0
111.6,111.61,111.58,111.61,7105.0
111.615,111.615,111.59,111.615,400.0
111.61,111.61,111.61,111.61,200.0
111.615,111.64,111.61,111.63,1600.0
111.61,111.64,111.6,111.61,3200.0
111.61,111.63,111.6,111.6,1300.0
111.6,111.63,111.57,111.63,3278.0
111.62,111.62,111.62,111.62,221.0
111.58,111.59,111.58,111.59,400.0
111.6,111.6,111.58,111.58,400.0
111.6,111.6,111.6,111.6,200.0
111.59,111.59,111.59,111.59,300.0
111.605,111.61,111.59,111.59,2100.0
111.6,111.6,111.6,111.6,1000.0
111.58,111.59,111.58,111.59,1900.0
111.57,111.58,111.56,111.58,2105.0
111.54,111.56,111.52,111.56,5750.0
111.54,111.56,111.54,111.55,2155.0
111.55,111.55,111.55,111.55,200.0
111.56,111.56,111.555,111.56,800.0
111.56,111.56,111.56,111.56,100.0
111.56,111.57,111.56,111.57,200.0
111.565,111.57,111.56,111.56,1841.0
111.57,111.57,111.57,111.57,100.0
111.57,111.575,111.565,111.57,1752.0
111.58,111.58,111.575,111.575,1800.0
111.575,111.575,111.575,111.575,200.0
111.58,111.58,111.57,111.575,469.0
111.58,111.58,111.58,111.58,25597.0
111.595,111.6,111.59,111.59,5390.0
111.595,111.6,111.5915,111.595,948.0
111.58,111.595,111.58,111.595,3624.0
111.58,111.58,111.57,111.58,28097.0
111.58,111.585,111.57,111.58,9152.0
111.58,111.58,111.57,111.57,1500.0
111.59,111.6,111.58,111.58,6307.0
111.62,111.62,111.58,111.58,27754.0
111.6,111.62,111.6,111.62,2899.0
111.6,111.6,111.59,111.59,600.0
111.5975,111.6,111.59,111.6,2163.0
111.585,111.59,111.585,111.59,3257.0
111.58,111.58,111.58,111.58,400.0
111.585,111.585,111.585,111.585,200.0
111.58,111.59,111.58,111.59,1100.0
111.58,111.58,111.58,111.58,200.0
111.59,111.59,111.585,111.585,200.0
111.58,111.59,111.57,111.58,4354.0
111.58,111.58,111.57,111.57,1710.0
111.58,111.58,111.58,111.58,700.0
111.58,111.58,111.58,111.58,100.0
111.57,111.57,111.57,111.57,200.0
111.55,111.57,111.55,111.57,3732.0
111.55,111.55,111.55,111.55,300.0
111.55,111.55,111.55,111.55,100.0
