Open,High,Low,Close,Volume
67.0,67.0,67.0,67.0,17190.0
67.195,67.195,67.185,67.185,300.0
67.0,67.26,67.0,67.225,5027.0
67.0,67.105,67.0,67.105,388.0
66.92,67.085,66.92,67.01,1837.0
67.03,67.03,66.94,66.94,1436.0
67.05,67.13,67.04,67.05,4610.0
67.06,67.06,66.98,66.98,400.0
67.1,67.14,67.09,67.09,1470.0
67.065,67.1,66.99,67.075,5612.0
67.18,67.18,67.05,67.05,601.0
67.21,67.23,67.19,67.2,2045.0
67.24,67.24,67.17,67.18,1591.0
67.3,67.315,67.24,67.24,1750.0
67.375,67.375,67.255,67.255,1276.0
67.39,67.4199,67.37,67.4199,1800.0
67.272,67.395,67.26,67.395,2590.0
67.16,67.28,67.16,67.28,2492.0
67.23,67.27,67.22,67.22,1387.0
67.28,67.31,67.24,67.24,1750.0
67.37,67.37,67.27,67.3012,5984.0
67.36,67.39,67.36,67.36,1000.0
67.48,67.48,67.44,67.44,300.0
67.495,67.53,67.46,67.49,400.0
67.39,67.495,67.39,67.495,4825.0
67.36,67.4,67.35,67.4,2500.0
67.39,67.39,67.38,67.38,957.0
67.42,67.43,67.401,67.41,700.0
67.34,67.43,67.34,67.43,2090.0
67.37,67.37,67.37,67.37,200.0
67.4255,67.4255,67.39,67.39,1000.0
67.43,67.43,67.37,67.38,2553.0
67.4119,67.43,67.41,67.41,1300.0
67.37,67.41,67.37,67.39,1967.0
67.36,67.37,67.33,67.36,2051.0
67.33,67.35,67.33,67.35,809.0
67.3797,67.4,67.31,67.31,1802.0
67.29,67.37,67.28,67.37,4089.0
67.2894,67.2894,67.2894,67.2894,200.0
67.32,67.34,67.275,67.3,2600.0
67.25,67.325,67.25,67.325,6474.0
67.15,67.27,67.15,67.24,8310.0
67.13,67.16,67.12,67.14,3300.0
67.21,67.21,67.13,67.14,14312.0
67.19,67.19,67.15,67.19,1244.0
67.21,67.21,67.21,67.21,200.0
67.26,67.26,67.2098,67.2098,1528.0
67.26,67.27,67.25,67.26,511.0
67.24,67.26,67.23,67.26,5066.0
67.23,67.26,67.23,67.25,2282.0
67.16,67.22,67.16,67.19,1000.0
67.1461,67.17,67.13,67.13,618.0
67.12,67.21,67.12,67.16,3417.0
67.13,67.13,67.08,67.1,2322.0
67.14,67.14,67.14,67.14,100.0
67.16,67.18,67.15,67.15,1028.0
67.0839,67.19,67.0839,67.175,3220.0
67.12,67.12,67.04,67.04,1200.0
67.1095,67.12,67.1,67.11,2981.0
67.05,67.1,67.05,67.07,700.0
67.1195,67.13,67.08,67.08,1500.0
67.13,67.135,67.11,67.11,1891.0
67.04,67.12,67.04,67.12,1539.0
67.08,67.08,67.0394,67.04,1592.0
67.065,67.09,67.065,67.09,1016.0
67.13,67.13,67.08,67.08,1601.0
67.15,67.15,67.11,67.11,2146.0
67.17,67.19,67.16,67.16,712.0
67.13,67.21,67.13,67.19,5342.0
67.11,67.11,67.09,67.11,560.0
67.02,67.0999,67.01,67.0999,3000.0
67.05,67.05,67.01,67.02,2356.0
67.075,67.09,67.04,67.06,1756.0
67.07,67.07,67.065,67.07,604.0
67.08,67.08,67.03,67.07,3300.0
67.04,67.06,67.04,67.06,1700.0
67.06,67.1,67.06,67.08,600.0
67.12,67.12,67.12,67.12,300.0
67.18,67.18,67.1,67.1,5445.0
67.19,67.21,67.16,67.21,1800.0
67.17,67.18,67.17,67.17,400.0
67.25,67.25,67.18,67.18,1301.0
67.25,67.275,67.23,67.275,1300.0
67.2894,67.2894,67.2894,67.2894,100.0
67.31,67.31,67.28,67.28,1000.0
67.25,67.285,67.22,67.27,2400.0
67.21,67.22,67.18,67.22,3182.0
67.18,67.2,67.18,67.2,970.0
67.2,67.2,67.126,67.18,4274.0
67.18,67.21,67.18,67.21,1100.0
67.24,67.25,67.18,67.18,2400.0
67.22,67.265,67.22,67.26,5599.0
67.2,67.26,67.19,67.21,4200.0
67.25,67.25,67.23,67.25,594.0
67.19,67.21,67.16,67.21,1800.0
67.18,67.18,67.14,67.14,1089.0
67.21,67.21,67.1431,67.15,2200.0
67.17,67.1803,67.13,67.1803,1700.0
