Open,High,Low,Close,Volume
22.73,22.8,22.71,22.8,584474.0
22.81,22.85,22.74,22.74,65147.0
22.75,22.82,22.7,22.82,203578.0
22.7,22.75,22.69,22.75,52245.0
22.71,22.734,22.69,22.7001,69593.0
22.695,22.725,22.69,22.71,20797.0
22.72,22.72,22.68,22.69,43149.0
22.71,22.73,22.71,22.715,27479.0
22.69,22.715,22.69,22.71,56655.0
22.7,22.71,22.69,22.695,29513.0
22.705,22.71,22.7,22.705,29408.0
22.7,22.71,22.7,22.7,29444.0
22.71,22.71,22.69,22.705,32378.0
22.73,22.74,22.71,22.71,38396.0
22.8,22.8,22.73,22.73,30084.0
22.775,22.8,22.765,22.8,16236.0
22.77,22.79,22.77,22.77,26754.0
22.805,22.805,22.77,22.78,20855.0
22.815,22.82,22.805,22.81,23401.0
22.79,22.82,22.79,22.81,30667.0
22.79,22.8,22.78,22.79,24108.0
22.82,22.82,22.785,22.785,12645.0
22.815,22.825,22.805,22.82,25873.0
22.805,22.815,22.8009,22.815,8421.0
22.82,22.82,22.805,22.81,21330.0
22.83,22.835,22.82,22.82,20226.0
22.78,22.83,22.78,22.825,24701.0
22.794,22.795,22.78,22.79,23750.0
22.815,22.815,22.795,22.795,11197.0
22.815,22.835,22.81,22.815,32953.0
22.81,22.82,22.79,22.815,29031.0
22.815,22.82,22.79,22.805,19446.0
22.825,22.83,22.805,22.815,21104.0
22.815,22.83,22.8,22.825,46178.0
22.82,22.83,22.8127,22.815,49171.0
22.775,22.83,22.7727,22.815,30587.0
22.8056,22.8056,22.78,22.78,16250.0
22.805,22.815,22.805,22.81,11917.0
22.8,22.81,22.79,22.8,61169.0
22.795,22.81,22.795,22.8,31900.0
22.78,22.8,22.78,22.795,12158.0
22.77,22.785,22.77,22.781,15533.0
22.765,22.775,22.76,22.77,27733.0
22.78,22.78,22.76,22.765,9546.0
22.78,22.78,22.77,22.775,37362.0
22.785,22.785,22.77,22.7735,28666.0
22.76,22.785,22.76,22.78,48319.0
22.755,22.77,22.75,22.77,29589.0
22.735,22.76,22.73,22.755,75809.0
22.74,22.745,22.73,22.735,21732.0
22.785,22.785,22.74,22.74,22643.0
22.76,22.785,22.76,22.785,20626.0
22.74,22.77,22.72,22.765,159052.0
22.76,22.76,22.735,22.735,15546.0
22.77,22.77,22.75,22.7533,22900.0
22.755,22.77,22.75,22.77,7441.0
22.75,22.77,22.75,22.76,13262.0
22.76,22.76,22.75,22.755,14521.0
22.765,22.77,22.75,22.76,37908.0
22.765,22.77,22.76,22.765,14908.0
22.77,22.77,22.76,22.765,19967.0
22.77,22.77,22.765,22.77,3300.0
22.765,22.77,22.7632,22.77,5972.0
22.715,22.77,22.71,22.765,92760.0
22.71,22.725,22.69,22.71,44200.0
22.71,22.71,22.7,22.705,8567.0
22.68,22.705,22.68,22.7024,51455.0
22.7,22.71,22.68,22.69,11670.0
22.72,22.72,22.7,22.705,19970.0
22.75,22.75,22.725,22.73,20428.0
22.735,22.75,22.72,22.75,19389.0
22.755,22.76,22.73,22.735,28170.0
22.755,22.76,22.75,22.755,4300.0
22.73,22.76,22.725,22.755,26800.0
22.715,22.735,22.7,22.73,44524.0
22.7232,22.73,22.715,22.72,13636.0
22.714,22.73,22.71,22.725,17148.0
22.725,22.725,22.71,22.715,11791.0
22.73,22.74,22.725,22.725,10508.0
22.74,22.74,22.72,22.73,40187.0
22.755,22.755,22.73,22.74,23025.0
22.7325,22.755,22.73,22.75,42998.0
22.71,22.73,22.71,22.73,19428.0
22.74,22.75,22.72,22.72,59742.0
22.73,22.75,22.73,22.75,44878.0
22.7163,22.73,22.71,22.73,16767.0
22.735,22.74,22.71,22.72,28648.0
22.77,22.77,22.735,22.735,12511.0
22.785,22.79,22.76,22.765,38159.0
22.795,22.8,22.78,22.785,8685.0
22.82,22.82,22.79,22.8,45571.0
22.835,22.835,22.813,22.82,16980.0
22.84,22.84,22.825,22.83,26633.0
22.84,22.84,22.83,22.835,11000.0
22.83,22.85,22.82,22.84,22469.0
22.83,22.83,22.82,22.825,9149.0
22.845,22.85,22.83,22.83,18484.0
22.85,22.85,22.84,22.845,17053.0
22.835,22.85,22.83,22.85,29108.0
22.83,22.85,22.83,22.84,18161.0
22.815,22.835,22.81,22.83,15628.0
22.83,22.835,22.81,22.81,28317.0
22.82,22.84,22.82,22.83,9300.0
22.82,22.83,22.82,22.82,4400.0
22.82,22.83,22.81,22.83,19375.0
22.835,22.837,22.82,22.825,10175.0
22.845,22.85,22.83,22.835,22140.0
22.79,22.85,22.79,22.84,131396.0
22.8,22.81,22.79,22.795,48621.0
22.81,22.81,22.79,22.8,30612.0
22.805,22.81,22.8,22.81,9473.0
22.8,22.81,22.8,22.805,16187.0
22.81,22.81,22.79,22.805,26587.0
22.8,22.81,22.8,22.81,8300.0
22.8,22.81,22.79,22.8,20975.0
22.815,22.82,22.8,22.8001,11947.0
22.84,22.84,22.82,22.82,15925.0
22.81,22.84,22.81,22.835,31009.0
