Open,High,Low,Close,Volume
34.38,34.415,34.34,34.4,600.0
34.33,34.3435,34.325,34.3435,1541.0
34.38,34.38,34.32,34.32,1446.0
34.42,34.46,34.42,34.42,800.0
34.43,34.43,34.43,34.43,200.0
34.4294,34.43,34.4294,34.43,1150.0
34.44,34.44,34.4,34.4398,2100.0
34.424,34.43,34.4199,34.43,413.0
34.4163,34.4163,34.4163,34.4163,430.0
34.4,34.425,34.4,34.425,600.0
34.41,34.41,34.3964,34.41,3500.0
34.3935,34.42,34.39,34.42,600.0
34.41,34.41,34.41,34.41,1000.0
34.43,34.43,34.42,34.42,800.0
34.4349,34.4349,34.42,34.42,300.0
34.41,34.43,34.41,34.43,1600.0
34.39,34.41,34.375,34.4,3273.0
34.36,34.38,34.36,34.38,3036.0
34.38,34.38,34.37,34.37,500.0
34.38,34.38,34.36,34.36,500.0
34.34,34.36,34.34,34.36,1454.0
34.32,34.35,34.32,34.34,88900.0
34.3358,34.34,34.3201,34.3201,790.0
34.34,34.36,34.34,34.345,9900.0
34.37,34.37,34.36,34.36,501.0
34.37,34.38,34.37,34.38,1200.0
34.385,34.385,34.38,34.38,525.0
34.4,34.4,34.39,34.39,400.0
34.4,34.4,34.4,34.4,200.0
34.39,34.39,34.39,34.39,200.0
34.33,34.39,34.3,34.39,18315.0
34.33,34.34,34.32,34.34,1664.0
34.34,34.34,34.33,34.33,3716.0
34.35,34.35,34.34,34.34,1383.0
34.37,34.37,34.36,34.36,830.0
34.3952,34.3952,34.39,34.39,400.0
34.385,34.39,34.38,34.39,901.0
34.38,34.39,34.38,34.39,200.0
34.39,34.39,34.385,34.385,770.0
34.37,34.39,34.37,34.39,4064.0
34.37,34.38,34.37,34.38,1100.0
34.37,34.37,34.37,34.37,207.0
34.37,34.37,34.37,34.37,100.0
34.365,34.37,34.36,34.37,1400.0
34.36,34.36,34.345,34.36,2099.0
34.34,34.355,34.33,34.35,11010.0
34.34,34.36,34.33,34.3478,2792.0
34.35,34.3675,34.35,34.35,2100.0
34.36,34.37,34.36,34.36,1500.0
34.37,34.37,34.36,34.36,200.0
34.39,34.39,34.38,34.38,700.0
34.39,34.39,34.385,34.385,2509.0
34.385,34.39,34.385,34.39,800.0
34.38,34.39,34.38,34.39,1100.0
34.37,34.37,34.37,34.37,100.0
34.38,34.38,34.36,34.37,1936.0
34.37,34.37,34.37,34.37,235.0
34.36,34.36,34.36,34.36,200.0
34.36,34.37,34.36,34.365,1040.0
34.37,34.37,34.355,34.36,3514.0
34.3545,34.37,34.3545,34.37,1700.0
34.34,34.35,34.34,34.35,1387.0
34.35,34.36,34.34,34.34,2942.0
34.33,34.35,34.33,34.34,1895.0
34.365,34.365,34.335,34.34,9700.0
34.38,34.38,34.36,34.37,4695.0
34.3691,34.37,34.3691,34.37,766.0
34.38,34.38,34.365,34.365,1896.0
34.38,34.38,34.38,34.38,300.0
34.38,34.38,34.38,34.38,100.0
34.385,34.3865,34.38,34.3865,2191.0
34.37,34.38,34.37,34.38,1110.0
34.375,34.375,34.37,34.37,550.0
34.3765,34.3765,34.37,34.3762,681.0
34.355,34.38,34.355,34.38,9523.0
34.35,34.36,34.35,34.36,3096.0
34.35,34.35,34.35,34.35,100.0
34.365,34.37,34.36,34.36,6302.0
34.36,34.3662,34.36,34.3662,323.0
34.36,34.36,34.36,34.36,615.0
34.36,34.37,34.36,34.36,2500.0
34.38,34.38,34.375,34.375,623.0
34.38,34.38,34.38,34.38,866.0
34.39,34.39,34.385,34.385,2300.0
34.38,34.3861,34.38,34.3861,505.0
34.38,34.3835,34.37,34.3835,5336.0
34.38,34.38,34.38,34.38,100.0
34.38,34.38,34.3775,34.38,2100.0
34.375,34.3851,34.375,34.38,1442.0
34.4,34.4,34.38,34.38,2101.0
34.39,34.3955,34.39,34.3955,243.0
34.395,34.395,34.395,34.395,100.0
34.38,34.39,34.38,34.39,1795.0
34.39,34.39,34.375,34.38,1731.0
34.39,34.39,34.38,34.38,300.0
34.38,34.4,34.38,34.39,3033.0
34.4,34.4,34.38,34.3836,3600.0
34.4,34.4,34.395,34.4,700.0
34.4,34.4,34.3975,34.4,400.0
34.4,34.4,34.395,34.395,300.0
34.39,34.39,34.385,34.39,4964.0
34.385,34.4,34.38,34.4,2675.0
34.4,34.4,34.385,34.39,2600.0
34.395,34.4,34.391,34.391,900.0
34.395,34.395,34.395,34.395,600.0
34.39,34.39,34.39,34.39,100.0
34.39,34.39,34.39,34.39,100.0
34.41,34.41,34.4,34.4,2023.0
34.42,34.42,34.41,34.42,2226.0
34.44,34.44,34.43,34.43,2529.0
34.445,34.445,34.435,34.435,1893.0
34.435,34.44,34.435,34.435,400.0
34.44,34.44,34.44,34.44,200.0
34.41,34.44,34.41,34.44,2952.0
34.42,34.42,34.405,34.41,1917.0
34.43,34.43,34.42,34.42,1700.0
34.4163,34.42,34.41,34.42,590.0
34.416,34.416,34.416,34.416,325.0
34.4144,34.4144,34.4144,34.4144,200.0
34.43,34.43,34.415,34.42,1770.0
34.44,34.44,34.425,34.43,650.0
34.41,34.435,34.405,34.43,5391.0
34.405,34.405,34.405,34.405,100.0
34.42,34.42,34.41,34.41,1600.0
34.425,34.43,34.42,34.42,700.0
34.43,34.43,34.43,34.43,300.0
34.43,34.43,34.43,34.43,200.0
34.431,34.44,34.431,34.435,487.0
34.435,34.4393,34.435,34.4393,429.0
34.435,34.435,34.435,34.435,400.0
34.435,34.435,34.425,34.4341,4098.0
34.445,34.445,34.435,34.44,600.0
34.445,34.455,34.445,34.445,2193.0
34.44,34.4456,34.44,34.445,2981.0
34.4459,34.4459,34.44,34.44,2318.0
34.45,34.45,34.44,34.445,1540.0
34.425,34.44,34.42,34.44,968.0
34.42,34.425,34.41,34.42,4828.0
34.415,34.42,34.415,34.42,300.0
34.425,34.43,34.415,34.42,2202.0
34.43,34.43,34.425,34.43,979.0
34.395,34.42,34.39,34.42,3120.0
34.38,34.41,34.37,34.4,11357.0
34.4,34.4,34.385,34.385,1864.0
34.4,34.41,34.4,34.41,2600.0
34.405,34.41,34.405,34.41,400.0
34.41,34.41,34.41,34.41,800.0
34.41,34.4194,34.41,34.4194,400.0
34.41,34.42,34.41,34.42,1227.0
34.41,34.41,34.41,34.41,301.0
34.404,34.405,34.404,34.405,600.0
34.4,34.4,34.4,34.4,900.0
34.4,34.4,34.4,34.4,100.0
34.41,34.41,34.4,34.4084,2200.0
34.4,34.415,34.4,34.41,5500.0
34.3884,34.4,34.38,34.4,4000.0
34.36,34.37,34.36,34.37,3500.0
34.3548,34.355,34.35,34.3548,2500.0
34.35,34.36,34.345,34.3599,8788.0
34.355,34.3599,34.35,34.353,4100.0
34.365,34.365,34.3448,34.3584,7000.0
34.3784,34.3784,34.37,34.37,4500.0
34.3945,34.3999,34.3782,34.3782,4791.0
34.395,34.4,34.39,34.3948,3782.0
34.405,34.405,34.3948,34.395,2330.0
34.41,34.41,34.405,34.41,900.0
34.4159,34.42,34.41,34.41,541.0
34.418,34.42,34.418,34.42,250.0
34.41,34.42,34.41,34.42,2731.0
34.4,34.4,34.4,34.4,300.0
34.4,34.4,34.4,34.4,400.0
34.395,34.4,34.395,34.4,800.0
34.4,34.4,34.395,34.4,300.0
34.3965,34.4,34.3965,34.4,2299.0
34.4,34.4,34.4,34.4,100.0
34.4,34.4,34.39,34.39,500.0
34.4,34.4,34.395,34.4,900.0
34.41,34.41,34.4,34.4,4140.0
34.41,34.41,34.4,34.41,1733.0
34.4,34.41,34.4,34.41,1200.0
34.41,34.41,34.405,34.41,900.0
34.42,34.42,34.405,34.41,774.0
34.42,34.42,34.42,34.42,500.0
34.42,34.42,34.42,34.42,500.0
34.42,34.42,34.42,34.42,400.0
34.43,34.43,34.415,34.415,1300.0
34.41,34.43,34.41,34.43,3465.0
34.4,34.405,34.4,34.4,300.0
34.41,34.41,34.4057,34.4057,440.0
34.39,34.41,34.39,34.41,3281.0
34.385,34.3953,34.38,34.39,3060.0
34.38,34.39,34.38,34.385,600.0
34.375,34.3759,34.375,34.3759,1200.0
34.365,34.38,34.365,34.375,6517.0
34.37,34.37,34.36,34.37,1400.0
34.365,34.37,34.365,34.37,2535.0
34.365,34.37,34.36,34.37,1679.0
34.35,34.36,34.35,34.36,4325.0
34.36,34.36,34.355,34.36,500.0
34.36,34.36,34.355,34.36,3201.0
34.37,34.37,34.36,34.36,2902.0
34.365,34.37,34.365,34.365,3650.0
34.38,34.38,34.37,34.37,2115.0
34.385,34.385,34.38,34.38,800.0
34.39,34.39,34.39,34.39,300.0
34.39,34.39,34.39,34.39,100.0
34.385,34.39,34.385,34.385,600.0
34.38,34.38,34.38,34.38,741.0
34.38,34.38,34.37,34.37,2100.0
34.4,34.4,34.3984,34.3984,800.0
34.39,34.4,34.39,34.4,3600.0
34.39,34.39,34.39,34.39,200.0
34.39,34.39,34.39,34.39,100.0
34.39,34.39,34.39,34.39,100.0
34.39,34.39,34.39,34.39,100.0
34.38,34.39,34.38,34.39,1300.0
34.37,34.37,34.37,34.37,200.0
34.375,34.375,34.375,34.375,403.0
34.375,34.38,34.375,34.38,400.0
34.38,34.38,34.37,34.37,200.0
34.395,34.405,34.375,34.3788,7499.0
34.405,34.405,34.38,34.39,8016.0
34.38,34.4063,34.38,34.4063,6379.0
34.375,34.38,34.37,34.38,1588.0
34.37,34.37,34.37,34.37,300.0
34.39,34.39,34.38,34.38,1200.0
34.39,34.39,34.38,34.39,818.0
34.38,34.38,34.38,34.38,300.0
34.39,34.39,34.385,34.39,2720.0
34.375,34.3844,34.373,34.3844,1929.0
34.3899,34.39,34.38,34.38,2000.0
34.39,34.39,34.39,34.39,700.0
34.395,34.4,34.395,34.398,1100.0
34.4,34.4,34.4,34.4,256.0
34.4,34.4,34.395,34.4,400.0
34.4,34.4,34.4,34.4,848.0
34.4,34.41,34.4,34.4094,5183.0
34.41,34.41,34.4,34.4,200.0
34.4,34.41,34.4,34.41,300.0
34.41,34.41,34.41,34.41,200.0
34.395,34.4,34.395,34.4,900.0
34.395,34.4,34.39,34.4,2300.0
34.39,34.395,34.39,34.39,993.0
34.34,34.39,34.34,34.39,29333.0
34.345,34.35,34.34,34.345,1100.0
34.33,34.35,34.33,34.35,5267.0
34.34,34.35,34.33,34.335,14989.0
34.345,34.355,34.345,34.35,7806.0
34.335,34.345,34.335,34.34,3388.0
34.33,34.33,34.33,34.33,700.0
34.33,34.335,34.33,34.33,1330.0
34.35,34.35,34.33,34.34,5010.0
34.36,34.36,34.36,34.36,300.0
34.34,34.36,34.34,34.36,2034.0
34.34,34.34,34.34,34.34,400.0
34.33,34.34,34.33,34.34,3413.0
34.335,34.335,34.33,34.33,400.0
34.33,34.335,34.33,34.33,1165.0
34.33,34.3344,34.33,34.3344,528.0
34.3363,34.3363,34.33,34.331,714.0
34.33,34.34,34.33,34.34,300.0
34.29,34.335,34.27,34.33,53086.0
34.305,34.305,34.295,34.295,3691.0
34.28,34.3,34.28,34.3,7342.0
34.295,34.3,34.285,34.285,1800.0
34.28,34.3,34.28,34.295,3000.0
34.29,34.29,34.28,34.28,1028.0
34.295,34.3,34.295,34.295,400.0
34.2975,34.2975,34.295,34.295,200.0
34.29,34.3,34.29,34.295,700.0
34.3,34.3,34.295,34.295,500.0
34.3,34.3,34.29,34.295,600.0
34.29,34.2963,34.29,34.295,953.0
