Open,High,Low,Close,Volume
171.51,171.51,171.51,171.51,4300.0
171.85,171.85,171.37,171.37,400.0
170.97,171.24,170.97,171.24,600.0
171.02,171.02,171.02,171.02,100.0
171.12,171.165,171.02,171.03,820.0
170.84,171.12,170.84,171.12,1795.0
170.67,170.67,170.67,170.67,100.0
170.98,171.03,170.835,170.835,1327.0
171.15,171.18,171.15,171.18,200.0
171.07,171.45,171.07,171.19,800.0
171.06,171.06,171.06,171.06,100.0
171.07,171.22,171.07,171.205,600.0
171.13,171.27,171.13,171.21,2636.0
171.105,171.105,171.04,171.05,1600.0
171.18,171.18,171.18,171.18,100.0
171.13,171.13,171.13,171.13,100.0
171.07,171.09,171.07,171.09,200.0
170.96,171.045,170.96,171.045,400.0
171.24,171.24,170.99,170.99,1000.0
171.265,171.265,171.245,171.245,200.0
171.14,171.14,171.14,171.14,100.0
171.275,171.275,171.275,171.275,100.0
171.11,171.32,171.11,171.32,1200.0
171.11,171.24,171.09,171.23,3093.0
171.24,171.24,171.175,171.2,500.0
171.16,171.24,171.1,171.2,2655.0
171.17,171.17,171.17,171.17,100.0
171.44,171.44,171.44,171.44,100.0
171.38,171.38,171.31,171.32,1400.0
171.275,171.275,171.275,171.275,100.0
171.4,171.4,171.4,171.4,100.0
171.295,171.42,171.295,171.42,206.0
171.43,171.43,171.43,171.43,200.0
171.38,171.38,171.38,171.38,200.0
171.29,171.33,171.29,171.33,300.0
171.345,171.345,171.345,171.345,100.0
171.325,171.325,171.27,171.27,400.0
171.245,171.245,171.245,171.245,100.0
171.06,171.26,171.06,171.24,700.0
171.06,171.06,171.06,171.06,100.0
171.17,171.17,171.085,171.12,1100.0
171.43,171.43,171.4,171.4,200.0
171.41,171.41,171.33,171.34,1113.0
171.28,171.28,171.28,171.28,100.0
171.31,171.31,171.3,171.3,300.0
171.3,171.3,171.3,171.3,283.0
171.28,171.28,171.28,171.28,100.0
171.35,171.35,171.35,171.35,100.0
171.37,171.37,171.37,171.37,200.0
171.39,171.47,171.39,171.47,200.0
171.35,171.4,171.35,171.4,1000.0
171.375,171.375,171.35,171.35,383.0
171.37,171.44,171.37,171.44,500.0
171.53,171.53,171.39,171.39,500.0
171.53,171.54,171.53,171.54,200.0
171.36,171.47,171.36,171.47,1000.0
171.475,171.48,171.475,171.48,300.0
171.369,171.369,171.34,171.34,243.0
171.23,171.41,171.23,171.35,1041.0
171.305,171.305,171.305,171.305,100.0
171.33,171.33,171.33,171.33,100.0
171.41,171.41,171.315,171.36,1000.0
171.35,171.35,171.35,171.35,100.0
171.34,171.41,171.34,171.35,500.0
171.29,171.29,171.29,171.29,100.0
171.26,171.2601,171.26,171.2601,300.0
171.05,171.32,171.05,171.19,1200.0
171.14,171.14,171.14,171.14,100.0
171.06,171.07,171.06,171.07,500.0
171.125,171.25,171.12,171.16,1400.0
171.21,171.21,171.195,171.195,200.0
171.06,171.23,171.06,171.23,400.0
171.24,171.24,171.165,171.165,500.0
171.325,171.325,171.325,171.325,100.0
171.38,171.38,171.38,171.38,100.0
171.26,171.27,171.26,171.27,400.0
171.2,171.26,171.2,171.26,1100.0
171.23,171.23,171.17,171.17,200.0
171.11,171.12,171.08,171.08,700.0
171.09,171.09,171.09,171.09,100.0
171.1,171.1,171.06,171.06,200.0
171.14,171.14,171.13,171.13,500.0
171.16,171.16,171.16,171.16,200.0
171.06,171.14,171.06,171.14,300.0
171.0,171.14,171.0,171.07,1500.0
171.03,171.03,170.97,170.97,500.0
171.025,171.025,171.025,171.025,100.0
171.07,171.07,171.07,171.07,100.0
171.095,171.095,171.08,171.08,200.0
171.13,171.13,171.13,171.13,300.0
171.1,171.1,171.1,171.1,100.0
171.055,171.055,171.055,171.055,100.0
170.9,170.99,170.9,170.99,200.0
171.06,171.06,171.0,171.0,500.0
171.01,171.11,171.0,171.11,600.0
171.0,171.0,171.0,171.0,200.0
171.0225,171.04,171.0,171.0,900.0
171.08,171.09,171.08,171.09,200.0
171.1,171.1,171.09,171.09,400.0
171.11,171.11,171.1,171.11,500.0
171.1388,171.1388,171.1388,171.1388,130.0
171.095,171.095,171.095,171.095,100.0
171.15,171.15,171.15,171.15,400.0
171.09,171.09,171.09,171.09,100.0
171.22,171.22,171.22,171.22,200.0
171.235,171.3,171.18,171.3,800.0
171.07,171.08,171.07,171.08,500.0
171.11,171.11,171.11,171.11,100.0
171.21,171.21,171.1656,171.1656,755.0
171.33,171.33,171.25,171.25,600.0
171.32,171.32,171.32,171.32,262.0
171.25,171.32,171.25,171.32,200.0
171.18,171.18,171.18,171.18,100.0
171.255,171.255,171.255,171.255,100.0
171.19,171.23,171.19,171.23,200.0
171.16,171.21,171.16,171.16,700.0
171.195,171.195,171.195,171.195,100.0
171.2,171.25,171.2,171.24,1000.0
171.265,171.265,171.265,171.265,100.0
171.17,171.17,171.17,171.17,200.0
171.16,171.16,171.16,171.16,100.0
171.0644,171.08,171.03,171.08,525.0
171.02,171.11,171.02,171.11,300.0
170.9958,170.9958,170.9958,170.9958,149.0
170.955,171.07,170.955,171.07,300.0
171.1,171.1,171.01,171.01,1300.0
171.1,171.1,171.1,171.1,100.0
171.07,171.07,171.07,171.07,110.0
171.12,171.12,171.12,171.12,100.0
171.12,171.12,171.12,171.12,200.0
171.16,171.17,171.13,171.13,700.0
171.09,171.09,171.06,171.09,700.0
171.07,171.12,171.07,171.12,300.0
171.13,171.13,171.13,171.13,100.0
171.13,171.13,171.095,171.095,300.0
171.15,171.15,171.11,171.15,400.0
171.04,171.08,171.04,171.08,300.0
171.02,171.02,171.02,171.02,100.0
170.99,171.04,170.99,171.04,300.0
171.09,171.09,171.04,171.04,1100.0
171.14,171.14,171.09,171.09,400.0
171.21,171.24,171.19,171.19,300.0
171.12,171.21,171.12,171.21,700.0
171.1,171.11,171.1,171.11,300.0
171.0928,171.0928,171.0928,171.0928,175.0
171.04,171.06,171.04,171.04,500.0
171.21,171.28,171.13,171.13,1600.0
171.54,171.64,171.25,171.33,3966.0
171.42,171.53,171.42,171.53,1000.0
171.53,171.53,171.53,171.53,100.0
171.57,171.71,171.42,171.42,3012.0
171.49,171.61,171.37,171.61,3000.0
171.55,171.55,171.5,171.5,400.0
171.72,171.73,171.61,171.7,600.0
171.5,171.6784,171.5,171.66,2000.0
171.575,171.575,171.51,171.51,200.0
171.52,171.52,171.52,171.52,100.0
171.55,171.69,171.52,171.52,800.0
171.72,171.73,171.6,171.72,500.0
171.59,171.59,171.59,171.59,100.0
171.61,171.77,171.59,171.59,1100.0
171.51,171.51,171.51,171.51,100.0
171.78,171.78,171.55,171.68,800.0
171.72,171.86,171.69,171.8,700.0
171.84,171.84,171.72,171.72,300.0
171.74,171.77,171.67,171.71,1000.0
171.66,171.8,171.66,171.75,1000.0
171.85,171.85,171.66,171.66,400.0
171.78,171.9,171.77,171.9,2000.0
171.87,171.98,171.78,171.93,1200.0
171.91,171.9545,171.87,171.9545,2241.0
172.1275,172.18,171.95,171.99,1702.0
172.34,172.36,172.11,172.18,1300.0
172.22,172.335,172.22,172.27,600.0
172.23,172.25,172.13,172.25,800.0
171.97,172.23,171.97,172.23,800.0
172.02,172.02,171.97,171.97,300.0
171.89,171.91,171.89,171.91,300.0
171.88,171.95,171.88,171.95,900.0
172.16,172.16,171.94,171.94,1000.0
172.08,172.08,172.08,172.08,100.0
172.38,172.38,172.22,172.22,900.0
172.36,172.38,172.36,172.37,500.0
172.37,172.37,172.37,172.37,100.0
172.43,172.45,172.41,172.41,600.0
172.4,172.54,172.35,172.44,1900.0
172.41,172.42,172.27,172.27,700.0
172.42,172.53,172.39,172.39,400.0
172.44,172.57,172.43,172.57,1500.0
172.35,172.41,172.35,172.41,201.0
172.42,172.42,172.4,172.4,300.0
172.37,172.45,172.37,172.4,500.0
172.52,172.52,172.38,172.51,400.0
172.46,172.46,172.39,172.39,200.0
172.325,172.46,172.29,172.37,1306.0
172.27,172.27,172.2,172.2,500.0
172.28,172.28,172.28,172.28,130.0
172.39,172.39,172.23,172.23,200.0
172.3,172.43,172.28,172.29,1500.0
172.38,172.47,172.33,172.3998,1014.0
172.33,172.34,172.32,172.34,700.0
172.35,172.35,172.26,172.26,700.0
172.32,172.35,172.27,172.27,600.0
172.48,172.48,172.32,172.32,2100.0
172.57,172.57,172.5,172.5,1100.0
172.49,172.56,172.48,172.56,1700.0
172.48,172.6,172.455,172.47,1100.0
172.49,172.49,172.49,172.49,100.0
172.62,172.62,172.51,172.51,700.0
172.68,172.7,172.55,172.57,900.0
172.73,172.8,172.66,172.66,517.0
172.72,172.9,172.72,172.88,1800.0
172.69,172.83,172.69,172.83,800.0
172.84,172.84,172.69,172.69,1600.0
172.84,172.88,172.83,172.87,1200.0
172.85,172.85,172.85,172.85,100.0
172.94,172.94,172.86,172.91,600.0
172.97,172.97,172.96,172.97,500.0
172.99,172.99,172.99,172.99,200.0
172.91,172.99,172.9,172.91,1100.0
