Open,High,Low,Close,Volume
176.79,176.79,176.29,176.29,804.0
176.56,176.59,176.17,176.23,1731965.0
176.4,176.69,176.3,176.62,21952.0
176.56,176.6,176.4,176.45,14475.0
176.6,176.73,176.5395,176.565,13847.0
176.75,176.76,176.55,176.55,13639.0
176.55,176.79,176.52,176.685,13976.0
176.35,176.55,176.26,176.54,22446.0
176.34,176.4,176.32,176.37,6766.0
176.39,176.48,176.36,176.3712,5329.0
176.27,176.38,176.26,176.35,8030.0
176.13,176.315,176.05,176.28,25895.0
175.98,176.14,175.91,176.14,36927.0
175.98,176.1,175.96,175.96,22967.0
175.9999,176.04,175.975,175.98,10977.0
176.05,176.07,175.87,175.97,9175.0
176.2,176.24,176.085,176.1,15809.0
176.19,176.2,176.165,176.2,5551.0
176.02,176.1999,176.02,176.1999,9078.0
176.03,176.08,175.95,176.08,3959.0
176.18,176.18,176.05,176.06,3000.0
176.3,176.3,176.14,176.14,15149.0
176.26,176.33,176.26,176.27,11362.0
176.18,176.25,176.17,176.24,1749.0
175.965,176.195,175.92,176.195,19212.0
176.04,176.08,175.93,175.94,9507.0
176.03,176.08,175.94,176.07,10888.0
175.91,176.0205,175.91,176.0205,5790.0
176.0355,176.05,175.925,175.925,9607.0
176.02,176.035,175.94,175.99,8352.0
175.93,176.0,175.93,176.0,3727.0
175.86,175.9499,175.83,175.91,9840.0
175.95,175.99,175.86,175.86,10358.0
176.02,176.03,175.92,175.98,6874.0
176.0,176.089,176.0,176.089,1923.0
176.06,176.13,176.0,176.02,5443.0
176.01,176.09,176.0,176.04,4150.0
176.11,176.11,176.01,176.01,4977.0
176.13,176.16,176.1,176.1,4181.0
176.12,176.1413,176.1093,176.1413,6392.0
176.17,176.17,176.12,176.12,4024.0
176.15,176.19,176.14,176.19,3607.0
176.09,176.15,176.09,176.15,10146.0
176.09,176.09,176.05,176.09,7996.0
176.19,176.19,176.11,176.11,5848.0
176.11,176.2,176.0854,176.2,7197.0
176.09,176.13,176.09,176.12,2908.0
176.11,176.12,176.07,176.08,3584.0
176.068,176.115,176.05,176.11,5714.0
176.06,176.06,176.04,176.05,4981.0
176.02,176.09,176.02,176.07,7625.0
176.0193,176.03,175.99,176.03,10630.0
176.11,176.11,176.02,176.03,2286.0
176.1,176.109,176.08,176.1,3682.0
176.07,176.09,176.05,176.09,5291.0
176.05,176.08,176.04,176.06,3932.0
176.155,176.155,176.06,176.06,6621.0
176.13,176.1492,176.13,176.14,2256.0
176.1,176.14,176.1,176.12,2722.0
176.17,176.18,176.08,176.09,6117.0
176.25,176.27,176.13,176.14,16104.0
176.17,176.28,176.17,176.25,5486.0
176.2299,176.2299,176.16,176.17,10488.0
176.21,176.23,176.21,176.215,4898.0
176.305,176.33,176.2,176.21,8211.0
176.29,176.31,176.28,176.28,8894.0
176.31,176.31,176.27,176.3,3405.0
176.19,176.3,176.19,176.28,7826.0
176.13,176.19,176.13,176.17,7852.0
176.03,176.15,176.03,176.11,7968.0
176.08,176.1,176.03,176.08,6712.0
176.08,176.14,176.08,176.09,4100.0
176.05,176.12,176.015,176.0701,7131.0
176.06,176.06,176.02,176.05,2613.0
176.07,176.07,176.03,176.0554,2738.0
176.07,176.08,176.03,176.07,4544.0
176.07,176.08,176.03,176.05,6424.0
176.09,176.09,176.06,176.08,2037.0
176.03,176.09,176.03,176.09,1725.0
175.99,176.025,175.99,176.0236,4240.0
176.0,176.01,175.98,175.98,3239.0
176.0297,176.11,175.99,176.01,7793.0
176.035,176.04,175.97,176.0259,4968.0
176.01,176.0635,176.01,176.04,5985.0
176.0217,176.03,176.01,176.02,1653.0
176.05,176.0512,176.01,176.01,1505.0
176.06,176.08,176.04,176.055,10554.0
176.06,176.07,176.03,176.06,8606.0
176.05,176.09,176.05,176.075,2810.0
176.09,176.12,176.05,176.05,3578.0
176.2,176.2,176.11,176.127,9871.0
176.1676,176.22,176.1676,176.21,5237.0
176.2201,176.2201,176.1593,176.1593,3370.0
176.12,176.22,176.12,176.22,3960.0
176.17,176.17,176.12,176.14,4694.0
176.17,176.17,176.1304,176.17,4015.0
176.05,176.17,176.05,176.17,17643.0
176.06,176.09,176.05,176.06,3192.0
176.08,176.09,176.06,176.06,4900.0
176.1,176.11,176.0801,176.09,2682.0
176.07,176.11,176.07,176.11,4363.0
176.14,176.16,176.08,176.09,4905.0
176.14,176.15,176.14,176.145,1305.0
176.1,176.16,176.1,176.15,4750.0
176.07,176.12,176.07,176.12,2846.0
176.07,176.08,176.05,176.07,8984.0
176.1,176.11,176.08,176.09,3970.0
176.1485,176.15,176.11,176.11,2600.0
