Open,High,Low,Close,Volume
61.16,61.36,61.16,61.2,400.0
61.11,61.36,61.11,61.36,1962.0
61.135,61.14,61.0099,61.1,6400.0
61.17,61.19,61.13,61.165,2445.0
61.17,61.2,61.14,61.14,1855.0
61.14,61.18,61.13,61.17,3495.0
61.0761,61.17,61.0761,61.135,3612.0
61.04,61.12,60.97,61.11,9085.0
61.15,61.16,61.03,61.03,5261.0
61.12,61.125,61.1,61.1,1237.0
61.16,61.16,61.1,61.11,1800.0
61.12,61.18,61.09,61.1499,6008.0
61.16,61.19,61.12,61.13,7550.0
61.13,61.16,61.11,61.11,7324.0
61.11,61.16,61.08,61.13,9633.0
61.1,61.19,61.09,61.105,14776.0
61.12,61.16,61.09,61.09,3104.0
61.145,61.16,61.1,61.1,1400.0
61.17,61.17,61.13,61.15,4600.0
61.18,61.2,61.16,61.18,2400.0
61.17,61.2,61.17,61.17,4610.0
61.16,61.17,61.13,61.16,9277.0
61.125,61.16,61.11,61.15,3933.0
61.14,61.14,61.11,61.11,1600.0
61.16,61.17,61.14,61.15,4500.0
61.16,61.17,61.15,61.15,4148.0
61.14,61.17,61.135,61.15,3855.0
61.15,61.15,61.13,61.14,2150.0
61.145,61.15,61.135,61.15,2600.0
61.13,61.17,61.12,61.145,14821.0
61.15,61.165,61.14,61.14,4400.0
61.14,61.15,61.13,61.14,4600.0
61.095,61.13,61.095,61.13,4188.0
61.11,61.16,61.095,61.095,12845.0
61.1,61.12,61.1,61.11,2300.0
61.13,61.15,61.1,61.1,15420.0
61.13,61.13,61.11,61.13,1769.0
61.125,61.13,61.1,61.11,4360.0
61.1,61.12,61.1,61.12,2262.0
61.15,61.1501,61.1,61.1,6610.0
61.13,61.15,61.12,61.14,5392.0
61.1,61.13,61.09,61.13,4100.0
61.15,61.15,61.09,61.11,33338.0
61.22,61.23,61.15,61.15,7710.0
61.21,61.23,61.2,61.22,5132.0
61.21,61.21,61.19,61.2,2800.0
61.2,61.2198,61.2,61.2198,2924.0
61.25,61.25,61.21,61.21,2425.0
61.28,61.29,61.2499,61.2499,20433.0
61.26,61.29,61.26,61.28,4322.0
61.29,61.29,61.26,61.27,27800.0
61.255,61.27,61.25,61.27,4200.0
61.25,61.28,61.25,61.26,3800.0
61.25,61.25,61.24,61.24,2406.0
61.27,61.288,61.25,61.25,4218.0
61.255,61.27,61.25,61.27,1322.0
61.28,61.28,61.26,61.26,1600.0
61.31,61.31,61.27,61.27,3745.0
61.31,61.33,61.31,61.315,2400.0
61.28,61.305,61.26,61.3,4100.0
61.26,61.28,61.255,61.28,7900.0
61.29,61.29,61.27,61.27,1200.0
61.2999,61.2999,61.28,61.28,669.0
61.285,61.31,61.28,61.3,3201.0
61.27,61.285,61.27,61.285,1600.0
61.25,61.3,61.25,61.29,1800.0
61.28,61.28,61.22,61.24,4100.0
61.21,61.27,61.21,61.27,1700.0
61.21,61.24,61.21,61.215,3500.0
61.225,61.23,61.21,61.21,1500.0
61.22,61.22,61.21,61.22,1118.0
61.2,61.22,61.18,61.22,18956.0
61.2,61.21,61.19,61.2,1700.0
61.2,61.21,61.19,61.21,4390.0
61.225,61.23,61.19,61.19,3440.0
61.21,61.24,61.21,61.22,3700.0
61.2,61.23,61.2,61.2058,1710.0
61.23,61.23,61.2,61.2099,1100.0
61.2123,61.22,61.2,61.22,1927.0
