Open,High,Low,Close,Volume
153.94,153.94,153.94,153.94,6052.0
153.72,153.94,153.55,153.64,1890.0
153.89,153.9,153.62,153.78,800.0
153.66,153.93,153.54,153.8,3454.0
153.82,153.82,153.69,153.71,11200.0
153.85,153.945,153.67,153.945,3100.0
153.68,153.89,153.57,153.88,700.0
153.9,153.9,153.63,153.7897,1500.0
153.58,153.83,153.58,153.83,2000.0
153.65,153.65,153.59,153.6,10400.0
153.6204,153.79,153.6204,153.79,200.0
153.65,153.7,153.65,153.7,400.0
153.5,153.7,153.5,153.7,900.0
153.5008,153.5008,153.4,153.4,1100.0
153.4903,153.515,153.4903,153.515,200.0
153.04,153.3306,153.0,153.33,3534.0
152.83,152.9272,152.83,152.9272,400.0
153.04,153.04,152.8,152.8,700.0
153.12,153.12,153.0,153.0151,1882.0
153.21,153.21,153.21,153.21,100.0
153.2,153.2,153.2,153.2,100.0
152.9201,153.105,152.9201,153.105,3600.0
152.85,152.92,152.85,152.92,600.0
153.08,153.08,152.88,152.88,300.0
152.87,152.87,152.78,152.78,200.0
152.935,152.935,152.935,152.935,100.0
152.97,152.97,152.97,152.97,500.0
152.77,152.92,152.73,152.78,1200.0
152.56,153.05,152.56,152.99,2337.0
152.64,152.64,152.63,152.63,200.0
152.603,152.7,152.59,152.59,880.0
152.96,152.96,152.8,152.8,200.0
152.96,153.01,152.96,152.98,500.0
152.86,152.97,152.82,152.97,1500.0
152.89,152.89,152.8,152.82,500.0
152.93,152.93,152.89,152.89,1300.0
153.03,153.03,152.98,152.98,800.0
152.83,152.83,152.77,152.83,1247.0
152.62,152.72,152.53,152.72,500.0
152.46,152.46,152.46,152.46,200.0
152.625,152.75,152.3,152.31,8500.0
152.625,152.625,152.625,152.625,100.0
152.46,152.66,152.46,152.64,800.0
152.26,152.41,152.26,152.36,1100.0
152.44,152.44,152.3,152.3,1100.0
152.46,152.49,152.42,152.45,2700.0
152.47,152.47,152.46,152.46,200.0
152.365,152.365,152.36,152.36,200.0
152.41,152.41,152.41,152.41,100.0
152.29,152.34,152.29,152.34,700.0
152.425,152.43,152.22,152.22,1500.0
152.36,152.37,152.36,152.37,200.0
152.35,152.35,152.35,152.35,100.0
152.39,152.39,152.28,152.35,1300.0
152.41,152.41,152.41,152.41,174.0
152.37,152.41,152.31,152.33,1100.0
152.5414,152.5414,152.44,152.4485,300.0
152.57,152.6,152.545,152.554,900.0
152.64,152.64,152.615,152.64,300.0
152.59,152.685,152.59,152.685,1200.0
152.7,152.7,152.59,152.62,800.0
152.675,152.675,152.63,152.63,200.0
152.68,152.72,152.68,152.72,250.0
152.81,152.81,152.6786,152.6786,1030.0
152.65,152.73,152.65,152.73,1762.0
152.575,152.6,152.48,152.6,2503.0
152.555,152.555,152.48,152.51,800.0
152.63,152.63,152.53,152.53,700.0
152.6708,152.6708,152.6708,152.6708,100.0
152.8,152.8,152.6921,152.6921,936.0
152.7,152.795,152.7,152.795,300.0
152.71,152.79,152.71,152.79,1900.0
152.7402,152.7402,152.69,152.69,328.0
152.82,152.82,152.745,152.745,3700.0
152.865,152.93,152.86,152.86,1100.0
152.82,152.93,152.82,152.93,500.0
152.71,152.8,152.7,152.8,1500.0
152.77,152.77,152.77,152.77,100.0
152.79,152.79,152.75,152.77,1200.0
152.76,152.83,152.74,152.75,1300.0
152.72,152.72,152.72,152.72,100.0
152.68,152.68,152.68,152.68,100.0
152.7712,152.7712,152.72,152.72,1572.0
152.75,152.75,152.57,152.7125,4535.0
152.59,152.62,152.59,152.62,800.0
152.59,152.59,152.59,152.59,200.0
152.48,152.63,152.45,152.63,1100.0
152.48,152.48,152.48,152.48,100.0
152.54,152.54,152.54,152.54,100.0
152.55,152.57,152.55,152.55,4900.0
152.55,152.55,152.55,152.55,200.0
152.64,152.64,152.63,152.64,400.0
152.52,152.67,152.52,152.67,3447.0
152.47,152.51,152.47,152.51,1550.0
152.42,152.49,152.41,152.46,1100.0
152.43,152.43,152.43,152.43,3500.0
152.44,152.565,152.44,152.49,2700.0
152.46,152.46,152.43,152.44,400.0
152.45,152.5,152.391,152.435,3900.0
152.47,152.53,152.45,152.48,1700.0
152.56,152.57,152.56,152.57,200.0
152.47,152.56,152.47,152.47,1100.0
152.515,152.55,152.48,152.48,800.0
152.515,152.515,152.515,152.515,200.0
152.39,152.47,152.31,152.46,3200.0
152.4,152.4,152.4,152.4,200.0
152.395,152.41,152.395,152.41,300.0
152.295,152.4,152.28,152.4,1950.0
152.33,152.33,152.31,152.31,500.0
152.25,152.27,152.22,152.26,500.0
152.255,152.255,152.255,152.255,100.0
152.19,152.25,152.19,152.25,400.0
152.2,152.2,152.11,152.16,700.0
152.11,152.12,152.11,152.12,574.0
152.09,152.09,152.09,152.09,100.0
152.0101,152.09,152.0101,152.09,450.0
151.995,152.0592,151.97,152.0592,2417.0
152.01,152.09,152.01,152.045,500.0
152.01,152.01,152.01,152.01,500.0
152.07,152.07,152.01,152.01,400.0
152.01,152.01,152.01,152.01,100.0
152.065,152.065,152.065,152.065,100.0
152.06,152.06,152.06,152.06,200.0
152.02,152.105,152.02,152.03,1700.0
152.02,152.085,152.02,152.02,459.0
152.01,152.02,151.97,152.02,1200.0
152.025,152.025,152.025,152.025,100.0
152.0425,152.08,152.02,152.03,5500.0
151.9934,151.9934,151.9934,151.9934,131.0
152.0,152.0,151.96,151.96,200.0
151.99,152.0,151.99,152.0,765.0
151.9906,152.0,151.9906,152.0,572.0
151.9,152.005,151.9,152.005,1099.0
151.84,151.86,151.84,151.86,700.0
151.81,151.84,151.77,151.84,800.0
151.82,151.87,151.81,151.81,1000.0
151.82,151.825,151.78,151.78,400.0
151.81,151.81,151.77,151.77,300.0
151.87,151.87,151.81,151.81,800.0
151.8024,151.8024,151.8,151.8,202.0
151.89,151.89,151.8,151.8,400.0
151.86,151.93,151.845,151.89,3600.0
151.82,151.88,151.82,151.88,500.0
151.78,151.83,151.76,151.83,700.0
151.79,151.79,151.78,151.78,300.0
151.78,151.8154,151.78,151.8154,235.0
151.9,151.9,151.85,151.85,500.0
151.935,151.98,151.935,151.98,400.0
151.91,151.92,151.91,151.92,200.0
151.99,151.99,151.99,151.99,100.0
152.0,152.025,151.94,151.94,700.0
152.0,152.0,152.0,152.0,100.0
151.97,152.01,151.92,152.01,2585.0
152.05,152.06,152.015,152.015,2300.0
151.97,151.97,151.93,151.94,500.0
151.941,151.941,151.941,151.941,150.0
151.94,151.94,151.94,151.94,100.0
152.015,152.015,151.99,151.99,400.0
151.96,152.02,151.95,151.96,3117.0
151.87,151.955,151.87,151.955,12368.0
151.83,151.83,151.81,151.81,200.0
151.79,151.8642,151.79,151.8642,1800.0
151.78,151.78,151.78,151.78,200.0
151.78,151.78,151.78,151.78,300.0
151.775,151.775,151.77,151.77,500.0
151.75,151.8,151.75,151.8,729.0
151.785,151.785,151.75,151.75,2516.0
151.705,151.77,151.69,151.77,1000.0
151.7,151.73,151.66,151.68,1600.0
151.72,151.755,151.7,151.7,700.0
151.705,151.762,151.705,151.755,2000.0
151.64,151.735,151.64,151.69,4400.0
151.64,151.7,151.64,151.68,1620.0
151.67,151.67,151.67,151.67,388.0
151.725,151.74,151.7,151.74,1500.0
151.75,151.75,151.7,151.725,1903.0
151.71,151.7413,151.71,151.7413,300.0
151.77,151.77,151.71,151.71,665.0
151.68,151.75,151.68,151.73,1100.0
151.7,151.74,151.67,151.67,400.0
151.7,151.74,151.7,151.74,700.0
151.61,151.71,151.61,151.7018,2700.0
151.55,151.58,151.55,151.58,200.0
151.545,151.61,151.54,151.5821,2100.0
151.49,151.57,151.49,151.57,900.0
151.494,151.494,151.47,151.47,200.0
151.5475,151.56,151.515,151.515,1600.0
151.57,151.7,151.5684,151.58,3650.0
151.55,151.6,151.54,151.6,400.0
151.55,151.55,151.55,151.55,300.0
151.58,151.58,151.54,151.57,982.0
151.61,151.66,151.61,151.65,300.0
151.6,151.6071,151.6,151.6071,450.0
151.52,151.59,151.52,151.57,1000.0
151.61,151.61,151.51,151.51,1250.0
151.585,151.585,151.57,151.57,200.0
151.58,151.58,151.56,151.57,300.0
151.61,151.61,151.61,151.61,200.0
151.595,151.6,151.58,151.59,2150.0
151.6,151.6,151.58,151.58,1702.0
151.601,151.601,151.58,151.6,1300.0
151.59,151.62,151.52,151.62,9702.0
151.67,151.67,151.63,151.63,655.0
151.6833,151.71,151.63,151.63,700.0
151.68,151.685,151.68,151.685,200.0
151.63,151.65,151.63,151.65,700.0
151.58,151.63,151.58,151.63,500.0
151.63,151.69,151.63,151.65,600.0
151.53,151.7,151.53,151.67,2184.0
151.56,151.61,151.56,151.59,400.0
151.605,151.605,151.56,151.605,400.0
151.56,151.605,151.56,151.605,200.0
151.56,151.6,151.56,151.6,1000.0
151.54,151.57,151.51,151.56,900.0
151.54,151.54,151.5,151.52,300.0
151.52,151.53,151.41,151.41,4300.0
151.51,151.51,151.44,151.44,500.0
151.5,151.5,151.455,151.455,2200.0
151.45,151.51,151.45,151.46,1000.0
151.51,151.54,151.45,151.48,2797.0
151.49,151.52,151.49,151.52,1500.0
151.52,151.52,151.505,151.505,660.0
151.57,151.6,151.57,151.57,858.0
151.58,151.58,151.58,151.58,100.0
151.57,151.595,151.56,151.57,1003.0
151.51,151.56,151.51,151.56,1488.0
151.51,151.51,151.46,151.5,400.0
151.44,151.44,151.44,151.44,100.0
151.475,151.475,151.475,151.475,100.0
151.465,151.465,151.465,151.465,200.0
151.535,151.55,151.44,151.44,1851.0
151.54,151.56,151.52,151.56,900.0
151.55,151.55,151.52,151.52,930.0
151.52,151.52,151.52,151.52,100.0
151.56,151.56,151.56,151.56,100.0
151.57,151.61,151.57,151.6,1448.0
151.555,151.56,151.545,151.56,1015.0
151.565,151.565,151.565,151.565,100.0
151.505,151.575,151.505,151.575,1846.0
151.4853,151.5,151.4853,151.49,1229.0
151.5299,151.5299,151.5299,151.5299,120.0
151.513,151.53,151.48,151.53,775.0
151.46,151.505,151.46,151.505,700.0
151.47,151.47,151.47,151.47,100.0
151.46,151.49,151.46,151.49,600.0
151.45,151.455,151.41,151.455,500.0
151.37,151.37,151.37,151.37,100.0
151.41,151.41,151.34,151.34,1195.0
151.42,151.42,151.4,151.41,1058.0
151.425,151.45,151.405,151.42,1201.0
151.4,151.41,151.37,151.3925,1590.0
151.385,151.39,151.385,151.39,400.0
151.41,151.41,151.4,151.4,200.0
151.34,151.38,151.34,151.38,600.0
151.38,151.38,151.38,151.38,100.0
151.33,151.33,151.33,151.33,500.0
151.37,151.37,151.36,151.36,200.0
151.39,151.39,151.37,151.38,987.0
151.41,151.41,151.37,151.38,6100.0
151.44,151.44,151.4,151.41,1000.0
151.35,151.46,151.35,151.45,3970.0
151.48,151.48,151.33,151.35,2208.0
151.39,151.465,151.39,151.465,1200.0
151.366,151.366,151.33,151.33,200.0
151.39,151.39,151.37,151.38,650.0
151.39,151.39,151.39,151.39,100.0
151.44,151.45,151.44,151.45,1100.0
151.45,151.45,151.44,151.44,500.0
151.455,151.47,151.44,151.47,3836.0
151.46,151.47,151.46,151.47,554.0
151.5,151.52,151.48,151.48,849.0
151.53,151.53,151.5,151.515,1500.0
151.51,151.53,151.51,151.525,2500.0
151.54,151.55,151.525,151.55,300.0
151.525,151.58,151.5,151.5,2300.0
151.51,151.55,151.49,151.49,400.0
151.55,151.55,151.51,151.51,965.0
151.54,151.55,151.52,151.55,3431.0
151.52,151.52,151.51,151.51,300.0
151.54,151.54,151.525,151.54,300.0
151.45,151.5336,151.45,151.5336,1924.0
151.47,151.47,151.44,151.44,300.0
151.475,151.51,151.475,151.48,900.0
151.44,151.44,151.44,151.44,100.0
151.5099,151.5099,151.44,151.45,854.0
151.41,151.51,151.41,151.51,4400.0
151.28,151.405,151.28,151.405,1100.0
151.38,151.38,151.31,151.31,1315.0
151.34,151.41,151.34,151.41,800.0
151.345,151.345,151.34,151.34,600.0
151.405,151.44,151.345,151.36,1500.0
151.34,151.39,151.34,151.39,600.0
151.33,151.35,151.31,151.35,1464.0
151.375,151.375,151.325,151.34,1342.0
151.37,151.4,151.37,151.39,300.0
151.4199,151.4199,151.4199,151.4199,500.0
151.34,151.37,151.34,151.37,1534.0
151.33,151.36,151.33,151.34,300.0
151.39,151.39,151.39,151.39,200.0
151.4,151.4,151.37,151.3949,1171.0
151.375,151.375,151.37,151.37,500.0
151.35,151.35,151.35,151.35,100.0
151.33,151.35,151.33,151.35,300.0
151.315,151.35,151.29,151.33,1911.0
151.4,151.4,151.302,151.302,640.0
151.39,151.44,151.39,151.39,500.0
151.445,151.45,151.42,151.42,500.0
151.52,151.52,151.45,151.45,1000.0
151.58,151.615,151.56,151.56,1500.0
151.59,151.6,151.57,151.6,2500.0
151.585,151.59,151.585,151.59,500.0
151.57,151.6,151.57,151.6,2500.0
151.6,151.6,151.57,151.57,300.0
151.58,151.61,151.58,151.61,700.0
151.64,151.64,151.58,151.58,300.0
151.64,151.64,151.64,151.64,262.0
151.73,151.73,151.72,151.72,500.0
151.67,151.74,151.67,151.69,1700.0
151.66,151.68,151.66,151.67,900.0
151.72,151.73,151.69,151.69,1300.0
151.75,151.75,151.75,151.75,200.0
151.8,151.8,151.77,151.77,400.0
151.89,151.89,151.791,151.82,1262.0
151.94,151.94,151.89,151.94,300.0
151.97,151.99,151.93,151.97,1100.0
151.88,151.95,151.88,151.95,2400.0
151.85,151.86,151.85,151.86,650.0
151.88,151.89,151.85,151.87,1500.0
151.79,151.85,151.79,151.85,1152.0
151.79,151.8,151.7797,151.7797,610.0
151.81,151.83,151.81,151.81,1000.0
151.7,151.81,151.69,151.81,2895.0
151.66,151.66,151.64,151.65,2800.0
151.67,151.7,151.63,151.63,4300.0
151.67,151.68,151.66,151.68,2197.0
151.64,151.67,151.64,151.66,991.0
151.645,151.645,151.645,151.645,100.0
151.58,151.66,151.57,151.65,5211.0
151.61,151.61,151.59,151.59,600.0
151.63,151.63,151.62,151.62,500.0
151.655,151.655,151.62,151.625,1900.0
151.68,151.68,151.66,151.66,1200.0
151.65,151.66,151.65,151.66,600.0
151.67,151.67,151.65,151.65,1700.0
151.65,151.665,151.65,151.665,400.0
151.655,151.655,151.655,151.655,401.0
151.56,151.66,151.55,151.65,6964.0
151.49,151.56,151.49,151.55,4078.0
151.555,151.56,151.485,151.5,1900.0
151.54,151.56,151.52,151.56,3700.0
151.57,151.595,151.57,151.59,1303.0
151.62,151.62,151.595,151.595,600.0
151.62,151.63,151.62,151.63,2120.0
151.625,151.63,151.61,151.62,3157.0
151.62,151.63,151.61,151.61,1096.0
151.615,151.62,151.61,151.615,3530.0
151.625,151.63,151.61,151.615,3000.0
151.655,151.67,151.62,151.62,5348.0
151.64,151.655,151.64,151.65,5141.0
151.62,151.67,151.59,151.64,173705.0
