Open,High,Low,Close,Volume
35.55,35.6,35.52,35.58,67344.0
35.49,35.55,35.49,35.55,54737.0
35.545,35.55,35.49,35.49,50927.0
35.5501,35.56,35.53,35.545,27616.0
35.58,35.58,35.55,35.5558,27634.0
35.5765,35.595,35.575,35.58,32833.0
35.58,35.59,35.56,35.575,37092.0
35.55,35.58,35.54,35.575,28859.0
35.53,35.55,35.53,35.55,28066.0
35.541,35.55,35.53,35.5301,118172.0
35.51,35.55,35.51,35.54,56834.0
35.52,35.5299,35.51,35.52,16846.0
35.51,35.53,35.51,35.52,36630.0
35.52,35.53,35.51,35.51,37618.0
35.495,35.53,35.49,35.52,20833.0
35.505,35.51,35.49,35.4961,17978.0
35.509,35.51,35.5,35.505,5137.0
35.4925,35.52,35.49,35.5099,54795.0
35.475,35.49,35.47,35.49,23772.0
35.475,35.48,35.47,35.48,7579.0
35.4648,35.48,35.46,35.47,51094.0
35.4752,35.48,35.4601,35.47,22211.0
35.475,35.48,35.47,35.48,86451.0
35.455,35.48,35.45,35.4758,34030.0
35.46,35.46,35.45,35.455,33218.0
35.47,35.48,35.462,35.465,54103.0
35.471,35.475,35.4637,35.466,13403.0
35.47,35.48,35.47,35.4776,10200.0
35.46,35.48,35.46,35.47,30103.0
35.455,35.47,35.45,35.46,12748.0
35.43,35.455,35.43,35.45,56834.0
35.38,35.43,35.38,35.43,149030.0
35.37,35.38,35.36,35.38,74209.0
35.375,35.38,35.37,35.38,44025.0
35.36,35.39,35.36,35.37,60246.0
35.4031,35.41,35.36,35.3629,63810.0
35.405,35.41,35.4,35.4099,30488.0
35.393,35.41,35.39,35.4,157950.0
35.39,35.4,35.39,35.395,16524.0
35.371,35.4,35.37,35.395,97924.0
35.395,35.4,35.37,35.37,44452.0
35.385,35.4,35.38,35.395,37274.0
35.355,35.39,35.35,35.39,32029.0
35.3677,35.3677,35.35,35.355,30473.0
35.3352,35.37,35.32,35.36,88180.0
35.31,35.34,35.31,35.335,24157.0
35.3249,35.325,35.31,35.31,52832.0
35.325,35.33,35.32,35.3252,5172.0
35.35,35.36,35.33,35.33,45763.0
35.351,35.36,35.3401,35.35,26913.0
35.34,35.359,35.34,35.355,14524.0
35.35,35.35,35.34,35.345,10491.0
35.385,35.385,35.34,35.345,48650.0
35.37,35.39,35.37,35.39,31947.0
35.35,35.375,35.34,35.37,24823.0
35.35,35.36,35.34,35.34,29367.0
35.345,35.35,35.34,35.3499,15897.0
35.31,35.35,35.285,35.345,64517.0
35.2935,35.31,35.28,35.3061,24507.0
35.2915,35.3,35.29,35.29,18172.0
35.27,35.295,35.265,35.29,93530.0
35.2698,35.27,35.25,35.27,75053.0
35.255,35.27,35.25,35.265,61878.0
35.255,35.26,35.24,35.25,47187.0
35.255,35.26,35.245,35.2564,27120.0
35.24,35.26,35.24,35.25,41431.0
35.26,35.27,35.24,35.24,53143.0
35.275,35.28,35.26,35.267,24129.0
35.305,35.31,35.2701,35.28,53333.0
35.33,35.34,35.3,35.305,52926.0
35.32,35.34,35.32,35.3356,32962.0
35.32,35.33,35.3144,35.32,26960.0
35.34,35.34,35.32,35.32,17618.0
35.34,35.34,35.33,35.3399,9118.0
35.33,35.34,35.32,35.335,27256.0
35.3162,35.335,35.315,35.33,27609.0
35.3,35.32,35.29,35.315,23572.0
35.27,35.3,35.25,35.29,172363.0
35.27,35.27,35.255,35.265,39523.0
35.275,35.279,35.27,35.27,12600.0
35.2648,35.2786,35.26,35.27,35399.0
35.2933,35.2999,35.26,35.26,49292.0
35.265,35.3,35.26,35.2999,95982.0
35.245,35.2765,35.24,35.265,89158.0
35.24,35.2575,35.21,35.25,80144.0
35.215,35.245,35.2,35.245,34862.0
35.22,35.24,35.2146,35.215,36719.0
35.18,35.22,35.13,35.215,132889.0
35.2,35.21,35.17,35.1899,50213.0
35.2207,35.23,35.19,35.205,35431.0
35.23,35.25,35.22,35.225,88707.0
35.23,35.24,35.22,35.24,54966.0
35.24,35.24,35.22,35.23,40479.0
35.275,35.28,35.23,35.25,91204.0
35.2644,35.29,35.255,35.28,100680.0
35.24,35.265,35.23,35.26,105225.0
35.26,35.27,35.24,35.24,54174.0
35.28,35.28,35.255,35.27,111504.0
35.23,35.28,35.23,35.28,109630.0
35.25,35.25,35.22,35.23,38677.0
35.265,35.27,35.24,35.245,81194.0
35.27,35.275,35.26,35.27,58020.0
35.295,35.3,35.26,35.275,177321.0
35.285,35.3,35.28,35.29,95654.0
35.27,35.29,35.27,35.285,55222.0
35.23,35.2755,35.23,35.27,51545.0
35.205,35.23,35.2,35.23,60314.0
35.2,35.21,35.18,35.205,147194.0
35.175,35.1987,35.14,35.1987,34557.0
35.14,35.179,35.1299,35.179,59346.0
35.17,35.18,35.13,35.14,42060.0
35.18,35.19,35.16,35.165,57729.0
35.18,35.2,35.155,35.17,65291.0
35.19,35.21,35.175,35.18,35132.0
35.2056,35.2056,35.18,35.19,11944.0
35.1701,35.2,35.17,35.2,33756.0
35.18,35.19,35.16,35.17,43422.0
35.195,35.2,35.17,35.1834,48134.0
35.19,35.2,35.1844,35.19,19209.0
35.17,35.19,35.16,35.19,29198.0
35.14,35.19,35.14,35.175,48657.0
35.1217,35.15,35.12,35.14,33573.0
35.11,35.14,35.11,35.125,35516.0
35.095,35.125,35.09,35.11,77019.0
35.1,35.11,35.08,35.1,93745.0
35.1,35.1354,35.0907,35.1,46445.0
35.086,35.11,35.08,35.1,59781.0
35.105,35.12,35.09,35.09,78330.0
35.13,35.13,35.105,35.11,35863.0
35.14,35.16,35.13,35.13,109312.0
35.13,35.15,35.13,35.14,30411.0
35.11,35.14,35.11,35.13,41627.0
35.09,35.1099,35.07,35.1,81714.0
35.0963,35.1,35.08,35.08,29133.0
35.1044,35.11,35.09,35.09,27070.0
35.105,35.11,35.09,35.105,26563.0
35.127,35.127,35.09,35.104,28504.0
35.15,35.16,35.121,35.1269,38351.0
35.11,35.15,35.11,35.1465,64349.0
35.16,35.16,35.115,35.115,127217.0
35.17,35.17,35.15,35.155,44495.0
35.175,35.18,35.16,35.165,35903.0
35.195,35.2,35.17,35.18,58602.0
35.19,35.2,35.19,35.195,16581.0
35.195,35.22,35.19,35.195,51766.0
35.21,35.22,35.19,35.2,31488.0
35.2161,35.23,35.2,35.21,38996.0
35.215,35.22,35.2099,35.21,27890.0
35.24,35.24,35.211,35.22,22512.0
35.245,35.25,35.2301,35.235,21290.0
35.225,35.25,35.22,35.25,58753.0
35.23,35.235,35.2129,35.221,27407.0
35.23,35.24,35.23,35.24,17695.0
35.225,35.24,35.2243,35.235,27442.0
35.24,35.25,35.215,35.225,96934.0
35.2401,35.265,35.23,35.24,36337.0
35.27,35.28,35.25,35.25,17439.0
35.28,35.29,35.27,35.2715,53342.0
35.26,35.28,35.26,35.28,24196.0
35.275,35.275,35.25,35.255,9570.0
35.275,35.29,35.27,35.27,46936.0
35.24,35.28,35.24,35.2737,46883.0
35.245,35.25,35.23,35.24,41879.0
35.22,35.25,35.22,35.245,21330.0
35.23,35.24,35.225,35.23,10875.0
35.225,35.24,35.22,35.231,26146.0
35.235,35.25,35.225,35.225,39010.0
35.24,35.245,35.22,35.2385,25304.0
35.22,35.25,35.22,35.24,33246.0
35.2,35.225,35.181,35.22,82111.0
35.21,35.22,35.2,35.205,56271.0
35.22,35.23,35.2,35.21,60993.0
35.23,35.23,35.21,35.22,23495.0
35.22,35.235,35.21,35.23,33483.0
35.225,35.23,35.2,35.21,32669.0
35.21,35.23,35.21,35.23,15332.0
35.23,35.235,35.21,35.21,28594.0
35.22,35.2357,35.22,35.23,20255.0
35.245,35.245,35.22,35.223,22006.0
35.265,35.27,35.24,35.2401,26729.0
35.275,35.29,35.26,35.27,35598.0
35.265,35.28,35.25,35.27,54904.0
35.2401,35.27,35.24,35.265,19421.0
35.24,35.2425,35.22,35.24,41694.0
35.26,35.26,35.23,35.24,76773.0
35.225,35.265,35.215,35.265,55048.0
35.235,35.245,35.22,35.22,53185.0
35.235,35.24,35.22,35.24,39744.0
35.231,35.26,35.22,35.2301,70824.0
35.235,35.24,35.23,35.235,4700.0
35.2457,35.25,35.23,35.24,9811.0
35.25,35.25,35.23,35.2462,27811.0
35.25,35.26,35.24,35.2543,23579.0
35.255,35.259,35.25,35.255,3809.0
35.25,35.26,35.24,35.25,15694.0
35.23,35.25,35.21,35.25,35451.0
35.2299,35.2299,35.22,35.225,15459.0
