Open,High,Low,Close,Volume
79.33,79.33,79.33,79.33,165.0
79.28,79.33,79.16,79.31,2100.0
79.28,79.29,79.26,79.26,500.0
79.17,79.255,79.17,79.21,2100.0
79.32,79.33,79.205,79.26,1900.0
79.4,79.4,79.275,79.3,2215.0
79.48,79.48,79.48,79.48,100.0
79.43,79.43,79.43,79.43,100.0
79.33,79.44,79.33,79.43,900.0
79.3895,79.3895,79.3895,79.3895,100.0
79.42,79.46,79.32,79.32,1678.0
79.545,79.545,79.48,79.49,500.0
79.5855,79.59,79.54,79.59,400.0
79.56,79.565,79.52,79.54,974.0
79.6,79.61,79.555,79.58,1100.0
79.76,79.76,79.66,79.66,1200.0
79.81,79.83,79.73,79.75,4900.0
79.83,79.83,79.82,79.82,600.0
79.87,79.87,79.8,79.87,11820.0
79.68,79.88,79.68,79.88,2550.0
79.67,79.67,79.67,79.67,500.0
79.52,79.6401,79.52,79.64,1603.0
79.52,79.583,79.52,79.53,783.0
79.48,79.5626,79.47,79.5626,2385.0
79.48,79.53,79.48,79.48,700.0
79.33,79.51,79.33,79.51,4349.0
79.25,79.37,79.25,79.335,600.0
79.23,79.32,79.22,79.22,400.0
79.23,79.23,79.23,79.23,200.0
79.25,79.32,79.25,79.31,655.0
79.22,79.25,79.22,79.25,950.0
79.19,79.22,79.13,79.22,14103.0
79.255,79.27,79.18,79.2,19633.0
79.22,79.29,79.22,79.255,2000.0
79.15,79.222,79.15,79.22,5774.0
79.21,79.25,79.17,79.17,2201.0
79.31,79.31,79.24,79.24,1496.0
79.3,79.32,79.2501,79.32,1163.0
79.24,79.28,79.19,79.28,1950.0
79.245,79.31,79.2406,79.26,3311.0
79.27,79.29,79.25,79.255,1048.0
79.2,79.25,79.16,79.25,2414.0
79.22,79.27,79.18,79.22,5412.0
79.24,79.24,79.23,79.24,600.0
79.21,79.23,79.17,79.17,2961.0
79.26,79.26,79.26,79.26,312.0
79.2201,79.2705,79.2201,79.27,1362.0
79.2,79.26,79.2,79.2533,1000.0
79.2565,79.2565,79.2003,79.2003,1800.0
79.2,79.22,79.16,79.19,918.0
79.28,79.28,79.23,79.24,631.0
79.2,79.23,79.17,79.23,1398.0
79.13,79.22,79.13,79.22,1950.0
79.251,79.27,79.15,79.1675,3900.0
79.2501,79.2501,79.2501,79.2501,800.0
79.31,79.31,79.29,79.29,700.0
79.25,79.3,79.23,79.3,2000.0
79.25,79.25,79.23,79.23,1581.0
79.23,79.25,79.21,79.23,2508.0
79.24,79.25,79.22,79.23,18924.0
79.21,79.27,79.21,79.26,1601.0
79.2,79.221,79.2,79.22,900.0
79.15,79.19,79.12,79.12,1400.0
79.25,79.25,79.17,79.17,3301.0
79.229,79.23,79.16,79.23,909.0
79.26,79.2699,79.21,79.23,1026.0
79.305,79.3266,79.27,79.3,2300.0
79.26,79.31,79.26,79.31,900.0
79.3775,79.3775,79.3,79.3,2962.0
79.33,79.36,79.33,79.36,990.0
79.36,79.36,79.31,79.31,600.0
79.27,79.27,79.27,79.27,400.0
79.27,79.27,79.19,79.25,800.0
79.23,79.26,79.23,79.26,300.0
79.2872,79.2872,79.27,79.27,697.0
79.25,79.29,79.25,79.27,738.0
79.2,79.23,79.2,79.23,200.0
79.21,79.21,79.21,79.21,100.0
79.16,79.21,79.16,79.21,700.0
79.2375,79.25,79.21,79.21,716.0
79.25,79.27,79.22,79.26,1507.0
79.27,79.31,79.24,79.28,1043.0
79.2399,79.2399,79.18,79.23,800.0
79.21,79.245,79.17,79.17,2800.0
79.22,79.2699,79.17,79.2699,4200.0
79.25,79.29,79.23,79.24,2490.0
79.24,79.275,79.24,79.275,1317.0
