Open,High,Low,Close,Volume
736.8,736.8,736.8,736.8,10545.0
733.73,733.98,733.73,733.98,200.0
734.92,737.0,734.92,736.68,1203.0
734.27,734.27,733.08,734.18,2700.0
734.69,734.69,734.0,734.08,2905.0
736.2359,736.2359,736.2359,736.2359,100.0
735.85,735.85,735.85,735.85,100.0
735.73,735.73,735.73,735.73,100.0
736.99,736.99,735.71,735.71,700.0
735.46,735.46,735.46,735.46,100.0
736.0,736.0,735.73,735.73,300.0
736.535,736.535,735.62,735.63,500.0
735.59,735.59,734.57,734.57,200.0
735.88,735.88,735.7,735.88,1400.0
736.25,736.25,735.48,735.48,500.0
736.49,736.49,736.49,736.49,300.0
736.25,736.25,735.48,735.48,1800.0
738.69,738.79,736.1005,736.1005,2600.0
738.0,738.745,738.0,738.72,300.0
738.73,738.73,737.54,737.548,1100.0
739.56,739.56,738.45,738.98,1100.0
739.365,740.0,739.335,739.87,4041.0
741.94,741.99,740.322,740.322,713.0
743.1,743.1,741.95,741.95,700.0
743.04,743.04,743.04,743.04,100.0
742.1904,742.7,741.97,742.01,900.0
742.24,742.75,741.8101,742.25,500.0
741.74,741.74,741.74,741.74,100.0
742.06,742.06,742.06,742.06,100.0
742.05,742.05,741.035,741.035,200.0
741.121,741.17,741.121,741.17,200.0
740.96,740.96,740.96,740.96,200.0
740.74,742.0,740.46,741.56,1920.0
741.95,742.39,741.4343,741.4343,840.0
741.41,741.9501,741.41,741.9501,900.0
741.44,741.44,741.44,741.44,100.0
740.37,740.37,740.37,740.37,100.0
741.09,741.09,740.28,740.52,400.0
740.99,740.99,740.99,740.99,100.0
741.36,741.64,741.36,741.63,300.0
741.42,741.42,741.42,741.42,100.0
740.97,740.97,740.38,740.38,200.0
739.5,740.41,739.4001,740.41,1028.0
739.58,739.58,739.58,739.58,312.0
740.35,740.35,740.35,740.35,100.0
739.93,739.93,739.7,739.7,201.0
739.82,739.82,739.46,739.47,600.0
738.7,739.46,738.7,739.46,400.0
739.0,739.0,738.3,738.435,700.0
737.86,738.87,737.85,738.87,1100.0
739.29,739.29,739.29,739.29,100.0
739.26,739.31,739.26,739.31,300.0
739.62,739.62,739.26,739.26,300.0
739.16,739.16,739.16,739.16,100.0
739.89,739.89,739.465,739.89,300.0
739.75,739.95,739.75,739.89,800.0
739.23,739.4151,739.23,739.4151,886.0
739.67,739.67,739.67,739.67,100.0
740.615,740.615,740.29,740.46,1400.0
741.3,741.3,741.3,741.3,100.0
741.38,741.38,741.38,741.38,100.0
741.95,742.0,741.82,741.82,925.0
742.82,742.83,742.82,742.8299,500.0
742.89,742.91,742.79,742.91,1307.0
742.14,742.14,742.14,742.14,100.0
742.14,742.14,742.14,742.14,200.0
742.2,742.5,742.2,742.5,200.0
742.81,742.81,742.3608,742.3608,646.0
743.0,743.0,743.0,743.0,200.0
742.56,743.0,742.555,743.0,1000.0
741.96,741.96,741.96,741.96,200.0
741.83,741.96,741.83,741.96,600.0
742.0,742.35,742.0,742.35,200.0
742.0,742.0,742.0,742.0,200.0
741.85,741.85,741.85,741.85,100.0
741.65,742.36,741.65,742.01,400.0
741.66,741.66,741.66,741.66,125.0
742.06,742.06,741.88,741.88,400.0
741.58,741.58,741.58,741.58,100.0
742.697,742.697,742.697,742.697,125.0
742.69,742.69,742.69,742.69,300.0
741.71,741.71,741.59,741.59,200.0
741.42,741.92,741.42,741.92,500.0
741.42,741.42,741.42,741.42,100.0
742.57,742.57,741.615,742.135,400.0
742.25,742.85,741.785,742.71,1400.0
741.8804,741.96,741.455,741.935,1250.0
741.45,741.72,741.45,741.46,300.0
742.46,742.47,741.48,741.48,1400.0
741.575,741.575,741.575,741.575,100.0
741.445,742.2,741.42,742.2,1900.0
741.345,741.345,741.345,741.345,100.0
741.65,741.97,741.65,741.94,1000.0
742.065,742.065,742.065,742.065,100.0
741.355,742.03,741.355,742.03,200.0
741.36,741.36,741.36,741.36,100.0
740.8106,741.1475,740.8106,741.1475,450.0
740.54,740.54,740.54,740.54,100.0
740.54,740.54,740.54,740.54,100.0
740.54,740.54,740.54,740.54,100.0
740.715,741.58,740.64,740.64,800.0
741.81,742.13,741.81,742.03,600.0
741.0,741.0,741.0,741.0,100.0
741.545,741.545,741.545,741.545,100.0
741.715,741.715,741.54,741.54,300.0
741.37,741.39,741.365,741.39,300.0
741.14,741.35,741.14,741.33,300.0
741.61,741.61,741.61,741.61,200.0
741.055,741.61,741.055,741.56,1100.0
741.175,741.92,741.165,741.92,600.0
741.22,741.26,741.185,741.26,400.0
740.89,741.24,740.89,741.24,500.0
740.785,740.785,740.785,740.785,100.0
740.77,740.77,740.77,740.77,100.0
740.78,740.78,740.78,740.78,100.0
740.9,740.9,740.86,740.86,350.0
740.925,740.925,740.925,740.925,100.0
740.94,740.94,740.9,740.94,522.0
740.21,740.21,740.21,740.21,100.0
740.22,740.22,740.22,740.22,100.0
740.22,740.22,740.22,740.22,100.0
740.24,740.24,740.24,740.24,100.0
