Open,High,Low,Close,Volume
133.79,133.79,133.79,133.79,14586.0
133.67,133.94,133.67,133.94,200.0
133.445,133.99,133.38,133.99,25290.0
133.5,133.61,133.45,133.53,1974.0
133.46,133.57,133.435,133.435,1250.0
133.485,133.485,133.43,133.48,2100.0
133.74,133.78,133.43,133.4501,12048.0
133.82,133.87,133.78,133.78,1500.0
133.76,133.81,133.73,133.77,31400.0
133.67,133.74,133.67,133.74,1005.0
133.58,133.62,133.58,133.62,600.0
133.5,133.58,133.5,133.58,1700.0
133.54,133.57,133.51,133.52,1800.0
133.5,133.55,133.5,133.55,1000.0
133.74,133.74,133.45,133.45,1909.0
133.87,133.87,133.79,133.8,401.0
133.88,133.94,133.83,133.83,600.0
133.75,133.88,133.75,133.88,1500.0
133.76,133.78,133.76,133.78,900.0
133.78,133.825,133.775,133.775,6085.0
133.61,133.81,133.58,133.81,9190.0
133.53,133.58,133.5,133.58,2389.0
133.52,133.5511,133.52,133.5511,225.0
133.62,133.62,133.5,133.51,3326.0
133.68,133.68,133.67,133.67,500.0
133.64,133.68,133.64,133.68,900.0
133.65,133.65,133.65,133.65,231.0
133.73,133.73,133.67,133.67,900.0
133.805,133.87,133.751,133.79,3217.0
133.79,133.845,133.79,133.845,2100.0
133.77,133.81,133.69,133.79,2550.0
133.68,133.73,133.68,133.73,800.0
133.82,133.83,133.65,133.67,10509.0
133.72,133.82,133.72,133.82,1800.0
133.74,133.8,133.68,133.72,3702.0
133.7825,133.81,133.76,133.8004,1450.0
133.87,133.9,133.73,133.76,6420.0
133.92,133.96,133.875,133.875,2600.0
133.85,133.97,133.85,133.94,13050.0
133.74,133.88,133.74,133.87,3102.0
133.77,133.79,133.72,133.72,12246.0
133.715,133.77,133.69,133.75,6819.0
133.71,133.78,133.69,133.71,13107.0
133.77,133.7925,133.71,133.71,15961.0
133.73,133.775,133.73,133.76,14141.0
133.7699,133.83,133.74,133.75,5445.0
133.9,133.9,133.77,133.77,3600.0
133.98,134.0,133.91,133.91,2401.0
134.01,134.02,133.96,133.97,1200.0
134.084,134.1,134.02,134.0693,724.0
134.07,134.11,134.07,134.11,700.0
134.11,134.11,134.11,134.11,600.0
134.21,134.23,134.1,134.1,2700.0
134.26,134.26,134.26,134.26,100.0
134.27,134.285,134.26,134.285,1525.0
134.29,134.29,134.2,134.24,3570.0
134.3,134.32,134.3,134.31,900.0
