Open,High,Low,Close,Volume
96.85,96.85,96.85,96.85,5701.0
97.18,97.3,97.0,97.27,3300.0
97.29,97.29,97.13,97.19,4200.0
97.315,97.38,97.27,97.29,3100.0
97.1592,97.36,97.005,97.28,9600.0
97.005,97.24,97.005,97.215,1500.0
97.15,97.24,97.04,97.23,4710.0
97.265,97.31,97.155,97.155,5500.0
97.25,97.32,97.16,97.16,2900.0
97.04,97.255,97.04,97.255,700.0
97.28,97.34,97.1,97.235,4952.0
97.14,97.19,97.0801,97.11,2400.0
96.87,97.16,96.84,97.14,4000.0
96.81,96.89,96.81,96.89,409.0
96.7801,96.7801,96.7801,96.7801,100.0
96.875,96.91,96.78,96.88,6400.0
97.03,97.1,96.95,96.95,1100.0
97.11,97.17,97.11,97.12,500.0
97.0,97.1,97.0,97.1,800.0
97.0,97.07,97.0,97.03,900.0
96.91,97.07,96.91,97.07,1400.0
96.97,96.97,96.97,96.97,200.0
96.845,96.99,96.845,96.98,800.0
96.9,96.9,96.86,96.9,1100.0
96.91,96.91,96.9,96.9,300.0
96.91,96.91,96.89,96.9,800.0
97.01,97.01,96.92,96.98,300.0
97.07,97.13,96.98,96.98,546.0
97.14,97.14,97.09,97.14,1100.0
97.14,97.14,97.14,97.14,200.0
97.18,97.18,97.18,97.18,100.0
97.19,97.19,97.19,97.19,400.0
97.205,97.23,97.205,97.23,400.0
97.15,97.18,97.15,97.18,288.0
97.09,97.2299,97.09,97.2077,4850.0
97.1,97.1,97.06,97.08,905.0
97.1115,97.1115,97.1115,97.1115,173.0
97.07,97.07,97.07,97.07,100.0
97.11,97.13,97.11,97.12,400.0
97.08,97.2,97.08,97.17,1000.0
97.02,97.02,97.02,97.02,100.0
97.07,97.07,97.07,97.07,100.0
97.125,97.14,97.12,97.14,900.0
97.09,97.12,97.09,97.12,300.0
97.04,97.07,97.04,97.04,1300.0
96.97,97.02,96.97,97.02,300.0
96.98,96.98,96.98,96.98,100.0
97.01,97.01,96.94,96.985,500.0
96.98,97.04,96.98,97.03,700.0
96.92,96.95,96.92,96.95,500.0
96.91,96.91,96.91,96.91,200.0
96.91,96.94,96.89,96.94,1025.0
96.94,96.99,96.91,96.92,4950.0
96.88,96.9,96.87,96.9,900.0
96.945,96.945,96.91,96.91,800.0
96.95,96.95,96.94,96.94,653.0
96.92,96.92,96.92,96.92,200.0
96.87,96.9,96.87,96.89,2200.0
96.9,96.9,96.895,96.895,2300.0
96.92,96.95,96.86,96.86,2400.0
96.84,96.92,96.84,96.92,1300.0
96.83,96.87,96.83,96.85,1300.0
96.78,96.78,96.78,96.78,100.0
96.7801,96.81,96.7801,96.8,1000.0
96.72,96.78,96.72,96.78,2700.0
96.73,96.73,96.63,96.68,4026.0
96.69,96.69,96.69,96.69,100.0
96.67,96.71,96.67,96.71,500.0
96.745,96.75,96.745,96.75,300.0
96.7701,96.8,96.7701,96.8,300.0
96.76,96.76,96.76,96.76,100.0
96.7,96.75,96.7,96.74,685.0
96.74,96.83,96.66,96.68,10729.0
96.75,96.81,96.75,96.81,585.0
96.81,96.81,96.76,96.77,400.0
96.83,96.83,96.83,96.83,158.0
96.85,96.87,96.85,96.87,200.0
96.83,96.83,96.83,96.83,100.0
96.92,96.92,96.88,96.9,1000.0
96.94,96.94,96.94,96.94,300.0
96.87,96.89,96.87,96.89,400.0
96.88,96.88,96.88,96.88,200.0
96.74,96.82,96.71,96.82,9092.0
96.7,96.74,96.69,96.74,1900.0
96.65,96.685,96.65,96.685,200.0
96.67,96.69,96.65,96.65,1100.0
96.7,96.73,96.7,96.7,797.0
96.66,96.72,96.66,96.71,1300.0
96.65,96.68,96.63,96.68,1702.0
96.61,96.6135,96.61,96.61,1000.0
96.55,96.59,96.55,96.59,900.0
96.56,96.57,96.56,96.56,767.0
96.62,96.62,96.61,96.62,300.0
96.7,96.7,96.67,96.67,400.0
96.59,96.725,96.59,96.725,14914.0
96.6,96.67,96.58,96.67,71600.0
96.58,96.605,96.57,96.57,500.0
96.665,96.665,96.59,96.59,1200.0
96.72,96.76,96.72,96.73,500.0
96.78,96.78,96.78,96.78,100.0
96.78,96.78,96.77,96.77,200.0
96.75,96.77,96.75,96.75,1105.0
96.73,96.73,96.73,96.73,200.0
96.68,96.68,96.68,96.68,400.0
96.64,96.72,96.64,96.72,400.0
96.52,96.675,96.48,96.675,174500.0
96.465,96.57,96.44,96.52,3614.0
96.58,96.58,96.47,96.48,2700.0
96.59,96.59,96.555,96.555,700.0
96.59,96.62,96.59,96.59,400.0
96.62,96.62,96.6,96.6,3600.0
96.65,96.65,96.61,96.61,300.0
96.65,96.65,96.65,96.65,100.0
96.59,96.62,96.59,96.62,600.0
96.46,96.5,96.46,96.5,400.0
96.42,96.43,96.4,96.43,4118.0
96.41,96.41,96.41,96.41,1500.0
96.43,96.43,96.39,96.39,2008.0
96.44,96.44,96.42,96.43,1900.0
96.53,96.53,96.44,96.44,1233.0
96.57,96.57,96.57,96.57,400.0
96.625,96.625,96.57,96.57,1800.0
96.56,96.61,96.54,96.59,1100.0
96.57,96.57,96.52,96.57,2300.0
96.62,96.62,96.58,96.58,300.0
96.62,96.62,96.62,96.62,100.0
96.5829,96.5829,96.5829,96.5829,110.0
96.54,96.62,96.54,96.62,1300.0
96.56,96.58,96.56,96.57,829.0
96.57,96.58,96.57,96.57,600.0
96.62,96.65,96.6,96.63,9013.0
96.58,96.58,96.58,96.58,300.0
96.6,96.6,96.6,96.6,300.0
96.61,96.63,96.59,96.63,914.0
96.6,96.6,96.58,96.58,1000.0
96.575,96.575,96.575,96.575,100.0
96.59,96.62,96.57,96.6,5700.0
96.61,96.61,96.61,96.61,100.0
96.62,96.62,96.585,96.585,1074.0
96.61,96.61,96.59,96.59,619.0
96.55,96.585,96.54,96.585,1100.0
96.55,96.55,96.53,96.54,700.0
96.53,96.55,96.5244,96.55,706.0
96.58,96.58,96.55,96.55,2200.0
96.55,96.55,96.55,96.55,100.0
96.563,96.563,96.563,96.563,100.0
96.525,96.525,96.525,96.525,100.0
96.545,96.545,96.52,96.52,200.0
96.55,96.55,96.545,96.545,300.0
96.53,96.55,96.525,96.525,500.0
96.55,96.56,96.51,96.53,2642.0
96.59,96.59,96.52,96.55,2500.0
96.55,96.55,96.55,96.55,100.0
96.57,96.57,96.57,96.57,700.0
96.56,96.56,96.555,96.555,300.0
96.56,96.59,96.55,96.56,1814.0
96.56,96.56,96.56,96.56,700.0
96.56,96.56,96.535,96.535,200.0
96.54,96.54,96.525,96.525,200.0
96.53,96.55,96.53,96.55,400.0
96.566,96.57,96.55,96.55,1099.0
96.53,96.555,96.53,96.54,400.0
96.54,96.54,96.54,96.54,100.0
96.536,96.54,96.536,96.54,200.0
96.52,96.52,96.52,96.52,100.0
96.55,96.55,96.54,96.54,600.0
96.59,96.6,96.51,96.51,2400.0
96.6,96.6,96.59,96.6,300.0
96.59,96.615,96.59,96.6,3210.0
96.63,96.63,96.58,96.59,800.0
96.58,96.6,96.58,96.6,300.0
96.64,96.655,96.61,96.61,900.0
96.61,96.65,96.61,96.64,3700.0
96.61,96.61,96.58,96.58,314.0
96.57,96.57,96.57,96.57,100.0
96.59,96.59,96.58,96.58,400.0
96.58,96.6,96.58,96.6,700.0
96.59,96.59,96.59,96.59,100.0
96.6302,96.6302,96.6,96.62,900.0
96.66,96.66,96.63,96.63,900.0
96.59,96.64,96.59,96.64,800.0
96.54,96.56,96.54,96.56,200.0
96.51,96.51,96.485,96.485,289.0
96.5,96.5,96.49,96.49,400.0
96.53,96.53,96.5,96.5,600.0
96.42,96.49,96.42,96.49,1700.0
96.42,96.42,96.415,96.415,400.0
96.38,96.385,96.38,96.385,200.0
96.34,96.36,96.34,96.36,300.0
96.38,96.39,96.36,96.38,1000.0
96.33,96.38,96.31,96.35,2710.0
96.33,96.33,96.33,96.33,100.0
96.335,96.335,96.33,96.33,200.0
96.36,96.4,96.35,96.35,2600.0
96.38,96.39,96.37,96.38,700.0
96.39,96.39,96.355,96.375,1900.0
96.37,96.3701,96.37,96.3701,200.0
96.38,96.38,96.36,96.37,1500.0
96.42,96.43,96.3701,96.38,6000.0
96.4,96.41,96.4,96.41,300.0
96.4101,96.4101,96.41,96.41,400.0
96.47,96.47,96.4,96.41,6780.0
96.49,96.49,96.47,96.47,900.0
96.51,96.51,96.46,96.4837,3886.0
96.52,96.52,96.52,96.52,200.0
96.5075,96.5075,96.5,96.5,400.0
96.53,96.53,96.53,96.53,300.0
96.55,96.55,96.55,96.55,100.0
96.55,96.58,96.55,96.58,1290.0
96.5401,96.5401,96.5401,96.5401,100.0
96.57,96.57,96.5475,96.5475,1511.0
96.61,96.61,96.56,96.56,1950.0
96.65,96.65,96.63,96.63,400.0
96.61,96.61,96.6,96.61,1200.0
96.66,96.66,96.59,96.59,2493.0
96.67,96.67,96.67,96.67,100.0
96.66,96.69,96.65,96.69,2236.0
96.66,96.67,96.65,96.65,900.0
96.63,96.66,96.63,96.65,5629.0
96.52,96.63,96.51,96.63,7150.0
96.55,96.55,96.5,96.515,1800.0
96.52,96.52,96.51,96.52,1451.0
96.505,96.505,96.505,96.505,100.0
96.5,96.505,96.5,96.505,200.0
96.54,96.54,96.52,96.52,700.0
96.54,96.54,96.54,96.54,100.0
96.54,96.54,96.53,96.53,900.0
96.52,96.57,96.51,96.57,9194.0
96.535,96.55,96.52,96.52,1202.0
96.515,96.55,96.48,96.53,4372.0
96.45,96.49,96.43,96.49,3020.0
96.34,96.41,96.33,96.4,1600.0
96.4,96.41,96.37,96.37,16387.0
96.334,96.35,96.29,96.35,533.0
96.27,96.305,96.27,96.305,699.0
96.25,96.26,96.23,96.26,1300.0
96.28,96.28,96.26,96.28,700.0
96.32,96.35,96.29,96.33,3700.0
96.36,96.36,96.36,96.36,100.0
96.34,96.34,96.31,96.33,1714.0
96.325,96.325,96.325,96.325,100.0
96.36,96.38,96.325,96.35,2047.0
96.33,96.36,96.33,96.36,800.0
96.34,96.35,96.32,96.34,3600.0
96.32,96.34,96.32,96.32,502.0
96.32,96.32,96.31,96.32,2580.0
96.3,96.33,96.3,96.32,2597.0
96.22,96.31,96.22,96.29,2081.0
96.19,96.21,96.19,96.201,1275.0
96.14,96.2,96.14,96.19,1429.0
96.17,96.18,96.13,96.13,2020.0
96.12,96.15,96.12,96.15,1400.0
96.07,96.07,96.07,96.07,100.0
96.045,96.07,96.02,96.04,2799.0
96.0,96.02,95.97,96.02,700.0
95.91,95.95,95.89,95.95,2510.0
95.9,95.95,95.88,95.91,3497.0
95.88,95.89,95.86,95.89,1400.0
95.87,95.9,95.87,95.9,2684.0
95.88,95.91,95.87,95.89,1800.0
95.91,95.91,95.9,95.9,800.0
95.9,95.905,95.9,95.905,381.0
95.88,95.9,95.87,95.9,3900.0
95.85,95.91,95.83,95.91,2619.0
95.88,95.88,95.85,95.85,400.0
95.91,95.94,95.8975,95.8975,1469.0
95.91,95.935,95.91,95.935,800.0
95.91,95.94,95.91,95.94,1400.0
95.9,95.93,95.9,95.92,2401.0
95.8775,95.9,95.8775,95.9,4000.0
95.79,95.875,95.79,95.87,2976.0
95.75,95.78,95.75,95.76,7749.0
95.73,95.77,95.73,95.75,2600.0
95.71,95.76,95.71,95.74,3823.0
95.8,95.83,95.74,95.74,2733.0
95.83,95.85,95.82,95.83,1891.0
95.86,95.86,95.835,95.85,700.0
95.85,95.85,95.84,95.85,2600.0
95.91,95.92,95.855,95.86,1100.0
95.91,95.91,95.91,95.91,100.0
95.95,95.95,95.905,95.905,700.0
96.0,96.04,95.965,95.97,2300.0
96.01,96.03,96.0,96.0,1500.0
96.05,96.05,96.01,96.01,2899.0
96.14,96.14,96.04,96.05,1700.0
96.11,96.14,96.11,96.12,2600.0
95.99,96.1,95.99,96.1,2700.0
96.02,96.04,96.0,96.0,1100.0
96.03,96.03,96.0,96.01,2300.0
96.05,96.06,96.03,96.045,2096.0
96.06,96.06,96.03,96.04,1100.0
96.03,96.04,96.03,96.04,700.0
96.07,96.07,96.03,96.03,1400.0
96.03,96.05,96.03,96.04,1874.0
96.01,96.03,95.995,96.03,4174.0
95.98,96.005,95.98,96.0,1400.0
95.99,96.02,95.98,95.98,3200.0
95.96,96.02,95.96,96.0,4210.0
95.97,95.99,95.97,95.99,832.0
95.96,95.96,95.922,95.96,3724.0
95.9647,95.98,95.9647,95.98,1146.0
95.95,95.98,95.94,95.96,2220.0
95.89,95.96,95.89,95.96,3940.0
95.89,95.9,95.88,95.89,1462.0
95.87,95.89,95.87,95.89,1987.0
95.96,95.96,95.88,95.88,2413.0
96.01,96.02,95.98,95.98,1600.0
96.01,96.02,96.01,96.02,1700.0
96.02,96.04,96.01,96.04,1500.0
96.08,96.11,96.04,96.05,6914.0
96.04,96.075,96.02,96.07,4793.0
96.06,96.06,96.025,96.03,2188.0
96.02,96.09,95.99,96.06,5132.0
96.04,96.04,96.01,96.01,750.0
96.08,96.08,96.04,96.04,2200.0
96.14,96.14,96.0645,96.075,4088.0
96.11,96.18,96.1,96.14,6589.0
96.07,96.11,96.07,96.11,2100.0
96.12,96.15,96.06,96.0601,4717.0
96.13,96.15,96.12,96.12,2281.0
96.13,96.16,96.115,96.12,3200.0
96.12,96.13,96.115,96.13,3900.0
96.09,96.12,96.075,96.12,11948.0
96.1,96.1,96.07,96.09,4900.0
96.06,96.08,96.02,96.08,5400.0
96.115,96.12,96.06,96.07,2600.0
96.13,96.13,96.095,96.11,3015.0
96.05,96.13,96.05,96.12,4647.0
96.03,96.05,96.0,96.04,6052.0
96.06,96.06,96.01,96.04,3700.0
96.13,96.14,96.06,96.06,13906.0
96.15,96.15,96.1,96.12,17384.0
96.18,96.18,96.13,96.14,148860.0
