Open,High,Low,Close,Volume
45.2,45.2,45.05,45.05,15872.0
45.2,45.2,45.2,45.2,500.0
45.09,45.18,45.06,45.07,735.0
44.895,45.1439,44.85,45.1439,9636.0
44.81,44.93,44.75,44.93,5486.0
44.89,44.9,44.79,44.85,4091.0
44.74,44.9,44.69,44.9,9301.0
44.92,44.935,44.78,44.79,7500.0
45.02,45.02,44.94,44.94,1350.0
45.04,45.1,45.02,45.05,3300.0
45.2,45.2,45.04,45.04,2339.0
45.1,45.2,45.05,45.19,7142.0
45.14,45.14,45.14,45.14,285.0
45.17,45.2,45.15,45.15,6444.0
45.28,45.29,45.12,45.12,8460.0
45.3287,45.39,45.28,45.3,1567.0
45.21,45.28,45.17,45.28,7005.0
45.27,45.27,45.19,45.21,2400.0
45.35,45.35,45.23,45.28,2744.0
45.28,45.33,45.28,45.33,5250.0
45.32,45.35,45.28,45.28,1500.0
45.28,45.3,45.26,45.3,1400.0
45.2,45.23,45.2,45.23,1600.0
45.25,45.25,45.175,45.175,3700.0
45.19,45.23,45.19,45.23,3447.0
45.23,45.25,45.21,45.21,2355.0
45.2765,45.2765,45.25,45.26,1300.0
45.25,45.31,45.25,45.27,1820.0
45.27,45.31,45.26,45.26,1929.0
45.21,45.3,45.21,45.29,9632.0
45.18,45.24,45.18,45.22,2800.0
45.15,45.19,45.14,45.17,9129.0
45.19,45.21,45.12,45.15,2976.0
45.191,45.23,45.191,45.23,1700.0
45.22,45.25,45.2,45.2,17880.0
45.23,45.27,45.205,45.21,3852.0
45.16,45.25,45.14,45.21,2550.0
45.2,45.215,45.16,45.16,2200.0
45.16,45.23,45.16,45.2,2500.0
45.16,45.215,45.14,45.14,9199.0
45.13,45.2,45.13,45.18,5100.0
45.09,45.15,45.08,45.15,3300.0
45.11,45.12,45.08,45.11,4214.0
45.118,45.1355,45.118,45.13,1300.0
45.13,45.18,45.12,45.13,5710.0
45.17,45.19,45.12,45.16,3076.0
45.14,45.17,45.12,45.12,2773.0
45.235,45.235,45.155,45.17,5600.0
45.16,45.22,45.15,45.22,4300.0
45.11,45.175,45.11,45.175,1615.0
45.07,45.11,45.06,45.11,1800.0
45.03,45.06,45.0,45.06,5795.0
45.065,45.065,44.99,45.03,3300.0
44.99,45.06,44.98,45.06,2300.0
45.0034,45.0034,44.98,44.99,1250.0
45.02,45.02,44.99,45.0,1300.0
45.01,45.04,45.0,45.02,3400.0
45.0,45.01,44.965,45.0,2600.0
44.93,44.97,44.93,44.97,1300.0
44.96,44.96,44.91,44.95,2235.0
44.88,44.935,44.87,44.935,4766.0
44.9,44.9,44.86,44.87,1743.0
44.94,44.94,44.88,44.91,2800.0
44.99,44.99,44.93,44.95,1500.0
45.01,45.03,44.96,44.96,3500.0
45.03,45.04,45.02,45.03,1700.0
45.03,45.05,44.99,45.03,3400.0
45.12,45.12,45.03,45.03,4745.0
45.11,45.14,45.09,45.14,6317.0
45.08,45.11,45.075,45.09,2700.0
45.02,45.07,44.96,45.07,6329.0
44.948,45.02,44.948,45.02,2675.0
44.95,44.97,44.95,44.95,300.0
45.0,45.0,44.96,44.96,1701.0
44.84,45.01,44.77,45.0,31856.0
44.76,44.85,44.74,44.84,23200.0
44.74,44.78,44.74,44.77,3100.0
44.63,44.74,44.62,44.74,7283.0
44.69,44.69,44.63,44.65,5600.0
44.64,44.765,44.64,44.7,14981.0
44.63,44.65,44.61,44.64,12190.0
44.64,44.68,44.64,44.64,6400.0
44.63,44.65,44.6,44.65,5800.0
44.6,44.67,44.6,44.67,5250.0
44.63,44.63,44.61,44.62,4900.0
44.7,44.7,44.62,44.62,10027.0
44.73,44.73,44.67,44.69,5681.0
44.63,44.71,44.63,44.71,5589.0
44.66,44.66,44.61,44.63,3200.0
44.63,44.67,44.63,44.67,200.0
44.5,44.67,44.5,44.63,11313.0
44.5,44.53,44.47,44.5,11700.0
44.45,44.49,44.45,44.49,6059.0
44.495,44.52,44.46,44.46,9066.0
44.44,44.47,44.41,44.46,2000.0
44.42,44.5,44.42,44.43,5700.0
44.52,44.52,44.41,44.44,4594.0
44.53,44.549,44.51,44.53,6324.0
44.56,44.57,44.52,44.5307,6594.0
44.65,44.65,44.59,44.59,8764.0
44.67,44.69,44.66,44.66,7500.0
44.635,44.69,44.62,44.685,12743.0
44.63,44.65,44.63,44.63,1725.0
44.63,44.65,44.62,44.64,2916.0
44.6,44.63,44.5862,44.63,8245.0
44.53,44.6,44.525,44.59,6396.0
44.51,44.5229,44.51,44.52,5639.0
44.52,44.54,44.51,44.51,8333.0
44.53,44.56,44.52,44.52,3166.0
44.6,44.62,44.525,44.53,5401.0
44.63,44.63,44.6,44.6,2729.0
44.63,44.6599,44.63,44.64,1700.0
44.72,44.73,44.65,44.66,8879.0
44.8,44.8,44.74,44.74,2300.0
44.85,44.85,44.79,44.81,10072.0
44.94,44.95,44.8613,44.8613,8042.0
44.92,44.95,44.89,44.95,6500.0
44.89,44.92,44.87,44.91,3891.0
44.89,44.92,44.88,44.88,3700.0
44.89,44.97,44.89,44.93,15455.0
44.905,44.95,44.9,44.92,4800.0
44.93,44.95,44.91,44.92,3400.0
44.86,44.95,44.86,44.95,5789.0
44.82,44.86,44.82,44.86,2200.0
44.792,44.82,44.79,44.79,3610.0
44.74,44.8,44.74,44.79,6700.0
44.75,44.75,44.72,44.72,4166.0
44.69,44.75,44.69,44.75,7056.0
44.725,44.725,44.69,44.7,1662.0
44.81,44.81,44.72,44.72,6200.0
44.82,44.84,44.79,44.83,3057.0
44.79,44.84,44.79,44.81,1800.0
44.77,44.82,44.77,44.8,2600.0
44.75,44.79,44.75,44.79,300.0
44.75,44.78,44.73,44.75,1732.0
44.73,44.76,44.71,44.75,3455.0
44.71,44.73,44.71,44.72,2200.0
44.66,44.72,44.66,44.69,5601.0
44.66,44.71,44.66,44.71,1300.0
44.66,44.7,44.66,44.66,11091.0
44.65,44.7,44.65,44.7,6872.0
44.7,44.71,44.6674,44.6674,7791.0
44.692,44.73,44.68,44.7,14401.0
44.71,44.71,44.7,44.7,2000.0
44.66,44.722,44.66,44.71,6312.0
44.71,44.71,44.66,44.66,4874.0
44.65,44.73,44.65,44.73,3588.0
44.65,44.68,44.65,44.67,700.0
44.67,44.69,44.65,44.65,4718.0
44.67,44.68,44.67,44.68,2900.0
44.68,44.69,44.67,44.67,2783.0
44.67,44.69,44.655,44.69,5507.0
44.7,44.7,44.69,44.69,1837.0
44.675,44.72,44.67,44.71,3000.0
44.7033,44.71,44.66,44.66,4181.0
