Open,High,Low,Close,Volume
134.57,134.88,134.52,134.62,304657.0
134.36,134.6818,134.19,134.6818,3282.0
134.0,134.05,133.94,134.05,2250.0
134.1941,134.2599,134.091,134.16,1410.0
134.28,134.285,134.2351,134.2351,350.0
134.11,134.23,134.02,134.23,2380.0
134.15,134.15,134.0,134.11,5600.0
133.85,134.04,133.815,134.04,3775.0
134.04,134.05,133.89,133.98,1037.0
134.17,134.17,134.0805,134.11,836.0
133.81,134.19,133.81,134.19,2000.0
134.03,134.04,133.95,133.98,800.0
134.0,134.16,134.0,134.1,600.0
134.11,134.24,134.02,134.02,1600.0
134.21,134.21,134.13,134.2,2900.0
134.17,134.25,134.16,134.2,1850.0
134.18,134.23,134.065,134.17,4610.0
134.14,134.21,134.06,134.2,3201.0
134.2,134.22,134.16,134.22,1864.0
134.1637,134.23,134.05,134.2,3571.0
134.12,134.154,134.12,134.154,1589.0
134.07,134.09,134.07,134.09,200.0
134.245,134.25,134.1,134.1,1500.0
134.235,134.28,134.2,134.2,1212.0
134.18,134.2799,134.18,134.2799,642.0
134.05,134.18,134.05,134.18,1050.0
134.155,134.18,134.115,134.14,1300.0
134.095,134.23,134.095,134.16,1809.0
134.14,134.24,134.13,134.23,2396.0
134.11,134.15,134.11,134.15,500.0
134.04,134.23,134.04,134.12,8213.0
134.2,134.2,134.04,134.075,2900.0
134.15,134.21,134.145,134.145,3664.0
134.11,134.195,134.11,134.18,2900.0
134.22,134.22,134.13,134.17,1400.0
134.13,134.26,134.13,134.24,8624.0
134.24,134.24,134.2,134.2,1800.0
134.14,134.26,134.14,134.24,2900.0
134.16,134.18,134.14,134.14,1506.0
134.085,134.16,134.06,134.15,3708.0
134.2,134.21,134.15,134.17,1182.0
134.245,134.26,134.215,134.23,600.0
134.17,134.32,134.115,134.29,7183.0
134.2,134.26,134.16,134.21,1900.0
134.18,134.22,134.18,134.2,1817.0
134.23,134.26,134.23,134.23,900.0
134.3,134.3,134.21,134.27,1300.0
134.308,134.35,134.3,134.35,500.0
134.375,134.38,134.32,134.38,1302.0
134.39,134.42,134.34,134.3588,3358.0
134.38,134.38,134.335,134.37,3017.0
134.38,134.38,134.3347,134.35,1345.0
134.315,134.37,134.29,134.355,2601.0
134.34,134.37,134.34,134.345,2700.0
134.4,134.4,134.3,134.33,1506.0
134.22,134.44,134.22,134.405,11293.0
134.2273,134.245,134.18,134.21,12578.0
134.245,134.35,134.16,134.25,11426.0
134.36,134.37,134.17,134.3,10720.0
134.47,134.55,134.29,134.29,5870.0
134.51,134.51,134.46,134.47,690.0
134.54,134.54,134.54,134.54,264.0
134.505,134.62,134.5,134.55,1900.0
134.53,134.6,134.53,134.53,1689.0
134.46,134.53,134.46,134.53,1591.0
134.44,134.46,134.4,134.46,1995.0
134.495,134.52,134.45,134.45,1312.0
134.43,134.52,134.43,134.505,3094.0
