Open,High,Low,Close,Volume
48.26,48.34,48.26,48.34,7101.0
48.29,48.3,48.24,48.24,2879.0
48.372,48.372,48.28,48.33,4065.0
48.4199,48.42,48.36,48.38,10508.0
48.43,48.43,48.36,48.38,5503.0
48.42,48.47,48.3708,48.43,14134.0
48.6,48.62,48.4,48.4201,27218.0
48.51,48.65,48.5,48.62,8548.0
48.44,48.53,48.44,48.5125,5641.0
48.47,48.47,48.43,48.45,6893.0
48.4399,48.47,48.42,48.47,5873.0
48.37,48.46,48.37,48.425,12000.0
48.44,48.45,48.36,48.37,6600.0
48.44,48.49,48.42,48.42,8552.0
48.48,48.5,48.45,48.45,5416.0
48.49,48.5,48.47,48.4899,8886.0
48.36,48.48,48.36,48.48,3354.0
48.31,48.345,48.25,48.345,8903.0
48.3201,48.34,48.3115,48.34,702.0
48.29,48.33,48.25,48.32,2500.0
48.24,48.24,48.19,48.24,2200.0
48.32,48.32,48.26,48.26,3922.0
48.38,48.38,48.32,48.32,800.0
48.39,48.39,48.38,48.38,700.0
48.4,48.43,48.38,48.39,2986.0
48.46,48.49,48.41,48.41,5323.0
48.5,48.55,48.43,48.45,11612.0
48.55,48.56,48.48,48.5,1941.0
48.54,48.56,48.51,48.53,4355.0
48.47,48.53,48.47,48.51,1900.0
48.56,48.56,48.44,48.44,5100.0
48.61,48.62,48.51,48.57,6150.0
48.55,48.59,48.53,48.57,5791.0
48.58,48.61,48.55,48.55,3247.0
48.64,48.65,48.6,48.61,2976.0
48.56,48.62,48.56,48.61,3903.0
48.61,48.61,48.54,48.55,2491.0
48.64,48.64,48.6,48.6,700.0
48.61,48.64,48.56,48.61,3500.0
48.64,48.65,48.619,48.619,2620.0
48.59,48.64,48.59,48.64,2133.0
48.57,48.6,48.57,48.59,1320.0
48.55,48.58,48.52,48.57,2400.0
48.5,48.54,48.5,48.53,2700.0
48.47,48.5,48.46,48.5,3750.0
48.44,48.46,48.42,48.45,8927.0
48.519,48.519,48.43,48.44,6804.0
48.5,48.51,48.49,48.5,969.0
48.5,48.515,48.5,48.515,4299.0
48.58,48.58,48.52,48.52,2000.0
48.56,48.57,48.54,48.57,4940.0
48.57,48.58,48.54,48.56,3400.0
48.59,48.6,48.57,48.58,5900.0
48.54,48.63,48.54,48.59,9971.0
48.52,48.57,48.515,48.545,3985.0
48.53,48.55,48.52,48.54,9030.0
48.48,48.53,48.48,48.53,7758.0
48.43,48.503,48.43,48.49,6740.0
48.41,48.43,48.41,48.43,9037.0
48.38,48.4,48.37,48.4,2642.0
48.38,48.4,48.37,48.38,5882.0
48.41,48.415,48.39,48.4,3430.0
48.41,48.43,48.4098,48.42,2349.0
48.42,48.42,48.39,48.41,3453.0
48.41,48.43,48.4,48.42,2600.0
48.45,48.45,48.4,48.4,1916.0
48.41,48.41,48.41,48.41,1100.0
48.41,48.42,48.41,48.41,2607.0
48.44,48.44,48.42,48.42,5300.0
48.45,48.46,48.43,48.44,6100.0
48.44,48.4578,48.44,48.445,3100.0
48.43,48.4393,48.37,48.4393,7924.0
48.445,48.46,48.42,48.43,8407.0
48.455,48.46,48.425,48.43,57982.0
48.41,48.45,48.41,48.45,4300.0
48.39,48.425,48.38,48.41,8406.0
48.38,48.41,48.38,48.39,3679.0
