Open,High,Low,Close,Volume
141.61,143.15,141.61,143.15,5091.0
143.14,143.14,143.06,143.06,900.0
143.09,143.09,143.09,143.09,100.0
142.8,143.05,142.8,142.86,2164.0
142.63,142.8,142.63,142.8,590.0
142.98,142.98,142.71,142.71,1600.0
142.89,142.89,142.89,142.89,100.0
142.89,142.9,142.76,142.76,400.0
142.94,143.06,142.9,142.9,4130.0
143.025,143.07,142.98,143.06,1200.0
142.72,142.94,142.72,142.94,1752.0
142.8099,142.8099,142.66,142.73,1400.0
142.67,142.68,142.67,142.68,400.0
142.47,142.47,142.47,142.47,100.0
142.77,142.77,142.61,142.61,700.0
142.94,143.0,142.8401,142.95,3497.0
143.03,143.03,143.03,143.03,200.0
142.94,142.96,142.88,142.96,600.0
142.88,142.88,142.88,142.88,100.0
142.6,142.99,142.58,142.97,7410.0
142.66,142.66,142.53,142.53,1613.0
142.76,142.83,142.76,142.83,900.0
142.9,142.9,142.88,142.88,1105.0
142.85,142.85,142.84,142.85,500.0
142.905,142.905,142.905,142.905,800.0
143.01,143.01,142.9,142.92,2502.0
143.01,143.03,142.99,143.02,1700.0
142.86,142.95,142.86,142.95,1902.0
142.93,142.93,142.93,142.93,100.0
142.98,143.0,142.93,142.94,3013.0
142.94,143.0,142.94,142.98,865.0
142.875,142.89,142.845,142.89,300.0
142.875,142.94,142.875,142.94,200.0
142.95,142.95,142.945,142.945,300.0
142.9999,142.9999,142.9999,142.9999,100.0
142.96,142.96,142.905,142.905,1100.0
142.97,142.97,142.96,142.96,200.0
142.84,142.97,142.84,142.97,1732.0
142.875,142.97,142.81,142.9699,8563.0
142.8859,142.8859,142.8859,142.8859,135.0
142.88,142.88,142.88,142.88,100.0
142.9,142.91,142.89,142.9,900.0
142.93,142.94,142.93,142.94,1200.0
142.86,142.89,142.825,142.88,1500.0
142.91,142.91,142.865,142.88,800.0
142.8,142.85,142.8,142.85,300.0
142.61,142.7704,142.61,142.77,1900.0
142.58,142.58,142.58,142.58,100.0
142.681,142.681,142.681,142.681,175.0
142.63,142.7,142.63,142.65,300.0
142.61,142.62,142.61,142.62,400.0
142.55,142.65,142.55,142.65,400.0
142.48,142.48,142.48,142.48,100.0
142.56,142.62,142.49,142.49,2600.0
142.57,142.63,142.57,142.62,900.0
142.71,142.71,142.57,142.57,1000.0
142.8,142.8,142.77,142.78,362.0
142.74,142.76,142.74,142.76,500.0
142.705,142.705,142.67,142.7,400.0
142.6401,142.6401,142.63,142.63,371.0
142.6401,142.6401,142.6401,142.6401,500.0
142.685,142.685,142.641,142.641,400.0
142.7,142.76,142.65,142.685,2741.0
142.71,142.71,142.71,142.71,100.0
142.82,142.82,142.74,142.74,1000.0
142.82,142.86,142.82,142.86,500.0
142.8799,142.8799,142.8799,142.8799,200.0
142.955,142.97,142.88,142.88,1500.0
142.92,142.965,142.92,142.965,500.0
142.9399,142.9399,142.88,142.9,1360.0
142.75,142.906,142.75,142.906,939.0
142.76,142.76,142.75,142.75,400.0
142.68,142.7508,142.68,142.721,900.0
142.74,142.82,142.73,142.76,1550.0
142.86,142.94,142.86,142.93,1132.0
142.845,142.9,142.7901,142.845,600.0
142.96,142.96,142.8901,142.91,2200.0
142.9,142.96,142.89,142.9,1200.0
142.94,142.96,142.8901,142.94,2424.0
142.9,142.9,142.87,142.89,1473.0
142.94,142.97,142.925,142.925,1224.0
142.99,142.99,142.93,142.93,200.0
142.975,142.98,142.965,142.97,600.0
142.88,142.96,142.88,142.96,2100.0
142.94,142.94,142.93,142.93,1000.0
142.97,142.99,142.93,142.93,2000.0
143.01,143.01,142.93,142.97,4366.0
143.0375,143.04,142.97,142.97,5800.0
142.94,143.01,142.94,143.01,1373.0
142.95,142.99,142.95,142.965,2136.0
142.97,142.98,142.94,142.95,2900.0
142.94,142.96,142.94,142.96,518.0
142.96,142.96,142.91,142.91,1873.0
142.95,142.95,142.94,142.94,300.0
142.96,142.96,142.935,142.96,1400.0
142.93,142.99,142.93,142.95,2456.0
142.98,143.01,142.93,142.96,1910.0
143.03,143.03,142.995,142.995,1583.0
143.05,143.1,143.04,143.04,2300.0
142.93,142.99,142.93,142.99,1722.0
142.985,142.99,142.96,142.96,1100.0
142.95,143.0,142.95,143.0,1100.0
143.0,143.01,142.98,142.98,1132.0
142.93,142.98,142.93,142.98,700.0
142.9,142.96,142.88,142.94,1703.0
142.87,142.96,142.87,142.96,300.0
142.89,142.89,142.89,142.89,200.0
142.83,142.87,142.83,142.87,647.0
142.84,142.84,142.84,142.84,200.0
142.81,142.82,142.81,142.82,200.0
142.77,142.81,142.77,142.8,800.0
142.76,142.79,142.76,142.79,600.0
142.82,142.825,142.79,142.79,400.0
142.8033,142.85,142.79,142.83,2322.0
142.9,142.9,142.815,142.815,2120.0
142.94,142.94,142.885,142.885,500.0
142.95,142.96,142.93,142.96,1200.0
142.9539,142.9539,142.9539,142.9539,535.0
142.905,142.92,142.88,142.92,1008.0
142.86,142.86,142.86,142.86,100.0
