Open,High,Low,Close,Volume
39.51,39.62,39.33,39.33,14153.0
39.38,39.58,39.38,39.53,2860.0
39.41,39.41,39.39,39.39,200.0
39.42,39.44,39.29,39.4,3100.0
39.32,39.42,39.32,39.32,1326.0
39.35,39.38,39.34,39.37,3172.0
39.41,39.42,39.33,39.34,3100.0
39.39,39.41,39.39,39.39,1900.0
39.4,39.4,39.4,39.4,100.0
39.39,39.42,39.385,39.39,1096.0
39.41,39.41,39.39,39.39,400.0
39.41,39.41,39.39,39.4,785.0
39.38,39.41,39.37,39.41,2572.0
39.37,39.39,39.37,39.39,3647.0
39.41,39.41,39.375,39.38,2000.0
39.39,39.41,39.39,39.41,2600.0
39.32,39.39,39.32,39.39,1400.0
39.355,39.41,39.3,39.32,11738.0
39.37,39.39,39.355,39.355,1800.0
39.385,39.385,39.35,39.37,1678.0
39.38,39.39,39.37,39.38,700.0
39.37,39.37,39.33,39.37,3438.0
39.415,39.415,39.37,39.37,2600.0
39.37,39.4,39.37,39.4,1571.0
39.35,39.36,39.35,39.36,700.0
39.35,39.35,39.35,39.35,100.0
39.36,39.36,39.33,39.33,3204.0
39.34,39.35,39.34,39.35,851.0
39.33,39.33,39.32,39.33,2349.0
39.33,39.34,39.32,39.34,2750.0
39.36,39.36,39.33,39.33,3375.0
39.34,39.355,39.34,39.35,2800.0
39.31,39.34,39.31,39.34,1800.0
39.345,39.35,39.31,39.31,3500.0
39.29,39.34,39.29,39.34,5504.0
39.26,39.29,39.26,39.29,2649.0
39.23,39.26,39.23,39.26,1500.0
39.26,39.27,39.23,39.23,1903.0
39.3,39.3,39.25,39.26,3302.0
39.29,39.3,39.27,39.29,2748.0
39.29,39.29,39.28,39.28,3549.0
39.28,39.29,39.26,39.26,4049.0
39.33,39.34,39.28,39.28,3610.0
39.31,39.34,39.3,39.33,4800.0
39.31,39.31,39.31,39.31,1200.0
39.29,39.32,39.29,39.31,13173.0
39.285,39.29,39.28,39.28,1200.0
39.275,39.29,39.275,39.28,4400.0
39.31,39.32,39.28,39.28,7028.0
39.295,39.32,39.28,39.31,6345.0
39.29,39.32,39.28,39.3,5565.0
39.31,39.31,39.2908,39.2908,1499.0
39.3,39.305,39.28,39.3,3694.0
39.29,39.29,39.27,39.28,1675.0
39.305,39.31,39.305,39.31,300.0
39.29,39.3,39.28,39.3,1680.0
39.275,39.28,39.25,39.27,8155.0
39.25,39.28,39.25,39.27,5401.0
39.27,39.27,39.24,39.24,600.0
39.31,39.31,39.26,39.26,2016.0
39.32,39.32,39.315,39.32,800.0
39.3,39.31,39.282,39.31,8707.0
39.3,39.3,39.29,39.29,2100.0
39.3,39.31,39.3,39.31,3000.0
39.325,39.34,39.31,39.31,4501.0
39.34,39.36,39.32,39.32,2900.0
39.34,39.35,39.34,39.34,3200.0
39.335,39.34,39.325,39.34,3200.0
39.34,39.34,39.31,39.33,4300.0
39.34,39.355,39.335,39.34,3000.0
39.34,39.34,39.33,39.33,1400.0
