Open,High,Low,Close,Volume
26.365,26.41,26.365,26.41,950.0
26.37,26.4,26.34,26.36,13439.0
26.3807,26.4,26.375,26.38,900.0
26.38,26.4,26.376,26.384,1092.0
26.44,26.44,26.38,26.38,4089.0
26.42,26.42,26.4,26.41,300.0
26.44,26.44,26.39,26.4104,2800.0
26.39,26.42,26.39,26.42,1515.0
26.38,26.39,26.38,26.39,1200.0
26.3528,26.3979,26.3528,26.39,2463.0
26.32,26.37,26.291,26.36,14073.0
26.37,26.37,26.34,26.34,500.0
26.38,26.4,26.37,26.37,3386.0
26.42,26.42,26.38,26.38,700.0
26.4,26.41,26.39,26.397,1800.0
26.38,26.4,26.36,26.4,1600.0
26.36,26.37,26.36,26.37,990.0
26.35,26.37,26.35,26.37,500.0
26.35,26.35,26.34,26.34,300.0
26.32,26.332,26.32,26.33,636.0
26.31,26.31,26.29,26.29,1300.0
26.31,26.31,26.3,26.303,1600.0
26.33,26.33,26.3,26.3,1206.0
26.32,26.33,26.31,26.33,700.0
26.3199,26.32,26.31,26.31,1300.0
26.305,26.32,26.3,26.32,784.0
26.33,26.33,26.3,26.3035,2425.0
26.3249,26.3249,26.3249,26.3249,100.0
26.3,26.31,26.2996,26.31,967.0
26.29,26.3,26.27,26.3,6330.0
26.25,26.29,26.25,26.29,1600.0
26.21,26.25,26.21,26.23,3550.0
26.23,26.23,26.195,26.195,1210.0
26.27,26.27,26.23,26.23,1600.0
26.27,26.27,26.265,26.27,300.0
26.26,26.265,26.255,26.265,1513.0
26.27,26.27,26.26,26.26,1559.0
26.26,26.28,26.26,26.27,2233.0
26.25,26.25,26.24,26.25,4300.0
26.26,26.26,26.25,26.26,2179.0
26.285,26.285,26.26,26.26,2459.0
26.3,26.3,26.28,26.28,2073.0
26.27,26.3,26.27,26.3,2350.0
26.28,26.28,26.28,26.28,100.0
26.235,26.27,26.235,26.27,3100.0
26.21,26.23,26.21,26.23,1000.0
26.22,26.22,26.19,26.2,2509.0
26.22,26.225,26.22,26.22,1000.0
26.235,26.235,26.215,26.22,2300.0
26.24,26.25,26.235,26.24,1736.0
26.23,26.2399,26.23,26.2399,2702.0
26.22,26.23,26.21,26.23,918.0
26.23,26.23,26.22,26.22,1300.0
26.26,26.26,26.235,26.24,1700.0
26.245,26.26,26.24,26.255,3514.0
26.23,26.25,26.23,26.25,1200.0
26.245,26.25,26.23,26.23,1838.0
26.19,26.23,26.19,26.23,12113.0
26.2,26.205,26.18,26.205,2238.0
26.19,26.21,26.18,26.21,700.0
26.175,26.185,26.165,26.185,2700.0
26.19,26.19,26.17,26.175,900.0
26.2,26.2,26.185,26.19,4309.0
26.175,26.2,26.17,26.19,6918.0
26.17,26.18,26.155,26.17,20173.0
26.195,26.2,26.165,26.165,11635.0
26.235,26.235,26.19,26.19,10212.0
26.22,26.23,26.21,26.225,2119.0
26.21,26.215,26.195,26.215,9763.0
26.22,26.225,26.2,26.215,13415.0
26.285,26.29,26.225,26.229,35897.0
26.3,26.3,26.275,26.28,4362.0
26.275,26.295,26.275,26.295,5926.0
26.28,26.3,26.27,26.279,12100.0
26.27,26.28,26.27,26.2754,1900.0
26.28,26.28,26.255,26.265,9367.0
26.28,26.29,26.27,26.27,9443.0
26.29,26.29,26.28,26.285,1144.0
26.26,26.28,26.245,26.28,4419.0
26.28,26.28,26.255,26.26,16957.0
26.27,26.28,26.255,26.27,10425.0
26.265,26.28,26.26,26.27,9000.0
26.265,26.27,26.259,26.26,5456.0
26.245,26.285,26.2361,26.255,22108.0
26.255,26.26,26.225,26.245,22510.0
26.22,26.26,26.22,26.25,25141.0
26.195,26.22,26.19,26.219,23589.0
26.175,26.19,26.16,26.19,20089.0
26.18,26.2,26.165,26.18,28919.0
26.175,26.19,26.17,26.19,1827.0
26.15,26.18,26.15,26.175,9115.0
26.15,26.16,26.14,26.16,13663.0
26.145,26.16,26.14,26.14,7259.0
26.12,26.15,26.119,26.15,4723.0
26.13,26.145,26.11,26.14,14320.0
26.09,26.13,26.08,26.125,47286.0
26.05,26.08,26.04,26.08,16051.0
26.01,26.05,26.0,26.05,9798.0
26.0,26.015,25.99,26.01,10593.0
26.005,26.01,25.99,25.995,3716.0
26.005,26.01,25.995,26.0,4803.0
26.01,26.02,26.0,26.005,3443.0
25.99,26.01,25.97,26.01,31556.0
25.975,25.99,25.97,25.99,2800.0
25.97,25.985,25.94,25.97,16887.0
25.94,25.97,25.94,25.96,3110.0
25.93,25.94,25.92,25.93,5600.0
25.91,25.93,25.9,25.93,4132.0
25.87,25.9,25.86,25.9,6687.0
25.77,25.85,25.77,25.85,5768.0
25.78,25.79,25.75,25.77,3522.0
25.8,25.805,25.775,25.78,5432.0
25.81,25.81,25.7811,25.79,4239.0
25.84,25.85,25.79,25.8,2860.0
25.88,25.88,25.84,25.84,3300.0
25.86,25.87,25.86,25.87,1115.0
25.82,25.86,25.8146,25.86,2380.0
25.82,25.83,25.8,25.81,5132.0
25.87,25.87,25.8232,25.825,4049.0
25.86,25.87,25.85,25.86,2183.0
25.86,25.88,25.86,25.8643,5703.0
25.84,25.85,25.84,25.85,2348.0
25.86,25.865,25.835,25.84,4282.0
25.86,25.86,25.835,25.85,3354.0
25.83,25.85,25.815,25.85,3000.0
25.83,25.85,25.825,25.825,7713.0
25.8,25.84,25.79,25.83,6790.0
25.78,25.81,25.78,25.81,5140.0
25.8,25.8,25.77,25.77,4066.0
25.82,25.82,25.8,25.8,1500.0
25.82,25.82,25.805,25.81,2437.0
25.82,25.83,25.82,25.82,10367.0
25.81,25.82,25.8,25.82,5820.0
25.82,25.82,25.81,25.81,1543.0
25.86,25.86,25.815,25.82,4165.0
25.86,25.87,25.84,25.86,3031.0
25.85,25.86,25.8496,25.86,3027.0
25.89,25.89,25.84,25.845,4714.0
25.87,25.88,25.87,25.88,1000.0
25.87,25.87,25.865,25.87,1900.0
25.89,25.89,25.87,25.87,3016.0
25.88,25.89,25.86,25.89,2501.0
25.885,25.89,25.87,25.87,2800.0
25.91,25.92,25.89,25.89,1701.0
25.93,25.93,25.9158,25.9158,1312.0
25.94,25.94,25.92,25.92,1921.0
25.91,25.94,25.91,25.94,2500.0
25.91,25.92,25.905,25.91,1500.0
25.92,25.92,25.91,25.91,1400.0
25.93,25.93,25.92,25.92,1600.0
25.945,25.95,25.93,25.93,2184.0
25.925,25.94,25.915,25.94,4553.0
25.94,25.94,25.93,25.93,1842.0
25.95,25.95,25.94,25.94,3656.0
25.98,25.98,25.95,25.95,4567.0
25.98,25.98,25.96,25.97,2600.0
25.985,25.99,25.97,25.98,1954.0
26.01,26.02,25.985,25.99,3062.0
26.01,26.02,26.01,26.01,2511.0
26.0,26.02,26.0,26.01,3815.0
26.01,26.01,26.0,26.01,800.0
26.0,26.0035,25.98,26.0035,4705.0
25.99,25.99,25.98,25.99,1980.0
25.98,26.0,25.98,25.99,1423.0
25.98,25.99,25.98,25.98,2528.0
25.95,25.97,25.95,25.97,2223.0
25.94,25.96,25.94,25.95,900.0
25.94,25.95,25.925,25.93,3506.0
25.93,25.94,25.93,25.94,1224.0
25.92,25.92,25.92,25.92,800.0
25.95,25.95,25.93,25.93,900.0
25.95,25.96,25.95,25.96,1237.0
25.96,25.96,25.9431,25.9431,951.0
25.945,25.95,25.93,25.95,1300.0
25.92,25.94,25.92,25.94,1700.0
25.91,25.9255,25.905,25.9255,1400.0
25.91,25.92,25.9,25.92,1757.0
25.89,25.9,25.88,25.9,900.0
25.91,25.9153,25.9,25.9,1853.0
25.9,25.92,25.87,25.92,15866.0
25.93,25.93,25.9,25.9,2400.0
25.94,25.94,25.93,25.93,1600.0
25.93,25.94,25.92,25.94,1524.0
25.91,25.93,25.905,25.93,2500.0
25.91,25.92,25.91,25.91,1079.0
25.9,25.92,25.9,25.9155,1206.0
25.94,25.94,25.91,25.91,6198.0
25.93,25.94,25.92,25.94,2001.0
25.92,25.93,25.91,25.93,2400.0
25.935,25.935,25.92,25.92,1300.0
25.935,25.94,25.93,25.94,1459.0
25.93,25.94,25.93,25.94,3401.0
25.94,25.95,25.93,25.93,2100.0
25.96,25.96,25.95,25.95,2300.0
25.94,25.96,25.93,25.96,2280.0
25.92,25.93,25.91,25.93,1800.0
25.9,25.915,25.9,25.915,6148.0
25.88,25.89,25.865,25.89,3501.0
25.86,25.88,25.86,25.875,700.0
25.87,25.87,25.86,25.86,1000.0
25.87,25.885,25.87,25.88,1736.0
25.87,25.89,25.87,25.88,900.0
25.86,25.86,25.85,25.86,2020.0
25.891,25.891,25.855,25.855,3100.0
25.88,25.89,25.88,25.89,1200.0
25.91,25.91,25.88,25.88,2400.0
25.93,25.93,25.91,25.92,1836.0
25.93,25.94,25.92,25.92,1460.0
25.93,25.93,25.93,25.93,750.0
25.92,25.92,25.915,25.92,1300.0
25.91,25.91,25.91,25.91,1100.0
25.9,25.9001,25.89,25.9001,3300.0
25.885,25.89,25.88,25.89,1000.0
25.9,25.9,25.88,25.89,1000.0
25.91,25.92,25.91,25.91,2962.0
25.92,25.92,25.91,25.91,1400.0
25.9,25.91,25.89,25.91,2160.0
25.88,25.9,25.88,25.89,2900.0
