Open,High,Low,Close,Volume
91.105,91.5,90.67,91.33,45284.0
91.17,91.47,90.98,90.98,11452.0
91.23,91.2725,91.21,91.21,8341.0
91.14,91.23,91.09,91.23,5511.0
90.98,91.26,90.96,91.26,94567.0
91.0,91.08,90.95,91.0,6900.0
91.02,91.08,91.01,91.05,103745.0
90.881,91.04,90.88,91.04,9499.0
90.77,90.88,90.66,90.88,7260.0
90.76,90.815,90.7,90.815,4068.0
90.575,90.78,90.56,90.78,13802.0
90.43,90.61,90.4,90.575,6220.0
90.61,90.61,90.4,90.43,3000.0
90.68,90.76,90.57,90.585,8336.0
90.61,90.71,90.61,90.68,13637.0
90.54,90.61,90.41,90.595,21174.0
90.435,90.63,90.435,90.54,18270.0
90.41,90.54,90.26,90.41,55273.0
90.59,90.75,90.44,90.44,25657.0
90.62,90.64,90.47,90.605,12507.0
90.47,90.64,90.33,90.63,41580.0
90.743,90.83,90.37,90.46,22825.0
90.83,90.88,90.66,90.66,28852.0
90.86,90.93,90.85,90.85,3849.0
90.825,90.91,90.78,90.81,27652.0
90.77,90.83,90.77,90.82,2600.0
90.72,90.86,90.67,90.77,13334.0
90.87,90.87,90.7664,90.77,3732.0
90.905,90.95,90.84,90.91,3356.0
90.94,91.02,90.85,90.88,5300.0
90.95,91.02,90.94,90.98,3700.0
90.96,91.01,90.96,91.01,6627.0
90.95,91.04,90.95,90.98,14134.0
91.0,91.05,90.95,90.95,12979.0
91.005,91.005,90.94,90.98,7501.0
90.95,91.03,90.95,91.005,8096.0
91.06,91.06,90.96,90.96,2292.0
91.21,91.21,91.01,91.04,5236.0
91.065,91.175,91.04,91.16,6677.0
91.07,91.13,91.02,91.04,11863.0
91.11,91.12,91.07,91.07,1859.0
91.03,91.11,91.02,91.105,3500.0
91.19,91.19,91.05,91.08,5706.0
91.23,91.25,91.21,91.22,4971.0
91.18,91.35,91.18,91.23,16539.0
91.18,91.26,91.15,91.19,14490.0
91.2,91.21,91.15,91.16,13971.0
91.17,91.199,91.11,91.199,6869.0
91.335,91.335,91.19,91.2,2400.0
91.22,91.3,91.2,91.3,2700.0
91.16,91.26,91.13,91.2499,4936.0
91.13,91.15,91.13,91.15,7400.0
91.15,91.15,91.06,91.1201,7607.0
91.14,91.16,91.11,91.14,7579.0
91.15,91.16,91.14,91.15,8040.0
91.1401,91.15,91.14,91.15,7724.0
91.24,91.24,91.15,91.15,5778.0
91.3,91.33,91.24,91.25,2100.0
91.31,91.31,91.28,91.3,2100.0
91.29,91.33,91.28,91.29,3711.0
91.2901,91.31,91.25,91.25,1639.0
91.34,91.345,91.32,91.32,600.0
91.38,91.39,91.34,91.34,7603.0
91.37,91.38,91.37,91.375,1334.0
91.31,91.36,91.31,91.36,2200.0
91.27,91.35,91.25,91.31,8004.0
91.3599,91.3599,91.25,91.26,8464.0
91.39,91.39,91.36,91.36,1400.0
91.41,91.4175,91.37,91.38,3300.0
91.35,91.42,91.35,91.4,2600.0
91.39,91.39,91.36,91.36,1800.0
91.42,91.42,91.36,91.38,1102.0
91.43,91.44,91.4036,91.42,4136.0
91.38,91.46,91.38,91.43,7537.0
91.34,91.37,91.32,91.37,1500.0
91.24,91.34,91.24,91.335,1813.0
91.23,91.24,91.21,91.22,800.0
91.2,91.24,91.1751,91.22,4490.0
91.17,91.2,91.15,91.2,7675.0
91.19,91.21,91.16,91.17,5582.0
91.2,91.2,91.16,91.19,1050.0
91.19,91.21,91.18,91.185,7687.0
91.2,91.21,91.15,91.19,4488.0
91.24,91.24,91.18,91.18,5066.0
91.19,91.22,91.19,91.205,1726.0
91.19,91.2,91.19,91.19,546.0
91.22,91.22,91.2,91.2,800.0
91.23,91.24,91.2,91.2,1508.0
91.27,91.27,91.22,91.22,3300.0
91.29,91.29,91.26,91.26,1433.0
91.28,91.3,91.26,91.29,4278.0
91.355,91.36,91.26,91.3,16748.0
91.34,91.37,91.32,91.36,17778.0
91.38,91.43,91.33,91.33,42281.0
91.3875,91.4,91.36,91.38,8626.0
91.39,91.41,91.36,91.36,1400.0
91.39,91.41,91.39,91.4,600.0
91.4,91.45,91.4,91.41,3748.0
91.43,91.44,91.4,91.4,1100.0
91.43,91.47,91.43,91.43,2954.0
91.39,91.43,91.39,91.42,1100.0
91.33,91.39,91.32,91.39,5121.0
91.32,91.34,91.32,91.3201,1600.0
91.2704,91.31,91.24,91.31,5746.0
91.31,91.32,91.28,91.28,1600.0
91.31,91.31,91.28,91.31,1010.0
91.265,91.31,91.26,91.31,1300.0
91.28,91.28,91.25,91.28,400.0
91.31,91.31,91.25,91.25,2217.0
91.32,91.32,91.3,91.3,1300.0
91.2308,91.32,91.2308,91.31,1805.0
91.29,91.29,91.25,91.25,1600.0
91.2,91.28,91.2,91.27,2830.0
91.235,91.25,91.19,91.19,1785.0
91.27,91.27,91.21,91.25,3200.0
91.25,91.28,91.21,91.28,1550.0
91.28,91.3,91.23,91.23,1500.0
91.23,91.27,91.23,91.27,1200.0
91.23,91.23,91.18,91.19,3100.0
91.24,91.24,91.2,91.23,1004.0
91.23,91.23,91.21,91.22,470.0
91.2,91.2301,91.2,91.2301,1100.0
91.23,91.2375,91.22,91.22,1000.0
91.27,91.28,91.21,91.21,1100.0
91.25,91.26,91.25,91.26,200.0
91.27,91.27,91.24,91.24,200.0
91.18,91.25,91.18,91.25,1100.0
91.19,91.2,91.16,91.18,2000.0
91.185,91.19,91.17,91.17,1200.0
91.215,91.23,91.2,91.2,3285.0
91.25,91.2599,91.2,91.24,6542.0
91.28,91.28,91.23,91.26,1162.0
91.24,91.25,91.24,91.25,600.0
91.23,91.25,91.21,91.23,3090.0
91.19,91.23,91.17,91.23,6646.0
91.28,91.28,91.19,91.2,8154.0
91.28,91.28,91.245,91.245,510.0
91.275,91.28,91.275,91.28,300.0
91.28,91.31,91.27,91.27,2700.0
91.29,91.29,91.27,91.27,3893.0
91.25,91.289,91.25,91.289,420.0
91.23,91.26,91.23,91.26,600.0
91.23,91.25,91.23,91.23,2000.0
91.18,91.23,91.18,91.23,2200.0
91.2,91.2,91.16,91.16,1864.0
91.17,91.1975,91.17,91.19,2200.0
91.185,91.19,91.17,91.17,1000.0
91.2,91.2,91.185,91.19,4542.0
91.2,91.22,91.19,91.195,9680.0
91.195,91.24,91.195,91.2,5189.0
91.2,91.22,91.19,91.2,6712.0
91.22,91.22,91.19,91.2,8078.0
