Open,High,Low,Close,Volume
64.19,64.25,64.16,64.25,300.0
64.04,64.19,64.04,64.19,200.0
64.26,64.26,64.26,64.26,100.0
64.12,64.15,63.99,63.99,640.0
64.24,64.24,64.13,64.13,300.0
64.39,64.39,64.29,64.29,400.0
64.39,64.39,64.39,64.39,100.0
64.31,64.32,64.31,64.31,338.0
64.29,64.33,64.18,64.24,1310.0
64.26,64.32,64.19,64.24,1472.0
64.3,64.34,64.3,64.34,400.0
64.38,64.38,64.38,64.38,100.0
64.54,64.54,64.3761,64.3761,5400.0
64.47,64.5,64.47,64.5,300.0
64.39,64.43,64.39,64.43,300.0
64.4,64.4,64.4,64.4,100.0
64.27,64.39,64.27,64.39,900.0
64.21,64.27,64.19,64.22,1900.0
64.16,64.235,64.16,64.235,200.0
64.25,64.25,64.25,64.25,300.0
64.21,64.26,64.08,64.26,8478.0
64.15,64.195,64.06,64.06,1200.0
64.23,64.23,64.23,64.23,100.0
64.38,64.38,64.32,64.33,300.0
64.48,64.48,64.4,64.4,400.0
64.44,64.44,64.44,64.44,100.0
64.445,64.47,64.42,64.47,679.0
64.35,64.4,64.35,64.39,500.0
64.28,64.28,64.28,64.28,200.0
64.32,64.33,64.3,64.32,502.0
64.29,64.33,64.29,64.32,500.0
64.32,64.32,64.23,64.27,500.0
64.35,64.35,64.28,64.35,900.0
64.35,64.35,64.305,64.31,900.0
64.3,64.35,64.3,64.35,1200.0
64.32,64.33,64.3,64.33,1400.0
64.33,64.33,64.33,64.33,100.0
64.34,64.34,64.33,64.33,200.0
64.34,64.39,64.34,64.39,600.0
64.34,64.365,64.34,64.365,1305.0
64.36,64.36,64.36,64.36,200.0
64.33,64.34,64.33,64.33,500.0
64.36,64.37,64.33,64.33,1400.0
64.41,64.41,64.37,64.37,200.0
64.39,64.39,64.34,64.39,1000.0
64.31,64.39,64.31,64.38,1700.0
64.3,64.3,64.28,64.29,1642.0
64.31,64.31,64.3,64.3,700.0
64.37,64.37,64.34,64.34,200.0
64.31,64.355,64.31,64.33,3437.0
64.33,64.33,64.28,64.3,701.0
64.3,64.305,64.3,64.3,1500.0
64.29,64.3,64.29,64.3,1400.0
64.26,64.3,64.26,64.3,4101.0
64.29,64.29,64.27,64.27,2600.0
64.33,64.34,64.3,64.3,1100.0
64.32,64.34,64.28,64.34,5000.0
64.32,64.32,64.29,64.31,500.0
64.41,64.42,64.37,64.37,1599.0
64.4,64.42,64.39,64.4,1400.0
64.42,64.42,64.39,64.39,2000.0
64.39,64.415,64.38,64.415,1297.0
64.4,64.4,64.39,64.4,400.0
64.4,64.4,64.4,64.4,300.0
64.4,64.41,64.39,64.39,900.0
64.4,64.4,64.39,64.39,200.0
64.395,64.4,64.38,64.39,1415.0
64.41,64.41,64.38,64.38,833.0
64.44,64.46,64.41,64.41,2950.0
64.44,64.44,64.44,64.44,900.0
64.38,64.45,64.38,64.44,3094.0
64.41,64.41,64.39,64.39,300.0
64.39,64.4,64.38,64.4,1791.0
64.36,64.39,64.35,64.3651,5402.0
64.43,64.43,64.38,64.38,1302.0
64.4,64.42,64.4,64.42,700.0
64.385,64.395,64.38,64.39,1600.0
64.42,64.425,64.39,64.39,1150.0
64.33,64.39,64.33,64.39,400.0
64.37,64.38,64.37,64.37,300.0
64.36,64.36,64.34,64.36,832.0
64.32,64.33,64.32,64.33,200.0
64.35,64.35,64.31,64.31,1500.0
64.325,64.34,64.32,64.34,1508.0
64.35,64.35,64.33,64.33,800.0
64.34,64.34,64.33,64.33,300.0
64.31,64.34,64.29,64.34,2505.0
64.2975,64.31,64.295,64.3,400.0
64.31,64.32,64.3,64.3,400.0
64.28,64.33,64.28,64.33,1000.0
64.33,64.33,64.3,64.3,1200.0
64.32,64.34,64.31,64.34,805.0
64.33,64.33,64.325,64.325,800.0
64.28,64.33,64.28,64.33,1338.0
64.27,64.29,64.25,64.27,3250.0
64.28,64.28,64.28,64.28,401.0
64.28,64.28,64.27,64.27,1450.0
64.29,64.29,64.2749,64.275,952.0
64.29,64.29,64.29,64.29,300.0
