Open,High,Low,Close,Volume
44.98,44.98,44.98,44.98,190078.0
45.0,45.05,44.9,44.9,21108.0
44.93,45.07,44.86,45.049,8750.0
44.9566,44.99,44.94,44.94,4295.0
44.9,44.98,44.88,44.96,9125.0
44.95,44.97,44.88,44.89,17375.0
44.97,44.99,44.94,44.94,21324.0
44.98,45.0,44.95,44.97,14272.0
44.99,45.01,44.98,44.98,18702.0
45.0,45.04,44.98,44.995,16477.0
45.05,45.1,45.0,45.0025,22188.0
45.09,45.11,45.053,45.053,10716.0
45.1,45.105,45.06,45.09,19040.0
45.15,45.17,45.09,45.105,16539.0
45.1176,45.16,45.11,45.1599,4500.0
45.105,45.115,45.09,45.115,9887.0
45.065,45.105,45.04,45.105,16442.0
45.02,45.07,45.01,45.06,18504.0
45.07,45.0775,45.01,45.01,29023.0
45.075,45.08,45.05,45.08,5744.0
45.02,45.07,45.0,45.07,13239.0
45.0,45.035,44.99,45.02,8364.0
44.965,45.02,44.96,45.01,30304.0
45.02,45.03,44.955,44.96,17023.0
45.08,45.085,45.0,45.025,9790.0
45.075,45.1,45.07,45.08,12439.0
45.06,45.085,45.06,45.065,13787.0
45.13,45.13,45.0666,45.0666,3926.0
45.125,45.13,45.09,45.12,25655.0
45.14,45.18,45.12,45.13,28093.0
45.16,45.16,45.12,45.13,11150.0
45.125,45.18,45.1,45.16,32918.0
45.075,45.13,45.07,45.115,11252.0
45.025,45.1,45.02,45.08,8085.0
45.0,45.03,44.99,45.0238,16732.0
44.995,45.02,44.99,45.0,9862.0
45.03,45.03,44.98,44.99,10191.0
45.03,45.05,45.02,45.025,11000.0
45.0,45.02,44.98,45.02,12269.0
45.05,45.05,45.01,45.01,2435.0
45.01,45.06,45.01,45.06,7383.0
44.9444,45.0,44.94,45.0,11194.0
44.977,44.985,44.945,44.945,5857.0
44.99,44.995,44.98,44.99,8100.0
44.99,45.02,44.975,44.98,7450.0
45.02,45.04,44.99,44.99,4750.0
45.04,45.05,45.015,45.015,2475.0
45.07,45.07,45.04,45.04,3700.0
45.05,45.08,45.05,45.07,5264.0
45.0399,45.05,45.02,45.05,4825.0
45.06,45.07,45.0265,45.04,7689.0
45.045,45.06,45.04,45.06,4368.0
45.01,45.05,45.01,45.05,1800.0
45.05,45.055,45.005,45.01,11169.0
45.035,45.05,45.025,45.04,4586.0
44.9957,45.04,44.99,45.03,20778.0
44.99,45.0,44.97,44.995,5494.0
44.97,44.99,44.97,44.99,4010.0
44.99,45.005,44.985,44.9899,7755.0
44.99,45.0,44.98,44.985,2679.0
45.03,45.03,44.98,44.9964,5209.0
45.02,45.03,45.01,45.03,5600.0
45.01,45.02,45.01,45.02,6847.0
45.055,45.06,45.0,45.01,8100.0
45.05,45.08,45.045,45.06,32076.0
45.075,45.08,45.05,45.05,7300.0
45.095,45.1,45.075,45.08,7489.0
45.12,45.125,45.1,45.1,15234.0
45.13,45.14,45.1086,45.12,4854.0
45.14,45.14,45.13,45.14,5700.0
45.14,45.16,45.139,45.139,8356.0
45.12,45.1432,45.11,45.14,5000.0
45.15,45.159,45.115,45.115,6628.0
45.12,45.15,45.12,45.14,6250.0
