Open,High,Low,Close,Volume
83.3,83.3,83.24,83.24,61579.0
83.47,83.47,83.2401,83.26,3418.0
83.26,83.38,83.25,83.3601,3813.0
83.16,83.2572,83.16,83.25,4879.0
83.23,83.23,83.15,83.15,800.0
83.15,83.24,83.1,83.17,7707.0
83.08,83.16,83.0,83.16,5546.0
82.96,83.0799,82.96,83.079,8908.0
82.9899,83.03,82.955,82.99,3551.0
82.89,82.99,82.88,82.98,6016.0
82.84,82.93,82.84,82.89,2400.0
82.85,82.95,82.85,82.8999,9706.0
82.88,82.93,82.83,82.85,5763.0
82.9,82.918,82.9,82.918,2872.0
82.95,82.97,82.89,82.9,3963.0
82.93,82.97,82.93,82.95,6757.0
82.84,82.94,82.84,82.94,7434.0
82.79,82.84,82.78,82.8,6370.0
82.79,82.81,82.77,82.8,3550.0
82.81,82.84,82.78,82.8,4079.0
82.7395,82.82,82.72,82.82,8716.0
82.67,82.76,82.67,82.74,6940.0
82.7,82.71,82.6671,82.6671,2800.0
82.75,82.78,82.67,82.68,5601.0
82.72,82.77,82.72,82.75,5094.0
82.75,82.76,82.7185,82.7185,5365.0
82.7,82.75,82.7,82.75,104687.0
82.64,82.7,82.63,82.68,6392.0
82.58,82.66,82.56,82.65,44396.0
82.56,82.62,82.55,82.58,17074.0
82.54,82.57,82.53,82.56,8156.0
82.59,82.62,82.53,82.53,11690.0
82.6,82.63,82.59,82.63,9091.0
82.67,82.67,82.6,82.605,6889.0
82.66,82.67,82.62,82.67,8912.0
82.69,82.72,82.653,82.653,5480.0
82.67,82.7,82.66,82.67,4844.0
82.68,82.69,82.65,82.66,5059.0
82.672,82.69,82.67,82.69,1579.0
82.6,82.67,82.59,82.67,4648.0
82.6,82.61,82.58,82.61,10917.0
82.5825,82.61,82.5825,82.61,2754.0
82.5201,82.58,82.515,82.58,9152.0
82.46,82.51,82.46,82.51,20406.0
82.51,82.51,82.44,82.44,9625.0
82.5,82.53,82.49,82.49,5728.0
82.46,82.5,82.46,82.5,5361.0
82.51,82.51,82.45,82.45,4232.0
82.56,82.56,82.51,82.52,7156.0
82.5599,82.575,82.55,82.57,5378.0
82.5,82.56,82.5,82.56,4922.0
82.46,82.4965,82.46,82.4965,3722.0
82.421,82.46,82.42,82.46,8981.0
82.45,82.45,82.42,82.42,5588.0
82.4,82.45,82.39,82.45,16334.0
82.4,82.41,82.39,82.4,11124.0
82.4,82.41,82.39,82.4,13496.0
82.39,82.4,82.38,82.4,12961.0
82.37,82.3863,82.37,82.38,4921.0
82.355,82.361,82.3425,82.361,14867.0
82.365,82.38,82.34,82.355,40199.0
82.34,82.37,82.33,82.365,47472.0
82.38,82.39,82.34,82.35,10210.0
82.45,82.47,82.39,82.39,11365.0
82.42,82.45,82.41,82.45,7033.0
82.39,82.4499,82.38,82.43,23557.0
82.3935,82.4,82.38,82.39,17449.0
82.35,82.4,82.35,82.395,11615.0
82.2948,82.36,82.2948,82.36,11609.0
82.291,82.31,82.28,82.294,10624.0
82.29,82.3,82.275,82.29,19192.0
82.275,82.3,82.27,82.2962,20221.0
82.245,82.27,82.23,82.27,24760.0
82.26,82.26,82.22,82.25,19461.0
82.22,82.27,82.2157,82.27,14127.0
82.19,82.23,82.18,82.22,8436.0
82.27,82.27,82.19,82.19,12085.0
82.27,82.28,82.24,82.2663,9522.0
82.28,82.285,82.25,82.27,6109.0
82.3,82.3,82.275,82.275,6949.0
82.29,82.3,82.29,82.3,23150.0
82.25,82.31,82.24,82.285,7591.0
82.22,82.24,82.22,82.24,4668.0
82.23,82.23,82.22,82.22,6745.0
82.255,82.26,82.225,82.225,33068.0
82.25,82.26,82.23,82.255,8027.0
82.23,82.25,82.22,82.245,6272.0
82.175,82.22,82.17,82.22,10044.0
82.13,82.17,82.1,82.17,21507.0
82.17,82.17,82.13,82.135,12317.0
82.28,82.28,82.17,82.17,15649.0
82.23,82.28,82.22,82.28,15236.0
82.2,82.2314,82.18,82.22,7995.0
82.165,82.211,82.16,82.2,6736.0
82.05,82.173,82.01,82.173,21209.0
82.04,82.07,82.0,82.052,16925.0
82.0154,82.06,81.99,82.04,15135.0
82.05,82.05,82.015,82.015,5798.0
82.015,82.07,82.01,82.055,6659.0
82.06,82.06,82.0178,82.0199,5594.0
82.12,82.12,82.0525,82.055,8176.0
82.11,82.17,82.1,82.12,11966.0
82.12,82.15,82.12,82.1288,1244.0
82.11,82.12,82.11,82.11,4539.0
82.14,82.15,82.1,82.11,5093.0
