Open,High,Low,Close,Volume
87.8,87.8,87.76,87.77,9351.0
87.8,87.8,87.78,87.78,1600.0
87.78,87.805,87.78,87.805,300.0
87.79,87.79,87.76,87.76,4313.0
87.76,87.765,87.75,87.76,124499.0
87.76,87.76,87.75,87.75,4179.0
87.78,87.81,87.76,87.76,5565.0
87.815,87.815,87.78,87.7825,5820.0
87.8,87.815,87.8,87.815,2200.0
87.75,87.805,87.75,87.8,10813.0
87.75,87.76,87.75,87.755,300.0
87.75,87.755,87.75,87.75,4423.0
87.75,87.76,87.745,87.75,19559.0
87.76,87.765,87.76,87.76,1414.0
87.76,87.76,87.75,87.76,2207.0
87.76,87.76,87.76,87.76,1200.0
87.75,87.76,87.75,87.76,1100.0
87.745,87.755,87.745,87.755,2400.0
87.73,87.74,87.73,87.74,2467.0
87.73,87.74,87.73,87.74,600.0
87.735,87.74,87.73,87.73,500.0
87.74,87.75,87.735,87.74,11736.0
87.74,87.745,87.74,87.745,800.0
87.73,87.74,87.73,87.74,1210.0
87.74,87.75,87.74,87.74,2245.0
87.74,87.74,87.74,87.74,200.0
87.74,87.74,87.73,87.73,700.0
87.75,87.75,87.735,87.735,5824.0
87.77,87.77,87.75,87.76,3047.0
87.77,87.77,87.77,87.77,900.0
87.75,87.765,87.75,87.76,900.0
87.76,87.76,87.75,87.75,1806.0
87.77,87.77,87.76,87.76,1677.0
87.755,87.765,87.75,87.765,14482.0
87.76,87.76,87.76,87.76,300.0
87.76,87.76,87.76,87.76,400.0
87.76,87.76,87.76,87.76,100.0
87.75,87.76,87.75,87.76,200.0
87.75,87.75,87.75,87.75,400.0
87.75,87.76,87.75,87.76,2300.0
87.76,87.76,87.74,87.75,14986.0
87.7633,87.77,87.7633,87.77,200.0
87.755,87.765,87.75,87.76,2000.0
87.76,87.77,87.75,87.75,2500.0
87.755,87.76,87.75,87.76,900.0
87.76,87.76,87.76,87.76,1300.0
87.75,87.76,87.75,87.75,1100.0
87.75,87.75,87.75,87.75,100.0
87.75,87.76,87.75,87.75,1300.0
87.75,87.76,87.75,87.7554,2559.0
87.75,87.76,87.75,87.76,3700.0
87.75,87.76,87.75,87.75,6052.0
87.755,87.755,87.75,87.75,1881.0
87.73,87.755,87.73,87.75,16014.0
87.74,87.74,87.7354,87.74,1305.0
87.735,87.735,87.73,87.73,7035.0
