Open,High,Low,Close,Volume
191.06,191.295,191.06,191.06,24223.0
191.17,191.3,191.17,191.18,1300.0
191.3575,191.43,191.15,191.28,6922.0
191.37,191.5,191.37,191.49,2440.0
191.43,191.58,191.38,191.4999,5441.0
191.3,191.49,191.22,191.39,11661.0
191.24,191.36,191.22,191.3,6276.0
191.47,191.64,191.34,191.34,5669.0
191.35,191.365,191.29,191.31,2750.0
191.22,191.34,191.18,191.25,6200.0
191.24,191.3075,191.17,191.185,4309.0
191.31,191.31,191.17,191.22,2719.0
191.33,191.44,191.32,191.32,3118.0
191.36,191.36,191.34,191.34,500.0
191.56,191.59,191.44,191.44,4350.0
191.325,191.57,191.325,191.535,4628.0
191.52,191.52,191.3,191.35,3899.0
191.4,191.54,191.33,191.52,3966.0
191.46,191.46,191.37,191.38,1000.0
191.4565,191.4999,191.45,191.49,1994.0
191.36,191.45,191.31,191.45,2500.0
191.38,191.38,191.345,191.35,1400.0
191.34,191.34,191.2885,191.34,1500.0
191.33,191.42,191.33,191.35,2600.0
191.37,191.37,191.29,191.34,6026.0
191.29,191.375,191.29,191.35,2100.0
191.35,191.45,191.26,191.27,27364.0
191.282,191.4,191.25,191.36,13990.0
191.28,191.34,191.25,191.31,5530.0
191.11,191.27,191.11,191.27,10114.0
191.16,191.17,191.0848,191.14,4297.0
191.17,191.21,191.17,191.1925,2851.0
191.22,191.22,191.108,191.18,4650.0
191.25,191.27,191.22,191.22,1300.0
191.195,191.27,191.19,191.2405,2500.0
191.16,191.23,191.16,191.22,702.0
191.17,191.17,191.15,191.15,200.0
190.96,191.19,190.96,191.1413,5380.0
191.015,191.015,190.95,190.95,3800.0
190.97,191.03,190.97,191.03,2001.0
190.7901,190.93,190.7901,190.92,5936.0
190.67,190.83,190.67,190.79,7118.0
190.57,190.72,190.57,190.72,1900.0
190.6,190.61,190.5201,190.5201,4910.0
190.64,190.65,190.575,190.6,1904.0
190.68,190.73,190.63,190.65,3900.0
190.72,190.72,190.675,190.68,2000.0
190.715,190.73,190.62,190.69,3999.0
190.63,190.74,190.63,190.7204,2081.0
190.52,190.59,190.51,190.59,2436.0
190.42,190.52,190.39,190.52,5335.0
190.355,190.47,190.31,190.46,2993.0
190.36,190.36,190.29,190.33,2800.0
190.35,190.36,190.3,190.35,2700.0
190.42,190.46,190.37,190.37,3107.0
190.405,190.45,190.39,190.45,1883.0
190.3,190.39,190.26,190.39,5020.0
190.2,190.275,190.2,190.27,9734.0
190.28,190.28,190.15,190.2,6906.0
190.48,190.48,190.26,190.26,2000.0
190.42,190.51,190.42,190.48,2946.0
190.45,190.45,190.41,190.41,1400.0
190.529,190.529,190.44,190.44,1500.0
190.49,190.5,190.43,190.5,3603.0
190.59,190.59,190.5,190.5,2100.0
190.6,190.61,190.54,190.56,2425.0
190.47,190.595,190.47,190.57,2100.0
190.291,190.46,190.291,190.46,2816.0
190.33,190.33,190.28,190.29,1628.0
190.18,190.3,190.18,190.3,3741.0
190.21,190.25,190.15,190.23,4320.0
190.205,190.205,190.2,190.2,200.0
190.29,190.34,190.19,190.215,5650.0
190.32,190.35,190.23,190.28,8902.0
190.355,190.37,190.29,190.31,2813.0
190.392,190.41,190.3501,190.38,1102.0
