Open,High,Low,Close,Volume
46.5,46.5,46.48,46.5,35564.0
46.719,46.72,46.4314,46.49,5193.0
46.63,46.66,46.58,46.66,4530.0
46.73,46.73,46.68,46.68,800.0
46.69,46.735,46.6644,46.715,2100.0
46.58,46.71,46.58,46.71,800.0
46.504,46.56,46.504,46.54,900.0
46.5,46.56,46.44,46.515,6438.0
46.44,46.52,46.44,46.52,1000.0
46.51,46.53,46.4815,46.4815,1850.0
46.48,46.5,46.43,46.5,2560.0
46.47,46.5,46.47,46.5,250.0
46.52,46.52,46.47,46.49,2500.0
46.5,46.54,46.49,46.51,2300.0
46.49,46.49,46.49,46.49,477.0
46.49,46.53,46.46,46.49,4225.0
46.52,46.53,46.49,46.4932,1244.0
46.5502,46.56,46.52,46.52,1638.0
46.57,46.57,46.52,46.55,2800.0
46.54,46.56,46.54,46.56,400.0
46.53,46.55,46.53,46.55,600.0
46.49,46.5536,46.49,46.51,3500.0
46.52,46.52,46.47,46.47,1300.0
46.51,46.52,46.51,46.52,1000.0
46.51,46.52,46.485,46.52,5452.0
46.48,46.5,46.48,46.5,840.0
46.49,46.49,46.48,46.48,600.0
46.48,46.49,46.48,46.49,1093.0
46.48,46.48,46.45,46.4799,3145.0
46.4,46.48,46.4,46.47,10838.0
46.4,46.43,46.39,46.4,6893.0
46.39,46.4,46.37,46.39,9711.0
46.4,46.43,46.39,46.39,2162.0
46.41,46.42,46.4,46.4,1501.0
46.43,46.43,46.43,46.43,300.0
46.43,46.4497,46.4,46.42,4777.0
46.42,46.46,46.42,46.44,3494.0
46.44,46.4599,46.42,46.43,2256.0
46.46,46.46,46.445,46.45,1200.0
46.45,46.47,46.44,46.46,2120.0
46.45,46.46,46.44,46.46,3600.0
46.48,46.48,46.46,46.46,700.0
46.5,46.51,46.49,46.5,3800.0
46.53,46.54,46.52,46.52,1925.0
46.56,46.57,46.545,46.55,2366.0
46.53,46.55,46.53,46.54,1400.0
46.56,46.58,46.54,46.54,8657.0
46.51,46.54,46.51,46.54,2700.0
46.54,46.54,46.507,46.52,2000.0
46.53,46.55,46.53,46.53,4268.0
46.53,46.56,46.53,46.55,1600.0
46.54,46.54,46.52,46.53,1000.0
46.53,46.54,46.52,46.5368,1398.0
46.5,46.53,46.5,46.53,1200.0
46.51,46.52,46.5,46.51,2561.0
46.5,46.52,46.49,46.51,3837.0
46.53,46.53,46.495,46.5,1800.0
46.51,46.53,46.5,46.53,2151.0
46.53,46.53,46.52,46.52,2100.0
46.56,46.56,46.525,46.53,1500.0
46.57,46.57,46.54,46.54,3100.0
46.5719,46.5719,46.56,46.56,1400.0
46.58,46.6,46.58,46.58,1249.0
46.54,46.6,46.54,46.585,3911.0
46.54,46.545,46.53,46.54,915.0
46.57,46.57,46.53,46.54,4035.0
46.6,46.6,46.56,46.57,2700.0
46.58,46.6089,46.57,46.6,3853.0
46.61,46.62,46.575,46.58,3400.0
46.57,46.61,46.57,46.6,4408.0
46.57,46.59,46.56,46.58,2800.0
46.56,46.58,46.55,46.55,2054.0
46.58,46.58,46.565,46.57,2602.0
46.6,46.6,46.57,46.58,1500.0
46.605,46.605,46.605,46.605,100.0
46.62,46.635,46.6,46.61,5336.0
46.58,46.625,46.545,46.62,3800.0
46.55,46.57,46.54,46.55,2700.0
46.57,46.57,46.56,46.56,200.0
46.54,46.57,46.54,46.56,2373.0
46.55,46.56,46.54,46.55,3742.0
46.58,46.58,46.5499,46.5499,2457.0
46.6,46.61,46.57,46.57,2000.0
46.58,46.6,46.58,46.6,600.0
46.53,46.575,46.53,46.57,2000.0
46.57,46.57,46.54,46.54,2473.0
46.555,46.56,46.55,46.56,4000.0
46.6,46.61,46.555,46.555,3393.0
46.61,46.62,46.6,46.6,1578.0
46.61,46.62,46.61,46.62,1000.0
46.595,46.62,46.595,46.61,3200.0
46.62,46.62,46.6,46.6,1700.0
46.62,46.63,46.61,46.63,1675.0
46.61,46.61,46.6,46.61,1390.0
46.61,46.61,46.61,46.61,1100.0
46.61,46.61,46.6,46.6,1200.0
46.62,46.625,46.62,46.62,1000.0
46.63,46.64,46.62,46.625,900.0
46.595,46.63,46.595,46.63,4025.0
46.595,46.595,46.595,46.595,400.0
46.595,46.6,46.59,46.6,2700.0
46.64,46.64,46.6,46.6,5543.0
46.65,46.65,46.63,46.64,5705.0
46.66,46.66,46.64,46.66,1920.0
46.65,46.65,46.65,46.65,100.0
46.66,46.66,46.63,46.64,6928.0
46.66,46.66,46.65,46.65,1331.0
46.66,46.66,46.655,46.66,300.0
46.64,46.66,46.64,46.65,3038.0
46.64,46.655,46.64,46.65,2100.0
46.64,46.65,46.64,46.65,400.0
46.645,46.65,46.64,46.65,600.0
46.67,46.67,46.64,46.64,3901.0
46.69,46.69,46.67,46.67,3000.0
46.69,46.69,46.675,46.69,2817.0
46.69,46.69,46.665,46.68,3950.0
46.72,46.72,46.7,46.7,3300.0
46.72,46.72,46.71,46.72,3269.0
46.71,46.71,46.71,46.71,200.0
46.7,46.73,46.695,46.7156,7124.0
46.72,46.72,46.7,46.7,1840.0
46.7,46.71,46.695,46.71,3197.0
46.705,46.705,46.69,46.7,2000.0
46.7,46.71,46.7,46.7,2500.0
46.72,46.73,46.7,46.71,7000.0
46.75,46.765,46.72,46.72,19388.0
46.74,46.75,46.73,46.74,7900.0
46.73,46.74,46.73,46.73,829.0
46.73,46.735,46.73,46.735,600.0
46.735,46.74,46.73,46.735,1251.0
46.76,46.77,46.74,46.74,11819.0
46.76,46.76,46.76,46.76,200.0
46.77,46.77,46.76,46.762,430.0
46.765,46.77,46.76,46.76,4137.0
46.76,46.765,46.76,46.765,200.0
46.79,46.79,46.76,46.765,4749.0
46.79,46.79,46.78,46.78,535.0
46.805,46.805,46.78,46.785,8444.0
46.79,46.81,46.79,46.8,5118.0
46.8,46.82,46.8,46.8,2600.0
46.8,46.805,46.8,46.8,400.0
46.8,46.8,46.79,46.8,3300.0
46.83,46.83,46.79,46.79,1500.0
46.81,46.83,46.81,46.82,1300.0
46.8399,46.8399,46.8133,46.815,1751.0
46.84,46.85,46.8335,46.8335,5500.0
46.84,46.85,46.84,46.84,8585.0
46.85,46.86,46.84,46.84,4200.0
46.85,46.85,46.835,46.84,3500.0
46.845,46.85,46.845,46.85,3275.0
46.86,46.87,46.84,46.84,2895.0
46.88,46.88,46.87,46.87,9318.0
46.88,46.88,46.87,46.88,4700.0
46.88,46.89,46.88,46.88,2179.0
46.89,46.89,46.88,46.8801,1575.0
46.88,46.91,46.88,46.9,4933.0
46.87,46.88,46.86,46.88,6070.0
46.88,46.89,46.86,46.86,3825.0
46.87,46.878,46.87,46.87,4800.0
46.9,46.91,46.875,46.88,3300.0
46.89,46.9,46.89,46.9,1300.0
46.87,46.89,46.85,46.89,4100.0
46.86,46.86,46.86,46.86,208.0
46.86,46.865,46.86,46.86,600.0
46.845,46.855,46.845,46.855,700.0
46.845,46.845,46.84,46.84,200.0
46.84,46.845,46.84,46.845,200.0
46.84,46.85,46.84,46.84,4000.0
46.835,46.845,46.835,46.84,2900.0
46.79,46.83,46.78,46.83,9692.0
46.77,46.77,46.77,46.77,100.0
46.78,46.78,46.78,46.78,100.0
46.755,46.78,46.755,46.78,1900.0
46.73,46.75,46.73,46.75,2234.0
46.71,46.73,46.71,46.73,4369.0
46.72,46.74,46.705,46.71,6900.0
46.69,46.71,46.69,46.71,1830.0
46.69,46.6988,46.69,46.6988,1424.0
46.72,46.72,46.69,46.69,2600.0
46.7,46.71,46.7,46.71,1000.0
46.715,46.72,46.71,46.71,1566.0
46.73,46.73,46.72,46.73,1500.0
46.74,46.74,46.73,46.73,1200.0
46.74,46.7499,46.74,46.74,2839.0
46.76,46.77,46.735,46.735,9949.0
46.79,46.79,46.77,46.77,1520.0
46.79,46.79,46.78,46.78,400.0
46.79,46.8,46.79,46.8,2497.0
46.81,46.81,46.799,46.8,1393.0
46.82,46.83,46.81,46.82,1100.0
46.83,46.83,46.82,46.82,400.0
46.84,46.84,46.835,46.839,900.0
46.825,46.835,46.82,46.83,11550.0
46.825,46.825,46.82,46.825,600.0
46.85,46.85,46.83,46.83,5653.0
46.86,46.865,46.8441,46.8441,2777.0
46.865,46.865,46.85,46.86,3000.0
46.865,46.87,46.86,46.87,1500.0
46.86,46.87,46.86,46.865,3500.0
46.82,46.88,46.82,46.86,15082.0
46.855,46.855,46.82,46.82,4300.0
46.865,46.87,46.8544,46.86,2014.0
46.82,46.86,46.82,46.86,1900.0
46.825,46.825,46.82,46.82,900.0
46.825,46.825,46.82,46.8201,1578.0
46.79,46.825,46.78,46.82,10021.0
46.8,46.82,46.79,46.79,4400.0
46.8,46.8,46.8,46.8,300.0
46.8,46.8,46.795,46.795,300.0
46.79,46.795,46.79,46.79,300.0
46.8,46.83,46.8,46.8,3681.0
46.8,46.8,46.79,46.8,1800.0
46.82,46.8214,46.82,46.82,600.0
46.815,46.83,46.81,46.83,1500.0
46.815,46.815,46.81,46.81,200.0
46.82,46.82,46.82,46.82,1022.0
46.815,46.83,46.815,46.83,3750.0
46.82,46.82,46.81,46.82,800.0
46.765,46.82,46.76,46.81,4379.0
46.77,46.78,46.76,46.76,1825.0
46.77,46.78,46.765,46.77,1900.0
46.77,46.77,46.77,46.77,100.0
46.755,46.77,46.755,46.77,1400.0
46.76,46.76,46.75,46.75,2700.0
46.78,46.795,46.77,46.77,4194.0
46.775,46.775,46.77,46.775,1100.0
46.775,46.78,46.775,46.78,200.0
46.78,46.79,46.775,46.78,4576.0
46.8,46.82,46.76,46.78,13300.0
46.785,46.805,46.785,46.805,1700.0
46.77,46.785,46.77,46.785,1700.0
46.78,46.79,46.775,46.775,2600.0
46.78,46.78,46.78,46.78,100.0
46.79,46.79,46.785,46.785,200.0
46.78,46.79,46.78,46.78,2100.0
46.8,46.8,46.775,46.775,2700.0
46.7961,46.7961,46.79,46.79,1350.0
46.79,46.795,46.79,46.795,400.0
46.78,46.795,46.78,46.795,3600.0
46.785,46.785,46.78,46.78,600.0
46.8,46.81,46.78,46.78,8871.0
46.81,46.81,46.795,46.8,800.0
46.8,46.815,46.8,46.805,4500.0
46.81,46.815,46.8,46.8,2200.0
46.81,46.81,46.8,46.8,1740.0
46.815,46.815,46.81,46.81,700.0
46.805,46.82,46.805,46.82,2500.0
46.805,46.805,46.8,46.805,400.0
46.84,46.84,46.81,46.81,2000.0
46.8599,46.8599,46.84,46.84,1897.0
46.835,46.856,46.83,46.856,6517.0
46.835,46.84,46.835,46.84,400.0
46.86,46.86,46.835,46.84,2800.0
46.87,46.88,46.86,46.86,4197.0
46.86,46.8711,46.86,46.87,3800.0
46.87,46.88,46.86,46.86,3000.0
46.86,46.87,46.86,46.865,2704.0
46.865,46.865,46.86,46.865,300.0
46.865,46.865,46.86,46.865,500.0
46.865,46.865,46.86,46.86,600.0
46.88,46.89,46.865,46.87,3600.0
46.86,46.89,46.86,46.89,2588.0
46.83,46.86,46.83,46.85,9367.0
46.7908,46.83,46.78,46.83,3150.0
46.79,46.79,46.78,46.78,2100.0
46.78,46.785,46.78,46.785,2000.0
46.78,46.79,46.78,46.79,926.0
46.74,46.79,46.72,46.79,7283.0
46.735,46.74,46.72,46.73,3106.0
46.69,46.73,46.69,46.73,4610.0
46.79,46.79,46.64,46.7,5685.0
46.97,46.98,46.75,46.77,9614.0
46.93,46.94,46.9,46.93,3828.0
46.88,46.88,46.83,46.88,2281.0
47.0,47.0,46.89,46.89,3198.0
47.025,47.03,46.95,47.0,12567.0
47.1,47.14,46.985,46.985,15801.0
47.18,47.21,47.12,47.13,11249.0
47.09,47.2,47.09,47.18,6600.0
47.14,47.15,47.075,47.08,9971.0
47.03,47.17,47.03,47.12,11126.0
47.1,47.1,47.03,47.03,6100.0
47.1,47.15,47.09,47.1,4525.0
47.05,47.1,47.05,47.08,3693.0
47.11,47.11,47.05,47.05,5020.0
47.08,47.09,47.07,47.09,2556.0
47.08,47.08,47.04,47.08,6000.0
47.09,47.105,47.07,47.09,3700.0
47.09,47.1,47.07,47.09,3061.0
47.08,47.08,47.06,47.07,4229.0
47.06,47.09,47.04,47.08,5700.0
47.089,47.09,47.05,47.06,4641.0
47.08,47.1,47.07,47.09,1700.0
47.07,47.08,47.06,47.08,2161.0
47.01,47.06,46.995,47.06,4007.0
47.01,47.03,47.01,47.02,4800.0
47.0,47.02,46.99,47.02,4357.0
47.0,47.02,47.0,47.01,2970.0
47.02,47.05,47.0,47.01,2274.0
47.02,47.04,47.02,47.03,400.0
47.03,47.05,47.03,47.03,6325.0
47.02,47.03,46.99,47.03,2700.0
46.97,47.02,46.965,47.02,2700.0
46.94,46.97,46.94,46.97,1200.0
46.98,46.98,46.935,46.94,2600.0
46.95,46.99,46.93,46.99,2399.0
46.93,46.9589,46.93,46.9478,2701.0
46.94,46.96,46.94,46.94,3061.0
46.95,46.95,46.9,46.94,3944.0
46.9671,46.97,46.93,46.93,2100.0
46.964,46.98,46.93,46.98,3177.0
46.945,46.97,46.945,46.965,1500.0
46.98,46.98,46.94,46.95,5700.0
46.97,46.97,46.94,46.96,4260.0
46.945,46.98,46.945,46.97,5193.0
46.965,46.965,46.96,46.96,800.0
46.99,46.995,46.93,46.97,9785.0
47.02,47.03,46.98,46.99,5377.0
47.025,47.05,47.025,47.03,3300.0
47.07,47.085,47.025,47.0397,4447.0
47.03,47.0685,47.03,47.05,1991.0
47.03,47.04,47.03,47.04,514.0
47.05,47.07,47.045,47.045,2400.0
47.06,47.06,47.05,47.055,3118.0
47.03,47.08,47.03,47.06,7051.0
47.03,47.05,47.03,47.0312,2867.0
47.02,47.04,47.015,47.04,2600.0
47.035,47.035,47.01,47.02,2009.0
47.005,47.03,47.0,47.03,2947.0
47.06,47.06,47.01,47.02,1765.0
47.04,47.055,47.03,47.05,2039.0
47.075,47.1,47.04,47.05,7399.0
47.08,47.08,47.055,47.0632,2137.0
47.065,47.09,47.065,47.07,6342.0
47.055,47.06,47.05,47.06,700.0
47.06,47.07,47.035,47.07,4524.0
47.055,47.07,47.03,47.05,2895.0
47.08,47.085,47.065,47.07,4900.0
47.085,47.09,47.07,47.08,1659.0
47.09,47.09,47.08,47.08,300.0
47.08,47.11,47.08,47.1,3500.0
47.1,47.11,47.09,47.1,1100.0
47.085,47.1,47.075,47.1,4897.0
47.1,47.1,47.07,47.07,3113.0
47.1399,47.14,47.09,47.09,1750.0
47.18,47.18,47.14,47.15,6700.0
47.18,47.19,47.17,47.17,4942.0
47.1899,47.1899,47.17,47.17,636.0
47.16,47.18,47.16,47.18,3034.0
47.18,47.18,47.17,47.17,1800.0
47.18,47.19,47.17,47.18,3400.0
47.16,47.18,47.15,47.18,3800.0
47.149,47.1593,47.14,47.1593,1750.0
47.1101,47.14,47.11,47.14,10260.0
47.105,47.12,47.1,47.111,1000.0
47.11,47.13,47.105,47.105,5171.0
47.11,47.11,47.11,47.11,1611.0
47.11,47.12,47.1,47.11,4804.0
47.14,47.145,47.1,47.115,9596.0
47.11,47.135,47.11,47.13,7202.0
47.135,47.15,47.11,47.115,5270.0
47.14,47.14,47.13,47.135,4100.0
47.17,47.19,47.14,47.14,4183.0
47.18,47.19,47.17,47.175,7136.0
47.195,47.2,47.175,47.175,6917.0
47.2,47.205,47.19,47.195,7000.0
47.2,47.21,47.19,47.2,5802.0
47.185,47.2,47.18,47.2,5121.0
47.19,47.21,47.19,47.19,8597.0
47.2,47.2,47.18,47.19,3750.0
47.18,47.21,47.18,47.2,8197.0
47.14,47.185,47.14,47.185,5901.0
47.13,47.14,47.13,47.14,3754.0
47.13,47.14,47.13,47.14,1500.0
47.12,47.1399,47.12,47.13,2917.0
47.1,47.12,47.095,47.12,4993.0
47.12,47.13,47.1,47.11,7928.0
47.11,47.12,47.09,47.12,5250.0
47.07,47.12,47.07,47.12,4679.0
47.045,47.0799,47.02,47.0799,12440.0
47.08,47.08,47.04,47.04,5503.0
47.0925,47.105,47.08,47.085,9774.0
47.075,47.1,47.06,47.09,17207.0
47.12,47.12,47.08,47.08,4407.0
47.145,47.15,47.14,47.15,6442.0
47.14,47.145,47.14,47.14,3813.0
47.135,47.14,47.11,47.11,16435.0
