Open,High,Low,Close,Volume
29.32,29.32,29.32,29.32,1100.0
29.38,29.38,29.35,29.35,3046.0
29.2926,29.37,29.29,29.37,60331.0
29.32,29.34,29.27,29.3,4736.0
29.38,29.4,29.3032,29.32,7093.0
29.19,29.36,29.18,29.34,6736.0
29.24,29.32,29.16,29.16,12480.0
29.21,29.265,29.19,29.24,5059.0
29.27,29.27,29.23,29.23,2000.0
29.335,29.3356,29.28,29.28,4290.0
29.32,29.32,29.29,29.31,4106.0
29.3,29.34,29.27,29.34,7453.0
29.35,29.37,29.295,29.295,12137.0
29.375,29.38,29.33,29.36,13848.0
29.33,29.35,29.32,29.35,4301.0
29.26,29.33,29.23,29.33,12293.0
29.19,29.26,29.18,29.245,10236.0
29.1897,29.21,29.185,29.185,11462.0
29.13,29.19,29.09,29.19,9824.0
29.14,29.14,29.11,29.13,9698.0
29.14,29.15,29.11,29.14,8505.0
29.15,29.18,29.13,29.14,12975.0
29.12,29.15,29.1,29.14,8161.0
29.12,29.14,29.1,29.11,5607.0
29.09,29.13,29.09,29.13,2223.0
29.055,29.07,29.03,29.07,4448.0
29.04,29.05,29.02,29.05,8550.0
29.06,29.07,29.03,29.03,4250.0
29.08,29.09,29.05,29.06,4611.0
29.16,29.17,29.08,29.09,9162.0
29.12,29.16,29.11,29.16,3458.0
29.168,29.17,29.13,29.14,4964.0
29.17,29.17,29.16,29.16,2300.0
29.2,29.2,29.18,29.18,4000.0
29.2,29.2,29.2,29.2,1500.0
29.19,29.2,29.17,29.19,4300.0
29.19,29.195,29.16,29.19,3018.0
29.19,29.19,29.17,29.18,4992.0
29.225,29.225,29.19,29.19,2300.0
29.2,29.22,29.186,29.22,4552.0
29.16,29.21,29.16,29.2,4833.0
29.17,29.17,29.14,29.16,6157.0
29.1173,29.17,29.1173,29.17,3201.0
29.08,29.11,29.08,29.11,5120.0
29.07,29.08,29.06,29.08,5483.0
29.09,29.105,29.065,29.07,7020.0
29.08,29.09,29.07,29.08,3063.0
29.06,29.07,29.05,29.07,2189.0
29.02,29.06,29.01,29.059,16603.0
