Open,High,Low,Close,Volume
79.53,79.65,79.53,79.65,13208.0
79.4499,79.51,79.31,79.51,6530.0
79.38,79.39,79.3,79.33,5400.0
79.41,79.52,79.4,79.41,2181.0
79.41,79.46,79.4,79.43,2300.0
79.48,79.5,79.46,79.46,1300.0
79.53,79.56,79.525,79.54,5882.0
79.52,79.57,79.5,79.53,20900.0
79.5,79.58,79.5,79.57,1000.0
79.33,79.46,79.33,79.46,700.0
79.35,79.37,79.35,79.36,300.0
79.33,79.3301,79.33,79.3301,1000.0
79.34,79.34,79.34,79.34,100.0
79.3,79.34,79.3,79.34,500.0
79.1876,79.3,79.15,79.3,4600.0
79.12,79.23,79.12,79.16,6950.0
78.81,79.14,78.75,79.14,26459.0
78.96,78.96,78.88,78.89,2100.0
79.01,79.06,78.95,78.95,700.0
78.98,79.03,78.98,79.03,700.0
78.89,78.95,78.88,78.95,2497.0
79.01,79.01,78.9,78.9,6200.0
78.935,78.97,78.91,78.96,6086.0
79.02,79.11,78.945,78.945,60692.0
79.0,79.04,78.95,79.02,8112.0
79.1,79.17,79.04,79.05,7137.0
79.0,79.11,78.99,79.11,5348.0
78.99,79.04,78.98,78.98,6990.0
78.98,78.99,78.98,78.99,581.0
78.915,79.0,78.87,79.0,6998.0
78.98,79.05,78.92,78.92,8126.0
78.92,78.98,78.92,78.98,720.0
78.99,78.99,78.98,78.98,600.0
78.96,79.02,78.96,78.99,11253.0
78.99,79.01,78.98,78.99,3700.0
79.0,79.0,78.99,78.99,700.0
79.01,79.02,78.99,79.01,11487.0
79.02,79.02,78.99,79.015,1800.0
78.99,79.02,78.99,79.02,3100.0
78.98,79.0,78.97,79.0,3300.0
79.07,79.07,78.97,78.9841,4540.0
79.06,79.1,79.05,79.08,4519.0
79.07,79.07,79.05,79.05,2300.0
79.1,79.11,79.05,79.06,3133.0
79.08,79.12,79.06,79.11,1844.0
79.13,79.13,79.08,79.09,2392.0
79.19,79.22,79.15,79.15,15670.0
79.28,79.28,79.185,79.185,11538.0
79.3,79.32,79.26,79.27,7561.0
79.33,79.36,79.31,79.32,17982.0
79.3,79.4,79.3,79.35,6316.0
79.4,79.4,79.37,79.37,1000.0
79.36,79.4,79.36,79.39,1000.0
79.39,79.4,79.38,79.39,7849.0
79.34,79.39,79.34,79.39,1200.0
79.31,79.34,79.31,79.34,400.0
79.29,79.31,79.25,79.31,9895.0
79.3,79.3,79.29,79.29,300.0
79.36,79.37,79.34,79.35,2701.0
79.38,79.39,79.335,79.37,5117.0
79.4,79.4,79.32,79.39,5594.0
79.36,79.4,79.35,79.4,17018.0
79.35,79.37,79.34,79.37,500.0
79.37,79.4,79.35,79.35,2613.0
79.37,79.4,79.37,79.39,4600.0
79.36,79.39,79.355,79.37,3518.0
79.35,79.365,79.35,79.36,758.0
79.39,79.4,79.36,79.37,2304.0
79.345,79.39,79.33,79.39,3861.0
79.37,79.38,79.335,79.345,5322.0
79.355,79.37,79.35,79.37,2672.0
79.35,79.4,79.315,79.4,6900.0
79.38,79.39,79.35,79.355,6784.0
79.38,79.38,79.36,79.38,1500.0
79.43,79.43,79.37,79.38,3100.0
79.56,79.68,79.41,79.43,16025.0
79.59,79.59,79.54,79.54,16434.0
79.87,79.9,79.61,79.62,17797.0
79.7,80.17,79.7,79.86,53020.0
79.8,79.91,79.74,79.74,10104.0
79.78,79.8,79.74,79.8,3851.0
79.73,79.74,79.71,79.73,1500.0
79.81,79.82,79.76,79.76,7005.0
79.76,79.82,79.76,79.82,2400.0
79.645,79.78,79.64,79.78,6800.0
79.7101,79.77,79.68,79.68,13372.0
79.69,79.77,79.69,79.71,18984.0
79.7,79.71,79.68,79.685,700.0
79.75,79.76,79.69,79.7,5328.0
79.72,79.73,79.72,79.73,201.0
79.71,79.74,79.68,79.72,2410.0
79.65,79.71,79.65,79.71,1942.0
79.64,79.65,79.64,79.65,1749.0
79.68,79.68,79.62,79.64,7900.0
79.72,79.73,79.69,79.69,1805.0
79.73,79.73,79.71,79.72,1745.0
79.73,79.73,79.73,79.73,400.0
79.68,79.73,79.67,79.73,2800.0
79.63,79.67,79.63,79.67,800.0
79.56,79.63,79.56,79.63,400.0
79.62,79.625,79.59,79.6,1697.0
79.67,79.67,79.62,79.62,2100.0
79.73,79.73,79.71,79.73,1100.0
79.7144,79.73,79.7,79.73,1266.0
79.7,79.71,79.7,79.71,961.0
79.74,79.76,79.71,79.71,5199.0
79.85,79.85,79.75,79.77,2569.0
79.83,79.86,79.77,79.86,3206.0
79.87,79.87,79.805,79.805,1000.0
79.86,79.88,79.86,79.88,1300.0
79.75,79.85,79.75,79.85,1300.0
79.73,79.76,79.73,79.76,400.0
79.74,79.74,79.7003,79.73,6400.0
79.71,79.75,79.71,79.7301,1719.0
79.68,79.7,79.66,79.7,1200.0
79.72,79.72,79.695,79.695,1128.0
79.62,79.72,79.62,79.72,2700.0
79.67,79.67,79.59,79.59,7988.0
79.685,79.7,79.67,79.68,2917.0
79.75,79.75,79.73,79.73,200.0
79.76,79.76,79.75,79.75,1000.0
79.75,79.76,79.75,79.76,1055.0
79.76,79.76,79.73,79.74,1000.0
79.74,79.77,79.74,79.77,1087.0
79.74,79.74,79.74,79.74,100.0
79.78,79.78,79.76,79.76,1300.0
79.74,79.79,79.74,79.79,3100.0
79.72,79.76,79.72,79.76,1300.0
79.73,79.74,79.73,79.74,800.0
79.69,79.69,79.69,79.69,100.0
79.735,79.74,79.72,79.72,1700.0
79.795,79.8,79.75,79.76,3400.0
79.85,79.85,79.805,79.81,1500.0
79.8,79.85,79.8,79.85,2500.0
79.74,79.8,79.74,79.8,1500.0
79.7457,79.7457,79.7457,79.7457,142.0
79.76,79.76,79.74,79.74,990.0
79.76,79.77,79.76,79.76,643.0
79.75,79.77,79.74,79.77,2167.0
79.74,79.75,79.74,79.75,400.0
79.7,79.73,79.7,79.73,1200.0
79.69,79.7001,79.63,79.7,5000.0
79.74,79.74,79.7,79.7,700.0
79.77,79.77,79.75,79.76,900.0
79.76,79.77,79.76,79.77,900.0
79.73,79.76,79.73,79.76,475.0
79.8,79.8,79.73,79.73,1400.0
79.8,79.8,79.8,79.8,1200.0
79.86,79.86,79.8,79.81,7490.0
79.88,79.88,79.86,79.86,500.0
79.87,79.89,79.87,79.89,1100.0
79.87,79.87,79.87,79.87,700.0
79.89,79.89,79.89,79.89,200.0
79.92,79.92,79.895,79.895,500.0
79.87,79.92,79.86,79.92,1878.0
79.87,79.87,79.87,79.87,200.0
79.87,79.87,79.87,79.87,300.0
79.88,79.88,79.88,79.88,400.0
