Open,High,Low,Close,Volume
143.12,143.2,143.12,143.12,53986.0
143.0,143.17,142.98,143.17,26240.0
143.06,143.14,142.9,142.99,18650.0
142.99,143.13,142.84,143.05,13725.0
142.7,142.9901,142.63,142.9901,22061.0
142.5706,142.74,142.5706,142.6763,16655.0
142.545,142.65,142.5,142.6012,24013.0
142.75,142.79,142.51,142.545,25080.0
142.78,142.7856,142.66,142.73,11782.0
142.62,142.77,142.56,142.74,13770.0
142.63,142.67,142.55,142.65,8021.0
142.71,142.79,142.64,142.65,18863.0
142.67,142.76,142.61,142.68,4190.0
142.72,142.72,142.59,142.61,12889.0
142.77,142.79,142.6977,142.77,4800.0
142.79,142.84,142.72,142.76,7425.0
142.79,142.82,142.71,142.74,9800.0
142.691,142.74,142.62,142.73,11092.0
142.72,142.74,142.6,142.69,16649.0
142.6,142.71,142.55,142.71,7879.0
142.73,142.73,142.6,142.625,9206.0
142.67,142.695,142.65,142.69,7955.0
142.73,142.73,142.64,142.69,2214.0
142.73,142.76,142.701,142.72,5268.0
142.79,142.79,142.7003,142.7003,2500.0
142.72,142.85,142.67,142.8,13926.0
142.7499,142.7499,142.65,142.71,8808.0
142.775,142.8,142.72,142.76,5495.0
142.76,142.78,142.73,142.74,12340.0
142.77,142.78,142.72,142.7554,7049.0
142.92,142.93,142.8067,142.8067,5478.0
142.86,142.885,142.82,142.885,9200.0
142.87,142.89,142.76,142.842,13739.0
142.85,142.89,142.81,142.88,6912.0
142.64,142.86,142.63,142.86,9428.0
142.701,142.76,142.6468,142.66,4112.0
142.72,142.8,142.72,142.77,3804.0
142.65,142.7192,142.65,142.69,1870.0
142.78,142.8,142.65,142.65,4550.0
142.71,142.83,142.71,142.83,2302.0
142.78,142.8341,142.73,142.75,3626.0
142.6746,142.775,142.67,142.77,5300.0
142.64,142.69,142.61,142.67,7000.0
142.65,142.69,142.61,142.6366,2490.0
142.67,142.72,142.6,142.63,15590.0
142.61,142.62,142.55,142.62,5402.0
142.61,142.67,142.5923,142.5923,9820.0
142.481,142.64,142.47,142.64,26041.0
142.55,142.55,142.5,142.52,3100.0
142.44,142.5999,142.44,142.5599,32125.0
142.5054,142.5054,142.38,142.45,11030.0
142.5252,142.54,142.43,142.47,3793.0
142.51,142.55,142.51,142.5205,1215.0
142.6186,142.6186,142.521,142.56,4200.0
142.615,142.68,142.6,142.62,6944.0
142.58,142.655,142.58,142.65,4699.0
142.595,142.62,142.58,142.58,3750.0
142.57,142.59,142.561,142.59,5320.0
142.56,142.61,142.54,142.56,7435.0
142.53,142.58,142.53,142.5729,4597.0
142.6,142.62,142.5517,142.56,3016.0
142.55,142.63,142.55,142.61,2952.0
142.63,142.63,142.55,142.55,4882.0
142.6,142.64,142.56,142.63,3600.0
142.68,142.69,142.62,142.62,1800.0
142.7,142.76,142.64,142.67,9895.0
142.8593,142.8593,142.69,142.69,12200.0
142.87,142.89,142.84,142.86,8565.0
142.88,142.89,142.84,142.88,4397.0
143.021,143.0372,142.86,142.8765,27024.0
142.99,143.07,142.96,143.0218,11910.0
142.9909,143.037,142.96,142.99,7910.0
142.99,143.05,142.96,143.0,12204.0
142.93,143.0,142.93,142.941,9958.0
142.9488,142.9799,142.9128,142.93,5383.0
143.0,143.02,142.94,142.98,6030.0
143.08,143.14,143.02,143.02,7543.0
143.16,143.16,143.07,143.08,4137.0
143.25,143.25,143.1676,143.17,9800.0
143.25,143.25,143.19,143.25,6103.0
143.246,143.26,143.211,143.211,2000.0
143.46,143.47,143.25,143.2618,17882.0
143.43,143.46,143.39,143.451,15718.0
143.41,143.43,143.38,143.42,4998.0
143.4152,143.4721,143.41,143.45,3850.0
143.47,143.47,143.39,143.44,3650.0
143.502,143.54,143.47,143.47,11654.0
143.512,143.53,143.4928,143.51,4677.0
143.535,143.55,143.5,143.53,11781.0
143.52,143.57,143.48,143.55,14575.0
143.52,143.54,143.49,143.54,14994.0
143.53,143.54,143.49,143.52,6524.0
143.55,143.5674,143.51,143.55,6423.0
143.55,143.55,143.47,143.54,9809.0
143.57,143.64,143.53,143.55,10260.0
143.55,143.6,143.5,143.55,7380.0
143.55,143.6,143.5178,143.55,3228.0
143.53,143.57,143.521,143.55,5300.0
143.5867,143.62,143.55,143.56,13739.0
143.6,143.61,143.55,143.575,10400.0
143.65,143.65,143.54,143.6099,9815.0
143.65,143.7,143.6358,143.6442,7797.0
143.6515,143.7,143.64,143.664,8615.0
143.65,143.72,143.565,143.67,9866.0
143.56,143.63,143.56,143.6,7140.0
143.6,143.6,143.55,143.57,3700.0
143.58,143.65,143.521,143.61,8643.0
143.63,143.63,143.571,143.59,1550.0
143.6493,143.66,143.59,143.63,5740.0
143.6968,143.6968,143.62,143.625,6346.0
143.78,143.799,143.6767,143.6767,18037.0
143.81,143.81,143.751,143.751,7066.0
143.77,143.8299,143.74,143.8098,10423.0
143.8,143.8,143.778,143.778,3556.0
143.87,143.9045,143.7981,143.7981,9448.0
143.8801,143.92,143.8779,143.91,5250.0
143.8475,143.9,143.77,143.9,21271.0
143.79,143.86,143.76,143.84,3288.0
143.71,143.79,143.71,143.775,2500.0
143.73,143.77,143.71,143.73,5300.0
143.7725,143.78,143.73,143.76,2300.0
143.76,143.8,143.73,143.76,3476.0
143.74,143.77,143.7,143.72,4800.0
143.57,143.73,143.57,143.725,5000.0
143.71,143.71,143.61,143.65,1425.0
143.74,143.74,143.68,143.72,3300.0
143.8261,143.84,143.76,143.76,4776.0
143.85,143.85,143.73,143.81,5044.0
143.66,143.83,143.66,143.821,14652.0
143.74,143.74,143.68,143.7,551.0
143.73,143.77,143.7,143.72,1901.0
