Open,High,Low,Close,Volume
23.28,23.31,23.28,23.31,22426.0
23.28,23.29,23.19,23.28,7417.0
23.26,23.31,23.26,23.31,4019.0
23.22,23.26,23.22,23.26,2600.0
23.28,23.285,23.22,23.22,3404.0
23.24,23.28,23.24,23.27,2100.0
23.24,23.25,23.23,23.25,2064.0
23.23,23.245,23.2,23.24,9461.0
23.26,23.27,23.22,23.22,4917.0
23.31,23.31,23.26,23.26,16118.0
23.31,23.32,23.31,23.31,3552.0
23.32,23.32,23.295,23.31,3800.0
23.32,23.35,23.32,23.33,10255.0
23.32,23.32,23.31,23.32,2301.0
23.3,23.315,23.29,23.315,12235.0
23.31,23.32,23.29,23.3,12682.0
23.315,23.315,23.28,23.3,9900.0
23.295,23.33,23.295,23.31,8394.0
23.29,23.3,23.29,23.3,4702.0
23.29,23.29,23.29,23.29,100.0
23.295,23.295,23.265,23.29,27820.0
23.275,23.295,23.26,23.295,15746.0
23.25,23.28,23.25,23.275,42591.0
23.21,23.255,23.21,23.25,4924.0
23.21,23.22,23.21,23.22,3018.0
23.19,23.21,23.19,23.21,18611.0
23.19,23.2,23.16,23.19,19790.0
23.17,23.18,23.17,23.18,1700.0
23.18,23.2,23.175,23.18,7278.0
23.16,23.17,23.15,23.17,9141.0
23.16,23.17,23.16,23.165,5400.0
23.17,23.17,23.15,23.15,5979.0
23.17,23.185,23.165,23.17,16086.0
23.155,23.175,23.145,23.175,27101.0
23.15,23.16,23.14,23.155,16052.0
23.145,23.15,23.135,23.145,11261.0
23.14,23.145,23.14,23.145,2559.0
23.18,23.18,23.13,23.135,17742.0
23.17,23.175,23.16,23.175,8900.0
23.2,23.21,23.175,23.175,32535.0
23.185,23.2,23.185,23.195,2100.0
23.15,23.18,23.15,23.18,9162.0
23.155,23.16,23.145,23.16,6401.0
23.15,23.15,23.15,23.15,500.0
23.15,23.16,23.14,23.16,11282.0
23.14,23.15,23.135,23.15,8056.0
23.115,23.145,23.115,23.14,7810.0
23.13,23.14,23.12,23.12,5018.0
23.145,23.15,23.14,23.14,8600.0
23.12,23.145,23.12,23.145,15400.0
23.125,23.125,23.125,23.125,100.0
23.15,23.15,23.125,23.13,9943.0
23.155,23.16,23.14,23.145,10600.0
23.15,23.16,23.15,23.16,5853.0
23.145,23.145,23.145,23.145,700.0
23.14,23.15,23.14,23.15,400.0
23.12,23.14,23.115,23.14,7407.0
23.125,23.125,23.11,23.12,7650.0
