Open,High,Low,Close,Volume
41.815,41.815,41.815,41.815,30000.0
41.77,41.77,41.69,41.76,1100.0
41.88,41.88,41.73,41.77,3500.0
41.91,41.92,41.91,41.92,500.0
41.89,41.89,41.84,41.89,2210.0
41.89,41.95,41.88,41.89,3800.0
41.87,41.87,41.87,41.87,200.0
41.89,41.89,41.87,41.89,2000.0
41.9,41.9,41.88,41.88,1200.0
41.87,41.89,41.86,41.89,2300.0
41.865,41.865,41.865,41.865,100.0
41.84,41.86,41.82,41.86,1600.0
41.83,41.84,41.82,41.82,1800.0
41.82,41.84,41.805,41.84,3800.0
41.83,41.83,41.81,41.82,2000.0
41.84,41.85,41.83,41.83,5100.0
41.76,41.84,41.76,41.84,5447.0
41.755,41.79,41.75,41.76,7486.0
41.7,41.75,41.7,41.75,4350.0
41.735,41.74,41.73,41.73,1200.0
41.69,41.73,41.69,41.73,1900.0
41.66,41.69,41.66,41.69,6917.0
41.7099,41.7099,41.66,41.66,3053.0
41.73,41.73,41.71,41.71,600.0
41.69,41.71,41.685,41.71,3947.0
41.74,41.75,41.685,41.69,3400.0
41.77,41.77,41.75,41.75,400.0
41.76,41.77,41.76,41.77,400.0
41.78,41.78,41.76,41.76,2866.0
41.77,41.81,41.77,41.8,1309.0
41.79,41.79,41.76,41.765,1600.0
41.78,41.785,41.78,41.785,1413.0
41.73,41.77,41.73,41.77,3100.0
41.72,41.7325,41.72,41.73,900.0
41.75,41.75,41.73,41.73,3117.0
41.75,41.76,41.74,41.75,7300.0
41.75,41.755,41.73,41.75,5100.0
41.77,41.77,41.75,41.75,2100.0
41.74,41.77,41.73,41.77,3900.0
41.72,41.74,41.72,41.74,1100.0
41.73,41.73,41.725,41.73,600.0
41.74,41.74,41.73,41.73,300.0
41.73,41.735,41.73,41.735,800.0
41.72,41.72,41.72,41.72,200.0
41.72,41.74,41.715,41.725,3700.0
41.72,41.73,41.72,41.73,800.0
41.71,41.72,41.7,41.72,2200.0
41.73,41.73,41.695,41.71,4300.0
41.72,41.7361,41.72,41.72,2080.0
41.72,41.72,41.72,41.72,300.0
41.73,41.73,41.72,41.72,1466.0
41.72,41.72,41.7,41.72,4600.0
41.72,41.73,41.72,41.72,1124.0
41.69,41.735,41.685,41.73,5299.0
41.68,41.71,41.68,41.7,2375.0
41.69,41.69,41.69,41.69,475.0
41.69,41.69,41.69,41.69,200.0
41.695,41.7,41.69,41.69,500.0
41.7,41.7,41.7,41.7,471.0
41.69,41.7,41.69,41.7,2272.0
41.68,41.69,41.68,41.69,800.0
41.69,41.71,41.69,41.69,3290.0
41.705,41.705,41.7,41.7,900.0
41.71,41.71,41.69,41.7,3711.0
41.7,41.71,41.7,41.71,500.0
41.69,41.71,41.69,41.7,1400.0
41.7,41.7,41.67,41.68,3126.0
41.7,41.72,41.7,41.7,1800.0
41.69,41.7,41.69,41.7,1600.0
41.675,41.68,41.675,41.68,500.0
41.65,41.675,41.63,41.67,5389.0
41.67,41.67,41.66,41.66,600.0
41.67,41.67,41.645,41.66,6901.0
41.685,41.685,41.665,41.665,1263.0
41.68,41.69,41.68,41.68,1300.0
41.63,41.67,41.63,41.67,3089.0
41.63,41.63,41.62,41.62,3200.0
41.63,41.64,41.615,41.63,17400.0
41.64,41.64,41.63,41.63,2900.0
41.65,41.65,41.63,41.635,3019.0
41.65,41.67,41.65,41.66,1202.0
41.67,41.67,41.65,41.655,6100.0
41.69,41.695,41.67,41.67,4220.0
41.68,41.695,41.68,41.69,888.0
41.68,41.68,41.68,41.68,200.0
41.69,41.69,41.68,41.68,1181.0
41.68,41.695,41.66,41.69,6330.0
41.675,41.675,41.67,41.67,800.0
41.69,41.69,41.6775,41.6775,1300.0
41.68,41.68,41.67,41.68,8692.0
41.67,41.705,41.67,41.69,16696.0
41.67,41.7,41.67,41.67,12310.0
41.68,41.68,41.67,41.67,2580.0
41.68,41.69,41.67,41.68,13148.0
41.685,41.685,41.675,41.68,3894.0
41.68,41.69,41.68,41.68,5499.0
41.68,41.685,41.67,41.68,4366.0
41.71,41.71,41.68,41.68,1600.0
41.71,41.71,41.71,41.71,601.0
41.71,41.72,41.7,41.7,4000.0
41.705,41.705,41.705,41.705,11900.0
41.73,41.74,41.71,41.71,2580.0
41.73,41.73,41.73,41.73,400.0
41.73,41.73,41.7234,41.73,601.0
41.73,41.73,41.72,41.72,800.0
41.75,41.75,41.74,41.74,2169.0
41.74,41.75,41.74,41.75,2003.0
41.75,41.75,41.74,41.74,600.0
41.75,41.75,41.735,41.745,1920.0
41.765,41.77,41.75,41.75,1200.0
41.76,41.775,41.76,41.77,1800.0
41.765,41.775,41.76,41.77,1511.0
41.77,41.77,41.76,41.765,3000.0
41.745,41.77,41.735,41.77,4300.0
41.755,41.755,41.745,41.745,1500.0
41.757,41.76,41.75,41.755,700.0
41.75,41.77,41.75,41.755,5450.0
41.76,41.765,41.75,41.75,2400.0
41.78,41.78,41.75,41.755,66508.0
41.79,41.79,41.78,41.78,4700.0
41.785,41.785,41.78,41.785,3046.0
41.775,41.78,41.77,41.78,2801.0
41.78,41.805,41.78,41.78,6078.0
41.78,41.78,41.78,41.78,400.0
41.755,41.78,41.75,41.78,3813.0
41.77,41.775,41.745,41.745,6746.0
41.76,41.76,41.75,41.76,4000.0
41.765,41.765,41.765,41.765,100.0
41.785,41.785,41.77,41.77,2900.0
41.7737,41.79,41.7737,41.785,6039.0
41.76,41.77,41.76,41.77,900.0
41.765,41.765,41.765,41.765,300.0
41.78,41.78,41.7675,41.77,2454.0
41.78,41.78,41.78,41.78,100.0
41.78,41.78,41.78,41.78,700.0
41.79,41.79,41.79,41.79,700.0
41.78,41.79,41.78,41.79,1100.0
41.79,41.795,41.79,41.79,800.0
41.77,41.79,41.77,41.79,400.0
41.78,41.78,41.77,41.77,900.0
41.785,41.785,41.785,41.785,200.0
41.775,41.78,41.77,41.78,1914.0
41.775,41.775,41.77,41.77,1400.0
41.77,41.78,41.77,41.775,300.0
41.775,41.79,41.77,41.775,7746.0
41.77,41.77,41.77,41.77,500.0
41.785,41.79,41.77,41.77,3967.0
41.78,41.785,41.77,41.78,1701.0
41.785,41.785,41.77,41.77,1432.0
41.78,41.78,41.78,41.78,400.0
41.79,41.79,41.78,41.78,800.0
41.79,41.79,41.79,41.79,467.0
41.79,41.79,41.79,41.79,100.0
41.78,41.79,41.78,41.79,1000.0
41.78,41.785,41.78,41.78,300.0
41.785,41.785,41.78,41.785,500.0
41.79,41.79,41.79,41.79,100.0
41.8,41.815,41.79,41.79,2900.0
41.81,41.81,41.809,41.809,275.0
41.8,41.81,41.8,41.8,1400.0
41.79,41.8,41.79,41.8,600.0
41.8,41.8,41.8,41.8,1200.0
41.79,41.7999,41.79,41.7999,278.0
41.78,41.79,41.78,41.79,500.0
41.795,41.795,41.79,41.79,700.0
41.795,41.8,41.795,41.795,1000.0
41.776,41.79,41.776,41.79,1200.0
41.775,41.775,41.775,41.775,200.0
41.78,41.785,41.78,41.78,2000.0
41.785,41.785,41.78,41.78,1100.0
41.78,41.78,41.78,41.78,100.0
41.78,41.78,41.78,41.78,200.0
41.775,41.775,41.775,41.775,100.0
41.775,41.775,41.77,41.77,2120.0
41.78,41.78,41.77,41.77,1100.0
41.77,41.775,41.77,41.775,500.0
41.77,41.77,41.77,41.77,100.0
41.76,41.78,41.76,41.77,6100.0
41.755,41.755,41.7475,41.75,4019.0
41.755,41.755,41.75,41.75,500.0
41.75,41.75,41.75,41.75,138.0
41.755,41.755,41.755,41.755,100.0
41.78,41.78,41.75,41.755,16902.0
41.75,41.77,41.75,41.77,1439.0
41.7538,41.76,41.75,41.75,526.0
41.765,41.765,41.75,41.75,2916.0
41.7757,41.7757,41.77,41.77,900.0
41.78,41.79,41.77,41.77,2406.0
41.8,41.8,41.79,41.79,1100.0
41.8,41.8,41.8,41.8,300.0
41.77,41.79,41.77,41.79,7324.0
41.81,41.81,41.77,41.775,106066.0
41.82,41.83,41.81,41.81,1600.0
41.85,41.85,41.82,41.82,3609.0
41.84,41.845,41.835,41.845,3100.0
41.83,41.83,41.82,41.83,1900.0
41.815,41.82,41.815,41.82,1000.0
41.8,41.81,41.785,41.81,16906.0
41.77,41.8,41.77,41.8,9050.0
41.77,41.77,41.77,41.77,100.0
41.78,41.78,41.77,41.77,300.0
41.77,41.77,41.765,41.77,2387.0
41.775,41.775,41.77,41.77,3800.0
41.77,41.77,41.77,41.77,1400.0
41.785,41.785,41.775,41.78,1628.0
41.775,41.78,41.77,41.78,1920.0
41.78,41.785,41.77,41.77,1800.0
41.79,41.79,41.78,41.78,1100.0
41.79,41.795,41.79,41.795,700.0
41.8,41.805,41.78,41.78,6970.0
41.785,41.795,41.78,41.79,1160.0
41.78,41.785,41.7701,41.78,1732.0
41.775,41.78,41.775,41.78,400.0
41.78,41.78,41.78,41.78,1233.0
41.78,41.785,41.78,41.78,1000.0
41.795,41.795,41.78,41.78,1701.0
41.785,41.79,41.785,41.79,1331.0
