Open,High,Low,Close,Volume
239.99,239.99,239.7,239.745,755.0
239.5992,239.695,239.5992,239.695,600.0
240.06,240.06,239.685,239.685,300.0
240.46,240.46,240.255,240.255,400.0
240.31,240.4,240.24,240.4,400.0
240.49,240.685,240.215,240.215,1100.0
240.39,240.5,240.16,240.4,2820.0
240.165,240.31,240.165,240.1745,1634.0
240.23,240.23,240.15,240.15,200.0
240.16,240.34,240.16,240.21,1453.0
240.08,240.17,240.08,240.17,200.0
240.1,240.11,240.1,240.11,300.0
240.27,240.27,240.0,240.07,1790.0
240.19,240.24,240.18,240.24,500.0
240.4481,240.4481,240.19,240.19,900.0
240.48,240.76,240.355,240.355,2279.0
240.34,240.34,240.34,240.34,100.0
240.19,240.4,240.19,240.4,600.0
240.205,240.27,240.205,240.27,200.0
240.02,240.16,239.96,240.16,1000.0
239.95,240.0837,239.95,240.0837,1000.0
239.81,239.93,239.8,239.93,1375.0
239.76,239.76,239.65,239.68,1000.0
239.67,239.755,239.59,239.755,684.0
239.82,239.83,239.76,239.77,983.0
239.94,239.94,239.81,239.81,200.0
239.84,239.89,239.75,239.86,1221.0
239.76,239.84,239.74,239.84,1200.0
239.63,239.737,239.63,239.737,400.0
239.775,239.8,239.66,239.66,4702.0
239.75,239.78,239.65,239.78,1900.0
239.75,239.805,239.7,239.74,2900.0
239.73,239.74,239.66,239.73,10100.0
239.7,239.73,239.65,239.655,1200.0
239.6,239.72,239.6,239.72,2172.0
239.52,239.54,239.48,239.54,705.0
239.5,239.51,239.4,239.45,1732.0
239.5,239.5,239.45,239.49,400.0
239.49,239.505,239.33,239.505,3150.0
239.5044,239.5044,239.5044,239.5044,1992.0
239.43,239.43,239.43,239.43,175.0
239.51,239.51,239.43,239.43,1399.0
239.597,239.597,239.52,239.52,754.0
239.45,239.588,239.41,239.5,3152.0
239.38,239.43,239.38,239.43,200.0
239.445,239.445,239.445,239.445,100.0
239.5,239.51,239.4134,239.4134,1101.0
239.65,239.69,239.56,239.68,3500.0
239.58,239.8,239.58,239.67,2700.0
239.4059,239.58,239.4059,239.58,900.0
239.38,239.4,239.38,239.4,500.0
239.41,239.41,239.25,239.3,2787.0
239.41,239.41,239.36,239.4,500.0
239.3526,239.44,239.35,239.42,1843.0
239.3,239.3,239.3,239.3,300.0
239.26,239.26,239.1,239.2,2904.0
239.215,239.215,239.215,239.215,250.0
239.25,239.26,239.16,239.26,1482.0
239.2671,239.38,239.2671,239.38,421.0
239.47,239.47,239.278,239.295,1600.0
239.34,239.41,239.34,239.36,500.0
239.4621,239.55,239.42,239.455,1500.0
239.49,239.5,239.3701,239.3701,450.0
239.47,239.6,239.43,239.485,2033.0
239.56,239.59,239.56,239.56,550.0
239.6392,239.73,239.635,239.64,1404.0
239.72,239.91,239.67,239.7,6748.0
239.68,239.72,239.68,239.72,500.0
239.7,239.7,239.7,239.7,100.0
239.47,239.59,239.47,239.59,400.0
239.565,239.565,239.565,239.565,100.0
239.82,239.82,239.45,239.47,2236.0
239.57,239.745,239.53,239.745,1200.0
239.565,239.59,239.545,239.57,600.0
239.34,239.48,239.34,239.48,700.0
239.34,239.34,239.34,239.34,100.0
239.395,239.57,239.39,239.39,1300.0
239.43,239.44,239.39,239.42,957.0
239.43,239.535,239.42,239.43,1001.0
239.41,239.41,239.29,239.29,920.0
239.41,239.58,239.33,239.44,1300.0
239.25,239.25,239.25,239.25,158.0
239.34,239.34,239.33,239.34,400.0
239.3853,239.39,239.32,239.38,1000.0
239.5,239.6,239.44,239.44,1920.0
239.48,239.48,239.48,239.48,100.0
239.55,239.55,239.47,239.55,1200.0
239.51,239.63,239.51,239.61,1598.0
239.52,239.58,239.51,239.54,1683.0
239.455,239.46,239.455,239.46,200.0
239.49,239.51,239.42,239.44,1926.0
239.43,239.5,239.4,239.47,1843.0
239.46,239.52,239.455,239.52,1525.0
239.4999,239.4999,239.48,239.48,200.0
239.572,239.572,239.53,239.53,200.0
239.4909,239.53,239.4909,239.53,257.0
239.54,239.56,239.54,239.55,800.0
239.43,239.51,239.43,239.49,1000.0
239.49,239.53,239.49,239.53,200.0
239.43,239.43,239.43,239.43,500.0
239.626,239.626,239.45,239.45,1208.0
239.78,239.92,239.65,239.665,4801.0
239.65,239.85,239.65,239.78,1700.0
239.8,239.82,239.65,239.65,2685.0
239.9938,239.9938,239.6464,239.81,22100.0
239.98,239.98,239.98,239.98,100.0
240.02,240.11,239.94,240.03,1535.0
240.19,240.19,240.06,240.06,300.0
240.13,240.25,240.12,240.205,1800.0
240.12,240.175,240.1,240.1,960.0
240.3,240.34,240.3,240.33,400.0
240.34,240.34,240.21,240.23,1800.0
240.31,240.385,240.31,240.32,500.0
240.33,240.33,240.32,240.32,400.0
240.33,240.34,240.28,240.33,1100.0
240.38,240.38,240.29,240.29,332.0
240.4,240.4023,240.4,240.4023,600.0
240.4,240.4,240.4,240.4,100.0
240.32,240.32,240.32,240.32,187.0
240.39,240.43,240.32,240.32,815.0
240.4,240.4,240.4,240.4,200.0
240.525,240.62,240.47,240.5,1683.0
240.62,240.62,240.52,240.52,500.0
240.43,240.55,240.43,240.55,800.0
240.64,240.66,240.47,240.47,1300.0
240.605,240.605,240.55,240.55,200.0
240.6192,240.6192,240.6,240.6,200.0
240.69,240.69,240.56,240.63,938.0
240.5402,240.69,240.52,240.69,1800.0
240.585,240.585,240.56,240.56,400.0
240.52,240.58,240.52,240.58,200.0
240.7,240.7,240.63,240.63,600.0
240.665,240.665,240.665,240.665,100.0
240.72,240.72,240.72,240.72,100.0
240.57,240.69,240.57,240.66,2351.0
240.72,240.72,240.565,240.6,5878.0
240.6616,240.6616,240.6616,240.6616,100.0
240.56,240.66,240.555,240.61,2088.0
240.465,240.555,240.465,240.555,900.0
240.55,240.55,240.47,240.49,1315.0
240.63,240.63,240.63,240.63,200.0
240.67,240.69,240.6,240.625,1129.0
240.755,240.755,240.73,240.73,400.0
240.81,240.81,240.755,240.755,700.0
240.8,240.835,240.78,240.8,1300.0
240.95,240.95,240.81,240.81,1787.0
240.92,240.92,240.85,240.85,900.0
240.75,240.885,240.75,240.885,1600.0
240.82,240.82,240.79,240.79,500.0
240.85,240.85,240.8,240.8134,500.0
240.865,240.87,240.865,240.87,300.0
240.84,240.85,240.84,240.84,1000.0
240.93,240.93,240.905,240.91,403.0
240.95,240.95,240.89,240.89,1169.0
240.85,240.85,240.8,240.85,1200.0
240.87,240.87,240.85,240.86,300.0
240.91,240.91,240.91,240.91,100.0
240.895,240.895,240.895,240.895,100.0
240.885,240.89,240.885,240.89,500.0
240.8759,240.88,240.8759,240.88,322.0
241.06,241.08,240.95,240.95,2250.0
241.135,241.14,241.085,241.09,700.0
241.05,241.075,241.02,241.075,600.0
241.205,241.21,241.12,241.12,1000.0
241.17,241.17,241.07,241.07,600.0
241.22,241.22,241.16,241.16,1500.0
241.2,241.21,241.17,241.17,1075.0
241.21,241.25,241.18,241.25,300.0
241.26,241.26,241.25,241.25,400.0
241.34,241.34,241.27,241.2836,540.0
241.27,241.375,241.26,241.37,2500.0
241.35,241.35,241.35,241.35,300.0
241.29,241.35,241.29,241.305,539.0
241.34,241.38,241.32,241.38,1300.0
241.375,241.3774,241.32,241.37,802.0
241.3727,241.3727,241.3727,241.3727,100.0
241.4,241.42,241.33,241.33,400.0
241.37,241.37,241.3,241.32,1800.0
241.24,241.34,241.24,241.34,2000.0
241.23,241.24,241.2,241.2,1400.0
241.28,241.28,241.2455,241.27,300.0
241.275,241.285,241.275,241.285,400.0
241.1,241.24,241.1,241.2,2400.0
241.155,241.155,241.1,241.14,700.0
241.31,241.31,241.22,241.22,1200.0
241.27,241.27,241.27,241.27,100.0
241.21,241.26,241.185,241.26,1200.0
241.215,241.215,241.215,241.215,100.0
241.3,241.32,241.27,241.27,2375.0
241.3,241.32,241.3,241.32,1400.0
241.26,241.28,241.26,241.27,400.0
241.15,241.255,241.15,241.255,2600.0
241.23,241.25,241.19,241.19,600.0
241.195,241.195,241.17,241.17,200.0
241.195,241.2043,241.195,241.1975,500.0
241.28,241.29,241.195,241.23,1100.0
241.33,241.33,241.285,241.285,500.0
241.285,241.285,241.2759,241.2759,400.0
241.32,241.32,241.28,241.29,300.0
241.38,241.38,241.24,241.32,3100.0
241.27,241.35,241.14,241.35,3904.0
241.35,241.35,241.25,241.25,300.0
241.06,241.25,241.06,241.25,800.0
241.075,241.12,241.035,241.05,1100.0
241.07,241.0827,241.07,241.0827,200.0
241.23,241.25,241.075,241.075,900.0
241.25,241.25,241.25,241.25,300.0
241.34,241.36,241.32,241.36,544.0
241.34,241.375,241.33,241.33,500.0
241.37,241.37,241.34,241.34,300.0
241.28,241.37,241.25,241.29,2377.0
