Open,High,Low,Close,Volume
60.32,60.32,60.32,60.32,17593.0
60.3,60.35,60.26,60.33,2569.0
60.14,60.24,60.13,60.24,1897.0
60.05,60.16,60.01,60.13,26667.0
60.248,60.3,60.0194,60.02,4764.0
60.33,60.33,60.29,60.3,500.0
60.16,60.42,60.16,60.42,6743.0
60.21,60.25,60.17,60.18,4600.0
60.3799,60.3799,60.25,60.25,3459.0
60.41,60.46,60.25,60.37,6091.0
60.4568,60.4568,60.37,60.42,2458.0
60.56,60.59,60.44,60.46,4151.0
60.5097,60.5699,60.45,60.5699,2091.0
60.52,60.52,60.4016,60.4016,3142.0
60.6799,60.6799,60.48,60.5,2400.0
60.57,60.61,60.57,60.61,1073.0
60.42,60.51,60.41,60.51,800.0
60.36,60.42,60.31,60.4097,3200.0
60.34,60.39,60.32,60.37,2655.0
60.3,60.35,60.28,60.29,1435.0
60.3448,60.36,60.27,60.27,2888.0
60.13,60.3799,60.13,60.3799,1866.0
60.2599,60.26,60.13,60.13,3563.0
60.21,60.26,60.19,60.26,674.0
60.24,60.24,60.18,60.2,715.0
60.26,60.26,60.18,60.22,700.0
60.19,60.25,60.19,60.22,1000.0
60.224,60.23,60.14,60.18,1251.0
60.2806,60.2806,60.17,60.17,3132.0
60.2524,60.31,60.22,60.31,9200.0
60.16,60.26,60.145,60.26,8788.0
60.1,60.1747,60.1,60.1747,2097.0
60.124,60.13,60.04,60.1,6639.0
60.11,60.11,60.03,60.1,5469.0
60.151,60.1694,60.1,60.12,6052.0
60.11,60.2199,60.11,60.2199,1500.0
60.17,60.17,60.13,60.13,800.0
60.18,60.2241,60.18,60.22,1850.0
60.2,60.21,60.13,60.13,1802.0
60.19,60.2,60.18,60.2,808.0
60.18,60.18,60.13,60.13,1600.0
60.24,60.24,60.14,60.14,1000.0
60.22,60.23,60.16,60.23,2050.0
60.2601,60.31,60.23,60.23,2975.0
60.2699,60.2699,60.2,60.26,3634.0
60.2899,60.2899,60.24,60.27,1400.0
60.32,60.33,60.24,60.24,1400.0
60.35,60.38,60.29,60.3,3033.0
60.3463,60.37,60.32,60.35,3431.0
60.33,60.3767,60.29,60.3686,2342.0
60.19,60.27,60.19,60.27,700.0
60.27,60.27,60.16,60.18,1850.0
60.2,60.23,60.2,60.227,3100.0
60.21,60.21,60.21,60.21,400.0
60.2,60.2,60.2,60.2,400.0
60.28,60.28,60.23,60.23,1730.0
60.21,60.26,60.21,60.26,1335.0
60.22,60.2505,60.17,60.17,1400.0
60.25,60.25,60.23,60.23,200.0
60.27,60.27,60.19,60.23,3178.0
60.26,60.3199,60.26,60.275,4378.0
60.2,60.24,60.2,60.24,1032.0
60.198,60.22,60.18,60.21,1575.0
60.21,60.22,60.17,60.2,1725.0
60.31,60.31,60.21,60.22,2800.0
60.34,60.34,60.3001,60.3013,981.0
60.31,60.35,60.31,60.32,2257.0
60.31,60.33,60.28,60.32,1500.0
60.353,60.377,60.312,60.312,6029.0
60.34,60.35,60.33,60.35,302.0
60.38,60.38,60.33,60.36,4266.0
60.32,60.3612,60.32,60.35,2000.0
60.33,60.35,60.33,60.34,1920.0
60.37,60.37,60.35,60.35,777.0
60.34,60.373,60.34,60.373,1701.0
60.33,60.39,60.33,60.37,2611.0
60.36,60.37,60.3,60.32,3600.0
60.4,60.4,60.3578,60.3578,2453.0
60.35,60.409,60.35,60.409,3765.0
60.33,60.34,60.3,60.34,1800.0
60.39,60.39,60.33,60.33,2101.0
60.35,60.43,60.35,60.42,5163.0
60.38,60.42,60.31,60.36,14692.0
60.45,60.48,60.4,60.4,4426.0
60.5299,60.53,60.46,60.48,4261.0
60.52,60.55,60.48,60.5,5758.0
60.54,60.54,60.5036,60.5036,1404.0
60.52,60.56,60.51,60.54,1500.0
60.58,60.59,60.52,60.52,2350.0
