Open,High,Low,Close,Volume
12.5,12.5,12.5,12.5,100.0
12.52,12.52,12.52,12.52,100.0
12.5,12.53,12.5,12.52,3000.0
12.5,12.5,12.5,12.5,3300.0
12.51,12.51,12.5,12.5,17011.0
12.55,12.55,12.52,12.52,3405.0
12.56,12.56,12.555,12.56,900.0
12.55,12.555,12.545,12.555,5200.0
12.54,12.55,12.535,12.55,2200.0
12.54,12.55,12.54,12.54,2100.0
12.535,12.54,12.53,12.54,1400.0
12.535,12.535,12.525,12.53,6100.0
12.51,12.54,12.51,12.54,2789.0
12.5,12.51,12.5,12.5,28246.0
12.515,12.515,12.5,12.51,19880.0
12.525,12.53,12.515,12.52,2600.0
12.53,12.55,12.53,12.53,6300.0
12.53,12.53,12.525,12.53,1300.0
12.53,12.53,12.51,12.53,7779.0
12.54,12.54,12.525,12.525,10625.0
12.535,12.535,12.53,12.53,1100.0
12.515,12.54,12.5,12.53,14050.0
12.52,12.525,12.51,12.51,3200.0
12.505,12.52,12.5,12.52,15492.0
12.51,12.51,12.51,12.51,100.0
12.5,12.51,12.5,12.51,19870.0
12.505,12.51,12.5,12.5,24800.0
12.52,12.52,12.5,12.5,5800.0
12.515,12.52,12.515,12.52,700.0
12.51,12.51,12.5,12.51,38412.0
12.54,12.54,12.51,12.51,13969.0
12.54,12.55,12.535,12.54,10073.0
12.545,12.545,12.54,12.54,1400.0
12.54,12.55,12.54,12.55,13847.0
12.53,12.54,12.53,12.54,2300.0
12.545,12.55,12.535,12.54,4012.0
12.53,12.55,12.53,12.55,6526.0
12.53,12.53,12.53,12.53,2290.0
12.53,12.53,12.53,12.53,1500.0
12.535,12.54,12.535,12.54,5996.0
12.53,12.54,12.53,12.54,2300.0
12.535,12.535,12.53,12.53,1400.0
12.54,12.54,12.535,12.54,7724.0
12.535,12.54,12.535,12.54,1700.0
12.52,12.53,12.52,12.53,1900.0
12.525,12.53,12.52,12.52,3799.0
12.52,12.52,12.52,12.52,100.0
12.52,12.52,12.52,12.52,600.0
12.525,12.525,12.52,12.52,500.0
12.525,12.53,12.52,12.52,950.0
12.52,12.53,12.52,12.53,2400.0
12.525,12.525,12.525,12.525,900.0
12.53,12.53,12.525,12.525,2760.0
12.525,12.53,12.525,12.53,1832.0
12.525,12.53,12.52,12.525,3700.0
12.525,12.53,12.52,12.52,800.0
12.53,12.53,12.52,12.52,500.0
12.535,12.54,12.525,12.525,10794.0
12.53,12.54,12.53,12.54,9646.0
12.52,12.53,12.52,12.53,5100.0
12.52,12.52,12.515,12.52,2900.0
12.515,12.52,12.515,12.515,1450.0
12.51,12.52,12.51,12.515,6700.0
12.52,12.52,12.515,12.515,1200.0
12.53,12.53,12.52,12.52,2300.0
12.525,12.525,12.52,12.5223,302.0
12.53,12.54,12.525,12.525,8682.0
12.53,12.53,12.53,12.53,400.0
12.545,12.55,12.53,12.53,8226.0
12.54,12.545,12.54,12.54,5610.0
12.53,12.55,12.53,12.54,10125.0
12.535,12.535,12.535,12.535,200.0
12.535,12.535,12.53,12.53,900.0
12.535,12.535,12.535,12.535,300.0
12.53,12.535,12.53,12.535,800.0
12.53,12.53,12.53,12.53,100.0
12.53,12.54,12.53,12.535,400.0
12.52,12.53,12.52,12.53,3126.0
12.515,12.52,12.515,12.52,2131.0
12.515,12.515,12.51,12.51,600.0
12.515,12.5199,12.51,12.515,756.0
12.5,12.51,12.5,12.51,7900.0
12.5,12.5,12.5,12.5,200.0
12.5,12.505,12.5,12.505,200.0
12.505,12.51,12.5,12.5,9572.0
12.515,12.52,12.515,12.52,5518.0
12.51,12.52,12.51,12.52,4794.0
12.515,12.52,12.515,12.52,3500.0
12.515,12.52,12.51,12.515,1000.0
12.52,12.525,12.515,12.515,5786.0
12.51,12.52,12.51,12.52,5270.0
12.51,12.51,12.51,12.51,200.0
12.51,12.51,12.51,12.51,600.0
12.515,12.515,12.51,12.51,200.0
12.515,12.515,12.51,12.51,300.0
12.515,12.515,12.51,12.51,200.0
12.52,12.52,12.51,12.51,4950.0
12.51,12.52,12.51,12.52,3931.0
12.505,12.51,12.5,12.51,7500.0
12.51,12.51,12.51,12.51,200.0
12.505,12.51,12.505,12.505,9455.0
12.51,12.51,12.5,12.51,3544.0
12.51,12.515,12.505,12.505,6831.0
12.515,12.515,12.51,12.51,600.0
12.515,12.515,12.51,12.51,200.0
12.51,12.525,12.51,12.52,11374.0
12.51,12.51,12.51,12.51,300.0
