Open,High,Low,Close,Volume
85.2,85.2,85.2,85.2,100.0
84.88,85.2099,84.88,85.2099,2967.0
85.09,85.09,84.87,84.87,1277.0
85.03,85.03,85.03,85.03,100.0
85.03,85.1,85.02,85.02,900.0
85.03,85.03,85.01,85.01,384.0
84.93,84.96,84.93,84.96,800.0
84.9,84.91,84.84,84.84,700.0
84.89,84.89,84.85,84.88,300.0
84.89,84.89,84.88,84.88,400.0
84.89,84.89,84.88,84.89,498.0
84.9,84.9,84.89,84.89,1000.0
84.96,85.01,84.9,84.9,3200.0
84.96,85.01,84.91,84.94,5431.0
84.88,85.0,84.85,84.96,980.0
84.81,84.91,84.81,84.89,1645.0
84.94,84.94,84.85,84.85,800.0
84.94,84.94,84.93,84.94,300.0
84.925,84.94,84.9,84.94,500.0
84.92,84.93,84.91,84.91,850.0
84.875,84.93,84.865,84.91,700.0
84.87,84.88,84.82,84.86,800.0
84.87,84.87,84.82,84.82,300.0
84.8366,84.86,84.8366,84.86,279.0
84.87,84.9,84.86,84.87,2026.0
84.87,84.87,84.86,84.86,300.0
84.84,84.8632,84.82,84.8632,1174.0
84.84,84.84,84.84,84.84,200.0
84.86,84.86,84.85,84.85,700.0
84.82,84.855,84.81,84.84,1000.0
84.85,84.85,84.83,84.83,625.0
84.79,84.85,84.79,84.85,2850.0
84.74,84.78,84.74,84.78,1500.0
84.71,84.74,84.71,84.74,1187.0
84.74,84.74,84.71,84.71,300.0
84.69,84.72,84.68,84.71,2701.0
84.69,84.7097,84.68,84.68,1074.0
84.7,84.71,84.66,84.69,1470.0
84.7,84.71,84.67,84.699,605.0
84.69,84.7,84.69,84.7,400.0
84.67,84.69,84.64,84.6872,2500.0
84.67,84.69,84.66,84.67,2536.0
84.68,84.68,84.68,84.68,400.0
84.64,84.67,84.64,84.67,1099.0
84.61,84.67,84.61,84.64,3600.0
84.64,84.65,84.61,84.61,2300.0
84.62,84.6486,84.62,84.6486,1174.0
84.63,84.64,84.615,84.615,700.0
84.74,84.74,84.63,84.63,1920.0
84.74,84.74,84.74,84.74,200.0
84.79,84.79,84.74,84.74,501.0
84.73,84.79,84.73,84.79,2540.0
84.77,84.77,84.74,84.74,1500.0
84.75,84.77,84.74,84.77,2300.0
84.76,84.77,84.76,84.77,300.0
84.77,84.77,84.77,84.77,200.0
84.79,84.8,84.78,84.78,3400.0
84.78,84.79,84.77,84.79,1200.0
84.74,84.8,84.74,84.78,4132.0
84.78,84.78,84.73,84.74,2400.0
84.78,84.78,84.78,84.78,200.0
84.69,84.77,84.69,84.77,2000.0
84.7,84.7,84.69,84.69,500.0
84.66,84.7,84.66,84.67,3200.0
84.61,84.64,84.59,84.64,1800.0
84.58,84.6,84.58,84.6,500.0
84.58,84.62,84.58,84.6,4048.0
84.56,84.56,84.55,84.55,700.0
84.59,84.6,84.55,84.55,1400.0
84.64,84.64,84.6,84.6,790.0
84.6,84.645,84.6,84.645,1200.0
84.6,84.6,84.6,84.6,200.0
84.66,84.66,84.6,84.6,3030.0
84.64,84.68,84.64,84.665,2922.0
84.72,84.72,84.67,84.67,1700.0
84.7,84.7,84.69,84.7,1100.0
84.69,84.7,84.68,84.7,1300.0
84.64,84.68,84.6,84.68,5039.0
84.59,84.65,84.59,84.65,1400.0
84.62,84.63,84.6,84.6,2031.0
84.62,84.63,84.62,84.63,900.0
84.63,84.64,84.58,84.62,5200.0
84.64,84.64,84.63,84.63,1453.0
