Open,High,Low,Close,Volume
267.97,267.97,267.97,267.97,4444.0
267.7,269.0,267.64,267.99,3095.0
268.25,268.25,267.3,267.885,2300.0
267.93,268.245,267.4,267.52,3000.0
267.35,268.88,267.35,268.6249,1866.0
267.59,268.09,267.59,268.09,200.0
268.34,268.68,267.7128,268.27,614.0
268.465,268.79,267.91,268.39,10293.0
268.5,268.56,268.02,268.22,5200.0
268.51,268.51,268.49,268.5,500.0
268.98,268.98,268.82,268.82,200.0
268.95,268.99,268.84,268.99,634.0
269.38,269.38,268.93,268.93,1100.0
269.64,269.64,269.285,269.44,2300.0
269.52,269.52,269.2,269.2,700.0
270.065,270.065,269.56,269.56,5425.0
270.24,270.385,270.08,270.08,1800.0
270.0048,270.395,270.0048,270.27,2921.0
270.03,270.11,270.03,270.11,700.0
269.935,270.155,269.93,270.155,500.0
270.12,270.12,269.67,269.94,4400.0
269.82,270.05,269.77,270.04,5381.0
269.91,269.93,269.73,269.895,500.0
269.64,269.97,269.64,269.97,3355.0
269.12,269.58,269.12,269.5725,1918.0
269.35,269.35,269.23,269.26,800.0
269.495,269.495,269.35,269.35,752.0
269.63,269.79,269.5,269.5,2086.0
269.705,269.835,269.63,269.63,300.0
269.37,269.83,269.37,269.83,1200.0
269.28,269.68,269.28,269.68,300.0
269.29,269.29,269.29,269.29,200.0
269.045,269.385,269.045,269.385,600.0
269.1651,269.1651,269.1651,269.1651,117.0
268.7,269.04,268.7,269.03,3000.0
268.5,268.71,268.21,268.56,4495.0
268.52,268.52,268.46,268.46,200.0
268.41,268.41,268.41,268.41,200.0
268.17,268.4,268.17,268.38,1300.0
268.145,268.145,268.115,268.115,400.0
268.01,268.15,268.01,268.15,500.0
268.01,268.12,268.01,268.12,200.0
268.23,268.31,268.0,268.0,2400.0
268.36,268.36,268.34,268.34,200.0
268.56,268.58,268.37,268.37,5200.0
268.91,268.91,268.69,268.72,1398.0
269.02,269.37,268.84,268.96,6599.0
269.0399,269.0963,269.025,269.025,1200.0
269.55,269.55,269.0409,269.11,2257.0
269.76,269.78,269.1401,269.56,2200.0
269.96,269.96,269.65,269.78,600.0
269.56,270.03,269.56,269.99,6962.0
269.76,269.76,269.53,269.69,902.0
270.1,270.1,269.645,269.645,2350.0
270.12,270.12,269.95,269.95,275.0
269.85,269.96,269.85,269.96,1200.0
269.95,269.97,269.9,269.92,1300.0
269.715,269.84,269.58,269.84,1200.0
269.6,269.71,269.56,269.71,1550.0
269.75,269.88,269.71,269.71,900.0
269.7,269.86,269.7,269.86,800.0
269.7,269.72,269.7,269.72,407.0
269.75,269.75,269.75,269.75,186.0
269.6738,269.8,269.58,269.8,1800.0
269.76,269.76,269.76,269.76,200.0
269.75,269.75,269.65,269.66,983.0
