Open,High,Low,Close,Volume
45.18,45.18,45.18,45.18,8481.0
45.22,45.22,45.22,45.22,100.0
45.4,45.43,45.26,45.26,1884.0
45.34,45.405,45.34,45.4,2500.0
45.415,45.47,45.395,45.395,1700.0
45.405,45.49,45.37,45.4,8200.0
45.47,45.47,45.42,45.44,700.0
45.53,45.64,45.46,45.46,6038.0
45.38,45.48,45.38,45.48,1800.0
45.3,45.38,45.3,45.36,2259.0
45.31,45.33,45.31,45.33,1200.0
45.33,45.33,45.32,45.32,337.0
45.35,45.37,45.35,45.37,200.0
45.36,45.36,45.35,45.35,300.0
45.39,45.41,45.33,45.33,1328.0
45.43,45.43,45.375,45.41,1335.0
45.41,45.43,45.41,45.43,1300.0
45.4,45.44,45.36,45.44,2000.0
45.34,45.38,45.32,45.38,1400.0
45.32,45.34,45.32,45.32,800.0
45.36,45.37,45.35,45.35,1300.0
45.35,45.36,45.35,45.36,700.0
45.32,45.35,45.32,45.35,1800.0
45.31,45.3176,45.3,45.31,500.0
45.3,45.32,45.29,45.32,3680.0
45.27,45.305,45.24,45.3,6500.0
45.24,45.28,45.24,45.28,2700.0
45.22,45.24,45.19,45.2,4525.0
45.27,45.27,45.22,45.225,2900.0
45.29,45.29,45.29,45.29,200.0
45.34,45.34,45.31,45.31,2000.0
45.33,45.35,45.33,45.34,2300.0
45.35,45.37,45.35,45.35,1712.0
45.35,45.35,45.35,45.35,200.0
45.39,45.39,45.35,45.36,2600.0
45.4,45.4,45.39,45.4,2214.0
45.44,45.44,45.4,45.4,1000.0
45.42,45.46,45.42,45.46,1916.0
45.38,45.41,45.38,45.41,800.0
45.375,45.39,45.369,45.38,1705.0
45.38,45.38,45.36,45.36,500.0
45.37,45.37,45.37,45.37,700.0
45.37,45.38,45.37,45.38,1000.0
45.33,45.33,45.33,45.33,200.0
45.35,45.365,45.35,45.35,1344.0
45.37,45.37,45.36,45.36,200.0
45.41,45.43,45.41,45.41,1800.0
45.41,45.41,45.41,45.41,100.0
45.39,45.4,45.39,45.4,800.0
45.355,45.39,45.355,45.38,500.0
45.36,45.36,45.35,45.35,400.0
45.37,45.37,45.36,45.37,650.0
45.37,45.385,45.37,45.37,2870.0
45.33,45.37,45.33,45.37,900.0
45.33,45.33,45.33,45.33,200.0
45.34,45.34,45.33,45.33,500.0
45.35,45.35,45.34,45.34,1100.0
45.33,45.355,45.33,45.35,1600.0
45.31,45.33,45.31,45.33,1700.0
45.3,45.3,45.3,45.3,100.0
45.31,45.31,45.31,45.31,100.0
45.31,45.31,45.31,45.31,100.0
45.3001,45.31,45.3,45.31,1708.0
45.28,45.3,45.28,45.3,900.0
45.26,45.27,45.26,45.27,200.0
45.3,45.3,45.27,45.27,1910.0
45.304,45.304,45.304,45.304,400.0
45.3054,45.32,45.3054,45.31,1400.0
45.29,45.3,45.29,45.3,1100.0
45.31,45.31,45.29,45.29,800.0
45.34,45.34,45.32,45.32,500.0
45.35,45.36,45.35,45.36,200.0
45.36,45.36,45.36,45.36,300.0
45.39,45.39,45.39,45.39,300.0
45.37,45.39,45.37,45.39,2100.0
45.35,45.36,45.35,45.36,1100.0
45.35,45.35,45.34,45.34,900.0
45.39,45.39,45.38,45.38,1000.0
45.37,45.395,45.37,45.395,1400.0
45.38,45.38,45.37,45.37,600.0
45.38,45.38,45.38,45.38,200.0
45.4,45.4,45.39,45.39,400.0
45.44,45.44,45.42,45.42,1300.0
45.44,45.44,45.44,45.44,300.0
45.43,45.44,45.43,45.44,1000.0
45.44,45.44,45.44,45.44,600.0
45.42,45.43,45.41,45.43,1799.0
45.42,45.42,45.42,45.42,200.0
45.42,45.43,45.42,45.42,1100.0
45.43,45.43,45.43,45.43,300.0
45.44,45.45,45.43,45.44,3100.0
45.41,45.43,45.41,45.43,925.0
45.39,45.41,45.38,45.41,1401.0
45.4053,45.41,45.4053,45.41,300.0
45.4,45.4,45.4,45.4,600.0
45.4,45.4,45.4,45.4,100.0
45.39,45.41,45.38,45.41,3000.0
45.4,45.4,45.37,45.37,800.0
45.41,45.41,45.4,45.4,300.0
45.41,45.41,45.41,45.41,100.0
45.43,45.43,45.42,45.42,1200.0
45.43,45.43,45.43,45.43,1500.0
45.45,45.45,45.44,45.44,600.0
45.44,45.45,45.435,45.45,1000.0
