Open,High,Low,Close,Volume
63.53,63.53,63.53,63.53,23081.0
63.67,63.7,63.51,63.59,6635.0
63.81,63.88,63.78,63.81,3200.0
63.57,63.77,63.57,63.77,1400.0
63.66,63.66,63.49,63.49,2770.0
63.79,63.79,63.6607,63.7,729.0
63.83,63.85,63.79,63.84,2998.0
63.96,63.98,63.76,63.78,8472.0
63.8901,63.95,63.88,63.91,1150.0
63.8,63.85,63.8,63.85,400.0
63.92,63.92,63.78,63.8,2450.0
63.97,63.97,63.87,63.87,5876.0
63.97,63.97,63.94,63.97,6327.0
63.97,64.0,63.97,63.9749,3504.0
64.06,64.07,63.97,64.0,7451.0
63.995,64.02,63.995,64.02,2000.0
63.93,63.99,63.85,63.99,6759.0
63.94,63.94,63.89,63.89,1726.0
63.945,63.969,63.91,63.925,5558.0
63.98,64.0,63.9,63.95,9120.0
64.02,64.02,63.97,63.98,8900.0
64.03,64.04,64.0,64.02,2574.0
63.99,64.05,63.99,64.04,2295.0
64.04,64.07,64.0,64.0,2056.0
64.05,64.05,64.05,64.05,100.0
64.1,64.1,64.05,64.0799,2293.0
64.03,64.1303,64.02,64.1,3622.0
64.0305,64.06,64.011,64.02,1222.0
64.09,64.11,64.065,64.07,2172.0
64.15,64.15,64.07,64.07,1300.0
64.13,64.13,64.11,64.13,1200.0
64.1,64.12,64.07,64.12,5456.0
64.07,64.09,64.05,64.09,1100.0
64.04,64.07,64.0,64.03,5345.0
64.0375,64.06,64.03,64.03,4410.0
64.01,64.045,63.99,64.04,5311.0
63.97,64.02,63.97,64.005,2700.0
63.99,63.99,63.95,63.99,5801.0
63.98,64.01,63.98,64.0,1927.0
63.95,64.0,63.95,63.97,1500.0
63.95,63.97,63.94,63.95,1106.0
63.92,63.96,63.92,63.96,900.0
63.9,63.91,63.89,63.91,1295.0
63.865,63.89,63.865,63.89,3145.0
63.96,63.97,63.91,63.91,17912.0
64.05,64.05,63.95,63.9585,33860.0
64.04,64.04,63.98,64.03,2195.0
64.0192,64.08,64.0192,64.06,13206.0
64.04,64.06,64.0,64.0175,5851.0
64.02,64.07,64.0,64.04,2513.0
64.11,64.11,64.035,64.035,4380.0
64.2,64.2,64.14,64.14,4905.0
64.2,64.2,64.17,64.17,1586.0
64.26,64.26,64.2,64.21,5134.0
64.25,64.28,64.23,64.25,3225.0
64.23,64.27,64.23,64.265,2246.0
64.25,64.26,64.235,64.24,1900.0
64.24,64.26,64.23,64.26,7300.0
64.23,64.26,64.22,64.22,23154.0
64.27,64.2775,64.23,64.23,2960.0
64.24,64.28,64.2329,64.26,4313.0
64.22,64.28,64.22,64.28,2099.0
64.2492,64.2492,64.23,64.23,200.0
64.225,64.25,64.21,64.25,2811.0
64.17,64.22,64.17,64.21,2237.0
64.11,64.16,64.1,64.16,4500.0
64.05,64.09,64.05,64.09,1979.0
63.98,64.045,63.98,64.045,1624.0
63.98,63.985,63.9565,63.98,1757.0
63.92,63.95,63.92,63.95,1970.0
63.87,63.91,63.85,63.91,2345.0
63.92,63.92,63.8629,63.8724,2683.0
63.93,63.93,63.91,63.92,1955.0
63.8592,63.91,63.8592,63.91,2919.0
63.85,63.88,63.85,63.88,2375.0
63.85,63.85,63.85,63.85,950.0
63.93,63.94,63.9,63.9,2200.0
63.96,63.96,63.92,63.93,2044.0
63.92,63.97,63.92,63.96,1861.0
63.9,63.92,63.9,63.91,1700.0
63.85,63.8929,63.84,63.8929,5059.0
63.86,63.87,63.85,63.85,700.0
63.81,63.85,63.8,63.85,1530.0
63.835,63.835,63.82,63.83,500.0
63.85,63.86,63.84,63.84,1749.0
63.86,63.86,63.83,63.84,1200.0
63.84,63.86,63.84,63.86,2857.0
63.9,63.9,63.84,63.84,2603.0
63.885,63.9,63.8831,63.9,3339.0
63.91,63.91,63.87,63.88,1000.0
63.9,63.91,63.89,63.89,4050.0
63.91,63.93,63.91,63.91,2680.0
63.945,63.945,63.91,63.91,1750.0
63.95,63.97,63.93,63.94,2895.0
63.9,63.95,63.89,63.95,1900.0
63.93,63.93,63.89,63.9,3172.0
63.94,63.94,63.92,63.92,1800.0
63.94,63.94,63.93,63.94,809.0
64.02,64.03,63.95,63.95,4300.0
64.06,64.06,64.03,64.03,1745.0
64.05,64.065,64.03,64.05,4437.0
64.0573,64.06,64.03,64.05,2278.0
64.06,64.08,64.05,64.06,1100.0
64.05,64.06,64.04,64.05,1850.0
64.04,64.05,64.02,64.04,3092.0
64.06,64.06,64.045,64.05,2401.0
64.08,64.08,64.045,64.065,3174.0
64.07,64.095,64.0603,64.0603,4028.0
64.13,64.13,64.0657,64.07,1250.0
64.17,64.17,64.1,64.11,3022.0
64.18,64.19,64.16,64.165,5564.0
64.18,64.18,64.14,64.175,5100.0
64.12,64.1703,64.12,64.1703,4857.0
64.14,64.16,64.11,64.12,5809.0
64.19,64.19,64.14,64.14,5044.0
64.16,64.19,64.14,64.1825,4406.0
64.1896,64.22,64.16,64.16,3071.0
64.18,64.18,64.18,64.18,100.0
64.22,64.24,64.2,64.21,1916.0
64.23,64.24,64.22,64.23,837.0
64.22,64.24,64.217,64.24,2488.0
64.21,64.2215,64.18,64.2215,1850.0
64.24,64.24,64.24,64.24,300.0
64.2,64.26,64.2,64.26,1128.0
64.23,64.23,64.225,64.23,700.0
64.21,64.22,64.2,64.22,1100.0
64.21,64.21,64.2,64.2,2122.0
64.15,64.2,64.14,64.2,1000.0
64.13,64.16,64.13,64.16,2219.0
64.1267,64.1267,64.1267,64.1267,149.0
64.15,64.17,64.13,64.14,3084.0
64.15,64.16,64.12,64.16,1852.0
64.17,64.17,64.1532,64.16,1453.0
64.15,64.165,64.14,64.16,2300.0
64.15,64.164,64.14,64.15,2000.0
64.12,64.15,64.12,64.15,2789.0
64.115,64.1269,64.09,64.1269,2478.0
64.13,64.13,64.11,64.11,2522.0
64.11,64.12,64.105,64.12,3111.0
64.1,64.1,64.1,64.1,1400.0
64.1131,64.115,64.095,64.1,1804.0
64.13,64.1352,64.12,64.12,3430.0
64.1,64.1336,64.1,64.1231,3191.0
64.13,64.13,64.1,64.1,1800.0
64.11,64.1235,64.1,64.1235,2566.0
64.1,64.12,64.08,64.115,9291.0
64.1,64.11,64.1,64.11,1315.0
64.1116,64.115,64.1,64.1,2443.0
64.09,64.115,64.09,64.115,1673.0
64.06,64.07,64.055,64.06,2247.0
64.09,64.09,64.07,64.07,1922.0
64.1,64.1,64.08,64.095,2517.0
64.15,64.17,64.105,64.105,2760.0
64.17,64.17,64.16,64.17,2122.0
64.2016,64.23,64.19,64.19,2242.0
64.23,64.23,64.22,64.22,853.0
64.22,64.235,64.2,64.235,2800.0
64.23,64.23,64.2,64.22,2135.0
64.24,64.25,64.24,64.25,900.0
64.22,64.25,64.22,64.25,780.0
64.23,64.24,64.22,64.22,1448.0
64.1996,64.25,64.1996,64.24,1650.0
64.24,64.24,64.235,64.24,800.0
64.23,64.24,64.23,64.24,700.0
64.24,64.25,64.22,64.24,4989.0
64.26,64.26,64.24,64.24,500.0
64.22,64.24,64.19,64.24,2829.0
64.16,64.21,64.16,64.2,2512.0
64.15,64.16,64.15,64.16,422.0
64.17,64.2,64.17,64.18,3161.0
64.16,64.17,64.16,64.16,500.0
64.17,64.17,64.16,64.16,422.0
64.1604,64.18,64.1604,64.18,2987.0
64.175,64.18,64.15,64.17,2222.0
64.1713,64.1713,64.17,64.17,676.0
64.1863,64.21,64.185,64.185,3463.0
64.2,64.21,64.1864,64.195,1635.0
64.16,64.19,64.15,64.19,1500.0
64.18,64.18,64.16,64.16,900.0
64.18,64.1833,64.17,64.17,1920.0
64.1,64.17,64.1,64.17,8476.0
