Open,High,Low,Close,Volume
36.69,36.69,36.58,36.59,66052.0
36.61,36.7,36.6,36.69,15600.0
36.56,36.64,36.56,36.61,4698.0
36.54,36.58,36.54,36.5661,13349.0
36.5722,36.59,36.535,36.535,3769.0
36.5161,36.56,36.5161,36.56,10895.0
36.55,36.555,36.49,36.51,17528.0
36.56,36.6,36.55,36.55,8944.0
36.55,36.58,36.55,36.56,4598.0
36.57,36.57,36.515,36.54,8984.0
36.54,36.58,36.535,36.57,6050.0
36.5,36.54,36.5,36.54,7558.0
36.505,36.52,36.49,36.51,12343.0
36.48,36.51,36.47,36.51,13060.0
36.475,36.5,36.47,36.48,11958.0
36.4799,36.49,36.47,36.48,8625.0
36.445,36.47,36.44,36.47,13089.0
36.51,36.51,36.43,36.44,15278.0
36.52,36.55,36.5,36.5,10339.0
36.54,36.54,36.515,36.52,6766.0
36.53,36.555,36.53,36.55,5527.0
36.53,36.545,36.52,36.53,11150.0
36.53,36.535,36.52,36.52,3735.0
36.55,36.5599,36.535,36.535,7457.0
36.535,36.565,36.53,36.55,8907.0
36.505,36.545,36.5,36.54,23082.0
36.53,36.53,36.51,36.51,2600.0
36.51,36.5285,36.5,36.52,5943.0
36.5,36.52,36.495,36.52,5092.0
36.55,36.55,36.51,36.51,8600.0
36.56,36.57,36.545,36.55,16315.0
36.545,36.56,36.545,36.56,4895.0
36.57,36.57,36.535,36.55,11648.0
36.59,36.59,36.57,36.57,15047.0
36.5775,36.585,36.57,36.585,2856.0
36.61,36.61,36.5733,36.5733,6893.0
36.6,36.605,36.59,36.6,4846.0
36.59,36.6,36.575,36.6,6329.0
36.63,36.63,36.595,36.6,5100.0
36.63,36.64,36.62,36.64,3385.0
36.6,36.6274,36.6,36.62,7202.0
36.61,36.61,36.58,36.6,12248.0
36.6,36.61,36.59,36.61,9200.0
36.6075,36.615,36.6,36.605,17229.0
36.6,36.62,36.6,36.604,43955.0
36.61,36.615,36.595,36.6,9533.0
36.64,36.64,36.62,36.62,6000.0
36.66,36.66,36.63,36.63,12611.0
36.67,36.67,36.65,36.66,11419.0
36.66,36.675,36.66,36.675,9538.0
36.65,36.67,36.65,36.66,7297.0
36.665,36.68,36.64,36.655,58965.0
36.6792,36.68,36.665,36.6675,32625.0
36.69,36.69,36.67,36.68,6818.0
36.705,36.705,36.69,36.695,8995.0
36.695,36.71,36.69,36.71,4261.0
36.695,36.7,36.68,36.69,13483.0
36.7051,36.71,36.7,36.7,5568.0
36.7,36.715,36.7,36.705,7135.0
36.695,36.71,36.69,36.705,3394.0
36.671,36.7,36.67,36.7,6858.0
36.6661,36.68,36.66,36.671,11316.0
36.69,36.69,36.66,36.67,3394.0
36.69,36.709,36.69,36.7,6051.0
36.7,36.7,36.68,36.69,3244.0
36.69,36.7,36.69,36.7,3216.0
36.7,36.71,36.7,36.7,3035.0
36.7,36.71,36.69,36.71,7937.0
36.72,36.72,36.7,36.7,3464.0
36.68,36.7175,36.68,36.7141,8501.0
36.675,36.69,36.675,36.685,3700.0
36.67,36.68,36.67,36.67,1235.0
36.68,36.68,36.66,36.67,11970.0
36.7,36.705,36.68,36.69,4735.0
36.7,36.72,36.7,36.7081,11600.0
36.69,36.71,36.69,36.71,2518.0
36.705,36.71,36.69,36.7,5550.0
36.71,36.711,36.71,36.71,2222.0
36.705,36.71,36.695,36.71,7303.0
36.695,36.72,36.695,36.71,6656.0
36.69,36.715,36.69,36.7,10828.0
36.695,36.7,36.69,36.7,4325.0
36.705,36.71,36.695,36.7,4314.0
36.715,36.72,36.7,36.705,8215.0
36.69,36.72,36.69,36.71,4976.0
36.6899,36.71,36.685,36.695,8351.0
36.68,36.69,36.68,36.69,2047.0
36.67,36.68,36.67,36.68,4762.0
36.655,36.675,36.655,36.67,7803.0
36.65,36.66,36.65,36.655,3303.0
36.64,36.65,36.64,36.64,3453.0
36.62,36.64,36.62,36.63,7908.0
36.63,36.64,36.62,36.63,7738.0
36.675,36.675,36.635,36.6399,6881.0
36.69,36.69,36.67,36.67,8869.0
36.685,36.7,36.68,36.69,8020.0
36.6999,36.7,36.68,36.685,12227.0
36.67,36.6999,36.67,36.6942,7507.0
36.68,36.68,36.66,36.67,6449.0
36.665,36.675,36.6599,36.67,8401.0
36.7,36.7,36.67,36.67,5085.0
36.69,36.7,36.69,36.7,1983.0
36.68,36.695,36.675,36.695,7497.0
36.7,36.7,36.68,36.6862,3906.0
36.685,36.7,36.685,36.6935,8213.0
36.685,36.69,36.68,36.685,1131.0
36.695,36.7,36.685,36.69,3127.0
36.69,36.7,36.69,36.6956,4365.0
36.705,36.71,36.695,36.7,3175.0
36.695,36.705,36.69,36.7,30897.0
36.68,36.695,36.68,36.695,2297.0
36.685,36.69,36.68,36.68,2700.0
36.6637,36.69,36.66,36.69,7855.0
36.65,36.6668,36.65,36.66,5837.0
36.6557,36.66,36.65,36.65,5681.0
36.64,36.655,36.64,36.65,5041.0
36.64,36.65,36.64,36.65,4200.0
36.65,36.65,36.64,36.645,3439.0
36.655,36.66,36.645,36.6493,7686.0
36.655,36.66,36.6511,36.655,2412.0
36.63,36.66,36.63,36.65,11954.0
36.63,36.63,36.62,36.63,6811.0
36.625,36.63,36.62,36.62,1000.0
36.615,36.64,36.61,36.63,12891.0
36.59,36.615,36.59,36.615,5812.0
36.585,36.59,36.575,36.5849,5150.0
36.575,36.59,36.575,36.585,4952.0
36.597,36.6,36.5701,36.58,5505.0
36.6,36.61,36.595,36.595,1535.0
36.6097,36.615,36.605,36.605,2787.0
36.62,36.62,36.61,36.61,9907.0
36.635,36.64,36.615,36.62,3000.0
36.64,36.64,36.64,36.64,113154.0
36.68,36.68,36.645,36.645,5061.0
36.69,36.7,36.68,36.68,7661.0
36.69,36.69,36.68,36.69,2200.0
36.67,36.68,36.665,36.68,5235.0
36.65,36.67,36.6475,36.67,2761.0
36.6559,36.6559,36.635,36.65,6041.0
36.65,36.66,36.6439,36.655,5526.0
36.635,36.645,36.635,36.645,2299.0
36.65,36.65,36.63,36.645,3894.0
36.65,36.65,36.645,36.645,3950.0
36.655,36.66,36.65,36.65,3930.0
36.655,36.66,36.65,36.6599,2940.0
36.67,36.68,36.655,36.655,4103.0
36.67,36.675,36.67,36.67,1000.0
36.6701,36.68,36.67,36.67,3550.0
36.675,36.68,36.67,36.675,2400.0
36.655,36.67,36.65,36.67,10530.0
36.65,36.68,36.65,36.66,7067.0
36.67,36.67,36.66,36.66,2500.0
36.68,36.68,36.67,36.67,1044.0
36.67,36.68,36.67,36.68,1500.0
36.67,36.67,36.66,36.67,3400.0
36.6734,36.68,36.67,36.67,1806.0
36.6739,36.675,36.67,36.67,1354.0
36.66,36.67,36.65,36.67,6087.0
36.66,36.67,36.6544,36.67,3702.0
36.65,36.66,36.65,36.66,1900.0
36.64,36.65,36.64,36.65,1900.0
36.635,36.65,36.635,36.64,2500.0
36.6347,36.64,36.63,36.64,4603.0
36.635,36.64,36.63,36.6363,1420.0
36.63,36.635,36.63,36.63,1600.0
36.6201,36.635,36.6201,36.63,6004.0
36.62,36.62,36.62,36.62,200.0
36.6299,36.63,36.62,36.62,3052.0
36.62,36.63,36.62,36.63,1100.0
36.64,36.64,36.625,36.63,5854.0
36.6527,36.66,36.645,36.65,4400.0
36.64,36.65,36.64,36.65,3100.0
36.6499,36.6499,36.64,36.64,2835.0
36.645,36.65,36.64,36.645,5300.0
36.64,36.65,36.64,36.65,3048.0
36.64,36.65,36.63,36.63,5385.0
36.63,36.64,36.63,36.64,2439.0
36.64,36.64,36.625,36.63,3954.0
36.645,36.65,36.64,36.6452,2885.0
36.63,36.64,36.63,36.64,3803.0
36.635,36.64,36.635,36.635,2899.0
36.635,36.64,36.63,36.63,2300.0
36.63,36.6378,36.63,36.6378,1307.0
36.62,36.635,36.62,36.635,2600.0
36.61,36.6253,36.61,36.6253,3051.0
36.6,36.61,36.6,36.61,1265.0
36.605,36.61,36.6,36.61,1825.0
36.6,36.61,36.6,36.6005,4706.0
36.6,36.61,36.6,36.605,2453.0
36.59,36.61,36.59,36.6,3022.0
36.58,36.6,36.58,36.595,18218.0
36.585,36.59,36.58,36.585,2969.0
36.6,36.6,36.59,36.59,2496.0
36.59,36.6,36.59,36.595,2493.0
36.595,36.6,36.59,36.6,1200.0
36.61,36.61,36.6,36.6,2869.0
36.6269,36.63,36.605,36.61,3332.0
36.625,36.635,36.625,36.63,4081.0
36.62,36.62,36.615,36.62,1751.0
36.63,36.63,36.61,36.61,5677.0
36.64,36.64,36.63,36.6301,2500.0
36.62,36.633,36.615,36.633,4574.0
36.625,36.625,36.6101,36.6101,3250.0
36.62,36.63,36.62,36.63,2347.0
36.6,36.625,36.6,36.625,3974.0
36.6199,36.62,36.6,36.6,10221.0
36.615,36.62,36.61,36.61,1600.0
36.6253,36.6275,36.615,36.62,5170.0
36.6262,36.6262,36.62,36.62,12129.0
36.62,36.625,36.61,36.62,7906.0
36.62,36.625,36.62,36.62,832.0
36.61,36.62,36.61,36.62,2936.0
36.605,36.61,36.601,36.61,2743.0
36.61,36.61,36.6,36.6,1682.0
36.62,36.62,36.61,36.615,735.0
36.6265,36.6265,36.61,36.62,2544.0
36.65,36.65,36.625,36.625,6010.0
36.64,36.65,36.64,36.645,1931.0
36.65,36.65,36.6401,36.641,5539.0
36.65,36.66,36.65,36.65,2692.0
36.635,36.65,36.635,36.65,3710.0
36.635,36.645,36.63,36.635,4011.0
36.64,36.645,36.635,36.635,3411.0
36.6447,36.65,36.6447,36.6493,705.0
36.65,36.6553,36.645,36.65,4121.0
36.68,36.68,36.655,36.66,4389.0
36.6557,36.67,36.65,36.67,7155.0
36.6557,36.66,36.645,36.65,3686.0
36.67,36.68,36.655,36.655,3084.0
36.665,36.67,36.665,36.67,1936.0
36.68,36.68,36.665,36.6698,1824.0
36.675,36.68,36.675,36.68,1800.0
36.6757,36.68,36.675,36.675,2032.0
36.6632,36.675,36.66,36.675,5733.0
36.66,36.666,36.66,36.66,4105.0
36.66,36.6657,36.66,36.6657,866.0
36.661,36.67,36.66,36.66,2443.0
36.675,36.68,36.66,36.6647,4331.0
36.67,36.675,36.67,36.675,3709.0
36.665,36.67,36.664,36.67,4518.0
36.665,36.67,36.665,36.67,400.0
36.665,36.67,36.66,36.67,2902.0
36.655,36.66,36.65,36.66,1463.0
36.6566,36.66,36.65,36.655,1834.0
36.655,36.66,36.655,36.655,1275.0
36.655,36.66,36.65,36.66,616.0
36.67,36.67,36.655,36.655,3101.0
36.67,36.67,36.655,36.66,7962.0
36.6557,36.6675,36.65,36.6666,2763.0
36.645,36.65,36.64,36.65,3815.0
36.6475,36.65,36.6475,36.65,2000.0
36.655,36.66,36.655,36.66,1000.0
36.65,36.66,36.65,36.655,729.0
36.665,36.67,36.655,36.655,1646.0
36.69,36.69,36.66,36.66,4141.0
36.695,36.7,36.68,36.685,3843.0
36.68,36.7,36.68,36.7,7789.0
36.69,36.69,36.675,36.675,3454.0
36.6895,36.6895,36.68,36.68,1959.0
36.69,36.69,36.68,36.68,2133.0
36.695,36.695,36.685,36.685,1770.0
36.7065,36.7065,36.695,36.695,4300.0
36.705,36.71,36.7022,36.7022,1306.0
36.705,36.71,36.705,36.7054,1160.0
36.73,36.73,36.705,36.7095,9120.0
36.7161,36.73,36.7161,36.73,2608.0
36.71,36.72,36.71,36.72,1500.0
36.71,36.72,36.7,36.72,2500.0
36.71,36.71,36.705,36.7095,7607.0
36.72,36.72,36.705,36.71,3509.0
36.72,36.72,36.715,36.715,1094.0
36.72,36.72,36.71,36.71,3452.0
36.715,36.72,36.705,36.705,1600.0
36.7,36.72,36.7,36.72,2500.0
36.69,36.71,36.69,36.705,6877.0
36.685,36.6998,36.685,36.69,2905.0
36.69,36.7,36.69,36.69,5977.0
36.69,36.69,36.685,36.685,2900.0
36.695,36.695,36.69,36.69,1518.0
36.7,36.7,36.69,36.7,2694.0
36.71,36.71,36.695,36.695,1790.0
36.705,36.71,36.705,36.705,500.0
36.71,36.71,36.704,36.705,4446.0
36.725,36.73,36.71,36.71,5017.0
36.715,36.72,36.715,36.72,2014.0
36.72,36.7257,36.715,36.72,3199.0
36.72,36.72,36.69,36.715,24175.0
36.725,36.73,36.715,36.72,5872.0
36.72,36.725,36.72,36.725,1146.0
