Open,High,Low,Close,Volume
69.42,69.42,69.4,69.4,3100.0
69.92,69.99,69.35,69.39,41888.0
70.04,70.14,69.9,69.98,28882.0
69.77,70.19,69.76,70.05,20074.0
70.0,70.01,69.67,69.745,12603.0
70.0,70.15,69.98,70.02,5300.0
69.63,70.02,69.6,70.0,18636.0
69.69,69.74,69.6,69.63,9808.0
69.14,69.68,69.12,69.59,29914.0
69.4,69.4,69.2,69.21,4173.0
69.27,69.39,69.207,69.29,17548.0
69.03,69.34,69.03,69.3,27233.0
69.15,69.16,69.0,69.03,32005.0
69.4,69.4,69.12,69.12,15486.0
69.51,69.51,69.33,69.38,16077.0
69.27,69.58,69.11,69.5,39067.0
69.47,69.54,69.16,69.18,10450.0
69.49,69.55,69.4,69.53,12060.0
69.45,69.5,69.4,69.45,21500.0
69.46,69.5,69.34,69.45,24079.0
69.605,69.64,69.47,69.47,12677.0
69.66,69.73,69.52,69.6,16968.0
69.81,69.9,69.73,69.73,9129.0
69.92,69.92,69.79,69.79,1400.0
69.93,70.02,69.9,69.94,6134.0
70.0,70.05,69.9,69.91,5277.0
69.95,70.03,69.89,69.97,7885.0
69.91,69.99,69.89,69.99,12050.0
70.03,70.03,69.91,69.98,8700.0
69.79,70.04,69.73,69.99,8017.0
69.81,69.86,69.74,69.79,22100.0
69.95,70.01,69.76,69.77,9600.0
69.96,70.02,69.86,69.87,6100.0
69.82,69.95,69.82,69.95,8185.0
69.88,69.9,69.82,69.82,9939.0
69.9,69.985,69.86,69.88,14115.0
69.78,69.93,69.78,69.93,16028.0
69.8,69.94,69.8,69.82,9190.0
69.77,69.89,69.77,69.83,9000.0
69.68,69.79,69.68,69.76,8646.0
69.6,69.81,69.6,69.73,8166.0
69.62,69.73,69.62,69.68,1600.0
69.56,69.6,69.5,69.6,2830.0
69.5868,69.67,69.42,69.59,14391.0
69.68,69.75,69.58,69.58,3750.0
69.7,69.8175,69.7,69.744,2863.0
69.54,69.67,69.53,69.67,4351.0
69.38,69.54,69.38,69.54,3500.0
69.475,69.4984,69.36,69.36,3500.0
69.53,69.54,69.48,69.48,2700.0
69.4275,69.51,69.41,69.51,9400.0
69.45,69.5,69.43,69.45,15146.0
69.51,69.65,69.44,69.49,12521.0
69.54,69.65,69.5,69.51,6500.0
69.5875,69.62,69.52,69.56,9000.0
69.61,69.63,69.52,69.59,8200.0
69.72,69.72,69.54,69.58,9800.0
69.62,69.75,69.59,69.74,7803.0
