Open,High,Low,Close,Volume
112.11,112.11,112.11,112.11,23130.0
112.195,112.195,111.8,111.8,2200.0
112.525,112.63,112.04,112.0624,4526.0
112.45,112.63,112.43,112.625,1000.0
112.905,112.98,112.5,112.65,25461.0
112.825,112.99,112.76,112.98,7314.0
112.72,112.86,112.65,112.79,544.0
112.5,112.72,112.5,112.72,1992.0
112.5829,112.65,112.53,112.61,4925.0
112.65,112.695,112.56,112.62,1100.0
112.57,112.7,112.57,112.7,1270.0
112.59,112.67,112.59,112.67,700.0
112.54,112.66,112.54,112.66,2002.0
112.59,112.63,112.54,112.62,1009.0
112.59,112.66,112.57,112.65,1300.0
112.61,112.79,112.57,112.57,5900.0
112.5801,112.665,112.58,112.6,940.0
112.5925,112.63,112.54,112.63,2400.0
112.48,112.59,112.44,112.58,2898.0
112.47,112.5,112.44,112.5,1068.0
112.39,112.47,112.39,112.47,4703.0
112.45,112.45,112.35,112.4332,3610.0
112.44,112.46,112.36,112.42,1094.0
112.3437,112.42,112.3,112.42,2837.0
112.2,112.32,112.16,112.31,2965.0
112.2,112.26,112.15,112.16,2835.0
112.07,112.205,112.04,112.205,2200.0
112.06,112.16,112.06,112.13,2080.0
112.1214,112.16,112.0701,112.0701,400.0
112.01,112.11,112.01,112.11,2443.0
112.07,112.12,112.07,112.09,1500.0
112.21,112.21,112.07,112.09,2326.0
112.31,112.31,112.13,112.24,4280.0
112.35,112.35,112.2975,112.31,2280.0
112.31,112.4,112.3,112.37,2500.0
112.28,112.32,112.25,112.31,1400.0
112.37,112.4,112.28,112.31,2800.0
112.35,112.38,112.3125,112.38,1160.0
112.4,112.41,112.31,112.39,1300.0
112.51,112.51,112.46,112.46,2250.0
112.4122,112.465,112.37,112.465,2439.0
112.49,112.53,112.43,112.45,4211.0
112.39,112.495,112.39,112.49,4336.0
112.43,112.43,112.38,112.41,900.0
112.57,112.57,112.47,112.49,1100.0
112.58,112.58,112.53,112.53,300.0
112.62,112.68,112.57,112.58,2208.0
112.57,112.673,112.54,112.673,3421.0
112.7,112.7,112.63,112.63,1000.0
112.625,112.67,112.58,112.65,2601.0
112.565,112.5799,112.55,112.56,1200.0
112.45,112.53,112.39,112.53,7487.0
112.4,112.54,112.37,112.45,4436.0
112.25,112.38,112.25,112.34,1400.0
112.36,112.453,112.28,112.29,3900.0
112.5,112.505,112.43,112.43,1500.0
112.46,112.48,112.41,112.48,1379.0
112.44,112.47,112.42,112.44,1774.0
112.53,112.53,112.39,112.43,1315.0
112.55,112.55,112.46,112.5,1200.0
112.525,112.56,112.48,112.5,2113.0
112.43,112.51,112.41,112.51,4836.0
112.41,112.45,112.395,112.42,2706.0
112.37,112.41,112.35,112.41,1853.0
112.25,112.37,112.25,112.36,6920.0
112.25,112.295,112.25,112.29,2996.0
112.28,112.29,112.23,112.25,2600.0
112.26,112.3,112.26,112.3,1000.0
112.25,112.26,112.2,112.23,900.0
112.33,112.33,112.23,112.23,2645.0
112.41,112.41,112.33,112.33,4135.0
112.38,112.39,112.35,112.36,1376.0
112.36,112.43,112.36,112.3925,1082.0
112.27,112.35,112.27,112.35,300.0
112.3962,112.3962,112.29,112.29,1400.0
112.45,112.48,112.37,112.37,2937.0
112.38,112.47,112.38,112.47,2100.0
112.38,112.38,112.35,112.35,200.0
112.44,112.5,112.3826,112.39,855.0
112.45,112.465,112.42,112.465,1700.0
112.47,112.47,112.45,112.45,292.0
112.48,112.54,112.48,112.52,3875.0
112.57,112.57,112.53,112.53,635.0
112.6,112.64,112.6,112.623,900.0
112.58,112.62,112.58,112.605,2106.0
112.5333,112.62,112.52,112.59,2451.0
112.53,112.53,112.53,112.53,900.0
112.51,112.55,112.49,112.55,1500.0
112.47,112.53,112.46,112.53,2059.0
112.38,112.42,112.38,112.42,500.0
112.24,112.3724,112.24,112.3724,2010.0
112.28,112.31,112.21,112.21,2861.0
112.26,112.26,112.26,112.26,100.0
112.235,112.24,112.23,112.235,400.0
112.2797,112.3,112.24,112.26,1480.0
112.35,112.35,112.285,112.3,1500.0
112.4,112.4,112.34,112.4,1290.0
112.43,112.43,112.34,112.3785,1504.0
112.4,112.44,112.38,112.43,3788.0
112.4,112.4,112.4,112.4,100.0
112.27,112.42,112.27,112.42,2595.0
112.35,112.37,112.28,112.28,1667.0
112.5,112.5,112.39,112.39,700.0
112.48,112.5,112.46,112.5,940.0
112.47,112.5299,112.47,112.47,1385.0
112.41,112.49,112.41,112.49,1527.0
112.4,112.4374,112.39,112.39,860.0
112.415,112.47,112.39,112.47,1100.0
112.4,112.4,112.4,112.4,100.0
112.44,112.44,112.38,112.38,1100.0
112.42,112.425,112.4,112.425,800.0
112.47,112.48,112.43,112.44,1050.0
112.46,112.46,112.46,112.46,200.0
112.45,112.475,112.44,112.47,2164.0
112.4,112.42,112.4,112.42,1000.0
112.425,112.44,112.4,112.4,1837.0
112.32,112.4,112.32,112.4,1101.0
112.31,112.342,112.31,112.342,1126.0
112.35,112.35,112.2896,112.2896,4324.0
112.38,112.38,112.34,112.34,200.0
112.355,112.4,112.33,112.4,900.0
112.323,112.39,112.323,112.34,2404.0
112.33,112.34,112.29,112.29,4933.0
112.38,112.41,112.3,112.33,7771.0
112.41,112.41,112.35,112.38,2300.0
112.37,112.38,112.33,112.38,1604.0
112.3,112.3666,112.3,112.34,400.0
112.24,112.32,112.24,112.31,2950.0
112.2043,112.24,112.19,112.24,1825.0
112.2273,112.25,112.2126,112.2126,1429.0
112.29,112.2919,112.26,112.26,600.0
112.3217,112.325,112.3,112.325,607.0
112.29,112.37,112.26,112.35,3065.0
