Open,High,Low,Close,Volume
37.21,37.21,37.21,37.21,100.0
37.2352,37.2352,37.19,37.19,500.0
37.19,37.2,37.19,37.2,300.0
37.13,37.18,37.12,37.18,800.0
37.2,37.2,37.18,37.18,900.0
37.24,37.25,37.2064,37.2064,870.0
37.25,37.25,37.25,37.25,200.0
37.21,37.26,37.21,37.25,795.0
37.15,37.1667,37.11,37.1667,300.0
37.03,37.07,37.03,37.07,300.0
36.98,36.99,36.97,36.99,300.0
37.13,37.13,37.0075,37.03,1702.0
37.16,37.16,37.16,37.16,100.0
37.11,37.16,37.11,37.13,1100.0
37.1,37.14,37.1,37.14,500.0
37.03,37.08,37.03,37.08,300.0
36.97,37.01,36.97,37.01,700.0
36.96,37.01,36.96,36.97,500.0
36.96,36.96,36.92,36.92,575.0
36.92,36.92,36.92,36.92,200.0
36.91,36.92,36.91,36.92,200.0
36.91,36.9177,36.89,36.91,1500.0
36.88,36.92,36.88,36.91,2200.0
36.9,36.93,36.9,36.9,2174.0
36.89,36.925,36.88,36.89,3208.0
36.87,36.89,36.87,36.89,937.0
36.83,36.88,36.83,36.86,300.0
36.87,36.88,36.83,36.8643,3200.0
36.87,36.92,36.87,36.88,1500.0
36.82,36.86,36.81,36.86,439.0
36.77,36.79,36.76,36.78,2030.0
36.79,36.79,36.755,36.765,1500.0
36.82,36.82,36.81,36.81,1300.0
36.86,36.86,36.86,36.86,100.0
36.82,36.82,36.82,36.82,895.0
36.805,36.815,36.8,36.81,1187.0
36.75,36.79,36.75,36.79,900.0
36.72,36.75,36.72,36.75,1668.0
36.7075,36.74,36.7,36.72,2916.0
36.725,36.725,36.725,36.725,100.0
36.6901,36.72,36.68,36.72,2668.0
36.7,36.71,36.67,36.68,2601.0
36.62,36.69,36.62,36.69,1600.0
36.6,36.6159,36.58,36.61,3002.0
36.63,36.63,36.59,36.6,4800.0
36.62,36.62,36.6,36.61,2450.0
36.68,36.69,36.62,36.62,2850.0
36.64,36.7,36.64,36.69,2839.0
36.64,36.64,36.64,36.64,100.0
