Open,High,Low,Close,Volume
118.69,118.69,118.69,118.69,13211.0
119.08,119.19,118.62,118.63,7066.0
118.7,118.8626,118.69,118.8626,500.0
118.39,118.6,118.39,118.55,1500.0
118.04,118.38,118.04,118.38,1300.0
118.3,118.42,118.15,118.15,2300.0
118.21,118.31,118.21,118.29,4907.0
118.12,118.25,118.06,118.21,3971.0
118.05,118.16,118.05,118.11,6400.0
118.03,118.135,118.025,118.03,4212.0
118.12,118.14,118.04,118.06,5333.0
118.15,118.16,118.09,118.14,4000.0
118.135,118.16,118.08,118.16,4500.0
118.12,118.15,118.09,118.15,3466.0
118.11,118.12,118.06,118.1,1308.0
118.02,118.05,117.99,118.04,1055.0
118.055,118.07,118.045,118.07,2300.0
118.0,118.06,118.0,118.06,1700.0
118.01,118.01,117.95,117.95,2080.0
117.97,118.02,117.97,118.02,600.0
117.92,117.95,117.92,117.95,500.0
117.93,117.97,117.87,117.92,3115.0
117.9455,117.9455,117.9,117.93,1111.0
117.94,118.01,117.91,117.92,4623.0
117.89,117.9,117.89,117.9,200.0
118.0,118.01,117.89,117.94,3326.0
117.99,118.0,117.99,118.0,300.0
117.925,117.98,117.925,117.975,1800.0
117.9788,117.9788,117.9,117.94,4106.0
117.98,118.0,117.92,117.97,14843.0
118.03,118.04,117.94,117.96,8967.0
118.05,118.08,118.02,118.04,8100.0
118.09,118.119,118.035,118.04,4208.0
118.14,118.14,118.07,118.09,4601.0
118.09,118.14,118.08,118.14,18496.0
117.93,118.07,117.93,118.07,1600.0
117.97,117.98,117.92,117.955,2202.0
118.04,118.04,117.98,117.99,1300.0
118.12,118.12,118.03,118.035,11007.0
118.03,118.17,118.03,118.145,2800.0
118.07,118.07,118.02,118.02,2277.0
118.08,118.095,118.07,118.08,1500.0
117.97,118.085,117.96,118.085,3200.0
117.99,117.99,117.93,117.97,14626.0
118.045,118.08,117.98,117.99,7455.0
117.97,118.06,117.97,118.02,2320.0
117.955,117.97,117.95,117.97,500.0
117.9,117.94,117.9,117.93,1327.0
117.83,117.96,117.83,117.89,4376.0
117.815,117.815,117.815,117.815,100.0
117.77,117.81,117.76,117.79,1781.0
117.68,117.76,117.66,117.72,2429.0
117.7399,117.7399,117.67,117.68,2772.0
117.722,117.722,117.71,117.715,400.0
117.8,117.8048,117.73,117.73,1808.0
117.78,117.795,117.73,117.78,2919.0
117.81,117.83,117.77,117.78,2100.0
117.92,117.92,117.82,117.82,2300.0
117.86,117.92,117.86,117.9,1700.0
117.87,117.9,117.86,117.9,821.0
117.88,117.88,117.83,117.87,5334.0
117.85,117.8683,117.83,117.865,2234.0
117.86,117.88,117.82,117.83,4198.0
117.94,117.94,117.8799,117.8799,1024.0
117.88,117.91,117.88,117.91,1200.0
117.865,117.88,117.86,117.88,800.0
117.89,117.94,117.88,117.89,1600.0
117.85,117.865,117.85,117.865,300.0
117.83,117.84,117.82,117.83,700.0
117.85,117.85,117.78,117.805,2822.0
117.87,117.87,117.84,117.85,1371.0
117.87,117.9,117.87,117.89,977.0
117.87,117.89,117.86,117.86,800.0
117.82,117.89,117.82,117.88,2008.0
117.85,117.85,117.82,117.82,1950.0
117.8,117.82,117.8,117.82,600.0
117.88,117.88,117.79,117.79,4006.0
117.91,117.94,117.9,117.9,2309.0
117.88,117.91,117.88,117.91,1225.0
117.875,117.89,117.86,117.87,2100.0
117.84,117.87,117.84,117.87,1300.0
117.835,117.845,117.835,117.845,200.0
117.81,117.84,117.81,117.835,700.0
117.77,117.8,117.77,117.79,1493.0
117.73,117.77,117.69,117.77,3360.0
117.69,117.73,117.69,117.72,1100.0
117.63,117.66,117.6,117.66,1350.0
117.62,117.62,117.62,117.62,100.0
117.67,117.71,117.59,117.59,4777.0
117.64,117.69,117.64,117.66,2080.0
117.6,117.635,117.6,117.635,1010.0
117.58,117.66,117.55,117.62,3750.0
117.58,117.58,117.48,117.54,2600.0
