Open,High,Low,Close,Volume
153.99,153.99,153.86,153.86,23079.0
153.88,154.0,153.88,153.98,3640.0
153.94,154.09,153.895,153.99,1895.0
154.05,154.05,154.05,154.05,100.0
153.9803,154.066,153.97,154.066,1501.0
154.275,154.3,154.06,154.1,1600.0
154.227,154.34,154.045,154.28,5747.0
154.27,154.28,154.19,154.22,700.0
154.24,154.36,154.19,154.29,5935.0
154.3,154.3,154.2,154.25,1282.0
154.31,154.42,154.31,154.36,11000.0
154.4,154.4,154.31,154.31,5800.0
154.33,154.4,154.3,154.38,1837.0
154.11,154.34,154.08,154.34,11204.0
154.09,154.15,154.09,154.15,2300.0
154.21,154.22,154.12,154.21,500.0
154.18,154.26,154.18,154.22,2129.0
154.15,154.2,154.14,154.18,1067.0
154.25,154.25,154.16,154.21,2421.0
154.25,154.32,154.24,154.26,1100.0
154.36,154.36,154.275,154.275,2224.0
154.33,154.36,154.25,154.35,4300.0
154.1744,154.3,154.13,154.3,3150.0
154.18,154.22,154.1536,154.1536,1767.0
154.03,154.17,154.0,154.13,4045.0
154.08,154.08,154.01,154.07,1297.0
154.0701,154.14,154.0701,154.1,1704.0
154.14,154.1499,154.08,154.14,1668.0
153.755,154.08,153.755,154.08,49601.0
153.77,153.7949,153.77,153.7949,1439.0
153.85,153.88,153.78,153.82,5280.0
153.9,153.9,153.81,153.88,2700.0
153.8208,153.899,153.8,153.84,2209.0
153.81,153.89,153.68,153.87,5750.0
153.7,153.8,153.7,153.73,4600.0
153.64,153.7,153.61,153.7,8460.0
153.62,153.68,153.61,153.66,2338.0
153.63,153.67,153.58,153.58,3839.0
153.76,153.76,153.63,153.63,2900.0
153.9,153.94,153.77,153.8,2554.0
153.95,153.96,153.88,153.89,2208.0
153.965,154.0,153.91,153.96,1604.0
153.8728,154.0,153.8728,154.0,6883.0
153.9,153.96,153.881,153.8827,2676.0
153.853,153.925,153.853,153.9,2819.0
153.93,153.94,153.86,153.86,2307.0
153.8,153.91,153.77,153.91,3555.0
153.67,153.85,153.67,153.85,1800.0
153.725,153.725,153.7014,153.7014,3172.0
153.6258,153.72,153.61,153.72,3358.0
153.59,153.59,153.54,153.59,3591.0
153.53,153.66,153.5101,153.5101,14099.0
153.48,153.61,153.37,153.58,16587.0
153.5,153.58,153.445,153.485,3400.0
153.61,153.61,153.54,153.54,1900.0
