Open,High,Low,Close,Volume
79.1532,79.1532,78.5387,78.61,735.0
79.05,79.2224,78.97,78.97,688.0
79.19,79.22,79.0828,79.0828,300.0
79.04,79.14,79.01,79.14,500.0
79.26,79.26,79.18,79.21,500.0
79.15,79.15,79.11,79.11,200.0
79.14,79.14,79.14,79.14,100.0
79.02,79.02,78.82,78.82,400.0
79.08,79.1,79.02,79.02,1655.0
79.085,79.12,79.0,79.0,1600.0
79.11,79.16,79.11,79.12,1200.0
79.24,79.28,79.16,79.16,500.0
79.21,79.25,79.21,79.24,1218.0
79.24,79.2699,79.2,79.2699,700.0
79.14,79.31,79.14,79.31,2120.0
79.22,79.22,79.17,79.17,600.0
79.37,79.39,79.215,79.215,2641.0
79.36,79.4,79.32,79.39,2100.0
79.34,79.37,79.34,79.36,1344.0
79.43,79.43,79.42,79.43,300.0
79.35,79.39,79.32,79.37,4200.0
79.38,79.42,79.3,79.3,1211.0
79.425,79.44,79.38,79.38,800.0
79.47,79.47,79.47,79.47,100.0
79.56,79.56,79.49,79.52,18740.0
79.458,79.52,79.458,79.52,1150.0
79.43,79.43,79.43,79.43,300.0
79.3899,79.43,79.36,79.42,1875.0
79.4,79.4,79.37,79.38,400.0
79.425,79.48,79.425,79.43,600.0
79.39,79.41,79.39,79.41,800.0
79.41,79.41,79.365,79.37,1800.0
79.41,79.47,79.41,79.47,300.0
79.45,79.45,79.45,79.45,100.0
79.49,79.49,79.49,79.49,400.0
79.54,79.54,79.505,79.53,802.0
79.58,79.58,79.54,79.54,200.0
79.58,79.61,79.57,79.6,2100.0
79.5,79.565,79.5,79.565,600.0
79.48,79.5,79.48,79.49,1300.0
79.41,79.48,79.41,79.48,1257.0
79.44,79.49,79.44,79.45,1538.0
79.42,79.42,79.39,79.42,700.0
79.45,79.45,79.45,79.45,300.0
79.52,79.52,79.43,79.45,700.0
79.57,79.63,79.478,79.55,2025.0
79.41,79.41,79.41,79.41,100.0
79.409,79.409,79.409,79.409,100.0
79.445,79.445,79.445,79.445,100.0
79.48,79.48,79.455,79.455,300.0
79.5,79.5,79.48,79.48,400.0
79.55,79.55,79.5,79.5,400.0
79.59,79.59,79.5585,79.5585,605.0
79.62,79.66,79.59,79.62,1005.0
79.5091,79.62,79.5091,79.605,3516.0
79.45,79.45,79.45,79.45,300.0
79.435,79.435,79.435,79.435,100.0
79.32,79.42,79.31,79.4,1158.0
79.395,79.4,79.33,79.33,1400.0
79.37,79.41,79.36,79.36,600.0
79.355,79.395,79.33,79.37,1888.0
79.32,79.32,79.32,79.32,200.0
79.39,79.39,79.38,79.38,400.0
79.43,79.43,79.4,79.4,1000.0
79.45,79.46,79.45,79.45,900.0
79.48,79.48,79.48,79.48,100.0
79.48,79.48,79.48,79.48,100.0
79.52,79.52,79.48,79.48,1000.0
79.48,79.52,79.48,79.52,1176.0
79.44,79.45,79.44,79.45,200.0
79.43,79.43,79.43,79.43,300.0
79.42,79.44,79.42,79.44,400.0
79.62,79.62,79.45,79.47,3300.0
79.73,79.73,79.605,79.63,2000.0
79.68,79.74,79.66,79.73,2900.0
79.66,79.66,79.66,79.66,100.0
79.68,79.68,79.68,79.68,300.0
79.64,79.71,79.64,79.68,2600.0
79.76,79.76,79.63,79.64,2267.0
79.77,79.77,79.77,79.77,600.0
79.79,79.81,79.76,79.8,4200.0
79.7,79.79,79.7,79.79,3900.0
79.82,79.83,79.71,79.71,5400.0
79.81,79.81,79.73,79.78,61185.0
79.76,79.81,79.76,79.765,1700.0
79.75,79.76,79.75,79.76,575.0
79.76,79.765,79.72,79.765,1600.0
79.742,79.7471,79.74,79.743,725.0
79.71,79.74,79.68,79.74,3000.0
79.71,79.71,79.71,79.71,200.0
79.63,79.67,79.63,79.67,700.0
79.62,79.64,79.62,79.64,800.0
79.69,79.69,79.63,79.65,2600.0
79.65,79.67,79.65,79.67,1000.0
79.66,79.67,79.66,79.66,800.0
79.63,79.67,79.63,79.63,500.0
79.71,79.71,79.6699,79.6699,1820.0
79.72,79.72,79.71,79.71,200.0
79.69,79.71,79.67,79.71,600.0
79.68,79.68,79.68,79.68,100.0
79.63,79.66,79.63,79.66,1600.0
79.65,79.67,79.64,79.64,1500.0
79.66,79.66,79.65,79.66,500.0
79.644,79.644,79.644,79.644,100.0
79.68,79.68,79.68,79.68,100.0
79.64,79.68,79.64,79.68,900.0
79.6,79.63,79.6,79.63,1502.0
79.6,79.615,79.58,79.58,3400.0
79.594,79.594,79.594,79.594,100.0
79.585,79.627,79.585,79.6,1000.0
79.61,79.61,79.58,79.59,900.0
79.584,79.584,79.584,79.584,100.0
79.63,79.64,79.58,79.58,1900.0
79.62,79.62,79.62,79.62,100.0
79.63,79.63,79.61,79.62,2700.0
79.57,79.61,79.57,79.6,800.0
79.54,79.57,79.54,79.57,500.0
79.51,79.5201,79.51,79.5201,300.0
79.54,79.54,79.505,79.505,1700.0
79.5699,79.5699,79.5699,79.5699,110.0
79.55,79.57,79.55,79.57,900.0
79.54,79.54,79.54,79.54,100.0
79.59,79.59,79.55,79.56,800.0
79.59,79.59,79.59,79.59,200.0
79.53,79.53,79.51,79.53,1000.0
79.54,79.54,79.5104,79.5104,300.0
