Open,High,Low,Close,Volume
83.38,83.38,83.38,83.38,74340.0
83.05,83.38,83.05,83.09,1079.0
83.23,83.27,83.21,83.25,1079.0
83.24,83.24,83.2,83.22,400.0
83.22,83.22,83.22,83.22,100.0
83.23,83.26,83.2,83.22,939.0
83.17,83.17,83.17,83.17,100.0
83.27,83.27,83.27,83.27,400.0
83.36,83.4999,83.28,83.28,657.0
83.39,83.39,83.33,83.39,700.0
83.39,83.49,83.39,83.49,300.0
83.47,83.47,83.47,83.47,100.0
83.45,83.45,83.45,83.45,200.0
83.53,83.53,83.53,83.53,100.0
83.5,83.53,83.5,83.53,32850.0
83.53,83.53,83.53,83.53,400.0
83.51,83.53,83.51,83.53,2500.0
83.5675,83.57,83.5675,83.57,330.0
83.5601,83.6,83.56,83.6,1315.0
83.47,83.56,83.47,83.56,1900.0
83.42,83.48,83.42,83.48,2900.0
83.38,83.44,83.38,83.41,900.0
83.3,83.44,83.3,83.38,4200.0
83.3701,83.4,83.3701,83.38,1000.0
83.4,83.4025,83.38,83.4025,1000.0
83.5,83.5,83.4125,83.42,9275.0
83.49,83.51,83.46,83.46,1300.0
83.43,83.5001,83.42,83.49,3881.0
83.52,83.52,83.44,83.44,1300.0
83.58,83.58,83.5,83.53,325.0
83.54,83.54,83.54,83.54,100.0
83.57,83.6,83.54,83.55,1500.0
83.61,83.61,83.61,83.61,100.0
83.64,83.64,83.57,83.57,1400.0
83.645,83.65,83.62,83.63,4751.0
83.63,83.63,83.61,83.61,600.0
83.78,83.78,83.66,83.67,2654.0
83.77,83.8,83.74,83.77,2159.0
83.75,83.8,83.74,83.74,5730.0
83.75,83.76,83.73,83.76,1100.0
83.8,83.8,83.7438,83.769,600.0
83.95,83.95,83.82,83.82,3100.0
83.91,83.98,83.91,83.95,3232.0
83.81,83.85,83.81,83.85,900.0
83.86,83.86,83.82,83.82,1700.0
83.8604,83.8604,83.8604,83.8604,150.0
83.85,83.91,83.85,83.91,2200.0
83.82,83.85,83.82,83.85,2100.0
83.78,83.78,83.78,83.78,100.0
83.74,83.75,83.74,83.75,400.0
83.73,83.76,83.72,83.72,900.0
83.77,83.79,83.76,83.79,700.0
83.8,83.8,83.76,83.8,2200.0
83.75,83.81,83.75,83.77,2800.0
83.77,83.78,83.72,83.765,2400.0
83.8,83.8,83.76,83.76,1500.0
83.75,83.76,83.75,83.76,912.0
83.79,83.795,83.79,83.795,500.0
