Open,High,Low,Close,Volume
164.03,164.25,163.39,163.61,3468.0
165.66,165.66,163.93,163.93,21451.0
165.525,165.88,165.3001,165.54,1350.0
164.955,165.39,164.77,165.39,9310.0
165.08,165.28,165.0,165.0,1100.0
165.085,165.17,165.0,165.17,2200.0
164.96,165.17,164.87,165.17,6754.0
165.085,165.085,164.937,164.937,1600.0
165.005,165.1799,165.0,165.09,2035.0
165.0465,165.1,164.96,165.075,6186.0
165.33,165.5,164.97,165.09,8931.0
165.32,165.47,165.24,165.47,1488.0
165.37,165.4173,165.25,165.32,2400.0
165.29,165.36,165.21,165.21,4624.0
164.965,165.35,164.9,165.34,13023.0
164.98,165.09,164.9,164.99,14784.0
165.04,165.07,164.9,164.9,6827.0
164.79,165.065,164.74,164.96,5900.0
164.5566,164.675,164.52,164.675,6518.0
164.3415,164.565,164.3415,164.565,5975.0
164.415,164.4799,164.34,164.4799,3070.0
164.2701,164.47,164.2701,164.3412,8003.0
164.34,164.41,164.32,164.345,2697.0
164.37,164.42,164.32,164.375,7254.0
164.3548,164.375,164.28,164.375,1405.0
164.25,164.41,164.25,164.32,7477.0
164.27,164.3,164.2,164.22,1855.0
164.2,164.34,164.13,164.22,4401.0
164.18,164.25,164.16,164.245,3043.0
164.1975,164.215,164.13,164.18,2747.0
164.22,164.32,164.18,164.23,13112.0
164.13,164.2,164.13,164.2,2540.0
164.02,164.11,164.02,164.11,4297.0
164.0272,164.055,164.02,164.055,730.0
164.12,164.18,164.02,164.02,6772.0
164.09,164.14,163.98,164.06,16652.0
164.05,164.1164,164.03,164.1164,3046.0
164.05,164.115,164.05,164.115,200.0
164.2,164.25,163.98,164.05,10221.0
164.19,164.25,164.07,164.18,4500.0
164.22,164.22,164.12,164.135,4200.0
164.27,164.47,164.1501,164.2,20428.0
164.28,164.35,164.27,164.29,2296.0
164.302,164.33,164.23,164.33,3900.0
164.135,164.23,164.13,164.23,1800.0
164.25,164.26,164.135,164.135,1620.0
164.17,164.38,164.17,164.2899,7909.0
164.18,164.24,164.12,164.17,2000.0
164.17,164.18,164.01,164.18,12652.0
164.05,164.23,164.05,164.18,4120.0
163.96,164.093,163.96,164.08,5971.0
164.04,164.06,163.95,163.9826,2886.0
163.96,164.04,163.96,164.03,2144.0
163.94,163.94,163.94,163.94,300.0
164.0687,164.0687,164.0687,164.0687,150.0
163.95,164.07,163.95,164.07,1400.0
163.935,164.04,163.87,164.04,4542.0
163.78,163.9092,163.64,163.87,10218.0
163.64,163.76,163.6,163.76,5272.0
163.52,163.655,163.52,163.64,2418.0
163.6399,163.6399,163.51,163.61,2180.0
163.7,163.72,163.53,163.53,4461.0
163.665,163.665,163.65,163.65,400.0
163.61,163.61,163.53,163.6,3255.0
163.64,163.65,163.53,163.64,2400.0
163.67,163.67,163.55,163.56,1649.0
163.8,163.8,163.67,163.67,2400.0
163.75,163.89,163.72,163.8,8075.0
163.7,163.72,163.7,163.72,600.0
163.695,163.74,163.65,163.735,2917.0
163.65,163.67,163.64,163.67,2041.0
163.66,163.73,163.64,163.64,400.0
163.952,164.11,163.695,163.695,12627.0
163.89,163.98,163.89,163.93,6111.0
163.92,163.98,163.85,163.85,7031.0
164.1,164.1,163.99,163.99,1400.0
164.3,164.3,164.105,164.105,3551.0
164.39,164.39,164.3,164.3,5153.0
164.4,164.4,164.33,164.4,1100.0
164.57,164.57,164.4299,164.4299,1200.0
164.395,164.54,164.31,164.51,5200.0
164.51,164.51,164.42,164.43,1570.0
164.495,164.55,164.495,164.55,300.0
164.22,164.5144,164.21,164.495,7021.0
164.16,164.25,164.16,164.21,23019.0
164.04,164.18,164.04,164.17,2708.0
164.01,164.17,164.01,164.12,4604.0
163.89,164.055,163.79,164.0,5300.0
164.01,164.08,163.92,163.92,1700.0
164.07,164.07,163.93,163.95,2400.0
164.05,164.12,164.03,164.09,1700.0
164.17,164.17,164.05,164.05,3500.0
163.98,164.2,163.95,164.13,1500.0
164.0,164.01,163.945,163.98,1471.0
163.95,164.05,163.95,164.05,11082.0
163.98,163.98,163.835,163.94,4720.0
164.05,164.14,163.99,163.99,1400.0
163.82,163.975,163.82,163.95,800.0
163.89,163.965,163.83,163.895,1200.0
164.06,164.06,163.845,163.905,8290.0
163.99,164.05,163.94,164.05,6900.0
163.96,164.07,163.96,164.03,3900.0
164.09,164.09,163.94,163.95,3700.0
164.24,164.245,164.19,164.2,6205.0
164.16,164.17,164.07,164.12,3008.0
164.18,164.19,164.08,164.08,700.0
164.18,164.2,164.09,164.1297,2814.0
164.15,164.16,164.04,164.11,4700.0
164.22,164.22,164.105,164.105,2100.0
164.15,164.22,164.04,164.22,50954.0
164.34,164.34,164.1,164.15,3799.0
164.16,164.31,164.16,164.28,10057.0
164.055,164.14,164.03,164.13,6146.0
164.135,164.16,164.04,164.1,4800.0
164.06,164.11,164.05,164.11,4010.0
164.03,164.04,164.0,164.04,600.0
163.99,164.03,163.94,164.0299,6176.0
164.04,164.06,163.94,163.96,3950.0
164.06,164.1,164.04,164.04,29175.0
163.85,164.04,163.83,164.04,2400.0
163.78,163.78,163.78,163.78,100.0
163.66,163.78,163.6,163.78,4363.0
163.6,163.67,163.6,163.67,300.0
163.46,163.625,163.46,163.6,4649.0
163.48,163.48,163.46,163.46,400.0
163.37,163.485,163.37,163.48,1300.0
163.3,163.3726,163.24,163.33,3275.0
163.365,163.38,163.27,163.28,5670.0
163.375,163.43,163.32,163.39,6550.0
163.22,163.41,163.22,163.4,6700.0
163.21,163.21,163.21,163.21,100.0
163.22,163.27,163.2,163.27,1434.0
163.26,163.26,163.16,163.16,3470.0
163.23,163.23,163.23,163.23,100.0
163.16,163.2065,163.16,163.2065,1800.0
163.17,163.22,163.17,163.22,400.0
163.17,163.22,163.12,163.17,2100.0
163.19,163.2,163.14,163.15,8605.0
163.18,163.18,163.15,163.15,700.0
163.2,163.23,163.09,163.11,6001.0
163.23,163.24,163.17,163.24,5913.0
163.37,163.4,163.18,163.19,7636.0
163.48,163.48,163.32,163.36,10030.0
163.47,163.53,163.45,163.53,7762.0
163.5,163.5,163.465,163.465,1100.0
163.48,163.48,163.48,163.48,200.0
163.53,163.53,163.48,163.48,400.0
163.471,163.53,163.471,163.53,700.0
163.65,163.65,163.53,163.53,9161.0
163.71,163.71,163.66,163.66,2800.0
163.65,163.71,163.65,163.71,3101.0
163.585,163.68,163.55,163.68,3588.0
163.55,163.66,163.55,163.5675,5918.0
163.53,163.65,163.53,163.59,16948.0
163.65,163.67,163.53,163.55,6840.0
163.6,163.7,163.6,163.7,1100.0
163.64,163.69,163.62,163.62,500.0
163.61,163.69,163.61,163.69,1951.0
163.59,163.65,163.59,163.61,2517.0
163.635,163.68,163.635,163.66,1885.0
163.69,163.71,163.63,163.65,3368.0
163.6996,163.71,163.66,163.71,2250.0
163.76,163.81,163.68,163.7,1730.0
163.76,163.81,163.71,163.71,2500.0
163.6858,163.765,163.64,163.75,4868.0
163.59,163.64,163.59,163.64,500.0
163.5725,163.62,163.56,163.6,2900.0
163.68,163.72,163.53,163.5775,6042.0
163.6,163.695,163.6,163.69,4704.0
163.59,163.63,163.59,163.63,700.0
163.65,163.65,163.64,163.64,1152.0
163.65,163.68,163.62,163.66,1200.0
163.69,163.69,163.635,163.65,1800.0
163.69,163.73,163.69,163.7,3344.0
163.71,163.71,163.67,163.69,1700.0
163.65,163.77,163.64,163.72,3612.0
163.68,163.68,163.66,163.67,800.0
163.63,163.65,163.63,163.65,1165.0
163.69,163.69,163.63,163.63,3117.0
163.755,163.76,163.67,163.69,2916.0
163.75,163.78,163.73,163.76,3695.0
163.77,163.77,163.71,163.73,2417.0
163.67,163.76,163.67,163.76,3800.0
163.67,163.7,163.67,163.7,405.0
163.67,163.7,163.64,163.64,1800.0
163.53,163.65,163.53,163.65,3007.0
163.59,163.59,163.5,163.5,1000.0
163.57,163.61,163.52,163.565,1600.0
163.555,163.58,163.545,163.545,1083.0
163.58,163.58,163.55,163.58,1400.0
163.53,163.58,163.52,163.58,1949.0
163.59,163.59,163.54,163.57,2293.0
163.555,163.6,163.54,163.6,2158.0
163.62,163.62,163.555,163.555,1500.0
163.67,163.67,163.65,163.67,500.0
163.61,163.67,163.53,163.67,4150.0
163.57,163.57,163.565,163.57,700.0
163.62,163.62,163.5501,163.58,2737.0
163.585,163.64,163.57,163.64,3100.0
163.579,163.6,163.579,163.6,636.0
163.595,163.63,163.57,163.57,4659.0
163.6,163.62,163.59,163.61,2409.0
163.66,163.66,163.59,163.61,1938.0
163.75,163.76,163.64,163.64,1500.0
163.75,163.8,163.75,163.79,3549.0
163.78,163.78,163.75,163.78,1600.0
163.8,163.8,163.74,163.77,4748.0
163.7737,163.7737,163.77,163.77,902.0
163.81,163.81,163.77,163.77,843.0
163.77,163.82,163.77,163.81,6039.0
163.8199,163.8199,163.8,163.8,1050.0
163.95,163.95,163.8,163.82,6253.0
163.88,163.95,163.88,163.95,3471.0
163.85,163.8813,163.85,163.8813,2417.0
163.856,163.88,163.82,163.845,2605.0
163.84,163.88,163.84,163.88,584.0
163.83,163.85,163.83,163.85,1575.0
163.72,163.79,163.72,163.79,1000.0
163.66,163.74,163.66,163.715,2024.0
163.68,163.7092,163.68,163.695,2822.0
163.69,163.71,163.66,163.68,7110.0
163.66,163.69,163.66,163.67,1000.0
163.6499,163.67,163.64,163.67,1100.0
163.6199,163.66,163.59,163.63,2210.0
163.61,163.6199,163.53,163.56,1900.0
163.91,163.91,163.615,163.615,5058.0
163.8802,163.98,163.8802,163.97,9001.0
163.79,163.86,163.77,163.85,2025.0
163.85,163.88,163.84,163.84,1172.0
163.8,163.81,163.8,163.81,400.0
163.85,163.85,163.72,163.78,5433.0
163.73,163.805,163.73,163.79,2400.0
163.64,163.7,163.64,163.7,900.0
163.72,163.73,163.655,163.69,2705.0
163.8,163.8,163.74,163.74,5057.0
163.835,163.835,163.835,163.835,100.0
163.87,163.87,163.77,163.77,2241.0
163.92,163.92,163.87,163.87,700.0
163.95,163.95,163.92,163.92,900.0
163.98,163.98,163.915,163.915,1300.0
164.0,164.06,163.92,163.98,3250.0
164.1,164.1,164.02,164.03,1835.0
164.1,164.1,164.07,164.1,1941.0
164.04,164.09,164.04,164.06,3014.0
164.06,164.06,163.99,164.04,5378.0
164.06,164.06,164.06,164.06,100.0
164.06,164.06,164.03,164.06,500.0
164.1,164.12,164.06,164.06,3596.0
164.18,164.18,164.11,164.11,1400.0
164.27,164.28,164.2,164.2,1326.0
164.28,164.28,164.27,164.27,1100.0
164.32,164.35,164.305,164.32,600.0
164.31,164.35,164.3,164.35,4663.0
164.21,164.27,164.21,164.27,2948.0
164.12,164.21,164.12,164.21,953.0
164.03,164.19,164.03,164.18,11766.0
164.05,164.06,164.04,164.05,2412.0
164.035,164.06,164.01,164.01,1200.0
164.06,164.06,164.035,164.035,300.0
163.95,163.99,163.95,163.98,1200.0
163.93,163.93,163.93,163.93,100.0
164.0,164.0,163.93,163.95,2166.0
164.005,164.02,163.94,164.0,2858.0
164.02,164.04,163.97,164.03,4481.0
164.0,164.0,163.96,163.96,400.0
164.0,164.0,163.97,164.0,600.0
164.02,164.02,163.97,164.0,5120.0
164.12,164.12,164.01,164.02,1700.0
164.12,164.12,164.04,164.08,2145.0
164.05,164.13,164.05,164.12,6984.0
164.06,164.07,164.04,164.05,1500.0
163.93,164.02,163.89,164.02,2150.0
163.91,163.95,163.83,163.89,2700.0
164.02,164.02,163.9599,163.9599,791.0
164.08,164.08,164.0058,164.0058,2336.0
164.19,164.19,164.08,164.08,1874.0
164.34,164.34,164.24,164.24,2000.0
164.45,164.45,164.34,164.34,8403.0
164.42,164.46,164.41,164.4275,9124.0
164.32,164.4,164.32,164.4,2225.0
164.345,164.345,164.31,164.31,200.0
164.44,164.44,164.3328,164.345,2428.0
164.45,164.45,164.39,164.4,6528.0
164.47,164.47,164.445,164.445,1465.0
164.5766,164.58,164.48,164.48,2015.0
164.69,164.69,164.56,164.56,4100.0
164.77,164.77,164.64,164.64,2121.0
164.69,164.81,164.66,164.76,4931.0
164.65,164.685,164.64,164.685,7762.0
164.64,164.64,164.58,164.6,500.0
164.59,164.62,164.59,164.6,2968.0
164.54,164.6,164.54,164.58,1000.0
164.66,164.66,164.55,164.55,4252.0
164.74,164.74,164.64,164.67,1500.0
164.66,164.75,164.66,164.75,6224.0
164.65,164.65,164.61,164.63,2800.0
164.65,164.67,164.62,164.63,1167.0
164.67,164.72,164.62,164.62,6300.0
164.67,164.69,164.63,164.67,4300.0
164.595,164.6555,164.57,164.6555,3700.0
164.66,164.66,164.57,164.6,2120.0
164.775,164.84,164.69,164.69,5814.0
164.79,164.79,164.745,164.766,1850.0
164.8,164.8,164.7375,164.8,1200.0
164.79,164.81,164.76,164.81,6451.0
164.82,164.82,164.78,164.78,4183.0
164.79,164.85,164.77,164.82,7290.0
164.78,164.79,164.73,164.77,4064.0
164.79,164.8,164.77,164.77,3321.0
164.75,164.79,164.75,164.79,4355.0
164.78,164.79,164.75,164.75,1400.0
164.8,164.86,164.8,164.81,2608.0
164.66,164.85,164.66,164.8201,9612.0
164.57,164.61,164.53,164.58,3233.0
164.49,164.57,164.49,164.57,2289.0
164.43,164.47,164.42,164.45,8250.0
164.5093,164.53,164.45,164.45,2100.0
164.74,164.74,164.49,164.55,2641.0
164.635,164.745,164.61,164.675,3584.0
164.65,164.66,164.635,164.635,300.0
164.73,164.78,164.65,164.65,2771.0
164.86,164.86,164.8,164.8,2433.0
164.95,164.96,164.8,164.86,5622.0
164.93,164.94,164.88,164.94,2400.0
164.93,164.93,164.88,164.93,3998.0
164.9,164.96,164.87,164.9,9041.0
164.9575,164.98,164.92,164.92,810.0
164.86,164.9,164.83,164.89,4300.0
164.91,164.91,164.83,164.83,5751.0
164.85,164.94,164.85,164.89,7226.0
164.77,164.86,164.77,164.85,3486.0
164.83,164.83,164.71,164.76,4861.0
164.785,164.85,164.74,164.84,5000.0
164.87,164.89,164.78,164.82,4300.0
164.92,164.95,164.85,164.9,3000.0
164.87,164.94,164.87,164.92,7339.0
164.79,164.89,164.74,164.89,2700.0
164.82,164.87,164.74,164.78,4600.0
164.76,164.835,164.76,164.835,6900.0
164.77,164.83,164.74,164.74,4100.0
164.79,164.79,164.75,164.785,3837.0
164.74,164.81,164.74,164.8,2000.0
164.69,164.76,164.69,164.73,5035.0
164.72,164.77,164.67,164.67,4111.0
164.625,164.7,164.62,164.7,6171.0
164.6797,164.73,164.58,164.63,8042.0
164.73,164.73,164.67,164.69,4826.0
164.63,164.73,164.63,164.73,5000.0
164.58,164.62,164.57,164.6,3236.0
164.54,164.54,164.44,164.49,3689.0
164.64,164.64,164.51,164.5499,5267.0
164.63,164.64,164.6,164.62,1431.0
164.665,164.68,164.6,164.61,6605.0
164.74,164.76,164.665,164.665,9967.0
164.7687,164.7687,164.73,164.7559,3881.0
164.64,164.765,164.64,164.765,16743.0
164.6,164.66,164.6,164.65,4048.0
164.61,164.64,164.57,164.59,8519.0
164.48,164.62,164.43,164.61,4515.0
164.53,164.53,164.47,164.48,5430.0
164.5,164.56,164.5,164.56,4461.0
164.62,164.62,164.51,164.52,9532.0
164.55,164.63,164.54,164.6,6169.0
164.59,164.63,164.55,164.56,3729.0
164.68,164.69,164.58,164.6,6391.0
164.685,164.71,164.64,164.68,10418.0
164.57,164.68,164.57,164.67,7773.0
164.62,164.62,164.555,164.57,9716.0
164.57,164.61,164.57,164.6,11557.0
164.63,164.64,164.55,164.56,9779.0
164.63,164.645,164.62,164.63,12854.0
164.56,164.66,164.55,164.62,12458.0
164.56,164.56,164.45,164.55,11357.0
164.55,164.61,164.51,164.54,16106.0
164.354,164.57,164.35,164.55,18858.0
164.4,164.44,164.36,164.36,13923.0
164.36,164.47,164.36,164.39,11020.0
164.41,164.46,164.37,164.37,22027.0
164.42,164.5,164.38,164.41,29171.0
164.48,164.52,164.41,164.42,16100.0
164.48,164.49,164.45,164.4808,14865.0
164.62,164.62,164.48,164.485,16040.0
164.48,164.62,164.48,164.62,21052.0
164.55,164.55,164.45,164.48,23030.0
164.65,164.66,164.54,164.6,22846.0
164.55,164.66,164.54,164.655,26432.0
164.61,164.65,164.52,164.55,38686.0
Open,High,Low,Close,Volume
164.03,164.25,163.39,163.61,3468.0
165.66,165.66,163.93,163.93,21451.0
165.525,165.88,165.3001,165.54,1350.0
164.955,165.39,164.77,165.39,9310.0
165.08,165.28,165.0,165.0,1100.0
165.085,165.17,165.0,165.17,2200.0
164.96,165.17,164.87,165.17,6754.0
165.085,165.085,164.937,164.937,1600.0
165.005,165.1799,165.0,165.09,2035.0
165.0465,165.1,164.96,165.075,6186.0
165.33,165.5,164.97,165.09,8931.0
165.32,165.47,165.24,165.47,1488.0
165.37,165.4173,165.25,165.32,2400.0
165.29,165.36,165.21,165.21,4624.0
164.965,165.35,164.9,165.34,13023.0
164.98,165.09,164.9,164.99,14784.0
165.04,165.07,164.9,164.9,6827.0
164.79,165.065,164.74,164.96,5900.0
164.5566,164.675,164.52,164.675,6518.0
164.3415,164.565,164.3415,164.565,5975.0
164.415,164.4799,164.34,164.4799,3070.0
164.2701,164.47,164.2701,164.3412,8003.0
164.34,164.41,164.32,164.345,2697.0
164.37,164.42,164.32,164.375,7254.0
164.3548,164.375,164.28,164.375,1405.0
164.25,164.41,164.25,164.32,7477.0
164.27,164.3,164.2,164.22,1855.0
164.2,164.34,164.13,164.22,4401.0
164.18,164.25,164.16,164.245,3043.0
164.1975,164.215,164.13,164.18,2747.0
164.22,164.32,164.18,164.23,13112.0
164.13,164.2,164.13,164.2,2540.0
164.02,164.11,164.02,164.11,4297.0
164.0272,164.055,164.02,164.055,730.0
164.12,164.18,164.02,164.02,6772.0
164.09,164.14,163.98,164.06,16652.0
164.05,164.1164,164.03,164.1164,3046.0
164.05,164.115,164.05,164.115,200.0
164.2,164.25,163.98,164.05,10221.0
164.19,164.25,164.07,164.18,4500.0
164.22,164.22,164.12,164.135,4200.0
