Open,High,Low,Close,Volume
97.67,98.08,97.67,97.95,4790.0
97.61,97.81,97.58,97.81,6717.0
97.51,97.63,97.5,97.62,3374.0
97.4195,97.63,97.15,97.63,15763.0
97.58,97.76,97.41,97.41,2626.0
97.526,97.526,97.41,97.4641,750.0
97.5532,97.57,97.48,97.56,2200.0
97.65,97.65,97.62,97.62,1000.0
97.71,97.845,97.71,97.74,3600.0
97.77,97.77,97.7,97.7,600.0
97.94,97.94,97.85,97.87,3843.0
97.89,97.94,97.77,97.94,6800.0
97.88,97.88,97.81,97.84,2500.0
97.88,97.94,97.81,97.84,2000.0
98.02,98.02,97.84,97.84,9898.0
97.9764,98.01,97.93,97.95,2150.0
98.19,98.255,98.0,98.0,3700.0
98.12,98.12,98.1,98.1,400.0
98.21,98.21,98.14,98.18,1300.0
98.16,98.16,98.16,98.16,100.0
98.24,98.249,98.15,98.2,1300.0
98.1547,98.26,98.1301,98.26,2810.0
98.1,98.14,98.07,98.13,1000.0
98.1,98.1,98.1,98.1,100.0
98.1233,98.17,98.09,98.15,2035.0
98.11,98.28,98.11,98.13,3300.0
98.17,98.17,98.135,98.135,500.0
98.16,98.21,98.13,98.174,1300.0
98.16,98.16,98.16,98.16,111.0
98.125,98.125,98.1044,98.1044,1000.0
98.29,98.29,98.12,98.12,2535.0
98.32,98.32,98.2648,98.2648,2227.0
98.2,98.26,98.2,98.26,1475.0
98.26,98.2799,98.2101,98.24,1330.0
98.369,98.369,98.28,98.28,2992.0
98.38,98.38,98.352,98.38,3450.0
98.28,98.34,98.25,98.34,3802.0
98.27,98.28,98.26,98.28,595.0
98.36,98.36,98.271,98.33,2894.0
98.34,98.34,98.32,98.3329,500.0
98.39,98.39,98.341,98.37,1500.0
98.39,98.39,98.35,98.3648,750.0
98.34,98.42,98.34,98.3445,2900.0
98.38,98.38,98.37,98.38,1030.0
98.36,98.43,98.36,98.39,4541.0
98.49,98.57,98.38,98.38,13410.0
98.52,98.55,98.48,98.48,2600.0
98.59,98.6,98.5101,98.5101,4503.0
98.5206,98.61,98.5206,98.59,1953.0
98.56,98.6014,98.54,98.55,1800.0
98.58,98.59,98.54,98.56,800.0
98.5901,98.65,98.5901,98.6211,410.0
98.56,98.59,98.53,98.59,1503.0
98.68,98.68,98.58,98.58,4127.0
98.56,98.65,98.52,98.645,6520.0
98.52,98.57,98.14,98.53,4854.0
98.464,98.54,98.464,98.54,490.0
98.5,98.5,98.485,98.49,300.0
98.4,98.5,98.4,98.5,800.0
98.45,98.45,98.41,98.41,2167.0
98.56,98.57,98.42,98.4448,4301.0
98.46,98.535,98.46,98.51,4001.0
98.42,98.48,98.42,98.4462,2610.0
98.4,98.45,98.4,98.45,2000.0
98.45,98.47,98.43,98.43,900.0
98.485,98.51,98.445,98.47,3510.0
98.57,98.58,98.4964,98.4964,3490.0
98.62,98.62,98.55,98.59,1834.0
98.73,98.73,98.6017,98.6017,2217.0
98.6885,98.72,98.64,98.69,2200.0
98.72,98.75,98.66,98.66,1891.0
98.77,98.8,98.73,98.75,9694.0
98.79,98.81,98.75,98.7504,3427.0
98.78,98.81,98.77,98.78,1610.0
98.671,98.78,98.671,98.78,4850.0
98.7148,98.7148,98.675,98.675,400.0
98.75,98.75,98.74,98.74,300.0
98.7,98.78,98.7,98.73,3278.0
98.78,98.7899,98.76,98.77,2383.0
98.7,98.775,98.7,98.76,4030.0
98.67,98.7,98.67,98.6701,1500.0
98.62,98.6756,98.5745,98.67,1900.0
98.5835,98.64,98.56,98.58,5188.0
98.63,98.63,98.59,98.59,1300.0
98.7,98.74,98.61,98.63,4100.0
98.675,98.7,98.65,98.68,2300.0
98.6369,98.67,98.6369,98.67,870.0
98.68,98.68,98.64,98.64,1200.0
98.71,98.77,98.68,98.68,3000.0
98.77,98.77,98.69,98.715,1900.0
98.71,98.749,98.7,98.749,2300.0
98.6345,98.72,98.62,98.695,4665.0
98.61,98.63,98.61,98.615,500.0
98.58,98.63,98.56,98.62,3472.0
98.555,98.57,98.55,98.57,2100.0
98.53,98.56,98.53,98.56,2500.0
98.5,98.56,98.48,98.54,4317.0
98.54,98.56,98.48,98.48,2000.0
98.54,98.54,98.49,98.53,2656.0
98.487,98.53,98.487,98.53,1200.0
98.47,98.51,98.47,98.475,2000.0
98.54,98.57,98.51,98.51,3400.0
98.4,98.5,98.4,98.5,3950.0
98.44,98.46,98.42,98.44,2000.0
98.47,98.4791,98.47,98.4791,600.0
98.5,98.5,98.49,98.49,400.0
98.55,98.55,98.52,98.52,600.0
98.53,98.545,98.52,98.545,3403.0
98.495,98.54,98.4864,98.53,2954.0
98.5,98.54,98.4997,98.4997,1100.0
98.48,98.5,98.42,98.49,9000.0
98.471,98.48,98.44,98.46,600.0
98.44,98.455,98.44,98.455,435.0
98.42,98.43,98.42,98.43,300.0
98.465,98.49,98.4,98.4,1400.0
98.44,98.44,98.4,98.44,900.0
98.44,98.44,98.385,98.42,1315.0
98.485,98.49,98.42,98.42,1200.0
98.47,98.47,98.47,98.47,100.0
98.45,98.54,98.45,98.5,2441.0
98.495,98.51,98.47,98.479,1500.0
98.48,98.51,98.48,98.51,500.0
98.48,98.49,98.47,98.47,300.0
98.41,98.4838,98.41,98.4838,2821.0
98.4741,98.48,98.425,98.43,1400.0
98.5275,98.54,98.475,98.48,1900.0
98.54,98.54,98.5,98.54,1249.0
98.52,98.52,98.52,98.52,200.0
98.529,98.55,98.51,98.53,3000.0
98.51,98.51,98.5,98.5,200.0
98.53,98.56,98.53,98.53,500.0
98.55,98.55,98.52,98.53,1976.0
98.54,98.54,98.53,98.54,400.0
98.62,98.64,98.56,98.56,15311.0
98.55,98.59,98.55,98.59,500.0
98.54,98.54,98.54,98.54,200.0
98.51,98.51,98.51,98.51,100.0
98.52,98.57,98.52,98.525,2600.0
98.4941,98.525,98.4941,98.525,1503.0
98.51,98.51,98.51,98.51,300.0
98.52,98.58,98.52,98.56,2799.0
98.48,98.52,98.48,98.52,1200.0
98.48,98.51,98.48,98.51,500.0
98.46,98.48,98.46,98.48,400.0
98.5,98.51,98.47,98.47,500.0
98.5,98.51,98.5,98.5,1100.0
98.45,98.525,98.45,98.5,1100.0
98.46,98.46,98.43,98.43,300.0
98.46,98.46,98.46,98.46,100.0
98.47,98.49,98.46,98.46,314.0
98.48,98.48,98.45,98.45,400.0
98.44,98.46,98.43,98.46,1000.0
98.46,98.46,98.46,98.46,200.0
98.4971,98.4971,98.46,98.46,400.0
98.45,98.47,98.45,98.47,1000.0
98.46,98.46,98.45,98.45,1745.0
98.455,98.46,98.44,98.46,1400.0
98.395,98.44,98.395,98.44,4795.0
98.41,98.44,98.41,98.43,952.0
98.4732,98.4732,98.44,98.45,500.0
98.39,98.458,98.39,98.458,3194.0
98.4188,98.44,98.38,98.38,1973.0
98.46,98.46,98.45,98.45,200.0
98.32,98.45,98.32,98.45,3053.0
98.27,98.32,98.23,98.32,8025.0
98.266,98.27,98.25,98.27,1550.0
98.275,98.275,98.275,98.275,200.0
98.26,98.2706,98.26,98.27,800.0
98.27,98.2829,98.25,98.27,1900.0
98.3074,98.3074,98.2715,98.2715,1276.0
98.33,98.33,98.3001,98.32,1850.0
98.27,98.32,98.27,98.32,1000.0
98.2663,98.275,98.2663,98.275,917.0
98.28,98.3,98.275,98.275,1200.0
98.3,98.32,98.26,98.26,1000.0
98.3004,98.303,98.3004,98.303,383.0
98.31,98.33,98.305,98.305,1200.0
98.2301,98.29,98.2301,98.29,1900.0
98.24,98.25,98.24,98.24,400.0
98.3,98.33,98.2557,98.2557,2328.0
98.3023,98.3023,98.29,98.29,700.0
98.31,98.3345,98.305,98.305,900.0
98.324,98.33,98.31,98.33,1400.0
98.33,98.345,98.32,98.34,1100.0
98.27,98.335,98.27,98.32,7170.0
98.31,98.31,98.23,98.27,11507.0
98.34,98.35,98.3,98.31,1320.0
98.325,98.34,98.32,98.32,2962.0
98.35,98.35,98.32,98.33,1732.0
98.35,98.36,98.27,98.35,8051.0
98.32,98.35,98.32,98.33,1300.0
98.335,98.335,98.31,98.31,500.0
98.4,98.42,98.34,98.34,500.0
98.39,98.42,98.37,98.4,1200.0
98.42,98.46,98.38,98.38,3973.0
98.3899,98.42,98.375,98.42,1300.0
98.365,98.3832,98.3,98.3832,2361.0
98.375,98.375,98.36,98.37,1500.0
98.39,98.39,98.39,98.39,300.0
98.43,98.43,98.39,98.39,200.0
98.4529,98.4529,98.42,98.42,1200.0
98.41,98.455,98.41,98.455,2627.0
98.37,98.41,98.36,98.41,1400.0
98.4196,98.4196,98.3995,98.3995,290.0
98.43,98.44,98.415,98.415,1500.0
98.43,98.4614,98.43,98.4614,1850.0
98.41,98.42,98.41,98.42,300.0
98.46,98.46,98.4,98.43,1700.0
98.45,98.46,98.44,98.44,1000.0
98.43,98.44,98.43,98.44,1500.0
98.41,98.45,98.41,98.44,2203.0
98.37,98.4099,98.37,98.4099,1900.0
98.35,98.37,98.35,98.35,1500.0
98.33,98.36,98.3,98.34,4500.0
98.315,98.33,98.31,98.32,2000.0
98.31,98.33,98.31,98.33,1200.0
98.29,98.33,98.29,98.3205,900.0
98.32,98.32,98.32,98.32,200.0
98.35,98.35,98.309,98.309,700.0
98.34,98.36,98.34,98.36,800.0
98.3721,98.39,98.34,98.34,1500.0
98.4,98.4,98.3899,98.3899,300.0
98.38,98.4,98.36,98.4,3174.0
98.37,98.37,98.37,98.37,300.0
98.35,98.37,98.34,98.37,1460.0
98.35,98.37,98.35,98.37,400.0
98.355,98.37,98.355,98.37,1500.0
98.3506,98.36,98.33,98.36,3240.0
98.3494,98.36,98.3347,98.34,3555.0
98.36,98.39,98.345,98.36,1900.0
98.4,98.41,98.38,98.38,1200.0
98.425,98.43,98.425,98.43,300.0
98.46,98.46,98.46,98.46,200.0
98.44,98.47,98.43,98.45,3375.0
98.445,98.47,98.445,98.45,500.0
98.445,98.47,98.4403,98.47,1507.0
98.44,98.46,98.44,98.445,1600.0
98.46,98.46,98.45,98.45,1336.0
98.4,98.46,98.4,98.46,3002.0
98.41,98.41,98.39,98.39,500.0
98.43,98.445,98.39,98.39,1200.0
98.42,98.45,98.42,98.44,2400.0
98.45,98.45,98.41,98.41,3600.0
98.45,98.47,98.44,98.47,1724.0
98.4,98.44,98.39,98.44,7153.0
98.3935,98.4,98.385,98.385,2208.0
98.39,98.39,98.37,98.37,200.0
98.349,98.39,98.349,98.37,2444.0
98.26,98.35,98.26,98.35,7000.0
98.28,98.28,98.26,98.26,500.0
98.28,98.28,98.27,98.28,1300.0
98.1352,98.26,98.1352,98.26,8499.0
98.2,98.2,98.1358,98.17,730.0
98.25,98.25,98.16,98.205,2100.0
98.33,98.33,98.27,98.27,1950.0
98.32,98.37,98.32,98.32,2400.0
98.33,98.33,98.31,98.32,1000.0
98.4,98.4,98.39,98.39,200.0
98.32,98.35,98.31,98.34,1100.0
98.39,98.39,98.33,98.33,700.0
98.36,98.4,98.36,98.4,2413.0
98.3,98.36,98.3,98.36,71850.0
98.35,98.35,98.3,98.3,1900.0
98.36,98.379,98.3,98.32,2470.0
98.35,98.41,98.34,98.36,3630.0
98.32,98.37,98.27,98.36,1500.0
98.32,98.32,98.22,98.3,5767.0
98.27,98.3,98.25,98.3,1700.0
98.325,98.38,98.24,98.27,9350.0
98.37,98.38,98.23,98.27,5588.0
98.32,98.35,98.28,98.34,2042.0
98.32,98.33,98.31,98.33,700.0
98.3,98.33,98.3,98.33,2400.0
98.39,98.4,98.3,98.3,4495.0
98.33,98.4,98.3,98.38,2627.0
98.31,98.31,98.31,98.31,500.0
98.32,98.32,98.29,98.29,600.0
98.29,98.34,98.29,98.33,1700.0
98.23,98.35,98.23,98.28,3474.0
98.3,98.3128,98.26,98.26,2045.0
98.33,98.33,98.3,98.3,755.0
98.29,98.35,98.29,98.35,1400.0
98.31,98.31,98.29,98.29,500.0
98.34,98.34,98.32,98.335,1000.0
98.37,98.37,98.36,98.36,1732.0
98.34,98.35,98.32,98.35,2000.0
98.35,98.35,98.35,98.35,100.0
98.31,98.35,98.3,98.35,1699.0
98.33,98.34,98.32,98.32,1070.0
98.33,98.34,98.32,98.32,1700.0
98.31,98.3548,98.31,98.33,1456.0
98.32,98.32,98.32,98.32,516.0
98.34,98.36,98.34,98.36,900.0
98.36,98.37,98.35,98.35,750.0
98.33,98.37,98.33,98.36,2000.0
98.33,98.33,98.33,98.33,100.0
98.32,98.32,98.32,98.32,100.0
98.31,98.33,98.31,98.32,2400.0
98.3108,98.33,98.3,98.32,1900.0
98.34,98.34,98.29,98.29,1490.0
98.31,98.34,98.3,98.34,1300.0
98.28,98.31,98.28,98.31,1200.0
98.16,98.27,98.16,98.27,1100.0
98.16,98.24,98.15,98.17,3845.0
98.198,98.198,98.16,98.16,767.0
98.219,98.22,98.19,98.22,1629.0
98.19,98.22,98.19,98.2199,1427.0
98.14,98.18,98.14,98.16,1600.0
98.17,98.19,98.16,98.16,500.0
98.16,98.19,98.16,98.18,645.0
98.08,98.18,98.08,98.17,5800.0
98.11,98.11,98.02,98.09,1094.0
98.095,98.095,98.08,98.086,400.0
98.0601,98.09,98.0601,98.08,300.0
98.05,98.1,98.05,98.1,1600.0
98.09,98.09,98.05,98.05,1406.0
98.11,98.12,98.07,98.12,2094.0
98.09,98.15,98.09,98.1192,1470.0
98.05,98.09,98.05,98.09,1794.0
98.09,98.1,98.06,98.08,1400.0
98.13,98.13,98.1,98.1,800.0
98.15,98.15,98.12,98.13,1656.0
98.14,98.19,98.14,98.15,1800.0
98.179,98.179,98.1599,98.1599,1500.0
98.13,98.17,98.13,98.15,2300.0
98.11,98.16,98.11,98.16,2946.0
98.11,98.14,98.1,98.11,2500.0
98.11,98.16,98.08,98.13,7300.0
98.11,98.12,98.09,98.09,1250.0
98.13,98.14,98.12,98.12,907.0
98.17,98.17,98.14,98.14,1000.0
98.18,98.18,98.16,98.16,300.0
98.18,98.18,98.16,98.16,2400.0
98.17,98.18,98.16,98.1786,1504.0
98.2,98.2,98.17,98.17,1498.0
98.21,98.21,98.2,98.2,300.0
98.26,98.26,98.23,98.23,1792.0
98.26,98.26,98.2364,98.26,1300.0
98.24,98.27,98.24,98.248,2085.0
98.2601,98.3,98.26,98.26,2300.0
98.3,98.31,98.27,98.27,1700.0
98.3,98.3199,98.29,98.3199,1500.0
98.35,98.35,98.31,98.31,833.0
98.29,98.35,98.28,98.3446,5110.0
98.28,98.3025,98.28,98.29,400.0
98.26,98.3,98.26,98.3,1400.0
98.3296,98.33,98.28,98.28,2400.0
98.33,98.33,98.31,98.31,700.0
98.25,98.34,98.25,98.34,3432.0
98.25,98.29,98.25,98.28,1316.0
98.26,98.26,98.21,98.25,2340.0
98.23,98.3,98.23,98.27,5400.0
98.24,98.26,98.22,98.22,1900.0
98.24,98.24,98.22,98.22,1900.0
98.23,98.27,98.22,98.24,5161.0
98.23,98.25,98.23,98.23,1500.0
98.21,98.23,98.21,98.23,1900.0
98.23,98.23,98.2,98.2,2930.0
98.2,98.23,98.2,98.23,3200.0
98.23,98.23,98.21,98.22,2902.0
98.22,98.23,98.21,98.23,2400.0
98.2199,98.22,98.2,98.2,1400.0
98.16,98.2,98.16,98.2,8044.0
98.22,98.22,98.18,98.18,5432.0
98.18,98.2043,98.17,98.2,4862.0
98.21,98.21,98.19,98.19,1900.0
98.25,98.25,98.23,98.23,3264.0
98.21,98.26,98.2,98.2599,4123.0
98.22,98.24,98.2,98.2,2736.0
98.24,98.24,98.19,98.22,4062.0
98.248,98.27,98.23,98.25,3733.0
98.25,98.27,98.25,98.26,4659.0
98.31,98.33,98.25,98.26,5000.0
98.28,98.31,98.27,98.31,3636.0
98.29,98.3,98.27,98.28,4500.0
98.29,98.3,98.25,98.29,8600.0
98.21,98.29,98.21,98.28,7331.0
98.21,98.24,98.2,98.22,5801.0
98.21,98.23,98.2,98.23,7015.0
98.2,98.24,98.2,98.2,8087.0
