Open,High,Low,Close,Volume
30.79,30.79,30.79,30.79,40863.0
30.74,30.8,30.74,30.79,4950.0
30.68,30.75,30.68,30.74,8787.0
30.72,30.72,30.62,30.68,13497.0
30.7,30.71,30.7,30.71,9150.0
30.68,30.7057,30.66,30.7057,12113.0
30.69,30.7,30.69,30.69,9375.0
30.67,30.69,30.67,30.69,13420.0
30.63,30.66,30.63,30.66,4700.0
30.66,30.66,30.635,30.635,6919.0
30.64,30.68,30.64,30.67,9532.0
30.67,30.67,30.64,30.64,5424.0
30.68,30.68,30.65,30.67,7410.0
30.69,30.69,30.67,30.67,2224.0
30.7,30.7,30.695,30.695,4700.0
30.6602,30.7,30.66,30.695,13376.0
30.66,30.68,30.66,30.67,5809.0
30.64,30.65,30.63,30.65,3381.0
30.615,30.65,30.61,30.64,24937.0
30.6156,30.62,30.615,30.62,1466.0
30.64,30.64,30.62,30.62,3430.0
30.6,30.635,30.59,30.635,8329.0
30.6,30.61,30.6,30.6,6200.0
30.59,30.61,30.58,30.605,8813.0
30.57,30.58,30.565,30.58,4102.0
30.56,30.57,30.56,30.57,3617.0
30.5675,30.5675,30.55,30.55,5340.0
30.59,30.59,30.575,30.575,2700.0
30.58,30.6,30.58,30.6,5249.0
30.56,30.58,30.56,30.58,3205.0
30.56,30.565,30.55,30.565,900.0
30.5799,30.59,30.555,30.56,9875.0
30.58,30.58,30.575,30.58,600.0
30.58,30.59,30.575,30.58,4388.0
30.61,30.61,30.58,30.58,4066.0
30.57,30.6,30.56,30.6,7703.0
30.57,30.57,30.56,30.57,7415.0
30.55,30.56,30.55,30.56,2850.0
30.54,30.56,30.54,30.55,4100.0
30.54,30.54,30.54,30.54,6354.0
30.54,30.55,30.54,30.54,4301.0
30.55,30.55,30.54,30.54,4732.0
30.55,30.55,30.54,30.54,6628.0
30.52,30.54,30.52,30.54,3400.0
30.5,30.52,30.5,30.52,2961.0
30.52,30.5201,30.51,30.51,6394.0
30.52,30.52,30.51,30.52,5100.0
30.5,30.53,30.5,30.53,3799.0
30.51,30.52,30.5,30.506,3595.0
30.511,30.511,30.5001,30.505,3342.0
30.5,30.515,30.5,30.515,1613.0
30.505,30.51,30.5,30.5,600.0
30.495,30.51,30.49,30.51,48420.0
30.5,30.5,30.49,30.495,10828.0
30.5134,30.53,30.51,30.51,11459.0
30.53,30.53,30.5,30.51,5649.0
30.52,30.53,30.52,30.53,200.0
30.51,30.5233,30.51,30.5233,4696.0
30.515,30.515,30.51,30.515,1000.0
30.53,30.53,30.515,30.52,6491.0
30.54,30.55,30.53,30.53,14028.0
30.53,30.55,30.53,30.54,4944.0
30.54,30.54,30.54,30.54,2300.0
30.54,30.56,30.535,30.54,36410.0
30.5235,30.55,30.5235,30.55,2274.0
30.52,30.53,30.515,30.52,7200.0
30.53,30.53,30.53,30.53,300.0
30.525,30.53,30.525,30.53,800.0
30.525,30.53,30.5235,30.53,855.0
30.515,30.53,30.51,30.53,6484.0
30.51,30.52,30.51,30.51,1945.0
30.505,30.51,30.5,30.51,3350.0
30.52,30.53,30.5048,30.505,110302.0
30.51,30.515,30.51,30.515,200.0
30.5,30.51,30.5,30.51,2750.0
30.51,30.51,30.5,30.505,7819.0
30.495,30.5,30.49,30.5,6499.0
30.515,30.52,30.49,30.49,13000.0
30.51,30.53,30.51,30.52,14084.0
30.495,30.525,30.495,30.51,12411.0
30.5,30.5,30.49,30.49,3300.0
30.51,30.52,30.51,30.51,2300.0
30.52,30.52,30.51,30.5175,6600.0
30.525,30.53,30.525,30.53,700.0
30.495,30.52,30.49,30.52,11017.0
