Open,High,Low,Close,Volume
52.75,52.75,52.73,52.73,24789.0
52.735,52.78,52.72,52.7755,4445.0
52.76,52.76,52.72,52.74,2020.0
52.69,52.77,52.69,52.73,5148.0
52.74,52.75,52.71,52.71,4000.0
52.76,52.8,52.73,52.74,4300.0
52.78,52.78,52.73,52.735,3700.0
52.77,52.8,52.77,52.775,2884.0
52.77,52.78,52.74,52.76,3689.0
52.7201,52.77,52.7201,52.76,2024.0
52.74,52.74,52.72,52.7356,1744.0
52.69,52.73,52.69,52.725,4014.0
52.71,52.71,52.6988,52.6988,2589.0
52.7,52.71,52.7,52.7,500.0
52.71,52.71,52.7087,52.7087,2094.0
52.7,52.73,52.7,52.705,6030.0
52.68,52.68,52.65,52.68,6334.0
52.675,52.68,52.67,52.68,1587.0
52.7,52.7,52.675,52.68,2400.0
52.705,52.73,52.69,52.69,7438.0
52.69,52.7,52.68,52.7,2991.0
52.64,52.695,52.63,52.68,18621.0
52.64,52.65,52.635,52.64,4300.0
52.66,52.67,52.6389,52.64,5421.0
52.66,52.68,52.66,52.66,2400.0
52.74,52.74,52.68,52.68,5360.0
52.735,52.75,52.72,52.73,7191.0
52.67,52.74,52.67,52.74,7083.0
52.68,52.69,52.68,52.68,2786.0
52.71,52.71,52.66,52.675,5707.0
52.72,52.745,52.7,52.7,4509.0
52.714,52.714,52.71,52.71,2295.0
52.71,52.73,52.71,52.71,3800.0
52.695,52.71,52.69,52.71,3213.0
52.69,52.7,52.69,52.7,3100.0
52.75,52.75,52.695,52.695,23098.0
52.79,52.79,52.745,52.75,24676.0
52.78,52.8,52.78,52.78,20241.0
52.75,52.78,52.74,52.78,4876.0
52.745,52.75,52.74,52.75,722.0
52.73,52.74,52.73,52.74,1100.0
52.765,52.77,52.735,52.74,4506.0
52.71,52.76,52.71,52.76,4934.0
52.72,52.72,52.69,52.69,7078.0
52.73,52.73,52.71,52.71,3376.0
52.725,52.73,52.72,52.73,3884.0
52.73,52.75,52.725,52.73,8252.0
52.72,52.72,52.72,52.72,600.0
52.72,52.72,52.7143,52.72,663.0
52.72,52.74,52.72,52.72,4469.0
52.71,52.72,52.71,52.72,1893.0
52.73,52.73,52.72,52.72,2900.0
52.71,52.72,52.71,52.72,700.0
52.7,52.7,52.7,52.7,881.0
52.71,52.72,52.71,52.71,2749.0
52.7,52.705,52.7,52.705,1111.0
52.7,52.705,52.7,52.705,200.0
52.7,52.71,52.69,52.7053,10037.0
52.71,52.71,52.705,52.71,1097.0
52.7,52.71,52.7,52.71,5715.0
52.71,52.71,52.7,52.7,2408.0
52.67,52.71,52.67,52.71,15513.0
52.65,52.66,52.64,52.66,2615.0
