Open,High,Low,Close,Volume
43.4,43.5,43.4,43.4,7597.0
43.3112,43.4,43.3,43.4,1925.0
43.18,43.26,43.17,43.26,2818.0
43.32,43.32,43.17,43.32,300.0
43.18,43.2484,43.18,43.2484,300.0
43.11,43.13,43.1,43.13,970.0
43.19,43.25,43.135,43.135,1800.0
43.18,43.21,43.17,43.19,700.0
43.19,43.23,43.19,43.23,1200.0
43.2,43.2,43.2,43.2,100.0
43.29,43.29,43.21,43.21,400.0
43.22,43.29,43.21,43.2574,2500.0
43.17,43.17,43.17,43.17,100.0
43.14,43.17,43.12,43.16,1900.0
43.05,43.11,43.05,43.11,1500.0
42.95,43.06,42.95,43.06,5180.0
42.98,42.98,42.91,42.9769,3220.0
42.95,42.95,42.95,42.95,200.0
42.94,42.94,42.94,42.94,200.0
42.87,42.95,42.87,42.94,8221.0
42.85,42.89,42.85,42.86,844.0
42.83,42.87,42.79,42.84,5592.0
42.81,42.85,42.79,42.8048,4218.0
42.8654,42.87,42.83,42.83,2729.0
42.83,42.86,42.83,42.84,1800.0
42.79,42.83,42.79,42.83,600.0
42.812,42.812,42.81,42.81,232.0
42.75,42.81,42.668,42.81,7130.0
42.7254,42.76,42.71,42.74,2610.0
42.71,42.76,42.69,42.76,1250.0
42.61,42.72,42.53,42.71,14289.0
42.66,42.66,42.53,42.6024,7800.0
42.64,42.67,42.64,42.66,3329.0
42.61,42.64,42.58,42.64,8100.0
42.6,42.61,42.57,42.61,4412.0
42.51,42.59,42.5,42.59,16589.0
42.46,42.55,42.45,42.54,12086.0
42.46,42.4811,42.41,42.465,13840.0
42.44,42.4901,42.42,42.46,8900.0
42.41,42.46,42.38,42.42,9414.0
42.33,42.45,42.33,42.42,9155.0
42.3301,42.36,42.3,42.33,7842.0
42.32,42.35,42.31,42.34,3600.0
42.33,42.345,42.29,42.325,9104.0
42.38,42.41,42.35,42.35,6000.0
42.4,42.4,42.34,42.37,6400.0
42.5,42.5,42.42,42.42,780.0
42.4879,42.525,42.469,42.498,7208.0
42.48,42.56,42.475,42.49,8509.0
42.43,42.48,42.43,42.46,1200.0
42.44,42.46,42.39,42.39,1788.0
42.43,42.46,42.42,42.44,7500.0
42.38,42.46,42.38,42.46,6610.0
42.3401,42.4,42.34,42.38,7682.0
42.31,42.37,42.31,42.37,2922.0
42.29,42.33,42.26,42.3,7260.0
42.34,42.35,42.31,42.32,2400.0
42.3201,42.332,42.3,42.32,6100.0
42.3,42.32,42.3,42.32,3550.0
42.19,42.29,42.19,42.29,13413.0
42.2,42.21,42.14,42.16,7300.0
42.2,42.22,42.17,42.2,7000.0
42.19,42.22,42.19,42.22,6772.0
42.2,42.21,42.18,42.2,5500.0
42.2,42.22,42.19,42.22,8393.0
42.2,42.21,42.19,42.2,7615.0
42.22,42.22,42.195,42.2,5800.0
42.29,42.29,42.21,42.21,8045.0
42.32,42.33,42.285,42.29,7225.0
42.3,42.33,42.295,42.33,7270.0
42.2,42.29,42.2,42.29,3895.0
42.26,42.26,42.18,42.18,2050.0
42.23,42.26,42.22,42.25,5226.0
42.22,42.2225,42.215,42.22,5731.0
42.19,42.21,42.19,42.21,5200.0
42.16,42.2,42.16,42.2,7200.0
42.19,42.195,42.17,42.18,4572.0
42.21,42.22,42.18,42.18,3200.0
42.18,42.21,42.18,42.21,5302.0
42.22,42.22,42.2,42.2,3696.0
42.2,42.22,42.2,42.21,4100.0
42.2,42.22,42.16,42.21,5790.0
42.188,42.2,42.18,42.2,4362.0
42.17,42.19,42.17,42.18,3759.0
42.07,42.18,42.05,42.18,22547.0
42.095,42.1,42.07,42.1,6892.0
42.03,42.09,42.03,42.09,9618.0
41.95,42.04,41.95,42.04,13750.0
41.98,42.02,41.94,41.96,21870.0
41.97,41.99,41.97,41.98,10677.0
42.03,42.04,41.96,41.96,12799.0
42.0408,42.05,42.02,42.04,9600.0
42.11,42.121,42.06,42.06,7552.0
42.11,42.111,42.09,42.11,5763.0
42.1,42.11,42.09,42.11,2900.0
42.08,42.09,42.07,42.09,2100.0
42.07,42.08,42.07,42.07,3200.0
42.08,42.09,42.06,42.08,5300.0
42.09,42.1,42.08,42.09,3500.0
42.08,42.1,42.07,42.08,4500.0
42.11,42.12,42.0899,42.09,3150.0
42.12,42.12,42.1,42.105,3598.0
42.09,42.13,42.0898,42.13,4342.0
42.14,42.14,42.09,42.09,4324.0
42.18,42.18,42.14,42.14,3361.0
42.255,42.27,42.175,42.18,4301.0
42.31,42.32,42.24,42.25,3600.0
42.281,42.31,42.28,42.3,6357.0
42.28,42.31,42.28,42.28,5500.0
42.26,42.29,42.25,42.29,2000.0
42.27,42.3,42.25,42.25,4391.0
42.28,42.3,42.26,42.28,2300.0
42.28,42.3,42.28,42.29,1420.0
42.28,42.33,42.28,42.3,2551.0
42.27,42.28,42.26,42.28,1200.0
42.29,42.29,42.25,42.26,4200.0
42.32,42.32,42.28,42.29,2600.0
42.31,42.32,42.28,42.32,1450.0
42.29,42.3,42.28,42.3,28300.0
42.2746,42.3,42.26,42.3,2400.0
42.25,42.29,42.25,42.28,2035.0
42.24,42.25,42.23,42.25,3030.0
42.22,42.24,42.22,42.23,1704.0
42.2,42.22,42.2,42.22,1900.0
42.2,42.23,42.2,42.22,1801.0
42.2,42.21,42.19,42.2001,1496.0
42.19,42.23,42.19,42.21,3321.0
42.17,42.2,42.17,42.2,3980.0
42.1592,42.18,42.151,42.18,1304.0
42.17,42.17,42.14,42.15,1400.0
42.18,42.18,42.16,42.17,1400.0
42.16,42.17,42.15,42.17,1900.0
42.178,42.178,42.15,42.16,1908.0
42.08,42.175,42.08,42.175,13926.0
42.11,42.11,42.09,42.09,1800.0
42.11,42.11,42.1,42.1,300.0
42.13,42.13,42.1,42.1,800.0
42.15,42.15,42.1233,42.13,2286.0
42.16,42.16,42.16,42.16,500.0
42.17,42.17,42.145,42.17,5830.0
42.18,42.2,42.17,42.17,2497.0
42.17,42.2,42.17,42.2,1600.0
42.19,42.19,42.17,42.17,2229.0
42.2,42.2,42.18,42.18,971.0
42.17,42.2,42.17,42.2,1326.0
42.17,42.19,42.17,42.17,1000.0
42.16,42.18,42.16,42.18,900.0
42.15,42.17,42.145,42.15,1400.0
42.14,42.16,42.1,42.15,2100.0
42.15,42.15,42.13,42.14,2600.0
42.19,42.19,42.15,42.16,1796.0
42.17,42.19,42.162,42.19,4100.0
42.2,42.2,42.16,42.16,2400.0
42.24,42.24,42.21,42.21,3200.0
42.2399,42.24,42.2247,42.24,4000.0
42.232,42.25,42.23,42.23,2900.0
42.28,42.28,42.23,42.23,2200.0
42.31,42.32,42.285,42.285,3100.0
42.3,42.3,42.28,42.29,2541.0
42.27,42.29,42.25,42.29,4000.0
42.26,42.26,42.24,42.24,800.0
42.28,42.28,42.26,42.26,1500.0
42.28,42.28,42.27,42.27,700.0
42.24,42.28,42.23,42.27,3200.0
42.19,42.23,42.19,42.23,2998.0
42.23,42.24,42.21,42.21,2000.0
42.23,42.24,42.21,42.24,800.0
42.25,42.27,42.23,42.23,3000.0
42.23,42.25,42.22,42.25,1200.0
42.19,42.22,42.18,42.22,1900.0
42.21,42.22,42.2,42.2,1612.0
42.21,42.22,42.21,42.21,1300.0
42.23,42.23,42.22,42.22,500.0
42.22,42.23,42.21,42.23,1520.0
42.21,42.22,42.205,42.22,2985.0
42.18,42.2,42.17,42.2,2500.0
42.21,42.21,42.165,42.18,4600.0
42.19,42.23,42.19,42.23,1200.0
42.1998,42.2,42.1998,42.2,200.0
42.18,42.2,42.18,42.2,900.0
42.19,42.195,42.18,42.18,2300.0
42.17,42.18,42.17,42.18,900.0
42.18,42.18,42.17,42.17,2500.0
42.19,42.19,42.18,42.18,600.0
42.17,42.2,42.17,42.2,1600.0
42.18,42.18,42.18,42.18,100.0
42.15,42.16,42.14,42.16,1301.0
42.15,42.15,42.14,42.14,638.0
42.15,42.15,42.145,42.1452,1151.0
42.155,42.16,42.155,42.16,1215.0
42.15,42.16,42.15,42.16,1100.0
42.14,42.15,42.14,42.15,1000.0
42.15,42.15,42.13,42.15,3900.0
42.16,42.16,42.14,42.15,1300.0
42.14,42.16,42.13,42.16,1300.0
42.11,42.12,42.11,42.12,1800.0
42.1,42.11,42.08,42.11,1400.0
42.11,42.12,42.09,42.09,1806.0
42.1194,42.13,42.1194,42.12,400.0
42.1,42.12,42.1,42.12,800.0
42.08,42.09,42.08,42.09,200.0
42.06,42.07,42.06,42.07,2100.0
42.06,42.06,42.04,42.05,3411.0
42.05,42.08,42.05,42.05,1300.0
42.06,42.06,42.055,42.06,2068.0
42.07,42.07,42.06,42.07,600.0
42.07,42.07,42.07,42.07,600.0
42.06,42.07,42.06,42.07,974.0
42.08,42.08,42.05,42.05,1900.0
42.09,42.09,42.09,42.09,1863.0
42.07,42.09,42.07,42.09,1298.0
42.05,42.06,42.05,42.06,900.0
42.05,42.05,42.04,42.05,2800.0
42.04,42.05,42.035,42.04,2300.0
42.06,42.06,42.04,42.05,2400.0
42.06,42.08,42.06,42.06,1600.0
42.04,42.05,42.04,42.05,1400.0
42.04,42.04,42.03,42.03,800.0
42.1,42.1,42.04,42.04,2300.0
42.11,42.11,42.09,42.1,4350.0
42.08,42.09,42.07,42.09,3238.0
42.16,42.16,42.065,42.065,7939.0
42.14,42.17,42.14,42.15,1500.0
42.14,42.15,42.12,42.14,3600.0
42.17,42.17,42.135,42.135,1900.0
42.15,42.1697,42.15,42.1697,900.0
42.15,42.16,42.14,42.15,3000.0
42.11,42.14,42.11,42.14,2569.0
42.15,42.15,42.1,42.12,1900.0
42.12,42.15,42.12,42.15,1100.0
42.09,42.1,42.09,42.1,600.0
42.0908,42.093,42.07,42.07,900.0
42.12,42.12,42.09,42.1,1400.0
42.13,42.14,42.12,42.13,1563.0
42.14,42.1407,42.12,42.14,3925.0
42.1,42.13,42.1,42.12,7400.0
42.08,42.1,42.07,42.1,5709.0
42.075,42.1,42.06,42.07,6398.0
42.12,42.12,42.08,42.08,1900.0
42.12,42.14,42.1,42.12,2092.0
42.12,42.13,42.1175,42.12,800.0
42.15,42.18,42.1293,42.13,3890.0
42.16,42.16,42.14,42.15,500.0
42.21,42.24,42.1585,42.17,5370.0
42.22,42.22,42.21,42.22,600.0
42.24,42.252,42.24,42.24,1237.0
42.25,42.25,42.248,42.25,1200.0
42.21,42.25,42.21,42.25,3636.0
42.21,42.23,42.21,42.22,400.0
42.18,42.21,42.18,42.21,800.0
42.18,42.19,42.18,42.19,1000.0
42.19,42.19,42.19,42.19,100.0
42.1699,42.17,42.16,42.17,799.0
42.22,42.22,42.17,42.17,3100.0
42.195,42.2186,42.19,42.2186,1900.0
42.19,42.22,42.19,42.2,4700.0
42.22,42.22,42.195,42.195,1315.0
42.21,42.23,42.21,42.21,2800.0
42.24,42.25,42.225,42.225,1300.0
42.23,42.23,42.22,42.23,900.0
42.19,42.24,42.19,42.23,4146.0
42.19,42.2,42.18,42.19,3317.0
42.19,42.2,42.19,42.2,1200.0
42.19,42.2,42.19,42.2,400.0
42.2,42.21,42.17,42.18,2250.0
42.22,42.22,42.19,42.2,4100.0
42.21,42.22,42.21,42.22,300.0
42.23,42.23,42.23,42.23,400.0
42.2236,42.24,42.22,42.23,3250.0
42.24,42.24,42.23,42.24,900.0
42.235,42.25,42.234,42.24,2261.0
42.21,42.23,42.21,42.23,1801.0
42.17,42.22,42.17,42.22,1730.0
42.17,42.17,42.155,42.16,1100.0
42.19,42.19,42.16,42.16,2000.0
42.2,42.21,42.185,42.19,5480.0
42.215,42.22,42.2,42.2,1661.0
42.21,42.22,42.21,42.22,2300.0
42.22,42.22,42.21,42.21,500.0
42.21,42.22,42.21,42.21,1037.0
42.21,42.21,42.2,42.21,2674.0
42.19,42.2,42.18,42.2,3028.0
42.19,42.2,42.185,42.19,2479.0
42.18,42.2,42.18,42.2,4180.0
42.19,42.19,42.18,42.18,600.0
42.2,42.2,42.18,42.19,900.0
42.15,42.21,42.15,42.2,4063.0
42.16,42.16,42.1441,42.16,1589.0
42.17,42.17,42.17,42.17,300.0
42.19,42.19,42.18,42.18,1200.0
42.189,42.189,42.18,42.18,600.0
42.17,42.19,42.17,42.19,4508.0
42.1738,42.1738,42.16,42.16,3200.0
42.16,42.18,42.16,42.18,3311.0
42.16,42.16,42.145,42.15,2295.0
42.18,42.18,42.155,42.155,2500.0
