Open,High,Low,Close,Volume
85.77,85.77,85.77,85.77,540.0
85.74,85.87,85.61,85.73,17957.0
85.29,85.69,85.29,85.69,10306.0
85.17,85.41,85.14,85.29,15593.0
85.2,85.48,85.17,85.17,10120.0
85.07,85.25,85.07,85.24,9500.0
85.08,85.2,85.03,85.09,7729.0
85.2,85.2,85.06,85.06,12569.0
85.23,85.3,85.13,85.2,4340.0
85.27,85.3657,85.25,85.32,10120.0
85.415,85.47,85.39,85.43,4400.0
85.36,85.42,85.34,85.42,4009.0
85.32,85.38,85.26,85.27,4610.0
85.36,85.39,85.35,85.39,1600.0
85.41,85.41,85.35,85.4,18984.0
85.36,85.45,85.3,85.42,10137.0
85.24,85.385,85.23,85.385,7200.0
85.05,85.29,85.05,85.29,7202.0
85.0143,85.06,84.94,85.05,12498.0
85.06,85.15,85.05,85.05,11054.0
85.0085,85.02,84.98,85.02,1600.0
84.9,84.99,84.87,84.98,6865.0
84.88,84.97,84.83,84.8601,9141.0
84.9,84.92,84.84,84.84,1800.0
84.76,84.9,84.67,84.8971,8346.0
84.675,84.76,84.66,84.76,7613.0
84.56,84.67,84.55,84.66,8274.0
84.77,84.77,84.56,84.58,6843.0
84.84,84.89,84.8,84.8,10882.0
84.9,84.95,84.85,84.85,11656.0
84.78,84.915,84.78,84.89,7814.0
84.72,84.82,84.69,84.82,6531.0
84.8,84.8,84.58,84.71,10183.0
84.695,84.82,84.67,84.75,3959.0
84.56,84.71,84.56,84.66,11914.0
84.324,84.57,84.324,84.57,7399.0
84.36,84.44,84.34,84.35,13579.0
84.29,84.37,84.29,84.36,8029.0
84.25,84.33,84.25,84.29,3358.0
84.29,84.29,84.13,84.25,14620.0
84.35,84.45,84.23,84.27,5315.0
84.2,84.36,84.2,84.35,2601.0
84.36,84.36,84.21,84.21,3010.0
84.38,84.49,84.33,84.36,5610.0
84.29,84.3,84.23,84.3,3300.0
84.18,84.29,84.16,84.285,6083.0
84.3,84.33,84.185,84.19,3504.0
84.32,84.34,84.31,84.34,1851.0
84.35,84.35,84.25,84.29,2266.0
84.51,84.51,84.36,84.36,2373.0
84.67,84.69,84.5,84.53,6700.0
84.51,84.66,84.51,84.66,2111.0
84.63,84.67,84.54,84.56,2900.0
84.59,84.68,84.58,84.67,1103.0
84.57,84.6,84.57,84.6,3502.0
84.43,84.57,84.43,84.57,3000.0
84.48,84.56,84.43,84.43,7262.0
84.57,84.57,84.49,84.5,1610.0
84.57,84.63,84.55,84.61,2500.0
84.405,84.59,84.405,84.59,1772.0
84.51,84.51,84.38,84.38,3589.0
84.44,84.5,84.44,84.5,999.0
84.58,84.58,84.48,84.48,1800.0
84.702,84.73,84.62,84.62,500.0
84.65,84.77,84.65,84.72,3904.0
84.76,84.76,84.65,84.65,3200.0
84.61,84.76,84.61,84.76,3201.0
84.58,84.6,84.57,84.573,1450.0
84.55,84.59,84.55,84.59,1382.0
84.48,84.51,84.45,84.51,1700.0
84.56,84.56,84.4,84.45,5735.0
84.49,84.55,84.48,84.48,1770.0
84.63,84.63,84.49,84.5,4049.0
84.73,84.73,84.63,84.63,2400.0
84.7,84.74,84.7,84.73,5300.0
84.64,84.735,84.62,84.73,8600.0
84.7,84.74,84.65,84.65,3574.0
84.68,84.765,84.68,84.68,2927.0
84.705,84.72,84.65,84.68,3408.0
84.67,84.73,84.67,84.73,2602.0
84.6601,84.69,84.65,84.66,1697.0
84.7,84.76,84.68,84.7,2320.0
84.7,84.73,84.7,84.72,700.0
84.7885,84.8,84.73,84.76,2400.0
84.68,84.829,84.68,84.81,10259.0
84.5,84.65,84.49,84.65,6699.0
84.48,84.6,84.44,84.5,3873.0
84.49,84.56,84.32,84.55,23329.0
84.38,84.5,84.33,84.49,8332.0
84.405,84.46,84.35,84.38,5212.0
84.39,84.42,84.35,84.378,6430.0
84.35,84.41,84.23,84.41,11771.0
84.42,84.42,84.25,84.33,6500.0
84.38,84.45,84.34,84.42,4401.0
84.33,84.4,84.2,84.4,15843.0
84.23,84.36,84.23,84.32,7032.0
84.35,84.36,84.29,84.29,1828.0
84.39,84.48,84.33,84.34,9959.0
84.43,84.46,84.4,84.4,5530.0
84.276,84.45,84.27,84.45,7005.0
84.25,84.38,84.24,84.24,11087.0
84.18,84.3,84.13,84.25,17017.0
84.2599,84.27,84.17,84.18,4858.0
84.17,84.29,84.17,84.26,4890.0
84.23,84.25,84.17,84.21,9999.0
84.22,84.26,84.19,84.23,5942.0
84.21,84.27,84.13,84.22,13292.0
84.2,84.37,84.16,84.23,17496.0
84.3,84.3,84.18,84.205,6887.0
84.45,84.45,84.3015,84.31,4687.0
84.33,84.455,84.33,84.45,4399.0
84.25,84.36,84.2,84.34,7497.0
84.38,84.38,84.28,84.28,1354.0
84.34,84.42,84.34,84.38,2678.0
84.32,84.36,84.3,84.33,3901.0
84.41,84.42,84.31,84.34,3800.0
84.24,84.46,84.24,84.44,7735.0
84.36,84.36,84.27,84.27,4215.0
84.31,84.35,84.29,84.3385,2830.0
84.32,84.33,84.22,84.33,4019.0
84.27,84.27,84.16,84.27,5036.0
84.16,84.33,84.16,84.2799,4104.0
84.25,84.25,84.19,84.24,1700.0
84.21,84.23,84.14,84.22,5319.0
84.11,84.2,84.05,84.2,6976.0
84.11,84.12,84.02,84.11,7199.0
84.19,84.21,84.14,84.14,3251.0
84.22,84.22,84.1892,84.2,1250.0
84.26,84.26,84.18,84.18,1450.0
84.2,84.31,84.2,84.27,6602.0
84.165,84.25,84.12,84.25,5120.0
84.17,84.22,84.14,84.19,2700.0
84.17,84.2,84.14,84.14,2400.0
84.15,84.19,84.13,84.17,1900.0
84.065,84.15,84.05,84.15,3761.0
84.04,84.16,84.04,84.11,2786.0
84.085,84.1001,84.04,84.09,4951.0
84.18,84.21,84.06,84.085,5165.0
84.28,84.32,84.19,84.2,2450.0
84.2325,84.28,84.16,84.27,6159.0
84.27,84.28,84.25,84.26,1200.0
84.42,84.47,84.32,84.32,18807.0
84.35,84.35,84.35,84.35,100.0
84.39,84.4,84.36,84.36,1700.0
84.44,84.47,84.35,84.41,11639.0
84.36,84.47,84.29,84.45,17279.0
84.32,84.37,84.29,84.37,1133.0
84.45,84.45,84.29,84.34,14860.0
84.45,84.46,84.42,84.45,3364.0
84.45,84.455,84.45,84.45,400.0
84.45,84.48,84.42,84.42,3956.0
84.44,84.44,84.37,84.42,2000.0
84.45,84.45,84.45,84.45,100.0
84.4,84.43,84.36,84.43,2012.0
84.45,84.46,84.4,84.4,900.0
84.33,84.48,84.33,84.45,6626.0
84.34,84.35,84.33,84.33,500.0
84.42,84.46,84.31,84.31,3972.0
84.465,84.465,84.45,84.45,400.0
84.4,84.4575,84.38,84.4575,2502.0
84.41,84.42,84.36,84.4,2167.0
84.33,84.4,84.33,84.4,1163.0
84.45,84.47,84.39,84.39,1873.0
84.37,84.43,84.36,84.41,2931.0
84.33,84.34,84.3,84.33,3000.0
84.38,84.38,84.37,84.37,500.0
84.36,84.41,84.31,84.41,3727.0
84.3,84.3665,84.3,84.355,2001.0
84.3,84.325,84.29,84.3,2501.0
84.29,84.315,84.29,84.3,1636.0
84.34,84.34,84.27,84.27,3180.0
84.33,84.34,84.28,84.28,2100.0
84.2069,84.34,84.2,84.31,8270.0
84.25,84.25,84.16,84.2,3645.0
84.3,84.3,84.23,84.24,3100.0
84.25,84.27,84.19,84.26,9000.0
84.25,84.26,84.21,84.24,4300.0
84.35,84.35,84.27,84.28,2600.0
84.34,84.39,84.32,84.32,3100.0
84.38,84.38,84.38,84.38,100.0
84.48,84.5,84.37,84.38,5494.0
84.42,84.52,84.42,84.49,6692.0
84.42,84.43,84.4,84.43,1300.0
84.44,84.44,84.425,84.44,1300.0
84.457,84.48,84.44,84.46,1690.0
84.467,84.49,84.38,84.44,7870.0
84.48,84.49,84.41,84.49,3961.0
84.55,84.55,84.49,84.5,1700.0
84.58,84.58,84.53,84.54,1900.0
84.6,84.6,84.55,84.56,4231.0
84.495,84.6,84.48,84.59,7342.0
84.505,84.53,84.48,84.48,4050.0
84.51,84.54,84.48,84.51,3200.0
84.53,84.53,84.51,84.51,5201.0
84.6,84.6,84.53,84.53,3829.0
84.64,84.64,84.59,84.59,3170.0
84.55,84.615,84.55,84.59,10893.0
84.46,84.58,84.46,84.55,6420.0
84.47,84.48,84.45,84.46,2510.0
84.51,84.52,84.465,84.49,1500.0
84.53,84.6,84.48,84.52,5366.0
84.55,84.55,84.55,84.55,100.0
84.55,84.55,84.55,84.55,750.0
84.56,84.58,84.56,84.58,500.0
84.67,84.67,84.58,84.58,2403.0
84.605,84.68,84.56,84.67,5896.0
84.48,84.605,84.48,84.6,18546.0
84.56,84.56,84.49,84.52,2300.0
84.58,84.61,84.55,84.59,3100.0
84.58,84.58,84.58,84.58,200.0
84.64,84.64,84.56,84.56,2120.0
84.55,84.65,84.55,84.65,5501.0
84.58,84.59,84.57,84.57,1326.0
84.565,84.57,84.565,84.57,200.0
84.6,84.6,84.57,84.58,1100.0
84.63,84.63,84.59,84.59,2974.0
84.63,84.67,84.63,84.65,900.0
84.59,84.66,84.59,84.64,3046.0
84.55,84.61,84.55,84.61,1501.0
84.56,84.59,84.54,84.57,6197.0
84.51,84.56,84.51,84.555,1797.0
84.51,84.52,84.5,84.51,3905.0
84.5899,84.59,84.53,84.53,4800.0
84.59,84.59,84.59,84.59,1323.0
84.61,84.62,84.58,84.6,3399.0
84.61,84.61,84.57,84.61,2802.0
84.61,84.61,84.61,84.61,100.0
84.57,84.62,84.57,84.61,3805.0
84.59,84.6,84.58,84.59,4478.0
84.55,84.59,84.55,84.59,1400.0
84.53,84.5414,84.51,84.54,2464.0
84.51,84.51,84.49,84.505,600.0
84.51,84.52,84.48,84.48,4100.0
84.55,84.55,84.49,84.51,2300.0
84.55,84.55,84.55,84.55,500.0
84.57,84.58,84.53,84.55,1861.0
84.56,84.56,84.54,84.54,1000.0
84.59,84.62,84.56,84.56,3727.0
84.62,84.63,84.605,84.605,1500.0
84.66,84.66,84.66,84.66,100.0
84.64,84.64,84.62,84.63,3952.0
84.56,84.62,84.56,84.62,1800.0
84.57,84.59,84.55,84.58,4844.0
84.57,84.57,84.54,84.54,200.0
84.56,84.58,84.56,84.57,2474.0
84.51,84.57,84.51,84.57,1301.0
84.5172,84.54,84.515,84.515,2991.0
84.53,84.54,84.53,84.54,887.0
84.4814,84.55,84.4814,84.54,3700.0
84.49,84.51,84.49,84.49,1954.0
84.52,84.52,84.47,84.5,1463.0
84.49,84.5199,84.48,84.49,900.0
84.45,84.48,84.45,84.48,451.0
84.49,84.51,84.48,84.4913,4397.0
84.46,84.5,84.46,84.5,300.0
84.45,84.5,84.43,84.46,3708.0
84.53,84.53,84.46,84.46,2802.0
84.54,84.54,84.51,84.52,2420.0
84.54,84.54,84.52,84.53,1678.0
84.55,84.56,84.53,84.53,2469.0
84.5,84.54,84.47,84.53,5616.0
84.48,84.48,84.48,84.48,100.0
84.41,84.46,84.38,84.46,1700.0
84.388,84.388,84.388,84.388,210.0
84.41,84.42,84.38,84.39,1300.0
84.37,84.42,84.37,84.39,1695.0
84.37,84.38,84.33,84.37,3434.0
84.335,84.36,84.335,84.36,400.0
84.34,84.365,84.34,84.36,901.0
84.35,84.35,84.34,84.34,1200.0
84.39,84.39,84.365,84.37,1000.0
84.34,84.38,84.34,84.38,1624.0
84.315,84.35,84.29,84.33,3040.0
84.365,84.365,84.34,84.34,900.0
84.37,84.37,84.355,84.37,400.0
84.37,84.37,84.35,84.35,1700.0
84.41,84.41,84.35,84.36,3971.0
84.39,84.4,84.3699,84.38,3045.0
84.36,84.37,84.35,84.37,2700.0
84.35,84.37,84.34,84.35,7559.0
84.38,84.38,84.35,84.35,1000.0
84.34,84.35,84.33,84.35,1101.0
84.36,84.36,84.32,84.32,2800.0
84.39,84.4,84.37,84.37,857.0
84.43,84.44,84.42,84.42,700.0
84.4,84.415,84.39,84.41,1600.0
84.33,84.39,84.33,84.38,6400.0
84.335,84.35,84.33,84.34,1400.0
84.34,84.34,84.34,84.34,200.0
84.33,84.33,84.29,84.33,4059.0
84.27,84.35,84.27,84.33,4000.0
84.29,84.31,84.28,84.29,1804.0
84.305,84.32,84.26,84.32,3823.0
84.24,84.28,84.22,84.28,3492.0
84.26,84.28,84.24,84.25,1800.0
84.25,84.31,84.25,84.26,4976.0
84.34,84.34,84.25,84.25,17020.0
84.34,84.43,84.3,84.33,7825.0
84.295,84.36,84.28,84.3254,7283.0
84.33,84.35,84.31,84.335,2200.0
84.39,84.39,84.33,84.33,1500.0
84.28,84.33,84.28,84.33,10600.0
84.44,84.44,84.29,84.29,13396.0
84.33,84.47,84.33,84.45,10424.0
84.315,84.36,84.3,84.36,6979.0
84.32,84.34,84.32,84.337,500.0
84.36,84.39,84.31,84.325,19306.0
84.34,84.36,84.33,84.35,800.0
84.44,84.45,84.34,84.34,7912.0
84.4325,84.47,84.41,84.43,5400.0
84.45,84.45,84.42,84.435,5550.0
84.32,84.45,84.32,84.44,18090.0
84.35,84.38,84.32,84.32,8580.0
84.4,84.4,84.34,84.35,4100.0
84.4009,84.41,84.38,84.4,6294.0
84.45,84.46,84.39,84.39,4800.0
84.4,84.53,84.4,84.47,5803.0
84.48,84.48,84.43,84.43,1881.0
84.49,84.49,84.465,84.49,1080.0
84.39,84.48,84.39,84.46,3713.0
84.31,84.44,84.31,84.41,5565.0
84.35,84.37,84.32,84.34,2900.0
84.3,84.35,84.3,84.35,1064.0
84.305,84.32,84.3,84.315,2800.0
84.335,84.335,84.31,84.32,3000.0
84.37,84.37,84.335,84.35,3340.0
84.45,84.45,84.37,84.37,2709.0
84.405,84.44,84.4,84.425,15103.0
84.27,84.41,84.27,84.39,16232.0
84.28,84.284,84.25,84.27,6238.0
84.22,84.25,84.22,84.25,2400.0
84.22,84.25,84.22,84.23,1637.0
84.24,84.26,84.21,84.23,5048.0
84.28,84.28,84.19,84.25,13072.0
84.3,84.31,84.29,84.29,24736.0
84.195,84.3,84.18,84.3,6052.0
84.25,84.25,84.21,84.21,1000.0
84.23,84.24,84.23,84.23,500.0
84.2,84.29,84.2,84.24,4703.0
84.18,84.21,84.18,84.19,3625.0
84.185,84.22,84.185,84.19,1259.0
84.19,84.22,84.19,84.22,2751.0
84.15,84.19,84.12,84.18,3801.0
84.14,84.2,84.14,84.17,2902.0
84.0801,84.13,84.0801,84.13,2297.0
84.03,84.08,84.02,84.07,4009.0
84.055,84.08,84.04,84.06,5183.0
84.09,84.09,84.05,84.07,4559.0
84.09,84.12,84.09,84.09,3240.0
84.01,84.08,83.9926,84.08,7727.0
84.02,84.06,84.015,84.015,4977.0
84.02,84.04,84.02,84.03,2500.0
83.97,84.03,83.97,84.02,6245.0
83.95,84.0,83.95,83.98,5713.0
83.9,83.95,83.87,83.95,14243.0
83.855,83.88,83.8,83.88,13249.0
83.85,83.92,83.82,83.87,15118.0
83.77,83.87,83.75,83.85,12630.0
83.78,83.85,83.76,83.8,12153.0
83.77,83.83,83.75,83.78,10077.0
83.65,83.8,83.63,83.77,20807.0
83.63,83.7,83.61,83.65,16716.0
83.5807,83.66,83.57,83.63,13127.0
83.63,83.63,83.54,83.56,11090.0
83.75,83.75,83.63,83.63,6694.0
83.58,83.74,83.562,83.73,19686.0
83.62,83.63,83.57,83.57,8870.0
83.62,83.63,83.52,83.63,16893.0
83.455,83.59,83.45,83.59,16179.0
83.45,83.53,83.44,83.46,17730.0
83.3,83.44,83.29,83.44,23972.0
83.415,83.44,83.29,83.3,30548.0
83.35,83.43,83.33,83.415,16429.0
83.28,83.38,83.27,83.35,25736.0
83.28,83.38,83.28,83.28,28748.0
83.34,83.35,83.28,83.29,16839.0
83.39,83.41,83.33,83.33,20809.0
83.32,83.43,83.3,83.39,22443.0
83.25,83.32,83.2,83.31,32135.0
83.27,83.27,83.19,83.25,31220.0
83.21,83.265,83.15,83.26,26535.0
83.23,83.24,83.17,83.21,26598.0
83.24,83.26,83.22,83.23,32075.0
83.23,83.26,83.23,83.235,25873.0
83.25,83.28,83.205,83.24,40723.0
83.2582,83.34,83.2475,83.25,45844.0
83.265,83.29,83.245,83.25,43335.0
83.16,83.28,83.155,83.265,56070.0
83.2,83.24,83.15,83.16,56553.0
Open,High,Low,Close,Volume
85.77,85.77,85.77,85.77,540.0
85.74,85.87,85.61,85.73,17957.0
85.29,85.69,85.29,85.69,10306.0
85.17,85.41,85.14,85.29,15593.0
85.2,85.48,85.17,85.17,10120.0
85.07,85.25,85.07,85.24,9500.0
85.08,85.2,85.03,85.09,7729.0
85.2,85.2,85.06,85.06,12569.0
85.23,85.3,85.13,85.2,4340.0
85.27,85.3657,85.25,85.32,10120.0
85.415,85.47,85.39,85.43,4400.0
85.36,85.42,85.34,85.42,4009.0
85.32,85.38,85.26,85.27,4610.0
85.36,85.39,85.35,85.39,1600.0
85.41,85.41,85.35,85.4,18984.0
85.36,85.45,85.3,85.42,10137.0
85.24,85.385,85.23,85.385,7200.0
85.05,85.29,85.05,85.29,7202.0
85.0143,85.06,84.94,85.05,12498.0
85.06,85.15,85.05,85.05,11054.0
85.0085,85.02,84.98,85.02,1600.0
84.9,84.99,84.87,84.98,6865.0
84.88,84.97,84.83,84.8601,9141.0
84.9,84.92,84.84,84.84,1800.0
84.76,84.9,84.67,84.8971,8346.0
84.675,84.76,84.66,84.76,7613.0
84.56,84.67,84.55,84.66,8274.0
84.77,84.77,84.56,84.58,6843.0
84.84,84.89,84.8,84.8,10882.0
84.9,84.95,84.85,84.85,11656.0
84.78,84.915,84.78,84.89,7814.0
84.72,84.82,84.69,84.82,6531.0
84.8,84.8,84.58,84.71,10183.0
84.695,84.82,84.67,84.75,3959.0
84.56,84.71,84.56,84.66,11914.0
84.324,84.57,84.324,84.57,7399.0
84.36,84.44,84.34,84.35,13579.0
84.29,84.37,84.29,84.36,8029.0
84.25,84.33,84.25,84.29,3358.0
84.29,84.29,84.13,84.25,14620.0
84.35,84.45,84.23,84.27,5315.0
84.2,84.36,84.2,84.35,2601.0
84.36,84.36,84.21,84.21,3010.0
84.38,84.49,84.33,84.36,5610.0
84.29,84.3,84.23,84.3,3300.0
84.18,84.29,84.16,84.285,6083.0
84.3,84.33,84.185,84.19,3504.0
84.32,84.34,84.31,84.34,1851.0
84.35,84.35,84.25,84.29,2266.0
84.51,84.51,84.36,84.36,2373.0
84.67,84.69,84.5,84.53,6700.0
84.51,84.66,84.51,84.66,2111.0
84.63,84.67,84.54,84.56,2900.0
84.59,84.68,84.58,84.67,1103.0
84.57,84.6,84.57,84.6,3502.0
84.43,84.57,84.43,84.57,3000.0
84.48,84.56,84.43,84.43,7262.0
84.57,84.57,84.49,84.5,1610.0
84.57,84.63,84.55,84.61,2500.0
84.405,84.59,84.405,84.59,1772.0
84.51,84.51,84.38,84.38,3589.0
84.44,84.5,84.44,84.5,999.0
84.58,84.58,84.48,84.48,1800.0
84.702,84.73,84.62,84.62,500.0
84.65,84.77,84.65,84.72,3904.0
84.76,84.76,84.65,84.65,3200.0
84.61,84.76,84.61,84.76,3201.0
84.58,84.6,84.57,84.573,1450.0
84.55,84.59,84.55,84.59,1382.0
84.48,84.51,84.45,84.51,1700.0
84.56,84.56,84.4,84.45,5735.0
84.49,84.55,84.48,84.48,1770.0
84.63,84.63,84.49,84.5,4049.0
84.73,84.73,84.63,84.63,2400.0
84.7,84.74,84.7,84.73,5300.0
84.64,84.735,84.62,84.73,8600.0
84.7,84.74,84.65,84.65,3574.0
84.68,84.765,84.68,84.68,2927.0
84.705,84.72,84.65,84.68,3408.0
84.67,84.73,84.67,84.73,2602.0
84.6601,84.69,84.65,84.66,1697.0
84.7,84.76,84.68,84.7,2320.0
84.7,84.73,84.7,84.72,700.0
84.7885,84.8,84.73,84.76,2400.0
84.68,84.829,84.68,84.81,10259.0
84.5,84.65,84.49,84.65,6699.0
84.48,84.6,84.44,84.5,3873.0
84.49,84.56,84.32,84.55,23329.0
84.38,84.5,84.33,84.49,8332.0
84.405,84.46,84.35,84.38,5212.0
84.39,84.42,84.35,84.378,6430.0
84.35,84.41,84.23,84.41,11771.0
84.42,84.42,84.25,84.33,6500.0
84.38,84.45,84.34,84.42,4401.0
84.33,84.4,84.2,84.4,15843.0
84.23,84.36,84.23,84.32,7032.0
84.35,84.36,84.29,84.29,1828.0
84.39,84.48,84.33,84.34,9959.0
84.43,84.46,84.4,84.4,5530.0
84.276,84.45,84.27,84.45,7005.0
84.25,84.38,84.24,84.24,11087.0
84.18,84.3,84.13,84.25,17017.0
84.2599,84.27,84.17,84.18,4858.0
84.17,84.29,84.17,84.26,4890.0
84.23,84.25,84.17,84.21,9999.0
84.22,84.26,84.19,84.23,5942.0
84.21,84.27,84.13,84.22,13292.0
84.2,84.37,84.16,84.23,17496.0
84.3,84.3,84.18,84.205,6887.0
84.45,84.45,84.3015,84.31,4687.0
84.33,84.455,84.33,84.45,4399.0
84.25,84.36,84.2,84.34,7497.0
84.38,84.38,84.28,84.28,1354.0
84.34,84.42,84.34,84.38,2678.0
84.32,84.36,84.3,84.33,3901.0
84.41,84.42,84.31,84.34,3800.0
84.24,84.46,84.24,84.44,7735.0
84.36,84.36,84.27,84.27,4215.0
84.31,84.35,84.29,84.3385,2830.0
84.32,84.33,84.22,84.33,4019.0
84.27,84.27,84.16,84.27,5036.0
84.16,84.33,84.16,84.2799,4104.0
84.25,84.25,84.19,84.24,1700.0
84.21,84.23,84.14,84.22,5319.0
84.11,84.2,84.05,84.2,6976.0
84.11,84.12,84.02,84.11,7199.0
84.19,84.21,84.14,84.14,3251.0
84.22,84.22,84.1892,84.2,1250.0
84.26,84.26,84.18,84.18,1450.0
84.2,84.31,84.2,84.27,6602.0
84.165,84.25,84.12,84.25,5120.0
84.17,84.22,84.14,84.19,2700.0
84.17,84.2,84.14,84.14,2400.0
84.15,84.19,84.13,84.17,1900.0
84.065,84.15,84.05,84.15,3761.0
84.04,84.16,84.04,84.11,2786.0
84.085,84.1001,84.04,84.09,4951.0
84.18,84.21,84.06,84.085,5165.0
84.28,84.32,84.19,84.2,2450.0
84.2325,84.28,84.16,84.27,6159.0
84.27,84.28,84.25,84.26,1200.0
84.42,84.47,84.32,84.32,18807.0
84.35,84.35,84.35,84.35,100.0
84.39,84.4,84.36,84.36,1700.0
84.44,84.47,84.35,84.41,11639.0
84.36,84.47,84.29,84.45,17279.0
84.32,84.37,84.29,84.37,1133.0
84.45,84.45,84.29,84.34,14860.0
84.45,84.46,84.42,84.45,3364.0
84.45,84.455,84.45,84.45,400.0
84.45,84.48,84.42,84.42,3956.0
84.44,84.44,84.37,84.42,2000.0
84.45,84.45,84.45,84.45,100.0
84.4,84.43,84.36,84.43,2012.0
84.45,84.46,84.4,84.4,900.0
84.33,84.48,84.33,84.45,6626.0
84.34,84.35,84.33,84.33,500.0
84.42,84.46,84.31,84.31,3972.0
84.465,84.465,84.45,84.45,400.0
84.4,84.4575,84.38,84.4575,2502.0
84.41,84.42,84.36,84.4,2167.0
84.33,84.4,84.33,84.4,1163.0
84.45,84.47,84.39,84.39,1873.0
84.37,84.43,84.36,84.41,2931.0
84.33,84.34,84.3,84.33,3000.0
84.38,84.38,84.37,84.37,500.0
84.36,84.41,84.31,84.41,3727.0
84.3,84.3665,84.3,84.355,2001.0
84.3,84.325,84.29,84.3,2501.0
84.29,84.315,84.29,84.3,1636.0
84.34,84.34,84.27,84.27,3180.0
84.33,84.34,84.28,84.28,2100.0
84.2069,84.34,84.2,84.31,8270.0
84.25,84.25,84.16,84.2,3645.0
84.3,84.3,84.23,84.24,3100.0
84.25,84.27,84.19,84.26,9000.0
84.25,84.26,84.21,84.24,4300.0
84.35,84.35,84.27,84.28,2600.0
84.34,84.39,84.32,84.32,3100.0
84.38,84.38,84.38,84.38,100.0
84.48,84.5,84.37,84.38,5494.0
84.42,84.52,84.42,84.49,6692.0
84.42,84.43,84.4,84.43,1300.0
84.44,84.44,84.425,84.44,1300.0
84.457,84.48,84.44,84.46,1690.0
84.467,84.49,84.38,84.44,7870.0
84.48,84.49,84.41,84.49,3961.0
84.55,84.55,84.49,84.5,1700.0
84.58,84.58,84.53,84.54,1900.0
84.6,84.6,84.55,84.56,4231.0
84.495,84.6,84.48,84.59,7342.0
84.505,84.53,84.48,84.48,4050.0
84.51,84.54,84.48,84.51,3200.0
84.53,84.53,84.51,84.51,5201.0
84.6,84.6,84.53,84.53,3829.0
84.64,84.64,84.59,84.59,3170.0
84.55,84.615,84.55,84.59,10893.0
84.46,84.58,84.46,84.55,6420.0
84.47,84.48,84.45,84.46,2510.0
84.51,84.52,84.465,84.49,1500.0
84.53,84.6,84.48,84.52,5366.0
84.55,84.55,84.55,84.55,100.0
84.55,84.55,84.55,84.55,750.0
84.56,84.58,84.56,84.58,500.0
84.67,84.67,84.58,84.58,2403.0
84.605,84.68,84.56,84.67,5896.0
84.48,84.605,84.48,84.6,18546.0
84.56,84.56,84.49,84.52,2300.0
84.58,84.61,84.55,84.59,3100.0
84.58,84.58,84.58,84.58,200.0
84.64,84.64,84.56,84.56,2120.0
84.55,84.65,84.55,84.65,5501.0
84.58,84.59,84.57,84.57,1326.0
84.565,84.57,84.565,84.57,200.0
84.6,84.6,84.57,84.58,1100.0
84.63,84.63,84.59,84.59,2974.0
84.63,84.67,84.63,84.65,900.0
84.59,84.66,84.59,84.64,3046.0
84.55,84.61,84.55,84.61,1501.0
84.56,84.59,84.54,84.57,6197.0
84.51,84.56,84.51,84.555,1797.0
84.51,84.52,84.5,84.51,3905.0
