Open,High,Low,Close,Volume
98.25,98.3,98.11,98.15,3199.0
98.25,98.27,98.2292,98.2292,1975.0
98.37,98.378,98.288,98.288,1600.0
98.5199,98.5199,98.3,98.36,2000.0
98.37,98.38,98.31,98.38,1600.0
98.44,98.44,98.36,98.36,1700.0
98.44,98.46,98.43,98.43,1790.0
98.52,98.52,98.45,98.45,3080.0
98.48,98.5,98.41,98.47,4436.0
98.47,98.5,98.44,98.46,1700.0
98.45,98.5,98.43,98.4499,4091.0
98.47,98.49,98.41,98.44,3200.0
98.44,98.45,98.39,98.41,5313.0
98.485,98.5,98.43,98.43,4970.0
98.48,98.49,98.44,98.49,2450.0
98.52,98.53,98.47,98.48,2655.0
98.54,98.54,98.48,98.5,4446.0
98.5,98.52,98.44,98.52,6321.0
98.49,98.51,98.417,98.5,522.0
98.44,98.51,98.42,98.4487,2358.0
98.5,98.5,98.455,98.455,1400.0
98.512,98.52,98.46,98.491,5586.0
98.48,98.55,98.46,98.51,4700.0
98.45,98.55,98.4,98.51,5334.0
98.47,98.47,98.45,98.45,450.0
98.48,98.48,98.43,98.45,4600.0
98.46,98.48,98.42,98.42,3310.0
98.47,98.47,98.44,98.46,1700.0
98.48,98.49,98.42,98.44,7559.0
98.4432,98.48,98.4,98.42,7834.0
98.47,98.47,98.42,98.43,1700.0
98.47,98.47,98.43,98.4539,2800.0
98.46,98.48,98.45,98.4533,4500.0
98.52,98.52,98.459,98.46,7573.0
98.52,98.54,98.48,98.52,3800.0
98.4932,98.52,98.4833,98.4879,2800.0
98.53,98.53,98.4833,98.52,3320.0
98.54,98.55,98.5,98.506,3100.0
98.55,98.55,98.53,98.53,1300.0
98.6,98.6,98.55,98.56,6360.0
98.61,98.63,98.58,98.6,3200.0
98.54,98.6,98.54,98.58,5400.0
98.58,98.595,98.56,98.56,4536.0
98.59,98.5925,98.56,98.59,8737.0
98.545,98.59,98.52,98.59,3033.0
98.545,98.545,98.53,98.53,200.0
98.58,98.58,98.55,98.56,3321.0
98.59,98.59,98.56,98.57,2526.0
98.5999,98.5999,98.58,98.58,2284.0
98.62,98.62,98.58,98.58,1500.0
98.58,98.6,98.58,98.6,5600.0
98.55,98.5816,98.55,98.57,2169.0
98.57,98.57,98.56,98.57,2100.0
98.58,98.6,98.56,98.56,3439.0
98.61,98.61,98.59,98.6,3522.0
98.62,98.62,98.61,98.61,1000.0
98.69,98.7,98.615,98.62,11300.0
98.67,98.7,98.65,98.65,3300.0
98.7,98.7,98.66,98.68,3256.0
98.63,98.72,98.63,98.6902,11486.0
98.66,98.686,98.66,98.67,500.0
