Open,High,Low,Close,Volume
77.1,77.13,77.1,77.13,49843.0
77.11,77.2499,77.05,77.13,14072.0
77.2,77.25,77.06,77.085,17880.0
77.2175,77.23,77.08,77.19,29103.0
77.08,77.24,77.07,77.23,60292.0
77.11,77.16,77.08,77.08,4105.0
77.09,77.13,77.08,77.125,11635.0
77.02,77.11,77.001,77.095,10945.0
77.0,77.04,76.995,77.02,8871.0
77.005,77.02,76.96,77.0,11762.0
76.92,77.04,76.92,77.005,40840.0
76.89,76.94,76.82,76.92,12987.0
76.96,76.969,76.88,76.88,4976.0
76.9,76.945,76.86,76.945,5499.0
76.89,76.92,76.89,76.9,4441.0
76.83,76.89,76.82,76.89,14887.0
76.87,76.87,76.82,76.84,13841.0
76.82,76.88,76.82,76.88,4088.0
76.76,76.82,76.75,76.82,7715.0
76.82,76.84,76.73,76.76,10132.0
76.82,76.86,76.8,76.815,9270.0
76.8,76.81,76.77,76.81,7643.0
76.75,76.81,76.75,76.7938,6262.0
76.75,76.76,76.72,76.75,9226.0
76.74,76.785,76.72,76.74,6798.0
76.72,76.765,76.72,76.74,5172.0
76.73,76.74,76.68,76.72,11816.0
76.77,76.78,76.73,76.73,3850.0
76.79,76.8,76.78,76.78,2354.0
76.82,76.855,76.81,76.81,4583.0
76.89,76.89,76.815,76.815,5413.0
76.91,76.93,76.885,76.885,8746.0
76.99,77.005,76.91,76.91,8676.0
77.05,77.05,76.98,76.98,9700.0
77.06,77.07,77.0,77.05,13428.0
77.0,77.0586,77.0,77.05,13917.0
77.0,77.0,76.96,77.0,13730.0
77.03,77.05,76.99,77.01,17553.0
77.02,77.03,76.99,77.01,13087.0
77.02,77.03,77.0,77.02,10270.0
77.05,77.05,77.01,77.01,6344.0
77.01,77.04,77.01,77.04,9742.0
77.0,77.0059,76.97,77.0059,5137.0
77.03,77.04,77.0,77.0,7986.0
77.005,77.03,76.99,77.02,6050.0
77.01,77.04,76.99,76.99,11299.0
77.0,77.02,76.97,77.005,6066.0
76.99,77.02,76.99,77.01,3777.0
77.03,77.04,76.99,76.99,4182.0
76.99,77.065,76.97,77.04,9375.0
76.99,76.99,76.9566,76.96,5558.0
77.06,77.06,77.0,77.0,2648.0
77.06,77.07,77.03,77.055,11548.0
77.075,77.08,77.02,77.06,7145.0
77.1,77.12,77.07,77.071,6047.0
77.1,77.11,77.08,77.094,2763.0
