Open,High,Low,Close,Volume
126.0,126.0,125.65,125.65,20690.0
126.37,126.775,126.2,126.2,1700.0
126.28,126.76,126.245,126.3535,4652.0
126.66,126.66,126.255,126.255,3437.0
126.76,126.83,126.75,126.75,1602.0
126.67,126.76,126.63,126.7,10827.0
127.0,127.14,126.6625,126.6625,11513.0
126.96,127.145,126.96,127.07,6972.0
126.98,127.11,126.98,127.04,700.0
127.0,127.08,126.93,126.96,4892.0
126.96,127.05,126.92,127.0,27934.0
127.05,127.05,126.97,126.97,350.0
126.95,127.04,126.89,127.04,500.0
126.94,127.01,126.94,127.01,1000.0
126.96,126.98,126.87,126.88,1405.0
126.88,126.96,126.79,126.92,8298.0
126.99,126.99,126.73,126.73,1500.0
127.07,127.07,126.94,126.94,900.0
126.82,127.11,126.82,127.11,5216.0
126.93,127.04,126.92,126.94,2233.0
126.4465,126.95,126.3805,126.93,4263.0
126.48,126.48,126.27,126.3231,2127.0
126.39,126.46,126.39,126.46,200.0
126.23,126.36,126.23,126.36,600.0
126.1,126.35,126.1,126.35,704.0
126.1425,126.23,126.1,126.19,3268.0
126.18,126.18,126.09,126.14,2500.0
126.52,126.52,126.1864,126.19,2700.0
126.42,126.51,126.3799,126.51,2905.0
126.56,126.65,126.42,126.42,1950.0
126.17,126.56,126.17,126.56,1200.0
126.02,126.22,125.98,126.16,2199.0
125.88,126.05,125.83,126.03,2499.0
125.64,125.84,125.61,125.84,2853.0
125.665,125.69,125.63,125.68,5411.0
125.57,125.73,125.41,125.63,30448.0
125.365,125.47,125.36,125.47,2513.0
125.3,125.445,125.24,125.34,2700.0
125.87,126.0,125.42,125.42,8565.0
125.68,125.85,125.65,125.81,5660.0
125.18,125.6,125.18,125.6,1400.0
125.78,125.78,125.22,125.22,3505.0
125.705,125.78,125.61,125.69,2600.0
125.79,125.79,125.52,125.65,4318.0
125.68,125.84,125.61,125.84,2000.0
125.59,125.67,125.59,125.63,900.0
125.427,125.59,125.35,125.59,3000.0
125.35,125.5,125.35,125.5,1200.0
125.4,125.46,125.3,125.3599,3800.0
125.34,125.37,125.3,125.37,1300.0
125.32,125.4,125.32,125.4,700.0
125.49,125.49,125.28,125.3,2391.0
125.59,125.61,125.58,125.58,1100.0
125.59,125.64,125.59,125.64,500.0
125.72,125.74,125.59,125.59,3309.0
125.79,125.82,125.76,125.76,1100.0
125.94,125.94,125.78,125.78,1558.0
125.9,125.98,125.8,125.93,3800.0
125.779,125.83,125.72,125.83,1900.0
125.88,125.88,125.76,125.76,2156.0
126.0099,126.04,125.76,125.81,2432.0
125.9773,125.9773,125.96,125.96,400.0
126.1,126.1,125.905,125.94,3095.0
126.14,126.14,126.1,126.13,589.0
126.34,126.34,126.15,126.15,2119.0
126.29,126.335,126.22,126.27,3284.0
126.415,126.43,126.255,126.255,2950.0
126.44,126.44,126.405,126.405,400.0
126.5,126.5,126.34,126.39,4765.0
126.55,126.59,126.53,126.57,4920.0
126.57,126.57,126.48,126.51,2608.0
126.55,126.58,126.55,126.58,400.0
126.53,126.59,126.48,126.52,3128.0
126.59,126.59,126.51,126.58,3850.0
126.665,126.715,126.59,126.59,1300.0
126.705,126.755,126.68,126.685,8077.0
126.88,126.9,126.67,126.695,12051.0
127.04,127.04,126.89,126.9,7486.0
126.895,127.1,126.885,127.04,16580.0
126.87,126.9175,126.87,126.9175,500.0
127.0,127.0,126.85,126.9,6389.0
126.94,126.97,126.87,126.97,1549.0
126.56,126.88,126.56,126.88,2700.0
126.47,126.56,126.47,126.56,800.0
126.46,126.46,126.46,126.46,200.0
126.42,126.5,126.42,126.46,1957.0
126.38,126.38,126.38,126.38,100.0
126.104,126.365,126.104,126.34,3000.0
126.14,126.15,126.13,126.14,1018.0
126.12,126.12,126.12,126.12,100.0
126.26,126.26,126.19,126.19,1700.0
126.17,126.26,126.13,126.22,2000.0
126.26,126.26,126.13,126.19,2101.0
126.18,126.21,126.14,126.14,880.0
126.19,126.19,126.19,126.19,400.0
126.195,126.195,126.195,126.195,100.0
126.055,126.16,126.055,126.16,2400.0
126.01,126.01,126.01,126.01,100.0
126.0,126.02,125.94,126.02,3604.0
126.11,126.11,125.98,125.98,1010.0
126.2,126.2,126.13,126.13,606.0
126.22,126.22,126.19,126.2,600.0
126.24,126.24,126.24,126.24,100.0
126.235,126.24,126.05,126.23,3900.0
126.14,126.2,126.14,126.2,1800.0
126.24,126.24,126.19,126.19,800.0
126.25,126.25,126.25,126.25,100.0
126.22,126.22,126.19,126.19,300.0
126.26,126.31,126.25,126.25,1600.0
126.07,126.24,126.07,126.24,1600.0
126.02,126.04,126.02,126.02,800.0
126.05,126.1,126.05,126.08,600.0
126.03,126.03,126.0,126.0264,1242.0
126.04,126.04,126.01,126.01,700.0
126.07,126.13,126.04,126.13,700.0
126.03,126.03,126.03,126.03,100.0
125.87,125.98,125.84,125.98,1200.0
125.9,125.92,125.85,125.86,3220.0
125.79,125.84,125.79,125.84,300.0
125.79,125.8,125.74,125.74,1005.0
125.66,125.78,125.66,125.78,1100.0
125.65,125.69,125.6,125.6,1300.0
125.62,125.65,125.62,125.65,600.0
125.61,125.66,125.55,125.55,3838.0
125.63,125.63,125.5,125.5,1400.0
125.585,125.63,125.58,125.63,1000.0
125.47,125.6,125.4,125.6,1600.0
125.39,125.41,125.33,125.41,1000.0
125.48,125.48,125.4,125.4,1300.0
125.57,125.57,125.48,125.48,600.0
125.63,125.63,125.58,125.58,1000.0
125.605,125.64,125.605,125.63,846.0
125.73,125.73,125.68,125.68,200.0
125.61,125.71,125.54,125.68,4409.0
125.57,125.57,125.57,125.57,234.0
125.57,125.57,125.54,125.54,400.0
125.6,125.64,125.53,125.6,2800.0
125.6027,125.6027,125.6027,125.6027,264.0
125.61,125.61,125.61,125.61,200.0
125.61,125.67,125.58,125.62,2900.0
125.6,125.6,125.55,125.56,900.0
125.55,125.57,125.55,125.56,400.0
125.66,125.68,125.58,125.58,2700.0
125.62,125.68,125.62,125.67,1400.0
125.6,125.64,125.6,125.63,1000.0
125.68,125.69,125.63,125.63,1100.0
125.75,125.76,125.72,125.72,550.0
125.71,125.72,125.65,125.72,2900.0
125.735,125.75,125.7,125.75,700.0
125.69,125.7,125.69,125.7,200.0
125.78,125.78,125.71,125.71,1100.0
125.76,125.76,125.76,125.76,200.0
125.65,125.765,125.65,125.765,600.0
125.63,125.64,125.59,125.59,1300.0
125.66,125.66,125.66,125.66,100.0
125.72,125.72,125.68,125.68,400.0
125.67,125.7,125.67,125.68,700.0
125.66,125.66,125.65,125.65,400.0
125.64,125.64,125.63,125.63,200.0
125.67,125.67,125.67,125.67,400.0
125.58,125.68,125.58,125.68,900.0
125.475,125.52,125.475,125.52,500.0
125.5,125.5,125.475,125.475,200.0
125.5,125.5,125.42,125.42,300.0
125.71,125.78,125.44,125.45,8450.0
125.85,125.87,125.68,125.74,4356.0
125.895,125.9,125.86,125.86,1400.0
125.9575,125.9575,125.9,125.91,800.0
125.955,125.96,125.93,125.93,1300.0
125.96,125.97,125.93,125.97,1600.0
125.92,125.93,125.92,125.93,300.0
125.84,125.92,125.81,125.92,2100.0
125.915,125.94,125.83,125.83,2700.0
125.965,125.98,125.94,125.94,1100.0
125.94,125.94,125.94,125.94,100.0
125.94,125.95,125.9,125.92,1700.0
125.895,125.92,125.895,125.9,300.0
125.745,125.8901,125.735,125.8901,4071.0
125.83,125.86,125.79,125.79,3900.0
125.8795,125.89,125.74,125.8,4044.0
125.9,125.95,125.87,125.87,1400.0
126.0772,126.11,125.92,125.92,2000.0
126.065,126.07,126.04,126.05,1100.0
126.04,126.04,126.01,126.03,1000.0
126.04,126.05,126.04,126.05,800.0
125.98,126.06,125.98,126.025,800.0
125.97,125.98,125.96,125.98,490.0
125.97,125.97,125.97,125.97,100.0
125.95,125.96,125.95,125.95,600.0
125.99,125.99,125.96,125.96,1746.0
125.985,126.02,125.97,126.02,1500.0
126.09,126.09,126.0,126.0,1900.0
126.11,126.11,125.985,126.07,2000.0
126.18,126.18,126.18,126.18,300.0
126.18,126.18,126.18,126.18,100.0
126.27,126.28,126.23,126.23,1100.0
126.32,126.32,126.28,126.28,699.0
126.37,126.37,126.36,126.36,300.0
126.29,126.33,126.27,126.3,1500.0
126.32,126.32,126.23,126.24,1000.0
126.3,126.335,126.3,126.335,900.0
126.275,126.29,126.22,126.29,2509.0
126.29,126.29,126.255,126.27,1000.0
126.25,126.25,126.25,126.25,100.0
126.31,126.34,126.23,126.23,1500.0
126.335,126.335,126.335,126.335,100.0
126.39,126.39,126.35,126.35,1000.0
126.39,126.39,126.39,126.39,100.0
126.39,126.4,126.34,126.4,1800.0
126.44,126.44,126.44,126.44,100.0
126.4,126.42,126.4,126.42,300.0
126.35,126.395,126.31,126.395,1600.0
126.36,126.36,126.36,126.36,100.0
126.35,126.37,126.345,126.36,1200.0
126.23,126.32,126.23,126.32,900.0
126.25,126.28,126.23,126.25,600.0
126.29,126.34,126.23,126.23,2014.0
126.47,126.47,126.38,126.39,1400.0
126.47,126.47,126.47,126.47,183.0
126.49,126.49,126.44,126.451,2200.0
126.59,126.59,126.48,126.48,1700.0
126.63,126.63,126.565,126.6,2002.0
126.66,126.66,126.66,126.66,200.0
126.53,126.595,126.53,126.59,1300.0
126.48,126.51,126.43,126.51,1700.0
126.57,126.57,126.52,126.52,700.0
126.6,126.6,126.555,126.555,200.0
126.57,126.57,126.57,126.57,500.0
126.54,126.54,126.54,126.54,100.0
126.5,126.55,126.48,126.55,2201.0
126.5,126.53,126.475,126.475,1300.0
126.57,126.57,126.53,126.57,400.0
126.61,126.61,126.54,126.54,600.0
126.58,126.64,126.58,126.63,1300.0
126.62,126.62,126.62,126.62,400.0
126.67,126.67,126.67,126.67,100.0
126.68,126.7,126.67,126.67,1400.0
126.66,126.68,126.65,126.65,900.0
126.66,126.66,126.66,126.66,300.0
126.63,126.69,126.63,126.64,600.0
126.6,126.645,126.6,126.62,1100.0
126.6,126.63,126.6,126.625,1389.0
126.67,126.69,126.63,126.645,2400.0
126.64,126.675,126.64,126.65,1300.0
126.675,126.675,126.63,126.645,3054.0
126.7,126.7,126.64,126.655,1200.0
126.77,126.78,126.71,126.71,3504.0
126.89,126.92,126.76,126.77,7845.0
126.8825,126.95,126.88,126.9,2900.0
126.91,126.96,126.88,126.88,1400.0
126.95,126.95,126.95,126.95,100.0
126.965,126.965,126.95,126.95,900.0
