Open,High,Low,Close,Volume
276.02,276.5,276.02,276.5,5230.0
276.0,276.99,276.0,276.87,1817.0
276.9,277.25,275.5601,275.8288,9389.0
276.0,277.2331,276.0,276.405,1300.0
275.56,276.54,275.56,276.25,1736.0
276.33,276.33,275.0413,275.39,2795.0
275.8,275.805,275.13,275.43,1400.0
275.74,276.0749,275.27,276.0749,588.0
276.2499,276.2499,275.8297,276.24,653.0
276.21,276.21,275.76,275.92,1900.0
275.78,276.142,275.76,275.77,1650.0
275.16,275.63,275.16,275.63,4109.0
274.2,275.1543,274.18,275.0679,4250.0
274.11,274.8299,274.11,274.21,3765.0
274.47,274.48,274.0,274.11,3723.0
274.55,274.9299,274.5,274.66,2724.0
274.82,274.9,274.5101,274.7513,3680.0
274.72,274.72,274.52,274.52,963.0
274.37,274.4,274.37,274.4,200.0
274.63,274.63,274.39,274.4,2000.0
275.12,275.12,274.5047,274.54,1584.0
275.27,275.405,275.15,275.15,660.0
275.2,275.39,275.12,275.18,1160.0
275.05,275.1907,274.9305,275.065,2501.0
275.075,275.1176,274.9,275.1176,1370.0
274.85,274.91,274.81,274.91,1100.0
274.4,274.91,274.34,274.74,6900.0
274.1,274.65,274.1,274.48,5523.0
274.25,274.25,274.07,274.07,3550.0
274.51,274.51,274.02,274.2,9881.0
274.53,274.77,274.43,274.5875,4349.0
274.8,274.95,274.59,274.75,7900.0
275.175,275.175,274.99,274.99,500.0
275.125,275.22,275.0,275.0,500.0
275.13,275.17,274.99,275.17,2360.0
274.86,275.14,274.86,275.14,5500.0
274.88,274.94,274.8,274.9395,1300.0
274.9,274.94,274.78,274.78,700.0
275.15,275.15,274.73,274.77,3690.0
274.9,275.1,274.9,275.01,1863.0
275.12,275.25,274.98,275.08,2200.0
275.085,275.16,274.98,275.12,2700.0
275.31,275.37,275.125,275.16,2550.0
275.39,275.39,275.31,275.31,500.0
275.82,275.82,275.31,275.315,2460.0
275.79,275.82,275.7376,275.7398,450.0
275.42,275.67,275.42,275.65,2300.0
275.38,275.4765,275.345,275.39,1520.0
275.4,275.54,275.38,275.54,1097.0
275.2,275.39,275.2,275.39,1720.0
275.38,275.38,275.38,275.38,400.0
274.9,275.2946,274.9,275.2946,2850.0
274.82,274.97,274.82,274.87,600.0
275.635,275.635,274.96,275.03,4570.0
275.275,275.67,275.27,275.511,2830.0
275.365,275.41,275.365,275.39,1100.0
275.05,275.365,275.01,275.365,2503.0
275.1,275.17,275.1,275.17,1400.0
274.864,275.1828,274.8,275.1828,2644.0
274.6,274.76,274.55,274.76,3564.0
274.4,274.6,274.4,274.6,1460.0
274.09,274.38,274.02,274.31,1637.0
274.39,274.42,274.015,274.015,2900.0
274.5429,274.71,274.3575,274.484,510.0
274.76,274.76,274.76,274.76,664.0
275.02,275.25,274.76,274.76,2710.0
274.9707,275.0,274.9707,275.0,1350.0
275.27,275.27,274.96,274.98,2823.0
275.1104,275.27,275.08,275.13,800.0
274.935,275.06,274.92,275.06,1100.0
274.5697,274.93,274.555,274.85,987.0
274.39,274.579,274.39,274.55,800.0
274.7,274.7,274.449,274.58,2000.0
274.97,274.97,274.61,274.71,1700.0
274.73,274.8971,274.72,274.8624,1650.0
274.505,274.77,274.505,274.65,1052.0
274.33,274.5,274.23,274.5,2110.0
274.2,274.3205,274.2,274.3205,1350.0
274.27,274.27,274.1,274.15,450.0
274.53,274.53,274.12,274.185,1700.0
274.65,274.65,274.65,274.65,100.0
275.08,275.08,274.76,274.76,2200.0
274.61,275.03,274.61,274.97,6700.0
274.615,274.615,274.615,274.615,1000.0
274.55,274.69,274.55,274.6622,800.0
274.62,274.64,274.44,274.5201,3700.0
274.56,274.57,274.39,274.52,5417.0
274.78,274.81,274.57,274.57,1202.0
274.73,275.29,274.655,274.83,10300.0
274.78,274.91,274.59,274.77,9692.0
274.655,274.68,274.55,274.64,1500.0
274.475,274.5247,274.475,274.51,1381.0
274.51,274.57,274.48,274.48,1400.0
274.44,274.59,274.42,274.49,1300.0
274.64,274.66,274.52,274.52,3023.0
274.57,274.72,274.55,274.72,1850.0
274.71,274.71,274.55,274.56,1215.0
274.66,274.8,274.54,274.74,3200.0
274.86,274.92,274.595,274.64,4462.0
275.0047,275.02,274.9056,274.9056,700.0
275.3,275.3,275.0309,275.1,767.0
275.245,275.43,275.18,275.31,2064.0
275.46,275.46,275.46,275.46,100.0
275.36,275.47,275.26,275.403,2379.0
275.52,275.59,275.34,275.34,2050.0
275.65,275.65,275.6061,275.64,510.0
275.97,275.99,275.639,275.639,4817.0
275.95,276.14,275.93,275.9699,3467.0
275.64,275.94,275.5801,275.842,13045.0
275.6555,275.8099,275.47,275.6,11970.0
275.68,275.82,275.64,275.8,6900.0
275.815,275.825,275.68,275.77,2155.0
275.615,275.84,275.57,275.84,1500.0
275.667,275.76,275.56,275.66,3484.0
275.29,275.695,275.29,275.695,3038.0
275.03,275.24,275.03,275.24,1700.0
274.87,275.17,274.87,275.07,1650.0
275.4,275.82,274.94,274.94,4000.0
275.425,275.555,275.39,275.39,570.0
275.44,275.465,275.41,275.465,500.0
275.39,275.39,275.12,275.12,600.0
275.425,275.55,275.24,275.425,620.0
275.2,275.41,275.19,275.41,5089.0
275.165,275.2,275.09,275.2,700.0
275.095,275.17,274.95,275.08,4899.0
274.85,275.01,274.82,275.01,1800.0
274.956,274.956,274.69,274.74,2149.0
274.775,274.97,274.765,274.765,400.0
274.75,275.04,274.75,274.85,3500.0
274.7,274.7,274.485,274.64,3100.0
274.61,274.71,274.52,274.7,1500.0
274.788,274.94,274.575,274.61,2052.0
274.815,274.849,274.8,274.8,400.0
275.09,275.09,274.75,274.75,1919.0
275.22,275.22,274.9401,274.9401,1061.0
275.035,275.1,274.9701,275.08,1700.0
275.04,275.04,275.04,275.04,100.0
274.89,275.11,274.83,275.11,1900.0
274.8109,274.91,274.8109,274.91,401.0
275.34,275.34,274.91,274.91,1700.0
275.3159,275.5,275.3159,275.5,300.0
275.42,275.489,275.2,275.3024,1247.0
275.38,275.389,275.34,275.389,400.0
275.255,275.33,275.15,275.33,1675.0
275.01,275.09,275.01,275.09,700.0
275.06,275.24,275.06,275.24,300.0
275.48,275.49,275.135,275.1449,3800.0
275.44,275.44,275.22,275.2201,5344.0
275.11,275.43,275.11,275.43,2257.0
275.21,275.21,275.08,275.11,2000.0
