Open,High,Low,Close,Volume
122.16,122.16,122.16,122.16,910.0
121.64,122.08,121.56,121.92,25423.0
120.95,121.84,120.6,121.51,15025.0
121.1016,121.2758,120.28,120.87,16348.0
120.94,121.1345,120.42,121.1345,5175.0
120.95,120.95,120.83,120.83,700.0
120.75,120.9669,120.5,120.9669,4143.0
120.41,120.56,120.41,120.56,2000.0
120.9,120.9,120.41,120.62,12164.0
120.18,120.93,120.13,120.93,7577.0
120.9,120.92,120.24,120.42,7005.0
120.93,120.95,120.67,120.75,16163.0
120.19,120.8875,120.18,120.8821,6907.0
120.2547,120.37,120.235,120.235,1885.0
120.1501,120.41,120.15,120.16,7551.0
120.41,120.43,120.18,120.34,3000.0
119.98,120.28,119.64,120.28,19248.0
120.31,120.31,119.67,119.98,4957.0
119.59,120.19,119.59,120.1,7800.0
119.6344,119.82,119.51,119.63,15732.0
119.6637,119.76,119.3,119.5932,15877.0
119.5913,119.92,119.48,119.73,26992.0
120.01,120.11,119.48,119.63,15829.0
119.95,120.23,119.71,119.95,25106.0
119.84,120.12,119.71,119.95,14337.0
119.62,119.98,119.62,119.98,12463.0
119.6175,119.96,119.6,119.62,23902.0
119.65,119.82,119.6,119.67,12618.0
119.81,119.81,119.6,119.65,9518.0
119.78,119.81,119.61,119.81,924.0
119.8,119.8,119.5,119.61,24100.0
120.14,120.2,119.78,119.78,22091.0
119.89,120.22,119.68,120.0452,30052.0
119.75,119.85,119.48,119.82,18555.0
120.05,120.19,119.77,119.77,17460.0
120.1,120.26,119.99,120.135,17084.0
120.82,120.82,120.17,120.24,12960.0
120.675,120.92,120.5,120.83,15890.0
120.92,120.92,120.62,120.77,5717.0
120.53,120.815,120.5,120.78,11646.0
120.21,120.48,120.2,120.44,8512.0
120.61,120.61,120.14,120.14,4800.0
120.39,120.57,120.39,120.57,700.0
120.5,120.5,120.32,120.33,1675.0
120.225,120.44,120.02,120.44,4756.0
120.28,120.28,120.125,120.21,3400.0
120.2,120.245,120.09,120.21,4136.0
120.245,120.28,120.17,120.28,5200.0
120.18,120.31,120.13,120.255,5743.0
120.02,120.22,120.0,120.13,6415.0
120.035,120.1,119.955,120.025,7534.0
120.194,120.27,120.11,120.11,3701.0
120.23,120.25,120.06,120.25,4350.0
120.12,120.24,119.9,120.22,17567.0
120.23,120.23,120.035,120.14,12362.0
120.29,120.29,120.09,120.22,20741.0
120.15,120.44,119.97,120.22,15728.0
120.12,120.2,120.05,120.11,9437.0
120.26,120.26,120.05,120.12,3314.0
