Open,High,Low,Close,Volume
62.34,62.36,62.34,62.35,15794.0
62.2227,62.5,62.16,62.34,15929.0
62.2271,62.28,62.16,62.17,1991.0
62.11,62.2,62.1,62.17,3986.0
62.08,62.08,62.01,62.07,2647.0
62.04,62.1,62.04,62.075,993.0
62.0,62.02,61.91,62.02,5585.0
62.0,62.07,61.95,61.95,2980.0
62.1,62.1,62.09,62.09,300.0
62.259,62.259,62.04,62.04,3341.0
62.1468,62.23,62.14,62.19,2468.0
62.1,62.13,62.1,62.12,1300.0
62.09,62.1,62.07,62.07,654.0
62.07,62.08,62.07,62.07,1612.0
62.0597,62.07,62.0447,62.07,1800.0
62.1,62.12,62.07,62.09,3725.0
62.0708,62.1,62.0,62.1,2265.0
62.09,62.09,62.06,62.06,926.0
62.06,62.09,62.025,62.0524,2376.0
62.09,62.13,62.06,62.1,2300.0
62.1,62.21,62.1,62.14,2220.0
62.105,62.12,62.105,62.12,400.0
62.1,62.12,62.0701,62.11,2309.0
62.075,62.13,62.07,62.09,1569.0
62.02,62.05,62.02,62.05,700.0
62.03,62.06,62.03,62.05,2398.0
61.97,62.02,61.97,62.02,2050.0
62.01,62.01,61.97,61.97,860.0
62.01,62.03,61.98,62.01,2400.0
62.0,62.09,61.98,62.09,12083.0
61.97,62.01,61.97,62.01,2200.0
61.97,61.97,61.85,61.96,5535.0
61.93,61.96,61.93,61.96,510.0
61.86,61.9,61.86,61.89,2135.0
61.919,61.92,61.875,61.89,1590.0
61.88,61.9,61.88,61.9,636.0
61.85,61.89,61.85,61.88,1000.0
61.8525,61.88,61.8525,61.88,940.0
61.78,61.849,61.78,61.849,4887.0
61.76,61.79,61.76,61.78,900.0
61.73,61.76,61.73,61.76,2962.0
61.75,61.76,61.75,61.75,1700.0
61.757,61.76,61.75,61.76,1250.0
61.7183,61.76,61.7183,61.76,1414.0
61.7545,61.7698,61.71,61.73,3050.0
61.72,61.77,61.72,61.755,1833.0
61.71,61.75,61.68,61.72,1932.0
61.76,61.76,61.7,61.7,2248.0
61.7001,61.76,61.7,61.76,2231.0
61.73,61.73,61.69,61.69,2000.0
61.71,61.72,61.7094,61.71,1351.0
61.7,61.71,61.695,61.71,1400.0
61.7,61.73,61.7,61.71,2054.0
61.68,61.7299,61.67,61.7299,1154.0
61.69,61.69,61.67,61.69,1450.0
61.75,61.75,61.7,61.7,700.0
61.67,61.74,61.67,61.7366,3666.0
61.702,61.702,61.702,61.702,300.0
61.68,61.71,61.68,61.71,1376.0
61.68,61.6907,61.68,61.6907,325.0
61.69,61.71,61.69,61.7,1114.0
61.6501,61.68,61.64,61.68,2564.0
61.6483,61.6483,61.64,61.64,202.0
61.68,61.68,61.645,61.66,2209.0
61.72,61.72,61.69,61.69,406.0
61.68,61.71,61.68,61.71,600.0
61.66,61.68,61.66,61.68,1787.0
61.65,61.69,61.65,61.69,573.0
61.63,61.63,61.62,61.63,400.0
61.63,61.645,61.63,61.64,422.0
61.655,61.66,61.64,61.66,1450.0
61.688,61.688,61.66,61.67,499.0
61.6,61.68,61.6,61.68,3054.0
61.6,61.6255,61.6,61.61,535.0
61.57,61.63,61.56,61.62,8950.0
61.56,61.5601,61.56,61.56,1400.0
61.57,61.6,61.57,61.58,1735.0
61.59,61.6,61.585,61.585,620.0
61.55,61.6034,61.55,61.6034,2436.0
61.5544,61.566,61.53,61.551,1918.0
61.58,61.58,61.55,61.55,723.0
61.53,61.574,61.53,61.57,1571.0
61.59,61.6,61.53,61.53,2914.0
61.56,61.6,61.56,61.6,4275.0
61.59,61.59,61.56,61.571,5292.0
61.6297,61.6297,61.595,61.595,1200.0
61.62,61.64,61.62,61.63,1294.0
61.545,61.6399,61.524,61.6399,2981.0
61.57,61.57,61.55,61.55,600.0
61.49,61.54,61.47,61.54,9810.0
61.5,61.51,61.49,61.49,5119.0
61.48,61.498,61.47,61.498,3409.0
61.43,61.49,61.43,61.48,7213.0
61.42,61.43,61.41,61.43,3401.0
61.415,61.42,61.4,61.4144,3867.0
61.37,61.4154,61.37,61.4154,2032.0
61.42,61.42,61.39,61.4,329.0
61.4,61.4,61.4,61.4,459.0
61.39,61.4097,61.39,61.4097,2710.0
61.38,61.4,61.38,61.4,2793.0
61.32,61.38,61.31,61.38,2531.0
61.37,61.4,61.33,61.34,3623.0
61.38,61.38,61.38,61.38,111.0
61.38,61.39,61.38,61.39,1320.0
61.38,61.38,61.38,61.38,200.0
61.3794,61.39,61.37,61.37,1973.0
61.38,61.41,61.36,61.37,2900.0
61.34,61.385,61.3,61.38,3978.0
61.34,61.34,61.3,61.33,2517.0
61.31,61.33,61.3,61.31,2131.0
61.29,61.31,61.29,61.31,648.0
61.285,61.29,61.285,61.29,945.0
61.24,61.27,61.24,61.26,3054.0
61.25,61.27,61.25,61.27,1130.0
61.22,61.28,61.22,61.27,3200.0
61.2039,61.25,61.19,61.234,4022.0
61.14,61.21,61.14,61.21,8361.0
61.16,61.17,61.14,61.15,6016.0
61.13,61.1714,61.13,61.17,3204.0
61.17,61.17,61.135,61.135,1600.0
61.17,61.18,61.14,61.17,4550.0
61.18,61.19,61.17,61.17,1620.0
61.22,61.22,61.185,61.185,3720.0
61.16,61.22,61.16,61.22,3297.0
61.08,61.17,61.08,61.15,8097.0
61.0901,61.13,61.09,61.11,6765.0
61.11,61.12,61.1,61.11,2310.0
61.11,61.157,61.1,61.1,4920.0
61.11,61.14,61.11,61.12,3674.0
61.14,61.14,61.12,61.13,1600.0
61.2,61.2,61.155,61.16,1160.0
61.15,61.2,61.15,61.2,2340.0
61.16,61.17,61.16,61.16,963.0
61.11,61.17,61.11,61.16,1443.0
61.15,61.16,61.11,61.12,4421.0
61.16,61.181,61.16,61.181,2954.0
61.19,61.19,61.17,61.17,2864.0
61.19,61.19,61.19,61.19,310.0
61.195,61.2,61.18,61.19,2527.0
61.2,61.24,61.18,61.2,12420.0
61.27,61.29,61.195,61.2,54949.0
61.259,61.28,61.259,61.28,1802.0
61.26,61.26,61.26,61.26,300.0
61.24,61.24,61.23,61.2307,700.0
61.26,61.26,61.23,61.23,1852.0
61.3122,61.3122,61.26,61.26,2659.0
61.3,61.32,61.3,61.32,2818.0
61.36,61.36,61.305,61.31,1887.0
61.3589,61.36,61.3435,61.36,2739.0
61.33,61.36,61.33,61.36,200.0
61.26,61.32,61.26,61.32,1300.0
61.27,61.29,61.26,61.27,1000.0
61.28,61.28,61.28,61.28,100.0
61.29,61.32,61.29,61.29,1998.0
61.3538,61.3538,61.31,61.31,1151.0
61.34,61.36,61.34,61.36,1000.0
61.37,61.37,61.35,61.35,1400.0
61.39,61.41,61.38,61.39,1896.0
61.41,61.41,61.39,61.39,600.0
61.4,61.4,61.39,61.39,1203.0
61.3892,61.41,61.3892,61.41,1047.0
61.36,61.39,61.36,61.38,5345.0
61.375,61.4,61.36,61.36,4807.0
61.37,61.38,61.34,61.37,4927.0
61.37,61.38,61.37,61.37,400.0
61.3845,61.39,61.37,61.37,2225.0
61.34,61.38,61.34,61.38,3270.0
61.37,61.37,61.33,61.33,700.0
61.37,61.375,61.36,61.375,700.0
61.3389,61.35,61.32,61.33,1800.0
61.36,61.36,61.32,61.32,2000.0
61.31,61.34,61.31,61.34,400.0
61.31,61.3396,61.31,61.3396,570.0
61.34,61.36,61.33,61.33,774.0
61.35,61.35,61.35,61.35,1150.0
61.34,61.35,61.33,61.33,1700.0
61.32,61.33,61.3,61.33,1111.0
61.34,61.34,61.32,61.32,600.0
61.3,61.33,61.3,61.33,1011.0
61.33,61.33,61.31,61.31,700.0
61.34,61.34,61.32,61.32,819.0
61.32,61.34,61.31,61.34,700.0
61.3231,61.3231,61.3062,61.3138,792.0
61.32,61.32,61.3,61.31,1200.0
61.305,61.31,61.305,61.31,463.0
61.308,61.308,61.308,61.308,100.0
61.3,61.3,61.27,61.29,1871.0
61.3,61.3,61.3,61.3,512.0
61.29,61.3,61.29,61.29,800.0
61.3,61.32,61.28,61.3,6530.0
61.29,61.2908,61.29,61.2908,200.0
61.29,61.29,61.27,61.285,1870.0
61.25,61.27,61.25,61.26,2598.0
61.3,61.31,61.25,61.25,3384.0
61.3,61.32,61.3,61.31,2663.0
61.31,61.31,61.28,61.3,1300.0
61.3,61.3169,61.28,61.295,1354.0
61.28,61.3,61.28,61.3,1000.0
61.27,61.27,61.25,61.27,3450.0
61.25,61.26,61.24,61.254,3230.0
61.2376,61.24,61.23,61.24,708.0
61.24,61.24,61.22,61.2301,1453.0
61.29,61.29,61.24,61.24,2200.0
61.25,61.3,61.25,61.3,3005.0
61.26,61.26,61.25,61.25,1070.0
61.28,61.28,61.26,61.26,1289.0
61.29,61.29,61.27,61.28,860.0
61.27,61.2899,61.26,61.285,1944.0
61.29,61.29,61.26,61.28,2300.0
61.26,61.29,61.26,61.28,1939.0
61.24,61.28,61.24,61.26,3908.0
61.23,61.245,61.2,61.245,3626.0
61.21,61.23,61.2,61.2,1000.0
61.18,61.21,61.18,61.21,2320.0
61.22,61.23,61.19,61.19,2000.0
61.24,61.24,61.22,61.24,1080.0
61.255,61.28,61.25,61.26,1851.0
61.25,61.2663,61.25,61.26,2115.0
61.27,61.28,61.2698,61.2698,812.0
61.28,61.29,61.26,61.29,5093.0
61.27,61.27,61.27,61.27,882.0
61.2826,61.2826,61.28,61.28,461.0
61.29,61.295,61.2792,61.2792,2660.0
61.28,61.29,61.27,61.29,2095.0
61.29,61.3,61.27,61.29,14335.0
61.29,61.3,61.27,61.3,12499.0
61.27,61.29,61.27,61.28,12125.0
61.29,61.29,61.285,61.29,2075.0
61.28,61.29,61.28,61.29,1164.0
61.26,61.29,61.25,61.29,6438.0
61.24,61.27,61.24,61.24,17048.0
61.25,61.255,61.24,61.25,1757.0
61.24,61.25,61.24,61.25,784.0
61.23,61.24,61.21,61.24,2121.0
61.25,61.25,61.22,61.24,2045.0
61.2653,61.2653,61.25,61.25,300.0
61.26,61.28,61.26,61.27,2600.0
61.25,61.28,61.25,61.27,2600.0
61.25,61.26,61.25,61.255,1787.0
61.25,61.25,61.25,61.25,400.0
61.27,61.275,61.26,61.26,1588.0
61.26,61.28,61.26,61.28,1227.0
61.275,61.275,61.26,61.27,1130.0
61.24,61.27,61.24,61.27,3670.0
61.26,61.26,61.24,61.25,1812.0
61.25,61.26,61.24,61.25,1937.0
61.245,61.25,61.245,61.25,700.0
61.27,61.27,61.2499,61.25,876.0
61.26,61.28,61.26,61.27,2984.0
61.2661,61.27,61.2661,61.27,1373.0
61.26,61.2746,61.26,61.27,6852.0
61.24,61.28,61.24,61.27,7204.0
61.25,61.28,61.25,61.26,5060.0
61.26,61.285,61.24,61.27,9320.0
61.27,61.28,61.27,61.27,2375.0
61.255,61.28,61.255,61.27,6974.0
61.24,61.265,61.2325,61.26,9402.0
61.28,61.295,61.25,61.25,5470.0
61.25,61.29,61.25,61.29,4800.0
61.27,61.27,61.25,61.25,1801.0
61.261,61.28,61.26,61.26,2875.0
61.26,61.26,61.25,61.26,900.0
61.25,61.25,61.25,61.25,100.0
61.2602,61.27,61.26,61.26,1100.0
61.25,61.27,61.25,61.27,2212.0
61.24,61.2501,61.24,61.2501,1677.0
61.2422,61.2422,61.2422,61.2422,120.0
61.24,61.26,61.24,61.25,2100.0
61.26,61.28,61.25,61.25,5582.0
61.25,61.26,61.25,61.26,1600.0
61.24,61.25,61.24,61.24,2703.0
61.24,61.24,61.23,61.23,1300.0
61.2,61.235,61.2,61.235,2507.0
61.2,61.21,61.19,61.19,692.0
61.18,61.19,61.1701,61.19,2834.0
61.18,61.19,61.18,61.19,700.0
61.1799,61.18,61.1799,61.18,572.0
61.17,61.17,61.16,61.17,1399.0
61.17,61.173,61.16,61.17,2013.0
61.18,61.18,61.18,61.18,2200.0
61.17,61.17,61.17,61.17,400.0
61.16,61.18,61.16,61.17,2763.0
61.14,61.16,61.13,61.16,7660.0
61.137,61.137,61.11,61.13,3550.0
61.13,61.13,61.12,61.12,1342.0
61.126,61.1396,61.126,61.1396,1042.0
61.12,61.1239,61.12,61.1239,744.0
61.1,61.12,61.1,61.12,7293.0
61.07,61.09,61.07,61.09,2561.0
61.085,61.09,61.07,61.07,3111.0
61.0899,61.09,61.085,61.09,1700.0
61.08,61.08,61.07,61.08,1340.0
61.05,61.06,61.05,61.06,400.0
61.11,61.11,61.06,61.07,4213.0
61.1,61.11,61.1,61.11,1500.0
61.1,61.1,61.09,61.1,1150.0
61.1,61.1,61.0992,61.0992,360.0
61.07,61.11,61.06,61.11,5425.0
61.07,61.08,61.07,61.07,1070.0
61.07,61.07,61.07,61.07,400.0
61.07,61.07,61.07,61.07,500.0
61.06,61.07,61.06,61.07,200.0
61.1093,61.1093,61.07,61.07,1485.0
61.09,61.11,61.06,61.105,7928.0
61.085,61.1,61.07,61.1,652.0
61.08,61.11,61.08,61.0997,1772.0
61.07,61.08,61.07,61.08,400.0
61.06,61.07,61.06,61.07,601.0
61.03,61.06,61.03,61.06,1959.0
61.04,61.045,61.04,61.04,1229.0
61.06,61.065,61.03,61.03,2041.0
61.0665,61.0665,61.065,61.065,564.0
61.0547,61.06,61.05,61.06,2094.0
61.07,61.085,61.0601,61.0614,3612.0
61.08,61.08,61.07,61.07,2191.0
61.09,61.09,61.0601,61.08,2203.0
61.08,61.1,61.08,61.09,661.0
61.12,61.12,61.1,61.1,1900.0
61.1,61.13,61.09,61.13,3870.0
61.09,61.1,61.09,61.09,1380.0
61.13,61.13,61.1,61.1,1122.0
61.12,61.13,61.12,61.122,800.0
61.12,61.12,61.115,61.1185,1400.0
61.1,61.11,61.09,61.11,2311.0
61.1,61.1,61.086,61.1,2031.0
61.08,61.11,61.08,61.11,4011.0
61.09,61.11,61.09,61.11,1248.0
61.1,61.1,61.09,61.09,1500.0
61.095,61.1,61.09,61.1,3200.0
61.105,61.13,61.09,61.11,5476.0
61.09,61.105,61.09,61.1,2448.0
61.0934,61.099,61.08,61.09,13814.0
61.05,61.08,61.05,61.08,6241.0
61.07,61.07,61.05,61.07,2656.0
61.06,61.074,61.06,61.0715,2257.0
61.07,61.07,61.05,61.06,2216.0
61.069,61.07,61.06,61.06,1320.0
61.07,61.075,61.07,61.07,4090.0
61.1,61.1,61.07,61.07,2422.0
61.1,61.1,61.09,61.1,1179.0
61.1069,61.11,61.095,61.1,1879.0
61.105,61.105,61.1,61.1,1369.0
61.115,61.12,61.1,61.11,5171.0
61.18,61.2,61.12,61.12,5868.0
61.14,61.18,61.14,61.18,4177.0
61.18,61.18,61.145,61.145,1348.0
61.17,61.175,61.1585,61.17,3046.0
61.18,61.185,61.16,61.16,2300.0
61.135,61.18,61.135,61.17,4008.0
61.17,61.17,61.14,61.14,2995.0
61.14,61.175,61.14,61.165,3317.0
61.16,61.17,61.14,61.14,5165.0
61.13,61.16,61.13,61.16,2796.0
61.12,61.13,61.1,61.12,7562.0
61.16,61.16,61.13,61.13,4473.0
61.17,61.18,61.15,61.16,4320.0
61.14,61.17,61.12,61.17,5437.0
61.15,61.15,61.13,61.14,3253.0
61.14,61.15,61.13,61.15,4889.0
