Open,High,Low,Close,Volume
155.57,155.57,155.57,155.57,100.0
155.5,155.6,155.5,155.6,591.0
156.01,156.01,155.5,155.7,500.0
155.98,155.98,155.42,155.64,2880.0
155.47,155.55,155.47,155.55,1000.0
155.38,155.38,155.38,155.38,100.0
155.18,155.36,155.18,155.36,650.0
155.25,155.335,155.16,155.29,2428.0
155.22,155.35,155.2,155.29,2258.0
155.41,155.41,155.41,155.41,100.0
155.22,155.53,155.22,155.53,2000.0
155.46,155.46,155.24,155.24,200.0
155.475,155.475,155.3355,155.3355,200.0
155.095,155.32,155.09,155.21,700.0
155.32,155.32,155.32,155.32,100.0
155.15,155.265,155.15,155.265,400.0
155.085,155.23,155.02,155.1,1200.0
155.08,155.08,155.08,155.08,100.0
155.08,155.08,155.08,155.08,100.0
155.06,155.06,154.88,155.01,500.0
154.955,155.0,154.95,154.95,2300.0
154.965,154.98,154.93,154.94,1000.0
154.88,154.99,154.865,154.935,1500.0
154.87,154.87,154.86,154.86,200.0
154.87,155.05,154.8,155.0,5600.0
154.86,154.86,154.86,154.86,200.0
154.94,155.035,154.94,155.035,300.0
154.97,154.975,154.9125,154.9125,2700.0
154.98,155.06,154.98,155.04,600.0
155.03,155.03,155.03,155.03,100.0
154.95,155.0,154.95,155.0,2984.0
154.89,155.0,154.89,155.0,900.0
154.91,154.915,154.83,154.915,3000.0
154.88,155.0,154.88,154.91,1000.0
154.765,154.88,154.765,154.88,800.0
154.665,154.79,154.665,154.79,900.0
154.98,154.98,154.9567,154.9567,400.0
154.88,155.01,154.84,154.97,1600.0
154.78,154.88,154.78,154.88,800.0
154.83,154.88,154.77,154.77,2771.0
154.825,154.825,154.825,154.825,200.0
154.83,154.83,154.83,154.83,100.0
154.84,154.88,154.84,154.85,1700.0
154.88,154.88,154.77,154.77,300.0
154.83,155.01,154.83,154.91,5100.0
154.84,154.84,154.84,154.84,200.0
154.78,154.84,154.78,154.84,704.0
154.895,154.895,154.81,154.81,1300.0
154.8,154.81,154.8,154.8,800.0
154.83,154.83,154.7,154.7,600.0
154.86,154.94,154.86,154.87,700.0
155.03,155.03,155.03,155.03,110.0
155.04,155.13,155.04,155.12,1405.0
155.18,155.18,155.04,155.04,700.0
155.2,155.23,155.09,155.18,1700.0
155.42,155.43,155.36,155.36,1300.0
155.215,155.4,155.21,155.4,1700.0
155.26,155.26,155.26,155.26,237.0
155.32,155.37,155.32,155.37,300.0
155.46,155.46,155.35,155.36,600.0
155.65,155.65,155.44,155.49,600.0
155.64,155.64,155.55,155.55,639.0
155.46,155.55,155.43,155.43,400.0
155.52,155.64,155.44,155.44,900.0
155.61,155.74,155.52,155.52,800.0
155.54,155.62,155.54,155.62,400.0
155.62,155.66,155.62,155.66,300.0
155.69,155.69,155.69,155.69,100.0
155.76,155.76,155.67,155.73,300.0
155.81,155.81,155.67,155.71,500.0
155.76,155.86,155.76,155.86,595.0
155.69,155.75,155.69,155.75,455.0
155.73,155.73,155.58,155.6,590.0
155.605,155.72,155.605,155.7,1402.0
155.58,155.58,155.58,155.58,100.0
155.6,155.6,155.6,155.6,300.0
155.58,155.58,155.5,155.57,900.0
155.6,155.61,155.6,155.61,400.0
155.48,155.53,155.46,155.53,500.0
155.56,155.56,155.5,155.5,700.0
155.57,155.57,155.53,155.53,300.0
155.47,155.6,155.47,155.54,800.0
155.67,155.67,155.5,155.535,400.0
155.775,155.82,155.7,155.7,500.0
155.89,155.95,155.89,155.95,400.0
156.01,156.01,156.01,156.01,100.0
155.92,156.025,155.89,156.025,1500.0
156.12,156.12,156.04,156.04,700.0
156.08,156.08,156.07,156.07,400.0
156.22,156.22,156.2,156.2,400.0
156.12,156.12,156.12,156.12,561.0
156.09,156.09,156.07,156.08,700.0
156.0,156.0,156.0,156.0,100.0
156.05,156.11,155.98,156.07,2650.0
156.1,156.1,156.08,156.08,300.0
156.11,156.12,156.08,156.1,500.0
156.11,156.36,156.11,156.36,600.0
156.12,156.12,155.98,156.0,1000.0
156.08,156.08,156.08,156.08,100.0
155.92,156.13,155.92,156.08,1550.0
155.83,155.855,155.83,155.83,400.0
155.885,156.03,155.85,155.92,1600.0
155.9,155.9,155.9,155.9,100.0
155.93,155.93,155.93,155.93,100.0
155.9175,156.01,155.88,155.97,2100.0
155.925,155.95,155.925,155.95,200.0
155.925,155.925,155.925,155.925,100.0
155.9325,155.9325,155.9325,155.9325,100.0
155.93,155.955,155.93,155.955,828.0
155.78,155.85,155.78,155.85,800.0
155.92,155.92,155.73,155.73,1709.0
155.905,155.93,155.905,155.93,400.0
156.04,156.04,156.04,156.04,100.0
155.95,155.95,155.95,155.95,100.0
155.94,155.94,155.87,155.87,200.0
156.01,156.01,155.955,155.96,800.0
