Open,High,Low,Close,Volume
59.54,59.54,59.53,59.53,32993.0
59.5,59.53,59.4,59.5,6197.0
59.41,59.55,59.39,59.5,3764.0
59.37,59.48,59.35,59.44,3450.0
59.41,59.42,59.31,59.36,6871.0
59.42,59.45,59.375,59.4073,7039.0
59.37,59.46,59.35,59.42,5819.0
59.45,59.48,59.35,59.35,9590.0
59.44,59.51,59.42,59.47,5313.0
59.43,59.46,59.42,59.45,2300.0
59.48,59.49,59.385,59.43,6120.0
59.42,59.51,59.42,59.51,6210.0
59.43,59.45,59.38,59.41,35500.0
59.452,59.48,59.4,59.425,5521.0
59.43,59.48,59.4,59.45,6333.0
59.45,59.49,59.42,59.43,6607.0
59.45,59.48,59.45,59.455,7170.0
59.41,59.44,59.3981,59.44,2119.0
59.51,59.51,59.39,59.41,6088.0
59.53,59.57,59.5,59.51,3500.0
59.54,59.54,59.505,59.52,4676.0
59.51,59.5675,59.51,59.56,9999.0
59.49,59.52,59.49,59.505,2700.0
59.49,59.5,59.47,59.49,4090.0
59.5,59.52,59.48,59.49,4053.0
59.47,59.53,59.47,59.5,4925.0
59.41,59.48,59.38,59.47,7797.0
59.44,59.44,59.4,59.4,4396.0
59.39,59.43,59.37,59.43,5680.0
59.37,59.39,59.3698,59.38,7249.0
59.45,59.45,59.38,59.38,2900.0
59.455,59.51,59.44,59.47,15033.0
59.37,59.45,59.36,59.45,3621.0
59.365,59.37,59.33,59.36,6950.0
59.38,59.42,59.36,59.37,3915.0
59.36,59.4,59.34,59.39,4043.0
59.455,59.455,59.37,59.38,11124.0
59.47,59.48,59.44,59.46,5922.0
59.445,59.455,59.41,59.455,4700.0
59.49,59.49,59.445,59.45,5307.0
59.46,59.5,59.45,59.5,6462.0
59.41,59.46,59.4,59.46,9639.0
59.47,59.475,59.39,59.41,12778.0
59.5,59.51,59.46,59.47,8427.0
59.535,59.54,59.51,59.51,7228.0
59.55,59.6,59.535,59.535,9178.0
59.58,59.58,59.52,59.55,9063.0
59.6,59.61,59.5808,59.585,4644.0
59.62,59.62,59.56,59.6,5823.0
59.59,59.62,59.59,59.605,3902.0
59.62,59.63,59.585,59.59,8700.0
59.5797,59.63,59.5797,59.62,7009.0
59.64,59.64,59.58,59.58,5921.0
59.66,59.67,59.62,59.64,7233.0
59.65,59.67,59.64,59.66,6670.0
59.6725,59.69,59.65,59.66,6200.0
59.66,59.7,59.66,59.69,5196.0
59.68,59.68,59.63,59.65,5059.0
59.72,59.72,59.675,59.68,3492.0
59.74,59.75,59.72,59.72,4387.0
59.735,59.74,59.7,59.73,3403.0
59.6922,59.73,59.6922,59.73,3805.0
59.69,59.7,59.68,59.7,2352.0
59.745,59.745,59.67,59.69,3881.0
59.7,59.77,59.7,59.75,8978.0
59.725,59.73,59.7,59.715,12207.0
59.7,59.72,59.68,59.72,7072.0
59.69,59.715,59.69,59.71,5107.0
59.7,59.715,59.67,59.685,4414.0
59.72,59.73,59.7,59.7,6992.0
59.67,59.72,59.67,59.72,2279.0
59.67,59.715,59.67,59.68,8300.0
59.71,59.72,59.68,59.68,5275.0
59.7,59.715,59.67,59.69,12729.0
59.7,59.72,59.69,59.71,22712.0
59.73,59.75,59.7,59.7,11553.0
59.75,59.7657,59.74,59.76,3753.0
59.78,59.78,59.75,59.75,26424.0
59.77,59.77,59.76,59.77,1900.0
59.7499,59.76,59.73,59.76,3421.0
59.73,59.77,59.73,59.75,2961.0
59.72,59.76,59.72,59.75,7802.0
59.68,59.74,59.68,59.74,5570.0
59.7,59.73,59.6999,59.7,5528.0
59.7,59.71,59.69,59.7,6711.0
59.65,59.7099,59.65,59.7,3109.0
59.66,59.67,59.65,59.65,4021.0
59.6486,59.66,59.64,59.66,2405.0
59.64,59.67,59.64,59.65,1822.0
59.61,59.65,59.61,59.64,4479.0
59.61,59.64,59.6,59.61,1741.0
59.56,59.59,59.55,59.59,3261.0
59.55,59.56,59.55,59.56,3754.0
59.56,59.56,59.54,59.54,3265.0
59.595,59.6,59.56,59.56,4197.0
59.6,59.6,59.57,59.595,4800.0
59.585,59.615,59.585,59.59,4862.0
59.56,59.58,59.56,59.58,6443.0
59.51,59.56,59.495,59.56,7013.0
59.52,59.52,59.49,59.51,3601.0
59.495,59.51,59.48,59.51,6751.0
59.51,59.52,59.5,59.5,4519.0
59.54,59.54,59.5,59.505,34109.0
59.535,59.54,59.52,59.54,3800.0
59.5534,59.56,59.53,59.53,3803.0
59.53,59.55,59.515,59.55,9044.0
59.54,59.545,59.53,59.53,1083.0
59.57,59.57,59.545,59.55,3111.0
59.58,59.58,59.565,59.57,1200.0
59.62,59.62,59.595,59.6,1800.0
59.61,59.62,59.59,59.61,4011.0
59.61,59.64,59.61,59.62,3104.0
59.62,59.62,59.615,59.615,950.0
59.59,59.64,59.59,59.6266,5839.0
59.575,59.59,59.57,59.59,1300.0
59.6,59.6,59.58,59.58,1200.0
59.595,59.615,59.595,59.605,3767.0
59.58,59.6,59.58,59.6,1800.0
59.58,59.59,59.58,59.59,1846.0
59.575,59.6,59.57,59.58,3083.0
59.585,59.585,59.574,59.574,1730.0
59.55,59.5857,59.54,59.5857,3223.0
59.53,59.55,59.53,59.55,2000.0
59.55,59.55,59.54,59.54,2693.0
59.52,59.56,59.52,59.55,5624.0
59.49,59.53,59.49,59.53,2326.0
