Open,High,Low,Close,Volume
178.02,178.02,178.02,178.02,3670.0
178.52,178.55,178.18,178.365,2100.0
178.265,178.265,178.02,178.23,355.0
178.99,178.99,178.13,178.41,5100.0
178.7822,178.7822,178.7822,178.7822,125.0
178.755,178.755,178.6,178.6,300.0
178.67,178.9,178.67,178.86,1500.0
178.67,178.775,178.635,178.775,1800.0
178.46,178.473,178.45,178.47,632.0
178.34,178.465,178.34,178.465,200.0
178.33,178.33,178.33,178.33,300.0
178.2,178.32,178.1,178.32,3800.0
178.2,178.31,178.2,178.2,1196.0
178.16,178.29,178.16,178.29,800.0
178.03,178.04,178.03,178.03,800.0
177.54,177.84,177.54,177.84,4100.0
177.23,177.58,177.23,177.47,900.0
177.33,177.33,177.32,177.32,200.0
177.33,177.38,177.33,177.38,400.0
177.54,177.54,177.375,177.375,500.0
177.4194,177.4194,177.4194,177.4194,400.0
177.59,177.59,177.36,177.36,1200.0
177.59,177.59,177.51,177.51,500.0
177.72,177.72,177.63,177.72,600.0
177.59,177.69,177.58,177.69,1000.0
177.48,177.49,177.48,177.49,300.0
177.39,177.39,177.39,177.39,100.0
177.41,177.41,177.41,177.41,100.0
177.5,177.5,177.34,177.49,300.0
177.425,177.45,177.28,177.45,1915.0
177.31,177.43,177.31,177.4199,2311.0
177.43,177.43,177.41,177.41,200.0
177.3,177.33,177.29,177.32,924.0
177.24,177.41,177.24,177.375,1500.0
177.19,177.2502,177.18,177.2502,350.0
177.14,177.14,177.14,177.14,200.0
177.07,177.15,177.07,177.13,600.0
176.96,177.065,176.96,177.065,300.0
176.991,176.991,176.991,176.991,100.0
177.03,177.06,177.0,177.0,800.0
177.14,177.17,177.11,177.11,300.0
177.205,177.205,177.18,177.18,800.0
177.26,177.26,177.19,177.19,500.0
177.25,177.25,177.05,177.19,3028.0
177.14,177.279,177.14,177.19,5702.0
177.1,177.1,177.1,177.1,100.0
177.1,177.1,177.1,177.1,200.0
177.07,177.1,177.07,177.1,400.0
177.1372,177.1372,177.1372,177.1372,199.0
177.01,177.05,177.01,177.05,300.0
177.02,177.02,177.02,177.02,100.0
177.0,177.01,177.0,177.01,600.0
177.0,177.0,176.96,176.97,400.0
177.13,177.13,177.04,177.04,1500.0
177.08,177.14,177.07,177.07,614.0
177.0,177.11,177.0,177.06,2300.0
177.0,177.01,176.95,176.96,2175.0
176.91,177.0,176.91,176.94,621.0
176.86,176.92,176.86,176.92,450.0
177.01,177.01,176.925,176.99,2825.0
176.84,176.92,176.78,176.91,2260.0
176.9037,176.9037,176.79,176.82,1014.0
176.855,176.855,176.78,176.81,400.0
176.805,176.805,176.71,176.78,1245.0
176.74,176.74,176.74,176.74,100.0
176.74,176.87,176.74,176.85,3500.0
176.79,176.85,176.75,176.75,435.0
176.92,176.97,176.84,176.89,1200.0
176.96,176.96,176.959,176.959,400.0
176.99,177.02,176.95,176.95,400.0
177.1,177.1,177.1,177.1,100.0
177.03,177.03,177.01,177.01,300.0
176.97,176.99,176.97,176.99,800.0
176.9,176.95,176.9,176.95,500.0
177.02,177.022,176.82,176.85,5007.0
176.95,176.95,176.94,176.94,400.0
177.1,177.1,177.06,177.06,300.0
177.22,177.22,177.22,177.22,100.0
177.21,177.27,177.12,177.27,500.0
177.23,177.23,177.23,177.23,200.0
177.23,177.305,177.23,177.305,400.0
177.32,177.32,177.31,177.31,300.0
177.57,177.57,177.44,177.44,1800.0
177.56,177.57,177.56,177.57,200.0
177.53,177.59,177.53,177.56,400.0
177.53,177.57,177.53,177.57,200.0
177.67,177.67,177.57,177.57,600.0
177.81,177.81,177.81,177.81,200.0
177.78,177.78,177.78,177.78,100.0
177.82,177.85,177.82,177.85,200.0
177.71,177.82,177.71,177.775,2432.0
177.43,177.66,177.43,177.6,4500.0
177.22,177.43,177.14,177.43,8000.0
177.155,177.32,177.155,177.25,1100.0
177.225,177.29,177.2,177.2,1618.0
177.22,177.276,177.22,177.276,700.0
177.2539,177.2539,177.2539,177.2539,200.0
177.3,177.34,177.3,177.3,400.0
177.39,177.39,177.38,177.38,554.0
177.42,177.42,177.3,177.36,2645.0
177.47,177.5,177.38,177.38,1400.0
177.49,177.5499,177.44,177.5,2500.0
177.415,177.47,177.37,177.47,500.0
177.37,177.37,177.37,177.37,100.0
177.39,177.39,177.39,177.39,200.0
177.39,177.4,177.39,177.4,800.0
177.21,177.39,177.21,177.39,1942.0
177.28,177.35,177.28,177.35,440.0
177.317,177.317,177.317,177.317,400.0
177.32,177.32,177.32,177.32,120.0
177.42,177.43,177.3747,177.3747,543.0
177.52,177.52,177.42,177.42,500.0
177.57,177.57,177.57,177.57,100.0
177.54,177.54,177.54,177.54,210.0
177.575,177.64,177.575,177.64,220.0
177.64,177.64,177.64,177.64,100.0
177.65,177.65,177.65,177.65,100.0
177.58,177.6,177.55,177.6,1490.0
177.65,177.65,177.63,177.63,600.0
177.71,177.72,177.7,177.71,500.0
177.76,177.76,177.66,177.71,1800.0
177.79,177.82,177.79,177.8,600.0
177.78,177.78,177.78,177.78,300.0
177.81,177.81,177.78,177.78,3100.0
177.815,177.815,177.81,177.81,700.0
177.815,177.815,177.815,177.815,300.0
177.78,177.78,177.78,177.78,100.0
177.815,177.8225,177.77,177.81,5019.0
