Open,High,Low,Close,Volume
33.0,33.08,33.0,33.0293,1216.0
32.97,33.05,32.97,33.01,2521.0
32.92,32.93,32.92,32.93,1500.0
32.98,33.0,32.931,32.931,2435.0
32.9836,33.01,32.95,32.97,9758.0
32.97,32.97,32.93,32.94,2366.0
32.9631,32.9631,32.955,32.96,720.0
32.94,32.95,32.92,32.95,5136.0
32.925,32.96,32.92,32.95,3558.0
32.93,32.93,32.9,32.92,3400.0
32.95,32.97,32.94,32.94,2600.0
32.96,32.97,32.95,32.95,2388.0
33.0,33.0,32.9606,32.9606,1402.0
33.01,33.01,33.0,33.0,2487.0
33.02,33.035,33.02,33.02,2801.0
33.03,33.055,33.019,33.019,15354.0
33.028,33.06,33.028,33.04,6363.0
33.015,33.03,33.0114,33.025,3300.0
32.98,33.015,32.97,33.015,7302.0
32.94,32.975,32.94,32.975,4108.0
32.95,32.96,32.945,32.945,5700.0
32.93,32.94,32.93,32.94,746.0
32.9224,32.93,32.9194,32.93,1600.0
32.8999,32.91,32.89,32.91,3463.0
32.86,32.89,32.86,32.89,3028.0
32.86,32.87,32.855,32.855,2500.0
32.82,32.86,32.82,32.86,3686.0
32.79,32.82,32.78,32.82,11759.0
32.77,32.8,32.76,32.8,2575.0
32.79,32.79,32.74,32.78,9778.0
32.7879,32.795,32.78,32.78,1247.0
32.82,32.82,32.78,32.8,4520.0
32.84,32.85,32.82,32.825,8639.0
32.83,32.8451,32.82,32.8451,2193.0
32.81,32.825,32.81,32.82,4802.0
32.8,32.805,32.79,32.8,3600.0
32.83,32.83,32.795,32.8,7130.0
32.855,32.855,32.84,32.84,2837.0
32.9,32.9,32.85,32.85,12460.0
32.94,32.94,32.895,32.895,10064.0
32.91,32.94,32.91,32.935,7089.0
32.92,32.92,32.892,32.91,11300.0
32.9,32.91,32.9,32.91,1574.0
32.89,32.91,32.89,32.905,10180.0
32.9185,32.92,32.89,32.89,7004.0
32.92,32.93,32.92,32.92,3900.0
32.9,32.92,32.9,32.92,1675.0
32.91,32.91,32.9,32.9,2876.0
32.92,32.9201,32.915,32.915,3380.0
32.9,32.9199,32.9,32.915,12512.0
32.92,32.93,32.9,32.9,3736.0
32.935,32.94,32.93,32.93,2200.0
32.93,32.935,32.925,32.93,7061.0
32.93,32.935,32.92,32.93,14400.0
32.92,32.945,32.92,32.94,7200.0
32.915,32.915,32.91,32.915,1300.0
33.0,33.0,32.92,32.92,14504.0
32.9803,33.0,32.98,32.995,16300.0
32.975,32.99,32.975,32.98,11069.0
32.975,32.975,32.95,32.97,6916.0
32.97,32.99,32.95,32.98,15974.0
32.96,32.97,32.95,32.965,16362.0
32.975,32.995,32.97,32.97,16541.0
32.96,32.98,32.96,32.975,8050.0
32.94,32.95,32.94,32.94,6764.0
32.975,32.975,32.92,32.935,18787.0
32.97,32.975,32.955,32.96,3698.0
32.98,32.98,32.955,32.965,8064.0
32.995,33.01,32.99,32.99,6351.0
32.965,33.0,32.96,33.0,5416.0
32.99,33.005,32.96,32.96,5682.0
33.0,33.01,32.9745,32.98,4571.0
33.03,33.04,32.99,32.99,11692.0
33.03,33.04,33.025,33.035,7000.0
33.04,33.04,33.02,33.03,4263.0
33.06,33.06,33.01,33.03,7057.0
33.045,33.06,33.04,33.05,14132.0
33.06,33.09,33.05,33.05,7782.0
33.06,33.06,33.04,33.05,5574.0
33.0331,33.05,33.0331,33.05,12137.0
33.04,33.05,33.04,33.04,5564.0
33.035,33.045,33.03,33.04,11368.0
33.04,33.05,33.035,33.035,4364.0
33.045,33.05,33.04,33.05,9152.0
33.03,33.05,33.03,33.05,7207.0
33.015,33.035,33.01,33.03,16591.0
33.0107,33.02,33.0,33.0101,5615.0
33.02,33.02,33.0007,33.0138,9373.0
33.06,33.06,33.03,33.03,6335.0
33.07,33.09,33.07,33.07,10589.0
33.06,33.08,33.055,33.06,5650.0
33.045,33.06,33.04,33.06,6879.0
33.03,33.045,33.03,33.0442,8277.0
33.03,33.0358,33.02,33.035,4432.0
33.03,33.035,33.02,33.0231,4562.0
33.025,33.03,33.02,33.03,1600.0
33.02,33.04,33.02,33.025,5822.0
33.0499,33.0499,33.02,33.02,3700.0
33.045,33.08,33.04,33.05,7388.0
33.0394,33.05,33.0394,33.05,2720.0
33.041,33.05,33.03,33.04,3662.0
33.02,33.05,33.01,33.05,6017.0
33.03,33.03,33.015,33.02,6631.0
33.015,33.02,33.0125,33.02,2600.0
33.03,33.03,33.015,33.015,3100.0
33.11,33.11,33.03,33.03,15792.0
33.13,33.13,33.1014,33.1014,5125.0
33.14,33.14,33.1201,33.13,2300.0
33.17,33.17,33.13,33.13,5041.0
33.18,33.18,33.165,33.18,7308.0
33.1725,33.185,33.17,33.18,4815.0
33.19,33.195,33.17,33.1766,4059.0
33.2,33.21,33.18,33.19,21783.0
33.1901,33.205,33.17,33.2,35555.0
33.2,33.21,33.19,33.2,35419.0
33.1727,33.195,33.165,33.19,5521.0
33.145,33.1758,33.14,33.1758,8134.0
33.12,33.15,33.12,33.1439,8602.0
33.11,33.115,33.105,33.115,3000.0
33.125,33.13,33.11,33.11,4281.0
33.165,33.17,33.1201,33.1201,10260.0
33.1694,33.17,33.15,33.16,9375.0
33.17,33.17,33.15,33.1661,5926.0
33.2,33.205,33.1675,33.1675,14176.0
33.18,33.2,33.17,33.2,9937.0
33.19,33.19,33.175,33.175,1400.0
33.2,33.2,33.19,33.19,4114.0
33.19,33.195,33.17,33.19,6466.0
33.23,33.23,33.18,33.18,37006.0
33.25,33.25,33.215,33.22,6189.0
33.27,33.29,33.24,33.2469,25769.0
33.29,33.29,33.28,33.28,5328.0
33.295,33.32,33.28,33.285,9488.0
33.32,33.34,33.29,33.29,14106.0
33.34,33.34,33.31,33.315,12734.0
33.33,33.34,33.325,33.33,16945.0
33.365,33.38,33.335,33.34,9883.0
33.33,33.37,33.33,33.365,11399.0
33.3,33.32,33.275,33.32,10393.0
33.31,33.32,33.29,33.295,2900.0
33.32,33.32,33.31,33.31,5704.0
33.305,33.315,33.305,33.315,4175.0
33.27,33.31,33.27,33.3,9402.0
33.25,33.265,33.24,33.265,4571.0
33.24,33.25,33.24,33.25,2737.0
33.225,33.25,33.225,33.24,4754.0
33.24,33.24,33.21,33.22,6236.0
33.255,33.255,33.239,33.239,3350.0
33.27,33.27,33.24,33.24,6146.0
33.265,33.27,33.26,33.26,4376.0
33.25,33.25,33.24,33.25,3902.0
33.26,33.27,33.255,33.26,7900.0
33.285,33.29,33.27,33.27,6587.0
33.3,33.3,33.28,33.29,5395.0
33.34,33.34,33.3,33.3,12766.0
33.335,33.34,33.33,33.33,744.0
33.325,33.34,33.32,33.33,6300.0
33.325,33.325,33.32,33.325,600.0
33.26,33.32,33.26,33.32,8679.0
33.265,33.27,33.24,33.25,7313.0
33.28,33.28,33.26,33.27,8422.0
33.2645,33.275,33.2645,33.275,2732.0
33.25,33.26,33.24,33.26,4985.0
33.195,33.25,33.19,33.25,9603.0
33.2,33.2065,33.195,33.2,3600.0
33.215,33.215,33.21,33.21,1600.0
