Open,High,Low,Close,Volume
82.18,82.18,82.18,82.18,3215.0
82.23,82.26,81.16,81.16,1816.0
82.26,82.3,82.25,82.25,2551.0
82.28,82.3,82.28,82.3,500.0
82.23,82.281,82.23,82.25,1100.0
82.39,82.39,82.25,82.25,3863.0
82.34,82.5,82.34,82.5,1700.0
82.38,82.38,82.38,82.38,100.0
82.34,82.37,82.34,82.37,1200.0
82.38,82.39,82.34,82.34,713.0
82.36,82.3738,82.31,82.3738,1440.0
82.31,82.32,82.28,82.31,4700.0
82.39,82.39,82.39,82.39,100.0
82.31,82.33,82.31,82.33,675.0
82.33,82.37,82.28,82.36,2100.0
82.35,82.35,82.31,82.31,800.0
82.37,82.38,82.37,82.38,200.0
82.38,82.39,82.38,82.38,600.0
82.505,82.53,82.44,82.44,2600.0
82.49,82.525,82.49,82.51,2166.0
82.51,82.54,82.51,82.51,4859.0
82.45,82.48,82.45,82.48,1516.0
82.5,82.5,82.43,82.43,1406.0
82.43,82.48,82.43,82.48,903.0
82.45,82.45,82.44,82.44,300.0
82.47,82.47,82.42,82.42,1300.0
82.47,82.47,82.46,82.46,400.0
82.475,82.49,82.46,82.49,500.0
82.49,82.51,82.45,82.45,902.0
82.51,82.52,82.51,82.52,200.0
82.53,82.55,82.51,82.51,1200.0
82.64,82.64,82.53,82.53,1695.0
82.63,82.63,82.61,82.62,2400.0
82.65,82.69,82.63,82.63,2101.0
82.63,82.63,82.61,82.62,300.0
82.61,82.62,82.59,82.61,2200.0
82.65,82.65,82.62,82.65,3300.0
82.59,82.635,82.57,82.62,5110.0
82.53,82.59,82.53,82.59,1840.0
82.54,82.58,82.54,82.55,2705.0
82.56,82.56,82.56,82.56,400.0
82.51,82.56,82.51,82.56,1909.0
82.57,82.57,82.53,82.54,2104.0
82.52,82.57,82.52,82.559,1978.0
82.47,82.5221,82.47,82.5221,1805.0
82.51,82.51,82.475,82.475,2294.0
82.46,82.52,82.46,82.49,978.0
82.48,82.49,82.46,82.49,5125.0
82.48,82.48,82.46,82.46,3776.0
82.5,82.5,82.49,82.49,300.0
82.51,82.51,82.5,82.5,800.0
82.49,82.53,82.49,82.53,1900.0
82.495,82.505,82.49,82.49,1800.0
82.44,82.48,82.44,82.48,1800.0
82.47,82.475,82.45,82.45,3300.0
82.489,82.489,82.46,82.47,2413.0
82.47,82.48,82.47,82.48,2500.0
82.45,82.48,82.43,82.47,4702.0
82.43,82.45,82.43,82.45,1800.0
82.42,82.43,82.42,82.42,1200.0
82.48,82.49,82.44,82.44,1600.0
82.5,82.5,82.44,82.46,2204.0
82.497,82.52,82.4853,82.51,1123.0
82.49,82.49,82.49,82.49,100.0
82.56,82.56,82.5,82.5,1600.0
82.58,82.58,82.57,82.57,601.0
82.57,82.6,82.57,82.6,1494.0
82.55,82.55,82.525,82.55,2980.0
82.57,82.57,82.57,82.57,100.0
82.615,82.62,82.59,82.59,1400.0
82.585,82.6,82.585,82.585,800.0
82.605,82.63,82.58,82.58,6844.0
82.6,82.625,82.6,82.61,811.0
82.61,82.61,82.61,82.61,200.0
82.65,82.65,82.61,82.61,1501.0
82.65,82.67,82.65,82.658,1775.0
82.585,82.645,82.585,82.64,3149.0
82.61,82.63,82.59,82.59,5283.0
82.61,82.63,82.61,82.61,1600.0
82.57,82.64,82.57,82.62,2202.0
82.59,82.59,82.58,82.58,800.0
82.6,82.6,82.58,82.58,3503.0
82.6,82.6,82.59,82.59,200.0
82.62,82.62,82.6,82.6,2301.0
82.56,82.6,82.56,82.6,2649.0
82.475,82.52,82.475,82.52,1181.0
82.5,82.51,82.47,82.47,1550.0
82.4725,82.5,82.47,82.49,4201.0
82.53,82.54,82.49,82.49,2745.0
82.54,82.55,82.54,82.55,400.0
82.61,82.61,82.5499,82.5499,1912.0
